X,Z,T
0.035,0.7586,400
0.038,0.7482,400
0.0411,0.7366,400
0.0441,0.7244,400
0.0472,0.7114,400
0.0503,0.6966,400
0.0533,0.6812,400
0.0561,0.6669,400
0.0587,0.6517,400
0.0613,0.6356,400
0.0636,0.6187,400
0.0654,0.6009,400
0.0666,0.585,400
0.0674,0.5668,400
0.0677,0.2897,400
0.0674,0.2682,400
0.0674,0.2528,400
0.0674,0.2354,400
0.0679,0.3229,400
0.0676,0.3092,400
0.068,0.1974,400
0.0682,0.5504,400
0.0686,0.3637,400
0.0683,0.3426,400
0.0678,0.2168,400
0.0685,0.1724,400
0.0686,0.5307,400
0.0691,0.4051,400
0.0688,0.3836,400
0.0692,0.1508,400
0.0692,0.5158,400
0.0692,0.5004,400
0.0692,0.485,400
0.0693,0.4696,400
0.0693,0.4542,400
0.0693,0.4388,400
0.0693,0.4234,400
0.0703,0.1305,400
0.0732,0.0981,400
0.0713,0.1168,400
0.0751,0.0821,400
-1.00E-04,0.6537,500
0.003,0.6532,500
0.006,0.6524,500
0.0091,0.65,500
0.0121,0.647,500
0.0152,0.6432,500
0.0182,0.6383,500
0.0213,0.6325,500
0.0244,0.6252,500
0.0274,0.6165,500
0.0305,0.6056,500
0.0335,0.5914,500
0.0361,0.5777,500
0.0381,0.5623,500
0.0404,0.5443,500
0.0414,0.5295,500
0.0423,0.5132,500
0.043,0.4946,500
0.0441,0.4725,500
0.0449,0.4547,500
0.0454,0.4388,500
0.046,0.4229,500
0.0463,0.405,500
0.0468,0.3875,500
0.0473,0.3721,500
0.0475,0.3571,500
0.0482,0.3243,500
0.0479,0.3408,500
0.049,0.3073,500
0.0498,0.2874,500
0.0506,0.2675,500
0.0513,0.248,500
0.0524,0.2265,500
0.0533,0.2068,500
0.0546,0.1874,500
0.0557,0.17,500
0.057,0.1518,500
0.0585,0.1352,500
0.0603,0.1177,500
0.0624,0.1034,500
0.0631,0.0851,500
0.00E+00,0.5424,600
0.003,0.5395,600
0.0061,0.5307,600
0.0092,0.517,600
0.012,0.5029,600
0.0145,0.4878,600
0.0171,0.4719,600
0.0196,0.4552,600
0.0219,0.4388,600
0.0237,0.4247,600
0.0253,0.4114,600
0.0268,0.3964,600
0.0283,0.3811,600
0.0299,0.364,600
0.0316,0.3444,600
0.0335,0.3246,600
0.035,0.3066,600
0.0363,0.2883,600
0.0377,0.2714,600
0.0393,0.2531,600
0.0409,0.2329,600
0.0425,0.215,600
0.0438,0.1967,600
0.0457,0.1787,600
0.0482,0.1479,600
0.0471,0.1617,600
0.0501,0.1341,600
0.0522,0.1181,600
0.0548,0.0997,600
0.0578,0.0868,600
0.0001,0.4653,700
0.0031,0.4614,700
0.0059,0.4506,700
0.0079,0.4384,700
0.01,0.4194,700
0.012,0.4044,700
0.0167,0.3515,700
0.0182,0.3344,700
0.0197,0.3156,700
0.0215,0.2874,700
0.0208,0.3028,700
0.0233,0.2728,700
0.0246,0.2534,700
0.0256,0.2387,700
0.0269,0.2178,700
0.029,0.1989,700
0.0305,0.1835,700
0.0321,0.1685,700
0.0336,0.1534,700
0.0349,0.1405,700
0.0369,0.1303,700
0.0392,0.1155,700
0.0419,0.1005,700
0.0449,0.0895,700
0.0481,0.0804,700
0.0141,0.3835,700
0.0155,0.3677,700
0.0131,0.396,700
0.0121,0.2854,800
0.0151,0.2528,800
0.0142,0.2656,800
0.0162,0.2434,800
0.0178,0.2271,800
0.0193,0.214,800
0.0208,0.198,800
0.0226,0.1825,800
0.0247,0.1659,800
0.0271,0.1455,800
0.026,0.1553,800
0.0295,0.1314,800
0.0321,0.1147,800
0.0349,0.0982,800
0.0375,0.0837,800
0.001,0.2363,750
0.0009,0.1617,750
0.0011,0.3522,750
0.0011,0.3368,750
0.0011,0.3214,750
0.0012,0.306,750
0.0012,0.2906,750
0.0012,0.2752,750
0.0012,0.2598,750
0.0016,0.2156,750
0.0012,0.1982,750
0.0012,0.1829,750
0.0027,0.1442,750
0.0033,0.1315,750
0.0046,0.1151,750
0.0066,0.0958,750
0.0084,0.0854,750
0,0.098,700
0.2,0.08,0
0.2,1.5,0
