X,Z,T
0.0681,0.2529,300
0.0686,0.2407,300
0.0691,0.223,300
0.0695,0.2114,300
0.07,0.1974,300
0.0703,0.1865,300
0.0706,0.1765,300
0.0709,0.1661,300
0.071,0.1404,300
0.0712,0.1552,300
0.072,0.1286,300
0.0723,0.1134,300
0.0731,0.0949,300
0.0741,0.0844,300
0.0749,0.077,300
0,0.5504,400
0.0013,0.548,400
0.0034,0.5462,400
0.0055,0.5436,400
0.0075,0.5407,400
0.0096,0.5373,400
0.0117,0.5334,400
0.0137,0.5293,400
0.0158,0.5245,400
0.0179,0.5192,400
0.0199,0.5134,400
0.0215,0.5079,400
0.0234,0.5021,400
0.0252,0.4953,400
0.0273,0.4873,400
0.0299,0.4773,400
0.032,0.4682,400
0.034,0.4587,400
0.0358,0.4485,400
0.0376,0.4384,400
0.0393,0.428,400
0.0409,0.418,400
0.0423,0.4081,400
0.0436,0.3974,400
0.045,0.3862,400
0.046,0.3738,400
0.0471,0.3625,400
0.0481,0.3517,400
0.049,0.3405,400
0.0499,0.3289,400
0.0506,0.3185,400
0.0513,0.3075,400
0.0522,0.2956,400
0.0526,0.2855,400
0.0529,0.2749,400
0.0533,0.2641,400
0.0537,0.2537,400
0.0541,0.2437,400
0.0545,0.233,400
0.0551,0.2218,400
0.0555,0.2129,400
0.0561,0.2009,400
0.0564,0.1906,400
0.0571,0.1808,400
0.0577,0.1693,400
0.0582,0.1589,400
0.059,0.149,400
0.0597,0.1387,400
0.0604,0.1282,400
0.0613,0.118,400
0.0624,0.1077,400
0.0639,0.0947,400
0.0655,0.0834,400
0.0671,0.0754,400
0,0.4407,500
0.0017,0.4408,500
0.0038,0.4396,500
0.0058,0.4372,500
0.0079,0.4342,500
0.01,0.4305,500
0.012,0.4261,500
0.0141,0.4213,500
0.0162,0.4158,500
0.0184,0.41,500
0.02,0.4041,500
0.0216,0.3988,500
0.0231,0.3923,500
0.0252,0.3841,500
0.0273,0.3742,500
0.0293,0.3639,500
0.031,0.3548,500
0.0329,0.3436,500
0.0344,0.3338,500
0.0358,0.3236,500
0.0372,0.3128,500
0.0386,0.3011,500
0.04,0.2911,500
0.0411,0.279,500
0.042,0.2636,500
0.0427,0.2521,500
0.0435,0.2399,500
0.0441,0.2268,500
0.0444,0.216,500
0.045,0.2043,500
0.0454,0.1913,500
0.0461,0.1793,500
0.0468,0.169,500
0.0476,0.1581,500
0.0485,0.1451,500
0.0496,0.1334,500
0.0508,0.1219,500
0.0525,0.1094,500
0.0543,0.0979,500
0.0558,0.09,500
0.0574,0.0819,500
0.0591,0.0757,500
0,0.3648,600
0.0009,0.3642,600
0.003,0.3635,600
0.0051,0.361,600
0.0073,0.3575,600
0.0095,0.3526,600
0.0115,0.3479,600
0.0136,0.342,600
0.0156,0.335,600
0.0177,0.3267,600
0.0198,0.3171,600
0.0217,0.3067,600
0.0236,0.2965,600
0.0245,0.2889,600
0.0263,0.2775,600
0.0275,0.2697,600
0.0284,0.2603,600
0.0295,0.2486,600
0.0304,0.2377,600
0.0311,0.2253,600
0.0319,0.2156,600
0.0326,0.2063,600
0.0333,0.1962,600
0.0342,0.1859,600
0.0351,0.1761,600
0.036,0.1666,600
0.0371,0.1558,600
0.0384,0.145,600
0.0395,0.1371,600
0.0405,0.1289,600
0.042,0.1189,600
0.0437,0.1087,600
0.0457,0.098,600
0.0472,0.0912,600
0.0487,0.0847,600
0.0502,0.0807,600
0,0.3118,700
0.0013,0.3096,700
0.0033,0.3042,700
0.0051,0.2971,700
0.0067,0.2901,700
0.0085,0.2811,700
0.0103,0.2717,700
0.012,0.2615,700
0.0136,0.2517,700
0.0152,0.2419,700
0.0166,0.232,700
0.0177,0.2237,700
0.0192,0.2139,700
0.0207,0.2042,700
0.022,0.1943,700
0.0232,0.1854,700
0.0242,0.1773,700
0.0253,0.169,700
0.0262,0.1614,700
0.0275,0.1513,700
0.0286,0.1408,700
0.0299,0.1309,700
0.0314,0.1211,700
0.0331,0.1107,700
0.035,0.1002,700
0.0367,0.0913,700
0.0386,0.0833,700
0.0403,0.0757,700
0.042,0.07,700
0,0.2639,800
0.0019,0.2597,800
0.0041,0.2502,800
0.0057,0.2399,800
0.0072,0.2296,800
0.0085,0.219,800
0.0097,0.2078,800
0.0109,0.197,800
0.012,0.1855,800
0.0131,0.1746,800
0.014,0.1645,800
0.0149,0.154,800
0.0159,0.144,800
0.0168,0.1335,800
0.0176,0.124,800
0.0185,0.1143,800
0.0193,0.1041,800
0.0205,0.0935,800
0.0217,0.0839,800
0.0229,0.0762,800
