Time,CO2_L4_BAS,CO2_L4_HAUT,DADM_L4,DEXT_L4,D_WATER_SPRAY,H2OEXT_L4,HRRM,O2_L4_BAS,O2_L4_HAUT,P_L4,TG_L4_CC_105_P,TG_L4_CC_105,TG_L4_CC_205_P,TG_L4_CC_205,TG_L4_CC_255_P,TG_L4_CC_255,TG_L4_CC_305,TG_L4_CC_355,TG_L4_NE_105_P,TG_L4_NE_105,TG_L4_NE_205_p,TG_L4_NE_205,TG_L4_NE_255_P,TG_L4_NE_255,TG_L4_NE_305,TG_L4_NE_355,TG_L4_SE_055_P,TG_L4_SE_390
980.,1.149E-02,1.875E-02,0.603,0.922,0.09,5.005E-02,292.9,1.922E-01,1.814E-01,118.4,54.6,38.1,66.3,83.6,112.2,117.1,146.5,176.7,68.0,73.2,78.9,82.7,100.1,103.9,146.0,190.0,51.0,164.6
990.,1.140E-02,1.772E-02,0.773,0.744,0.10,5.003E-02,58.6,1.922E-01,1.811E-01,-327.6,55.7,38.7,66.7,83.1,111.6,116.6,147.4,176.4,68.3,73.5,80.7,82.5,101.6,103.5,145.6,190.1,50.7,164.3
1000.,1.130E-02,1.430E-02,0.855,0.637,0.11,5.007E-02,0.0,1.920E-01,1.861E-01,-528.5,55.9,38.8,67.4,82.8,107.1,109.8,140.8,165.0,68.1,73.3,79.0,81.1,98.1,99.2,136.9,171.9,50.8,159.1
1010.,1.113E-02,1.218E-02,0.819,0.676,0.01,5.006E-02,0.0,1.923E-01,1.901E-01,-405.7,56.9,38.0,67.2,80.5,102.4,100.4,126.0,148.7,67.8,69.7,78.6,79.5,95.0,94.4,121.6,152.3,51.5,149.0
1020.,1.109E-02,1.118E-02,0.784,0.695,0.09,4.984E-02,0.0,1.926E-01,1.923E-01,-319.6,57.3,38.4,67.3,77.1,97.2,91.4,112.3,134.4,65.9,66.3,76.4,77.1,90.6,86.8,107.7,134.9,50.7,137.3
1030.,1.069E-02,1.059E-02,0.765,0.706,0.06,4.460E-02,0.0,1.927E-01,1.929E-01,-267.5,56.9,37.8,65.6,73.7,92.1,84.6,101.8,121.7,62.2,63.0,74.5,74.3,86.6,83.3,97.7,120.9,51.4,125.4
1040.,1.011E-02,9.821E-03,0.750,0.709,0.08,4.268E-02,0.0,1.939E-01,1.943E-01,-222.2,57.0,35.4,63.5,69.3,85.8,78.9,92.8,110.4,58.7,59.8,71.5,71.0,82.8,78.5,89.4,105.6,51.6,113.7
1050.,9.353E-03,9.173E-03,0.735,0.717,0.06,3.842E-02,0.0,1.950E-01,1.951E-01,-185.1,55.3,34.4,61.0,65.7,81.9,74.4,84.4,100.6,56.3,56.0,69.4,67.6,78.9,72.5,81.5,94.2,50.3,105.4
1060.,8.668E-03,8.823E-03,0.728,0.717,0.04,3.616E-02,0.0,1.961E-01,1.960E-01,-161.6,53.3,33.3,59.0,63.4,79.1,70.6,77.8,93.0,54.0,54.1,66.2,63.5,76.2,67.6,75.2,86.1,49.2,97.5
1070.,8.013E-03,8.168E-03,0.720,0.724,0.06,3.505E-02,0.0,1.970E-01,1.966E-01,-146.7,51.4,33.1,57.3,60.4,75.6,66.1,72.9,85.4,51.7,51.0,64.9,60.1,71.7,63.7,70.7,79.1,47.9,90.2
1080.,7.661E-03,7.444E-03,0.712,0.720,0.11,3.320E-02,0.0,1.979E-01,1.980E-01,-126.6,49.3,32.2,54.8,57.3,71.2,61.9,69.0,79.7,49.9,48.9,61.1,55.9,67.1,59.2,66.8,74.5,46.1,84.2
1090.,7.027E-03,7.111E-03,0.707,0.724,0.06,3.278E-02,0.0,1.986E-01,1.984E-01,-112.6,47.7,31.1,53.3,54.0,68.1,58.5,64.3,75.2,47.6,46.9,58.2,53.9,63.8,55.8,63.0,69.9,44.4,79.7
1100.,6.847E-03,6.449E-03,0.702,0.726,0.10,3.139E-02,0.0,1.992E-01,1.993E-01,-107.9,46.1,30.7,51.6,51.5,66.9,55.5,62.4,71.2,46.0,45.0,56.5,51.3,62.1,52.8,60.3,66.0,43.1,75.8
1110.,6.610E-03,6.192E-03,0.701,0.728,0.10,3.119E-02,0.0,1.991E-01,2.001E-01,-96.7,44.7,29.9,50.4,49.7,64.5,53.5,59.5,67.7,44.5,43.9,55.6,49.1,60.7,50.9,56.5,62.3,42.5,72.6
1120.,6.381E-03,6.245E-03,0.698,0.726,0.07,3.003E-02,0.0,1.997E-01,1.999E-01,-88.5,43.0,30.4,48.9,47.5,62.2,50.6,56.9,64.4,43.4,43.3,53.3,47.9,59.0,49.4,54.5,59.9,41.1,68.9
1130.,6.029E-03,5.827E-03,0.696,0.727,0.02,2.944E-02,0.0,2.001E-01,2.002E-01,-82.6,41.7,28.7,46.8,45.5,60.4,49.5,54.5,62.2,41.8,41.2,51.2,46.4,57.9,48.1,52.8,58.9,40.1,66.6
1140.,5.599E-03,5.248E-03,0.690,0.726,0.12,2.884E-02,0.0,2.006E-01,2.014E-01,-76.7,40.4,27.8,45.6,43.8,57.2,47.8,53.8,60.1,40.4,40.2,49.3,44.7,55.2,46.1,50.0,56.3,38.0,64.4
1150.,5.007E-03,5.009E-03,0.689,0.728,0.13,2.839E-02,0.0,2.016E-01,2.017E-01,-70.2,39.7,28.0,43.5,42.8,55.4,45.9,52.2,59.0,39.7,39.3,48.1,42.7,53.5,44.1,48.1,54.1,37.9,62.2
1160.,4.828E-03,4.592E-03,0.686,0.729,0.06,2.785E-02,0.0,2.021E-01,2.020E-01,-67.9,38.8,27.1,43.5,42.3,54.5,45.1,50.3,56.7,38.9,38.4,46.3,41.1,51.7,43.3,46.3,52.5,36.6,60.6
1170.,4.502E-03,4.243E-03,0.687,0.727,0.09,2.703E-02,0.0,2.023E-01,2.029E-01,-61.9,37.5,27.7,41.8,41.0,53.0,44.1,47.8,54.1,37.5,37.4,44.2,40.6,49.0,41.8,45.1,50.3,36.4,59.4
1180.,3.924E-03,4.037E-03,0.688,0.724,0.05,2.667E-02,0.0,2.033E-01,2.032E-01,-58.4,37.8,27.2,41.5,40.0,51.4,42.4,45.9,52.0,37.4,36.8,43.1,39.2,45.5,40.4,43.8,49.2,35.7,56.8
1190.,3.712E-03,3.913E-03,0.684,0.729,0.10,2.588E-02,0.0,2.038E-01,2.033E-01,-53.9,36.6,27.9,39.8,38.9,51.5,41.2,44.4,51.4,36.0,36.5,43.5,38.0,44.7,39.1,43.0,47.7,35.6,56.4
1200.,3.570E-03,3.610E-03,0.679,0.727,0.12,2.570E-02,0.0,2.040E-01,2.039E-01,-47.5,35.9,27.0,39.9,38.8,50.3,40.6,43.3,50.1,36.3,35.5,43.4,36.8,44.6,38.1,41.3,47.0,34.5,54.9
1210.,3.351E-03,3.327E-03,0.679,0.726,0.05,2.477E-02,0.0,2.042E-01,2.042E-01,-48.7,35.8,26.7,38.5,37.6,47.7,39.2,43.0,49.0,35.9,35.0,42.2,36.6,43.1,36.5,40.7,45.4,34.5,52.3
1220.,3.217E-03,3.244E-03,0.679,0.725,0.06,2.472E-02,0.0,2.046E-01,2.044E-01,-50.3,33.7,26.4,38.4,36.8,45.8,38.8,41.8,47.9,35.0,35.2,42.2,35.8,44.1,37.3,40.9,44.6,33.2,50.7
1230.,3.041E-03,3.204E-03,0.677,0.725,0.01,2.336E-02,0.0,2.047E-01,2.045E-01,-44.1,33.6,25.3,36.7,35.4,45.8,37.8,41.4,47.4,34.2,34.6,41.6,35.7,43.6,37.1,39.8,43.7,33.3,50.4
1240.,2.940E-03,3.083E-03,0.683,0.726,0.10,2.246E-02,0.0,2.050E-01,2.045E-01,-43.9,34.0,25.6,36.6,36.1,46.0,37.7,41.3,46.1,33.9,32.7,41.5,35.4,43.3,36.8,39.1,42.7,33.0,49.9
1250.,2.800E-03,2.893E-03,0.681,0.728,0.09,2.233E-02,0.0,2.052E-01,2.050E-01,-44.7,32.9,25.4,36.3,35.2,45.3,36.7,40.5,44.8,34.1,33.6,41.1,34.0,43.1,36.4,39.8,42.0,32.7,48.9
