Time,202-T-A2,202-T-B2,202-T-C2,202-T-D2,202-T-E2,202-T-F2,202-T-G2,301-T-A2,301-T-B2,301-T-C2,301-T-D2,301-T-E2,301-T-F2,301-T-G2,301-T-G2,302-T-A2,302-T-B2,302-T-C2,302-T-D2,302-T-E2,302-T-F2,302-T-G2,302-T-G2,303-T-A2,303-T-B2,303-T-C2,303-T-D2,303-T-E2,303-T-F2,303-T-G2,303-T-G2,304-T-A2,304-T-B2,304-T-C2,304-T-D2,304-T-E2,304-T-F2,304-T-G2,304-T-G2,205-T-A2,205-T-B2,205-T-C2,205-T-D2,205-T-E2,205-T-F2,205-T-G2,205-T-G2,305-T-A2,305-T-B2,305-T-C2,305-T-D2,305-T-E2,305-T-F2,305-T-G2,305-T-G2,306-T-A2,306-T-B2,306-T-C2,306-T-D2,306-T-E2,306-T-F2,306-T-G2,306-T-G2,307-T-A2,307-T-B2,307-T-C2,307-T-D2,307-T-E2,307-T-F2,307-T-G2,307-T-G2,207-T-A2,207-T-B2,207-T-C2,207-T-D2,207-T-E2,207-T-F2,207-T-G2,207-T-G2,208-T-A2,208-T-B2,208-T-C2,208-T-D2,208-T-E2,208-T-F2,208-T-G2,208-T-G2,209-T-A2,209-T-B2,209-T-C2,209-T-D2,209-T-E2,209-T-F2,209-T-G2,209-T-G2,211-T-A2,211-T-B2,211-T-C2,211-T-D2,211-T-E2,211-T-F2,211-T-G2,211-T-G2,213-T-A2,213-T-B2,213-T-C2,213-T-D2,213-T-E2,213-T-F2,213-T-G2,213-T-G2,214-T-A2,214-T-B2,214-T-C2,214-T-D2,214-T-E2,214-T-F2,214-T-G2
269,1,1,2,1,1,1,1,2,2,2,2,3,2,3,4,3,2,3,3,3,3,5,18,4,4,4,4,6,9,76,101,10,12,14,14,12,69,121,138,40,104,199,121,112,149,152,147,14,19,27,46,77,86,97,122,8,8,18,31,56,87,100,103,7,8,15,30,54,77,62,91,7,7,10,27,44,68,74,79,7,8,13,18,34,52,59,61,8,11,16,17,31,40,46,49,8,12,13,18,25,32,37,38,8,11,14,21,24,26,27,28,11,17,21,21,23,16,20
300,1,1,2,1,1,1,1,2,2,2,2,3,2,3,4,3,2,3,3,3,3,5,20,4,4,4,4,6,9,72,100,10,12,14,16,12,66,121,140,42,112,200,120,113,152,156,149,14,19,28,48,79,87,101,123,8,8,19,33,59,87,99,103,7,8,17,32,57,79,64,90,7,8,11,27,46,69,76,80,8,9,13,19,36,53,61,62,9,11,16,18,32,40,47,49,8,12,13,18,27,33,38,38,12,14,17,21,24,27,29,28,16,20,22,23,24,23,21
330,1,1,2,1,1,1,1,2,2,2,2,3,2,3,4,3,2,3,3,3,5,16,33,4,4,4,4,7,38,91,114,12,14,17,18,19,91,132,147,39,109,188,129,125,156,161,155,14,16,23,42,79,89,104,131,8,9,17,30,63,95,106,109,9,8,13,36,61,83,67,93,7,8,13,34,50,71,78,81,8,9,16,23,38,53,61,62,9,11,16,21,33,40,47,49,16,18,19,21,24,27,31,36,18,19,20,22,23,24,25,26,18,20,23,24,24,24,23
360,1,1,2,1,1,1,1,2,2,2,2,3,6,28,48,4,4,4,4,6,37,72,87,5,6,6,11,46,91,123,133,18,20,25,30,68,115,137,153,33,92,142,114,117,150,160,156,13,13,18,25,51,88,106,133,9,9,15,22,46,84,103,108,9,10,12,27,58,79,66,94,9,10,12,29,53,71,79,84,9,11,14,30,42,55,61,62,11,11,16,22,35,41,45,48,22,22,22,22,22,24,24,28,18,19,22,21,21,22,21,23,12,13,15,17,20,22,23
390,1,1,2,1,1,3,3,2,2,2,4,9,32,68,82,4,4,6,16,43,78,100,107,5,10,20,41,84,109,124,133,25,28,38,60,96,124,146,162,26,66,101,91,99,148,163,159,13,13,16,21,29,91,116,146,11,11,15,22,31,66,109,117,11,11,12,19,40,70,64,92,10,11,13,21,39,59,73,76,11,12,16,26,41,51,57,59,13,15,19,22,31,37,43,46,19,19,20,20,20,20,21,21,18,18,18,19,18,19,19,21,6,5,6,6,8,12,13
420,1,1,2,3,6,12,8,2,3,4,23,32,66,85,92,6,6,16,39,77,96,105,107,18,24,42,67,91,108,126,133,29,33,52,94,134,146,164,172,20,46,71,71,83,139,161,158,13,13,16,21,29,75,113,145,12,12,15,22,28,45,100,113,12,13,14,21,31,60,63,89,12,13,13,21,39,48,66,71,12,14,18,22,32,44,49,52,16,19,23,22,27,32,37,40,17,18,18,18,18,18,19,18,14,13,14,15,16,16,16,17,6,5,6,2,8,3,3
450,3,3,4,7,27,32,24,5,4,14,48,56,76,91,96,8,16,32,55,86,101,107,112,30,36,53,78,97,112,123,131,31,37,61,112,149,153,169,167,18,36,53,57,71,124,156,156,13,13,16,21,29,61,97,139,12,13,17,22,28,38,83,104,13,13,17,21,29,48,56,80,13,15,15,22,28,41,59,63,14,18,21,24,27,34,41,43,16,19,21,21,25,28,32,33,16,16,17,16,16,16,17,17,9,9,9,9,11,13,12,14,3,5,6,2,8,3,3
480,4,4,8,24,48,49,36,9,13,30,62,69,81,91,96,17,28,42,63,89,102,107,110,34,40,54,81,98,112,124,129,33,39,64,112,147,149,164,163,17,29,43,48,61,104,150,152,14,15,18,23,29,55,81,133,13,15,19,23,28,34,67,94,15,15,19,23,29,38,47,70,15,17,17,24,28,34,50,54,14,18,21,23,26,29,33,35,16,17,18,19,22,24,27,28,13,13,13,13,14,13,14,15,7,7,9,7,7,9,8,12,3,5,6,2,8,3,3
510,7,8,19,41,56,55,42,16,26,42,69,74,84,93,96,28,37,49,67,93,105,109,112,37,43,56,84,105,117,126,130,35,41,68,121,153,152,164,161,17,26,37,42,54,88,141,147,16,17,20,25,31,51,72,124,15,17,21,23,28,34,55,83,15,17,19,23,29,34,41,60,15,17,17,23,27,31,44,43,14,17,19,21,24,27,30,31,15,15,16,17,17,18,22,23,11,11,11,11,11,11,11,12,7,7,6,7,7,9,8,9,3,5,3,2,8,3,3
541,12,17,31,49,61,59,46,23,34,48,73,77,87,94,96,33,41,54,73,98,108,111,112,39,45,58,88,106,117,126,129,35,42,68,124,159,154,166,164,17,24,32,37,49,76,132,144,16,17,20,25,29,48,69,119,16,17,21,23,28,34,49,77,15,17,19,22,27,32,34,49,15,17,17,21,24,28,39,36,14,16,17,18,20,24,28,28,13,13,13,14,13,14,16,18,11,9,8,11,9,9,11,10,7,7,6,7,7,7,7,8,3,3,3,2,8,3,3
570,21,28,38,54,64,61,48,28,39,51,76,79,89,96,98,33,42,54,73,98,106,109,110,38,44,58,84,103,116,124,128,35,41,64,122,154,151,165,157,17,22,29,34,45,67,125,141,16,17,18,23,28,46,66,114,16,17,19,22,27,32,46,70,15,16,17,20,26,30,32,42,15,16,16,18,21,24,34,31,14,14,15,16,17,21,26,26,12,12,11,12,12,11,11,14,8,8,8,8,9,8,9,10,6,5,6,7,7,7,7,8,3,3,3,2,8,3,3
599,26,33,43,57,66,63,51,31,42,52,76,79,89,94,97,33,42,54,76,98,104,109,110,38,43,56,83,103,117,124,126,35,41,71,128,153,149,161,154,17,21,26,31,41,61,119,138,16,17,17,21,26,43,63,109,16,16,18,20,24,30,44,68,15,16,17,18,23,28,30,38,14,14,14,16,18,22,31,28,12,13,13,13,14,18,23,24,11,11,11,11,10,9,9,11,8,8,8,8,8,8,9,8,6,5,6,5,6,7,7,7,3,3,3,2,8,3,3
628,29,36,45,58,66,64,53,32,42,54,76,79,89,94,97,33,42,53,76,98,104,107,108,36,43,56,81,102,114,121,124,35,39,66,123,151,149,159,152,15,19,24,29,38,56,113,134,16,15,16,18,24,39,61,103,15,15,16,17,22,28,42,64,13,14,14,16,21,25,29,33,13,13,14,14,16,19,28,26,11,11,11,12,12,16,21,22,11,11,10,11,10,9,9,9,8,8,7,7,8,8,9,8,6,5,6,5,6,6,7,7,3,3,3,2,8,3,3
660,29,36,47,59,66,66,54,32,42,52,76,79,89,93,95,33,42,53,74,96,103,107,107,34,41,53,81,102,112,119,123,34,38,69,116,141,144,158,156,15,19,23,27,36,51,109,134,14,13,14,17,22,37,59,101,13,13,14,15,19,26,39,62,13,13,12,14,18,22,27,28,12,12,13,12,13,17,25,23,11,11,11,11,12,13,18,19,9,9,10,11,10,9,9,9,7,8,7,7,8,8,7,8,6,5,6,5,6,6,7,7,3,3,3,2,8,3,3
691,31,38,47,59,66,63,54,32,41,51,74,78,88,93,95,33,42,53,72,94,100,103,105,33,38,48,78,101,110,118,119,34,37,66,116,144,139,152,151,14,19,23,27,34,48,106,132,13,13,13,15,20,35,57,98,12,12,12,13,17,23,36,59,12,13,12,12,16,19,26,24,12,10,12,12,12,15,23,21,9,10,10,11,10,12,16,17,9,9,10,9,9,8,8,9,7,7,7,7,8,7,7,8,6,5,6,5,6,6,7,7,3,3,3,2,8,3,3
720,31,38,48,59,66,64,54,31,41,49,73,76,86,92,93,33,41,52,72,93,101,102,104,33,37,49,79,99,109,116,119,34,37,64,113,137,139,151,153,14,19,23,27,33,47,106,132,13,12,13,13,18,33,57,98,12,12,12,12,14,22,36,54,12,11,11,12,14,17,24,20,10,10,12,10,12,14,21,19,9,10,10,11,10,11,13,15,9,9,8,9,9,8,8,8,7,7,7,7,8,7,7,8,6,5,6,5,6,6,5,5,3,3,3,2,8,3,3
750,31,38,47,58,64,65,54,31,39,49,73,76,86,90,93,31,41,50,71,91,98,102,104,32,35,49,77,99,109,115,118,33,35,65,110,138,138,151,152,12,19,25,27,33,45,103,129,13,12,13,13,16,32,55,102,11,11,11,12,13,21,36,54,11,11,11,11,13,14,22,18,10,10,12,10,11,12,18,17,9,10,10,9,10,11,12,13,9,9,8,9,9,8,8,8,7,7,7,7,8,7,7,8,6,5,6,5,6,6,5,5,3,3,3,2,8,3,3
781,31,38,47,58,64,63,54,31,38,47,71,76,86,90,91,31,39,50,71,92,100,102,104,29,35,48,77,99,109,114,118,33,33,63,110,136,138,152,150,12,21,27,29,33,45,102,128,11,12,12,13,16,30,53,94,11,11,11,11,13,19,33,48,11,11,11,11,12,13,20,16,10,9,10,10,11,12,17,15,9,10,10,9,9,9,12,13,9,9,8,9,9,8,8,8,7,7,7,7,8,7,7,8,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
811,31,38,47,58,64,63,54,31,38,46,69,76,86,90,93,30,37,48,70,91,98,101,102,29,34,46,77,96,106,112,117,33,33,60,107,128,133,148,148,12,22,29,32,35,45,100,128,11,12,12,12,15,29,53,93,11,11,11,11,12,17,30,43,11,10,9,11,12,12,20,14,10,9,10,10,11,11,16,14,9,8,8,9,9,9,11,12,8,9,8,9,9,8,8,8,7,7,7,7,8,7,7,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
840,29,38,47,58,64,64,56,31,37,46,69,76,86,90,91,30,37,48,67,88,96,99,100,29,32,44,77,94,103,112,112,33,32,63,105,127,131,147,146,12,22,31,34,36,45,100,127,11,11,12,12,15,27,51,91,11,11,9,11,12,14,26,42,11,10,9,11,10,12,19,12,10,9,10,9,9,11,14,12,9,8,8,9,9,9,11,12,8,8,8,9,9,8,8,8,7,7,7,7,8,7,7,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
870,29,37,47,58,64,64,56,29,35,46,68,74,84,88,89,28,36,47,67,88,96,98,99,27,31,44,76,94,104,111,113,33,32,62,98,125,131,149,150,12,24,33,37,38,46,102,128,11,11,12,12,15,26,51,92,11,9,9,11,12,14,26,39,11,10,9,9,10,12,17,12,10,9,10,9,9,11,14,12,8,8,8,9,9,9,11,12,8,8,8,9,9,8,8,8,7,7,7,7,6,7,7,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
901,29,37,45,56,63,62,56,29,35,43,68,73,84,88,89,28,36,46,67,88,96,98,99,27,31,43,76,96,103,111,115,33,32,59,96,122,132,154,161,12,26,36,39,42,48,106,131,11,11,12,12,15,26,53,107,9,9,9,9,12,13,28,50,11,10,9,9,10,10,17,11,10,9,10,9,9,9,13,11,8,8,8,9,9,9,11,12,8,8,8,9,9,8,8,8,7,7,7,7,6,7,7,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
931,29,37,45,56,63,62,56,29,33,43,68,73,84,88,89,28,34,46,66,87,97,101,101,27,31,44,77,94,103,112,117,31,32,59,98,126,137,155,157,12,26,37,41,45,52,111,135,11,11,12,12,15,26,54,116,9,9,9,9,11,13,31,64,9,10,9,9,10,10,17,11,9,9,9,9,9,9,13,11,8,8,8,9,9,9,11,12,8,8,8,8,9,8,8,8,7,7,7,7,6,7,7,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
961,29,36,45,55,62,61,56,29,33,42,68,73,84,88,89,28,34,46,66,89,97,101,101,27,31,44,76,94,104,112,117,33,32,63,100,126,136,154,157,12,27,37,42,48,54,114,138,11,11,12,12,15,26,56,119,9,9,9,9,11,14,34,72,9,10,9,9,10,10,17,11,9,9,9,9,9,9,13,11,8,8,8,9,9,9,11,12,8,8,8,8,9,8,8,8,7,7,7,7,6,7,7,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
990,29,36,45,55,62,61,54,28,33,44,69,73,84,88,89,27,34,46,67,89,97,101,101,27,31,46,76,95,104,113,117,31,32,61,96,124,137,158,160,12,27,38,44,50,57,119,141,11,11,12,12,15,26,56,124,9,9,9,9,11,16,34,78,9,10,9,9,10,10,17,11,9,9,9,9,9,9,11,11,8,8,8,9,9,9,11,12,8,8,8,8,9,8,8,8,7,7,7,7,6,7,7,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
1019,29,36,45,55,62,61,54,28,33,44,69,73,84,88,89,28,36,47,67,89,99,103,103,27,31,43,74,97,107,114,117,33,32,63,100,123,139,161,161,12,27,38,46,52,59,123,143,11,11,12,12,15,26,58,127,9,9,9,9,11,16,37,83,9,10,9,9,10,10,17,11,9,9,9,9,9,9,11,11,8,8,8,9,9,9,11,12,8,8,8,8,9,8,8,8,7,7,7,7,6,7,7,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
1050,29,36,45,55,62,61,54,28,33,44,69,73,84,88,91,28,36,45,65,89,97,101,102,27,31,43,73,94,104,113,115,34,32,63,99,126,137,157,157,12,27,38,46,53,59,126,145,11,11,12,12,15,26,58,129,9,9,9,9,11,16,38,83,9,10,9,9,10,10,16,11,9,9,9,9,9,9,11,11,8,8,8,9,9,9,11,12,8,8,8,8,9,8,8,8,7,7,7,7,6,7,7,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
1081,29,36,45,56,62,62,56,28,33,44,69,73,84,88,91,28,36,45,67,88,97,101,102,27,32,46,75,93,104,113,118,33,33,63,101,127,137,154,155,11,27,38,46,53,61,126,146,11,11,12,12,15,26,57,125,9,9,9,9,11,16,38,82,9,10,9,9,10,10,16,13,9,9,9,9,9,9,11,11,8,8,8,9,9,9,11,12,8,8,8,8,9,8,8,8,7,7,7,7,6,7,7,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
1111,29,36,45,57,63,63,56,28,33,42,69,73,84,88,91,28,36,45,67,88,97,101,101,27,31,44,76,94,105,112,116,33,33,66,101,122,138,153,154,11,27,38,46,53,61,127,146,11,11,12,12,15,26,57,124,9,9,9,9,11,16,38,80,9,10,9,9,10,10,16,12,9,9,9,9,9,9,11,11,8,8,8,9,9,9,11,12,8,8,8,8,9,8,6,8,7,7,7,7,6,7,7,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
1141,29,36,45,57,63,63,56,28,33,44,69,75,84,88,90,28,36,45,67,88,98,101,103,27,32,45,75,92,103,112,118,33,33,64,98,128,140,156,156,11,27,38,46,53,61,128,148,11,11,12,12,15,26,57,127,9,9,9,9,11,16,37,83,9,10,9,9,10,10,16,14,9,9,9,9,9,9,11,11,8,8,8,9,9,9,11,12,8,8,8,8,9,8,6,8,7,7,7,7,6,7,7,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
1171,29,36,45,57,63,61,56,28,33,44,69,75,84,88,90,28,36,47,67,88,97,101,103,27,32,46,77,96,106,113,117,33,33,62,98,122,137,155,158,11,27,38,46,53,62,128,149,11,11,12,12,15,26,61,127,9,9,9,9,11,16,38,81,9,10,9,9,10,10,16,16,9,9,9,9,9,9,11,11,8,8,8,9,9,9,9,12,8,8,8,8,7,7,6,8,7,7,7,7,6,7,7,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
1201,29,36,45,57,63,63,56,28,33,44,69,75,84,88,90,28,36,47,66,88,98,101,102,27,32,45,77,97,107,113,117,34,33,64,104,130,139,156,158,11,27,40,46,55,62,131,149,11,11,12,12,15,26,60,131,9,9,9,9,11,16,38,85,9,8,9,9,10,10,16,24,9,9,9,9,9,9,11,11,8,8,8,9,9,9,9,10,8,8,8,8,7,7,6,8,7,7,7,7,6,7,7,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
1231,29,36,45,57,63,63,56,28,33,44,69,75,84,88,91,28,37,47,67,91,98,103,104,27,31,44,75,96,108,114,118,34,33,64,101,125,134,155,160,11,27,40,46,55,62,133,151,11,11,12,12,15,26,60,131,9,9,9,9,11,16,40,86,9,8,8,9,10,10,18,33,9,9,9,9,9,9,11,11,8,8,8,9,9,9,9,10,8,8,8,8,7,7,6,8,7,7,7,7,6,7,7,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
1261,29,36,45,57,63,63,56,28,33,44,69,75,84,88,91,28,37,47,68,89,98,102,103,27,33,46,75,97,107,114,117,34,33,64,101,127,136,154,161,11,27,40,46,55,64,134,152,11,11,12,12,15,26,61,131,9,9,9,9,11,16,40,86,9,8,8,9,10,10,18,38,9,9,9,9,9,9,11,11,8,8,8,9,9,9,9,10,8,8,8,8,7,7,6,8,7,7,7,7,6,7,7,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
1291,29,36,45,57,63,63,57,28,35,44,69,75,84,88,91,28,37,47,67,89,97,102,102,29,33,43,74,97,108,114,119,34,33,66,102,131,137,154,159,11,27,40,46,55,64,134,152,11,11,12,12,15,26,60,129,9,9,9,9,11,16,40,84,9,8,8,9,10,10,18,38,9,9,9,9,9,9,11,11,8,8,8,9,9,9,9,10,8,8,8,8,7,7,6,8,7,7,7,7,6,7,7,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
1321,29,36,45,57,63,64,57,28,35,44,69,75,84,88,91,30,37,47,67,91,99,103,104,29,33,45,77,97,107,111,117,33,33,67,102,126,136,155,158,11,27,40,46,55,64,131,152,11,11,12,12,15,26,60,131,9,9,9,9,11,16,40,84,9,8,8,9,10,10,18,37,9,9,9,9,9,9,10,11,8,8,8,9,9,9,9,10,8,8,8,8,7,7,6,8,7,7,7,7,6,7,7,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
1351,29,36,45,58,64,63,57,28,35,44,69,75,84,90,91,30,37,47,68,90,97,101,103,29,32,45,77,98,107,114,118,33,33,65,101,124,138,158,161,11,27,40,46,55,64,133,153,11,11,12,12,15,26,61,133,9,9,9,9,11,16,40,83,9,8,8,9,10,10,18,39,9,9,9,9,9,9,10,11,8,8,8,9,9,9,9,10,8,8,8,8,7,7,6,8,7,7,7,7,6,7,7,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
1381,29,36,45,58,64,65,57,28,35,44,69,75,85,90,91,30,37,47,68,88,97,101,102,29,32,46,77,96,106,113,118,34,34,64,99,127,137,157,161,11,27,40,46,55,64,135,153,11,11,12,12,15,26,59,133,9,9,9,9,11,16,40,82,9,8,8,9,10,10,18,39,9,9,9,9,9,9,10,11,8,8,8,9,9,9,9,10,8,8,8,8,7,7,6,8,7,7,7,7,6,7,7,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
1411,29,36,45,58,64,63,57,28,35,44,69,75,85,90,91,28,37,47,68,89,98,102,103,27,32,46,78,97,108,116,121,34,34,63,98,129,134,157,162,11,28,40,46,55,64,135,153,11,11,12,12,15,26,60,133,9,9,9,9,11,16,40,86,9,8,8,9,10,10,18,39,9,9,9,9,9,9,10,11,8,8,8,9,9,9,9,10,8,8,8,8,7,7,6,8,7,7,7,7,6,7,7,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
1441,29,37,47,58,64,63,57,28,35,44,69,75,85,90,91,28,37,47,68,91,98,102,104,28,32,44,76,96,106,114,118,34,34,64,103,129,137,153,156,11,28,40,46,55,64,135,153,11,11,12,12,15,26,60,134,9,9,9,9,11,16,40,87,9,8,8,9,10,10,18,39,9,9,9,9,9,9,10,11,8,8,8,8,9,9,9,10,8,8,8,8,7,7,6,8,7,7,6,7,6,7,7,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
