Temperature, thermocouple, radiation corrected

Lat. Pos.      H=3            H=5         H=7       H=9         H=11       H=13       H=15       H=17       H=19
-0.40            387.3       428.9       493.0       560.0       652.5       730.0       776.3       799.3       847.5
-0.20            382.0       420.5       478.6       552.3       644.4       715.5       757.2       794.0       821.8
-0.00            378.5       411.7       473.4       547.2       646.0       690.9       760.6       799.2       832.1
 0.20            378.2       408.5       465.3       553.2       638.0       697.5       747.7       795.6       845.0
 0.40            376.6       412.5       464.8       576.6       653.7       718.3       762.0       809.5       843.9
 0.60            376.5       420.5       481.7       612.4       661.8       738.2       781.2       835.7       850.5
 0.80            379.7       432.6       521.0       637.5       674.3       762.3       789.5       857.5       843.3
 1.00            381.7       453.6       580.6       684.9       701.1       792.4       808.2       834.0       887.2
 1.20            398.2       504.2       625.1       731.2       727.7       829.2       855.2       875.6       934.3
 1.40            408.1       537.0       655.1       759.9       791.2       858.9       912.4       973.5       938.5
 1.60            433.7       562.7       687.9       772.3       805.9       876.2       963.1      1039.0       940.4
 1.80            492.4       603.8       771.4       822.8       829.2       932.0       997.1      1003.2       972.8
 2.00            521.5       657.2       847.2       958.0       932.3      1001.6      1019.5       985.0      1039.0
 2.20            587.5       706.2       912.0      1011.6       963.4      1044.8      1017.3      1095.4      1089.6
 2.40            662.4       782.7       969.5      1007.3       995.1      1065.2      1046.9      1129.0      1065.9
 2.60            727.4       866.9      1022.7      1077.5      1060.4      1087.5      1110.6      1086.7      1079.1
 2.80            776.3       911.7      1087.1      1148.9      1134.9      1146.3      1171.0      1124.7      1178.6
 3.00            827.0       976.7      1116.9      1197.1      1158.4      1201.5      1247.6      1197.9      1212.1
 3.20            909.7      1046.9      1160.6      1246.8      1234.9      1239.3      1275.6      1215.5      1176.7
 3.40            1019.9      1119.1      1233.2      1299.3      1260.0      1281.1      1311.9      1240.4      1240.6
 3.60            1128.6      1189.0      1296.1      1309.7      1289.7      1402.6      1372.4      1305.5      1301.0
 3.80            1173.9      1234.8      1341.1      1381.9      1350.5      1410.6      1383.7      1367.4      1329.2
 4.00            1253.8      1387.8      1465.4      1420.1      1383.3      1402.9      1368.0      1416.2      1335.8
 4.20            1346.0      1424.4      1568.4      1447.7      1431.5      1422.3      1422.4      1431.8      1347.5
 4.40            1435.8      1438.3      1572.9      1499.9      1496.5      1472.5      1498.7      1437.8      1422.0
 4.60            1517.2      1529.6      1578.5      1557.3      1525.9      1518.1      1534.5      1460.4      1470.6
 4.80            1590.3      1586.8      1618.8      1605.3      1503.0      1564.9      1549.6      1499.7      1472.0
 5.00            1666.0      1678.2      1679.6      1656.2      1607.3      1610.8      1596.7      1567.1      1463.2
 5.20            1732.1      1729.1      1735.7      1711.3      1650.7      1652.3      1610.0      1620.7      1490.0
 5.40            1817.9      1760.6      1767.6      1768.0      1676.6      1688.1      1634.3      1645.5      1576.0
 5.60            1957.3      1831.7      1834.3      1878.7      1714.6      1754.7      1765.6      1643.1      1640.8
 5.80            2012.9      1951.8      1930.9      1916.1      1770.5      1801.1      1827.2      1771.2      1678.2
 6.00            1976.8      2023.8      2027.4      1974.3      1823.9      1850.2      1908.2      1777.0      1711.4
 6.20            1913.6      2050.6      2079.1      2060.5      1954.7      1927.6      1927.6      1841.2      1782.4
 6.40            1828.4      2040.5      2018.8      2076.2      2051.2      2073.4      1908.6      1990.8      1785.1
 6.60            1665.8      1994.3      1976.5      2101.2      2073.5      2076.4      2030.6      2015.1      1912.2
 6.80            1442.9      1898.8      1988.9      2027.2      2086.1      2071.2      2067.5      2048.6      2018.8
 7.00            1242.1      1715.0      1886.4      1920.2      2063.5      2074.2      2080.0      2063.9      2027.7
 7.20            1102.0      1542.8      1631.7      1833.2      1947.7      2042.1      2038.3      2067.4      2065.5
 7.40            1005.0      1435.3      1520.0      1730.7      1832.2      1858.2      1936.2      2053.5      2058.0
 7.60            838.4      1325.2      1401.8      1587.8      1776.5      1603.9      1901.4      1955.2      2050.0
 7.80            720.4      1129.8      1318.2      1472.0      1688.4      1587.1      1776.0      1804.6      2008.0
 8.00            550.2       965.8      1215.0      1349.4      1586.6      1631.8      1787.1      1660.4      1912.0
 8.20            460.1       856.4      1037.3      1176.8      1419.0      1484.5      1781.1      1609.4      1949.7
 8.40            404.1       621.0       950.1      1094.9      1274.3      1378.9      1511.7      1703.7      1841.6
 8.60            369.4       512.6       816.7       970.1      1255.1      1193.3      1221.3      1568.9      1749.9
 8.80            349.0       489.1       691.1       857.2      1044.6      1073.7      1261.4      1419.0      1703.6
 9.00            339.9       448.1       612.0       800.7       960.1      1028.0      1089.4      1286.7      1640.8
 9.20            335.8       390.1       596.6       674.2       745.4       955.7       949.7      1175.7      1239.7
 9.40            331.3       362.0       534.7       615.8       579.0       889.3       900.8      1101.5      1000.9
 9.60            331.0       350.7       450.8       542.6       589.6       734.2       746.6       934.0       925.0
 9.80            330.2       341.5       387.6       529.5       569.3       627.2       720.9       940.5       862.6
10.00            329.0       335.6       366.3       453.7       482.4       565.9       665.5       642.7       671.4
