x (m),T,CH4,O2,CO2,CO,Ar,C2H2,H2,H2O,N2
0.0046,1286.25,0.1217,0.003166,0.06388,0.02591,1.12E-02,4.18E-03,3.00E-02,1.54E-01,0.58579
0.0048,1336.15,0.09982,0.002359,0.06638,0.02553,1.11E-02,4.12E-03,3.01E-02,1.59E-01,0.60112
0.005,1388.05,0.0793,0.002026,0.06956,0.02678,1.11E-02,3.79E-03,2.99E-02,1.61E-01,0.61656
0.0052,1434.3,0.0627,0.00214,0.07247,0.02681,1.04E-02,3.24E-03,2.91E-02,1.62E-01,0.63066
0.0054,1486.7,0.04072,0.002265,0.07613,0.02667,1.01E-02,2.86E-03,2.84E-02,1.64E-01,0.64824
0.0056,1552.95,0.02736,0.002819,0.07765,0.02654,9.95E-03,2.03E-03,2.52E-02,1.67E-01,0.66102
0.0058,1617.3,0.01717,0.003644,0.08028,0.02148,9.30E-03,1.44E-03,2.20E-02,1.71E-01,0.67281
0.006,1727,0.006731,0.01087,0.07864,0.01721,8.40E-03,8.81E-04,1.70E-02,1.70E-01,0.68749
0.0062,1789.2,0.002167,0.02026,0.07641,0.01117,8.20E-03,6.99E-05,1.14E-02,1.67E-01,0.69945
0.0064,1777.7,0.0002942,0.03077,0.07263,0.005936,7.89E-03,0.00E+00,6.64E-03,1.63E-01,0.70844
0.0066,1758.4,0.00007808,0.04875,0.06561,0.003342,7.76E-03,-2.17E-06,3.66E-03,1.48E-01,0.71774
0.0068,1747.55,0.00003365,0.05939,0.05853,0.002808,7.87E-03,-4.93E-06,2.25E-03,1.44E-01,0.72094
0.007,1637.05,0.00002953,0.07485,0.04962,0.001497,7.61E-03,-3.78E-06,1.59E-03,1.35E-01,0.72581
0.0072,1409.85,0.0000749,0.09466,0.04111,0.0006585,7.59E-03,-1.15E-06,9.01E-04,1.19E-01,0.7336
0.0074,1277.65,0.00007922,0.1102,0.03323,0.0003626,7.48E-03,-8.90E-06,4.40E-04,1.07E-01,0.73898
0.0076,1164.6,0.0000632,0.123,0.02907,0.0004704,7.68E-03,-8.14E-07,3.22E-04,9.39E-02,0.7445
0.0078,1001.95,0.00006852,0.1315,0.0265,0.0003444,7.82E-03,-5.28E-06,2.12E-04,8.47E-02,0.74836
0.008,898.35,0.00002565,0.1471,0.0199,0.0003635,7.69E-03,-1.90E-06,1.47E-04,7.02E-02,0.75436
0.0082,792.8,0.0000482,0.1576,0.01486,0.0005316,7.24E-03,1.75E-06,1.36E-04,6.12E-02,0.75822
0.0084,710.9,0.00004444,0.1635,0.01327,0.0004872,7.47E-03,2.69E-06,1.31E-04,5.41E-02,0.76089
0.0086,561.9,0.00006878,0.1708,0.01108,0.0006078,7.81E-03,2.66E-06,8.09E-05,4.55E-02,0.76402
0.0088,476.35,0.00004947,0.1785,0.007325,0.0005419,7.98E-03,2.30E-06,1.06E-04,3.90E-02,0.76646
0.009,378.85,0.00001372,0.1846,0.005334,0.0003903,8.29E-03,3.47E-07,9.51E-05,3.23E-02,0.76897
0.0092,325.65,0.00003228,0.1891,0.003923,0.000608,8.26E-03,3.07E-06,9.10E-05,2.70E-02,0.77099
0.0094,260.4,0.00003472,0.1932,0.003079,0.0006298,8.56E-03,7.10E-06,6.40E-05,2.15E-02,0.77291
0.0096,177.65,0.00003436,0.1937,0.002161,0.000467,8.46E-03,5.02E-06,6.35E-05,2.24E-02,0.77272
0.0098,114.45,0.00001115,0.1956,0.001682,0.0007181,8.94E-03,3.84E-06,7.23E-05,1.96E-02,0.77332
0.01,93.15,0.0000163,0.197,0.001484,0.0005172,9.01E-03,1.18E-06,6.53E-05,1.78E-02,0.77407
