Horizontal velocity, LDV

                                 H=3                       H=5                     H=7                      H=9                       H=11                      H=13                    H=15                       H=17                     H=19
0.00000         4.63170E-0001    7.92860E-0001    4.82390E+0000    -2.86070E-0001    8.59770E-0001    -3.86850E+0000     1.76950E+0000     3.32790E+0000     4.47630E+0000
0.50800         1.64260E-0001    9.22900E-0001    -1.36020E+0000    8.45340E-0001    -2.85040E-0002    7.30530E-0001     3.12060E+0000    -1.99020E+0000     4.15610E+0000
1.01600         1.08380E-0001    4.94930E-0001    -2.04980E+0000    -3.32830E+0000    -2.87070E+0000    -2.69070E+0000    -2.87090E-0001     3.70490E+0000    -2.70600E+0000
1.52400        -9.30470E-0001    -4.55620E-0001    -1.76240E+0000    -2.48670E+0000    -1.47730E+0000    -2.94530E+0000    -1.53560E+0000    -7.15260E+0000    -7.08450E+0000
2.03200        -1.24980E+0000    -4.58230E+0000    -5.96580E+0000    -5.18130E+0000    -2.68390E+0000    -2.57060E+0000    -1.56960E+0000    -2.43420E+0000    -5.22150E+0000
2.54000        -4.91110E+0000    -2.78370E+0000    -4.09290E+0000    -2.87710E+0000    -1.70370E+0000    -3.66990E+0000    -1.05530E-0001    -3.50560E+0000    -4.59920E+0000
3.04800        -4.72870E+0000    -4.60060E+0000    -6.29920E+0000    -8.05990E+0000    -8.88330E+0000    -1.74230E+0000    -6.32310E+0000    -1.09570E+0001    -6.13520E+0000
3.55600        -1.05550E+0001    -7.06100E+0000    -1.05760E+0001    -1.36100E+0001    -1.18290E+0001    -8.33740E+0000    -6.01350E+0000    -7.85940E+0000    -5.89540E+0000
4.06400        -9.79040E+0000    -1.24810E+0001    -1.50800E+0001    -1.95950E+0001    -1.20290E+0001    -6.52650E+0000    -8.37590E+0000    -1.17290E+0001    -1.68730E+0001
4.57200        -1.55170E+0001    -1.39070E+0001    -1.41830E+0001    -1.71690E+0001    -1.25110E+0001    -9.63370E+0000    -1.09400E+0001    -1.89940E+0001    -1.53450E+0001
5.08000        -2.44860E+0001    -1.93360E+0001    -1.26700E+0001    -2.20830E+0001    -1.82950E+0001    -1.48050E+0001    -1.85950E+0001    -2.02360E+0001    -1.36760E+0001
5.58800        -2.49410E+0001    -1.47570E+0001    -1.76530E+0001    -1.67140E+0001    -1.19630E+0001    -2.09440E+0001    -1.74710E+0001    -1.71590E+0001    -1.66550E+0001
6.09600        -2.04770E+0001    -2.22910E+0001    -2.43090E+0001    -2.02500E+0001    -2.08760E+0001    -1.05420E+0001    -1.97030E+0001    -1.29670E+0001    -1.64730E+0001
6.60400        -1.26090E+0001    -1.69690E+0001    -2.02180E+0001    -1.85370E+0001    -1.94870E+0001    -1.77540E+0001    -1.85760E+0001    -1.88640E+0001    -1.68350E+0001
7.11200        -5.34570E+0000    -1.18280E+0001    -1.49440E+0001    -1.71190E+0001    -1.71120E+0001    -1.33760E+0001    -1.40830E+0001    -1.19960E+0001    -1.44340E+0001
7.62000         9.87450E-0001    -7.31390E+0000    -1.11620E+0001    -1.29010E+0001    -1.26300E+0001    -1.46760E+0001    -1.37620E+0001    -1.31420E+0001    -1.19280E+0001
8.12800         3.76880E+0000    -2.02000E+0000    -7.09470E+0000    -9.17420E+0000    -1.06340E+0001    -1.11620E+0001    -1.13270E+0001    -1.10670E+0001    -1.01080E+0001
8.63600         4.36700E+0000    1.32300E+0000    -3.33880E+0000    -6.09250E+0000    -7.41890E+0000    -8.03670E+0000    -8.50050E+0000    -8.49260E+0000    -8.95090E+0000
9.14400         5.88590E+0000    2.13330E+0000    -1.41810E+0000    -2.45030E+0000    -5.24320E+0000    -5.92290E+0000    -6.31370E+0000    -5.81570E+0000    -5.09200E+0000
9.65200         4.97530E+0000    1.89130E+0000    4.33480E-0001    -1.86110E+0000    -3.32750E+0000    -4.15330E+0000    -4.28770E+0000    -4.60790E+0000    -5.39060E+0000
10.16000          5.46440E+0000    5.64970E+0000    9.70230E-0001    -1.66680E+0000    -3.98660E+0000    -2.99940E+0000    -2.72280E+0000    -1.94710E+0000    -3.02650E+0000
10.66800          4.06000E+0000    1.50480E+0000    2.01270E+0000    1.31230E+0000    -2.12670E+0000    -2.83370E+0000    -1.83360E+0000    -3.13980E+0000    -3.05170E+0000
11.17600          3.81810E+0000    1.66860E+0000    2.35570E+0000    -1.62710E+0000    -8.56560E-0001    -9.51470E-0001    -2.25200E+0000    -1.98020E+0000    -2.53920E+0000
11.68400          3.04590E+0000    4.57600E+0000    1.30640E+0000    -5.15480E-0001    -2.61380E+0000    -3.53440E-0001    -6.00590E-0001    -3.37610E+0000    -2.39170E+0000
12.19200          3.00870E+0000    3.09130E+0000    5.35840E-0001    -2.15920E+0000    -2.01620E+0000    -8.55600E-0001    -2.33510E+0000    -3.71660E+0000    -2.95630E+0000
12.70000          2.26200E+0000    1.62760E+0000      8.38130E-0001    -3.07250E-0001    -1.95660E+0000      3.97030E-0001    -1.14990E+0000      -5.61320E-0001     -2.15580E+0000
