Vertical velocity, LDV

Lat. Pos.             H=3                        H=5                           H=7                         H=9                          H=11                      H=13                       H=15                        H=17                         H=19
 -4.06400            5.00010E+0001       6.12400E+0001       6.74200E+0001       7.30600E+0001       8.15300E+0001      8.42300E+0001       9.38530E+0001       9.91700E+0001       1.02500E+0002
 -3.55600            4.49080E+0001       5.73900E+0001       6.41300E+0001       7.15300E+0001       7.88000E+0001      8.62300E+0001       9.33660E+0001       9.87700E+0001       1.03000E+0002
 -3.04800            3.88910E+0001       5.33600E+0001       5.93000E+0001       7.01000E+0001       7.65300E+0001      8.20400E+0001       9.24340E+0001       9.86300E+0001       1.03600E+0002
 -2.54000            2.98690E+0001       4.71600E+0001       5.52300E+0001       5.94500E+0001       7.09800E+0001      7.74300E+0001       8.97830E+0001      9.28300E+0001       1.01300E+0002
 -2.03200            2.51130E+0001       4.11300E+0001       4.77300E+0001       5.71300E+0001       6.38700E+0001      7.56100E+0001       8.72730E+0001       9.14900E+0001       9.57000E+0001
 -1.52400            2.10320E+0001       3.49900E+0001       4.25400E+0001       5.23900E+0001       6.01500E+0001      6.71500E+0001       8.46180E+0001       9.25700E+0001       9.62100E+0001
 -1.01600            1.88220E+0001       2.91700E+0001       3.78300E+0001       4.16400E+0001       5.38300E+0001      6.30700E+0001       7.29890E+0001       8.40500E+0001       9.03000E+0001
 -0.50800            1.84670E+0001       2.43300E+0001       2.94900E+0001       3.80400E+0001       5.36100E+0001      5.78400E+0001       6.88150E+0001       7.57600E+0001       8.76000E+0001
  0.00000            1.88680E+0001       2.22000E+0001       2.91200E+0001       3.81800E+0001       4.78300E+0001      5.83900E+0001       6.79810E+0001       7.73100E+0001       8.15700E+0001
  0.50800            1.89160E+0001       2.20400E+0001       2.86700E+0001       3.93200E+0001       4.86000E+0001      5.90000E+0001       6.84350E+0001       7.56500E+0001       8.43300E+0001
  1.01600            1.87120E+0001       2.33000E+0001       3.33600E+0001       3.88300E+0001       4.90500E+0001      6.38400E+0001       6.65410E+0001       7.82400E+0001       8.42100E+0001
  1.52400            2.00970E+0001       2.73600E+0001       4.10700E+0001       4.83500E+0001       5.44300E+0001      6.41800E+0001       7.13960E+0001       7.95700E+0001       8.73800E+0001
  2.03200            2.19870E+0001       3.31900E+0001       4.75700E+0001       5.40700E+0001       6.15600E+0001      7.36000E+0001       7.30300E+0001       8.60100E+0001       9.14700E+0001
  2.54000            2.55720E+0001       3.69000E+0001       5.02500E+0001       5.72800E+0001       7.31900E+0001      7.94500E+0001       8.46850E+0001       8.50300E+0001       9.19200E+0001
  3.04800            3.10140E+0001       4.17900E+0001       5.91500E+0001       6.64000E+0001       7.20000E+0001      8.29300E+0001       8.38730E+0001       8.97400E+0001       9.78100E+0001
  3.55600            3.85650E+0001       5.02300E+0001       6.08500E+0001       6.79800E+0001       7.73900E+0001      8.53700E+0001       8.82260E+0001       9.62000E+0001       1.03900E+0002
  4.06400            4.54820E+0001       5.63000E+0001       6.52900E+0001       7.19300E+0001       7.96800E+0001      8.59800E+0001       9.21750E+0001       9.57500E+0001       9.84600E+0001
  4.57200            5.00520E+0001       6.03900E+0001       6.74700E+0001       7.36100E+0001       8.06800E+0001      8.61400E+0001       9.19590E+0001       9.74900E+0001       9.92400E+0001
  5.08000            5.38270E+0001       6.20800E+0001       6.93000E+0001       7.48400E+0001       8.04100E+0001      8.52700E+0001       9.20070E+0001       9.70200E+0001       1.03200E+0002
  5.58800            5.77850E+0001       6.47600E+0001       6.87500E+0001       7.38000E+0001       7.90900E+0001      8.46300E+0001       9.20580E+0001       9.74400E+0001       9.41800E+0001
  6.09600            5.75500E+0001       6.52500E+0001       6.87300E+0001       7.39000E+0001       7.98500E+0001      7.93600E+0001       8.31650E+0001       9.54300E+0001       9.69000E+0001
  6.60400            5.71990E+0001       6.39800E+0001       6.83500E+0001       6.92600E+0001       7.48400E+0001      7.75000E+0001       9.09220E+0001       9.17600E+0001       9.92400E+0001
  7.11200            5.34250E+0001       5.89300E+0001       6.77900E+0001       6.65500E+0001       7.27800E+0001      7.67800E+0001       8.57150E+0001       9.03400E+0001       8.52400E+0001
  7.62000            4.63110E+0001       5.75100E+0001       5.79500E+0001       6.41300E+0001       6.58100E+0001      7.28600E+0001       8.35450E+0001       8.69500E+0001       9.25100E+0001
  8.12800            4.18230E+0001       5.09400E+0001       5.47300E+0001       5.84600E+0001       6.45800E+0001      6.88600E+0001       7.63330E+0001      7.56500E+0001       8.53800E+0001
  8.63600            3.48500E+0001       4.65000E+0001       4.77400E+0001       5.08100E+0001       5.23900E+0001      5.34500E+0001       7.40150E+0001      7.77600E+0001       5.28600E+0001
  9.14400            3.07630E+0001       3.78400E+0001       4.20000E+0001       4.53900E+0001       4.42300E+0001      4.75300E+0001       6.90400E+0001      7.83500E+0001       5.31100E+0001
  9.65200            2.71720E+0001       3.09900E+0001       3.42100E+0001       3.85800E+0001       3.43200E+0001      4.05800E+0001       6.31220E+0001      4.72600E+0001       4.87400E+0001
 10.16000            2.31390E+0001       2.74400E+0001       3.19500E+0001       3.17200E+0001       2.97200E+0001      3.79200E+0001       5.33390E+0001      5.82900E+0001       5.70000E+0001
 10.66800            2.15250E+0001       2.45900E+0001       2.57100E+0001       2.62500E+0001       2.71700E+0001      3.00600E+0001       4.67450E+0001      4.97800E+0001       2.91800E+0001
 11.17600            2.01720E+0001       2.17100E+0001       2.38800E+0001       2.31900E+0001       2.53700E+0001      2.44000E+0001       3.42930E+0001      4.80200E+0001       3.46900E+0001
 11.68400            1.95290E+0001       2.11800E+0001       2.15100E+0001       2.26400E+0001       2.24000E+0001      2.32200E+0001       2.82280E+0001      2.83300E+0001       2.28300E+0001
 12.19200            1.90530E+0001       2.00000E+0001       2.11600E+0001       2.18100E+0001       2.17600E+0001      2.19500E+0001       2.52360E+0001      2.44300E+0001       2.49100E+0001
 12.70000            1.90650E+0001       1.97100E+0001       2.12800E+0001      2.10700E+0001      2.11000E+0001     2.12400E+0001      2.33570E+0001      2.40200E+0001       2.56600E+0001
