x (m),T,CH4,O2,CO2,CO,Ar,C2H2,H2,H2O,N2
0.0042,1183.05,0.1604,0.003192,0.06043,0.02642,1.03E-02,4.81E-03,3.45E-02,1.44E-01,0.55569
0.0044,1227.35,0.1334,0.002675,0.06351,0.02821,1.08E-02,4.79E-03,3.45E-02,1.47E-01,0.57464
0.0046,1271.15,0.1064,0.002678,0.06672,0.02783,1.12E-02,4.81E-03,3.42E-02,1.52E-01,0.5941
0.0048,1313.8,0.08962,0.001825,0.06893,0.0298,1.04E-02,4.32E-03,3.33E-02,1.54E-01,0.60728
0.005,1361.35,0.07081,0.001926,0.07131,0.02875,1.02E-02,4.06E-03,3.23E-02,1.59E-01,0.62203
0.0052,1415.75,0.05412,0.002092,0.07582,0.02744,9.81E-03,3.54E-03,3.12E-02,1.59E-01,0.6372
0.0054,1461.3,0.04253,0.001739,0.07784,0.02685,9.71E-03,2.89E-03,3.02E-02,1.61E-01,0.64694
0.0056,1534.3,0.03005,0.001844,0.08032,0.02693,9.17E-03,2.47E-03,2.83E-02,1.62E-01,0.65858
0.0058,1583.1,0.01616,0.002649,0.08298,0.02337,9.43E-03,1.38E-03,2.64E-02,1.66E-01,0.67171
0.006,1643.15,0.008983,0.00541,0.08259,0.02374,9.08E-03,1.34E-03,1.88E-02,1.65E-01,0.68311
0.0062,1734.35,0.002853,0.01133,0.08054,0.01984,8.56E-03,5.72E-04,1.20E-02,1.66E-01,0.69496
0.0064,1777.15,0.001002,0.02235,0.07612,0.01274,8.16E-03,9.32E-06,9.45E-03,1.63E-01,0.70274
0.0066,1806.45,0.00017,0.03265,0.07381,0.007806,8.05E-03,-9.20E-06,5.01E-03,1.56E-01,0.71147
0.0068,1775.35,0.00007611,0.04403,0.06616,0.005628,7.93E-03,-6.21E-06,3.41E-03,1.53E-01,0.71509
0.007,1690.15,0.00008365,0.05927,0.05835,0.003015,8.20E-03,-6.33E-06,2.41E-03,1.44E-01,0.7204
0.0072,1613.65,0.00005516,0.07492,0.05051,0.001685,8.31E-03,-8.57E-06,1.59E-03,1.33E-01,0.72596
0.0074,1520.75,0.00006256,0.08956,0.0438,0.00159,7.96E-03,-6.70E-06,9.12E-04,1.22E-01,0.73179
0.0076,1383.9,0.00003295,0.1025,0.03986,0.0005919,7.94E-03,-2.78E-06,6.32E-04,1.09E-01,0.73782
0.0078,1224.6,0.00005914,0.1132,0.03566,0.0007791,8.05E-03,-3.27E-06,5.35E-04,9.84E-02,0.74207
0.008,1140.5,0.00004266,0.1286,0.02728,0.000651,8.15E-03,-2.30E-06,2.83E-04,8.73E-02,0.74674
0.0082,987.2,0.00003078,0.1385,0.02423,0.00008963,8.11E-03,-6.04E-06,2.08E-04,7.73E-02,0.75125
0.0084,872.8,0.00003006,0.1466,0.01998,0.0003983,8.00E-03,-1.59E-06,2.10E-04,7.07E-02,0.75388
0.0086,770.15,0.00002357,0.1562,0.01618,0.0007609,8.03E-03,-3.01E-06,1.82E-04,6.10E-02,0.7576
0.0088,658.3,0.00002667,0.1667,0.01158,0.0006586,7.94E-03,-7.09E-07,1.75E-04,5.14E-02,0.76151
0.009,527.55,0.00001783,0.1737,0.008599,0.0009391,8.02E-03,-1.81E-06,1.78E-04,4.44E-02,0.76414
0.0092,401.05,0.00003517,0.1789,0.007267,0.0009494,8.13E-03,2.41E-06,1.73E-04,3.81E-02,0.76652
0.0094,342.65,0.00002535,0.1844,0.005522,0.0007512,7.97E-03,1.22E-06,1.39E-04,3.21E-02,0.7691
0.0096,269.45,0.0000506,0.188,0.004734,0.0007159,8.09E-03,5.17E-07,1.20E-04,2.74E-02,0.77087
0.0098,256.35,0.0000571,0.1937,0.002978,0.0008344,7.58E-03,-5.02E-07,8.15E-05,2.10E-02,0.77378
0.01,180.55,0.00005529,0.1947,0.003011,0.000977,7.90E-03,-1.37E-07,1.17E-04,1.89E-02,0.77425
