O2, mass spectrometer

Lat. Pos.     H=7                    H=9                    H=11
7.6            1.230E-0001      1.025E-0001      7.767E-0002
7.8            1.315E-0001      1.132E-0001      9.006E-0002
8.0            1.471E-0001      1.286E-0001      1.005E-0001
8.2            1.576E-0001      1.385E-0001      1.144E-0001
8.4            1.635E-0001      1.466E-0001      1.235E-0001
8.6            1.708E-0001      1.562E-0001      1.367E-0001
8.8            1.785E-0001      1.667E-0001      1.437E-0001
9.0            1.846E-0001      1.737E-0001      1.516E-0001
9.2            1.891E-0001      1.789E-0001      1.609E-0001
9.4            1.932E-0001      1.844E-0001      1.678E-0001
9.6            1.937E-0001      1.880E-0001      1.803E-0001
9.8            1.956E-0001      1.937E-0001      1.874E-0001
10.0            1.970E-0001      1.947E-0001      1.883E-0001
