Time,I-1 O2 0.2m,I-2 O2 0.2m,I-3 O2 0.2m,I-4 O2 0.2m,I-5 O2 0.2m,I-6 O2 0.2m,I-1 O2 5m,I-2 O2 5m,I-3 O2 5m,I-4 O2 5m,I-5 O2 5m,I-6 O2 5m,I-1 CO 0.2m,I-2 CO 0.2m,I-3 CO 0.2m,I-4 CO 0.2m,I-5 CO 0.2m,I-6 CO 0.2m,I-1 CO 5m,I-2 CO 5m,I-3 CO 5m,I-4 CO 5m,I-5 CO 5m,I-6 CO 5m,I-1 CO2 0.2m,I-2 CO2 0.2m,I-3 CO2 0.2m,I-4 CO2 0.2m,I-5 CO2 0.2m,I-6 CO2 0.2m,I-1 CO2 5m,I-2 CO2 5m,I-3 CO2 5m,I-4 CO2 5m,I-5 CO2 5m,I-6 CO2 5m
-30,0.2105,0.2103,0.2104,0.2102,0.2097,0.2105,0.2101,0.2102,0.2102,0.2105,0.2109,0.2107,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-27,0.2103,0.2102,0.2103,0.2102,0.2098,0.2106,0.2102,0.2098,0.2101,0.2103,0.2107,0.2107,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-24,0.2101,0.2103,0.2105,0.2102,0.2099,0.2105,0.2099,0.2097,0.2104,0.2104,0.2107,0.2107,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-21,0.2101,0.2102,0.2105,0.2103,0.2100,0.2104,0.2100,0.2099,0.2104,0.2105,0.2107,0.2106,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-18,0.2103,0.2099,0.2105,0.2102,0.2099,0.2105,0.2101,0.2103,0.2104,0.2104,0.2106,0.2106,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-15,0.2103,0.2100,0.2104,0.2101,0.2097,0.2107,0.2102,0.2105,0.2102,0.2103,0.2108,0.2107,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-12,0.2102,0.2103,0.2105,0.2103,0.2096,0.2107,0.2102,0.2103,0.2102,0.2103,0.2109,0.2107,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-9,0.2102,0.2103,0.2105,0.2103,0.2096,0.2105,0.2099,0.2092,0.2103,0.2102,0.2109,0.2106,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-6,0.2104,0.2100,0.2105,0.2101,0.2098,0.2105,0.2100,0.2079,0.2104,0.2102,0.2107,0.2107,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-3,0.2103,0.2099,0.2104,0.2099,0.2098,0.2105,0.2100,0.2085,0.2101,0.2103,0.2106,0.2107,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,0.2099,0.2100,0.2104,0.2097,0.2098,0.2104,0.2098,0.2087,0.2100,0.2102,0.2107,0.2106,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,0.2090,0.2097,0.2102,0.2096,0.2097,0.2105,0.2098,0.2086,0.2098,0.2099,0.2109,0.2105,0.000002,0.000000,0.000001,0.000001,0.000000,0.000000,0.000002,0.000000,0.000002,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,0.2088,0.2089,0.2094,0.2094,0.2098,0.2106,0.2096,0.2081,0.2089,0.2093,0.2109,0.2108,0.000008,0.000000,0.000002,0.000004,0.000000,0.000000,0.000003,0.000000,0.000004,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,0.2088,0.2080,0.2090,0.2091,0.2099,0.2105,0.2095,0.2069,0.2086,0.2089,0.2108,0.2109,0.000012,0.000000,0.000005,0.000007,0.000000,0.000000,0.000004,0.000001,0.000007,0.000001,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,0.2079,0.2074,0.2088,0.2088,0.2098,0.2105,0.2095,0.2057,0.2078,0.2087,0.2106,0.2107,0.000017,0.000000,0.000008,0.000011,0.000000,0.000000,0.000004,0.000007,0.000010,0.000007,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,0.2079,0.2074,0.2086,0.2082,0.2097,0.2106,0.2091,0.2050,0.2058,0.2081,0.2105,0.2107,0.000020,0.000000,0.000010,0.000016,0.000000,0.000000,0.000007,0.000017,0.000020,0.000013,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,0.2089,0.2076,0.2082,0.2075,0.2099,0.2107,0.2086,0.2038,0.2049,0.2077,0.2107,0.2107,0.000023,0.000005,0.000013,0.000026,0.000000,0.000000,0.000010,0.000031,0.000027,0.000020,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,0.2091,0.2074,0.2079,0.2071,0.2099,0.2105,0.2083,0.2024,0.2038,0.2068,0.2108,0.2107,0.000022,0.000008,0.000017,0.000034,0.000000,0.000000,0.000014,0.000048,0.000039,0.000027,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,0.2089,0.2071,0.2078,0.2070,0.2098,0.2104,0.2081,0.2000,0.2018,0.2067,0.2107,0.2107,0.000020,0.000011,0.000019,0.000041,0.000000,0.000000,0.000018,0.000066,0.000048,0.000038,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,0.2082,0.2067,0.2077,0.2065,0.2097,0.2103,0.2082,0.1991,0.1984,0.2067,0.2106,0.2107,0.000020,0.000014,0.000023,0.000049,0.000000,0.000000,0.000021,0.000091,0.000069,0.000046,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0062,0.0066,0.0000,0.0000,0.0000
30,0.2071,0.2061,0.2068,0.2060,0.2098,0.2100,0.2082,0.1986,0.1967,0.2060,0.2107,0.2102,0.000025,0.000019,0.000027,0.000056,0.000000,0.000000,0.000024,0.000117,0.000087,0.000051,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0064,0.0075,0.0000,0.0000,0.0000
33,0.2050,0.2052,0.2054,0.2056,0.2099,0.2092,0.2076,0.1981,0.1970,0.2052,0.2107,0.2096,0.000032,0.000028,0.000034,0.000063,0.000000,0.000000,0.000028,0.000136,0.000110,0.000058,0.000000,0.000003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0067,0.0074,0.0000,0.0000,0.0000
36,0.2046,0.2046,0.2050,0.2047,0.2096,0.2079,0.2073,0.1970,0.1953,0.2047,0.2106,0.2084,0.000048,0.000041,0.000042,0.000073,0.000000,0.000010,0.000033,0.000153,0.000123,0.000068,0.000000,0.000013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0073,0.0083,0.0000,0.0000,0.0000
39,0.2059,0.2043,0.2044,0.2041,0.2092,0.2071,0.2067,0.1962,0.1939,0.2038,0.2103,0.2072,0.000057,0.000050,0.000052,0.000081,0.000000,0.000027,0.000037,0.000173,0.000141,0.000077,0.000000,0.000040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0078,0.0091,0.0000,0.0000,0.0000
42,0.2075,0.2036,0.2034,0.2035,0.2085,0.2056,0.2059,0.1942,0.1919,0.2034,0.2099,0.2057,0.000057,0.000058,0.000058,0.000091,0.000001,0.000052,0.000043,0.000189,0.000153,0.000089,0.000000,0.000070,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0089,0.0103,0.0000,0.0000,0.0000
45,0.2073,0.2029,0.2012,0.2031,0.2081,0.2038,0.2051,0.1923,0.1907,0.2034,0.2096,0.2036,0.000053,0.000069,0.000067,0.000104,0.000004,0.000078,0.000051,0.000221,0.000171,0.000098,0.000000,0.000112,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0109,0.0000,0.0000,0.0000
48,0.2069,0.2023,0.2000,0.2026,0.2073,0.2031,0.2046,0.1905,0.1892,0.2030,0.2095,0.2011,0.000050,0.000078,0.000085,0.000114,0.000011,0.000126,0.000059,0.000249,0.000185,0.000107,0.000000,0.000190,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0111,0.0118,0.0000,0.0000,0.0000
51,0.2067,0.2017,0.1999,0.2018,0.2066,0.2019,0.2041,0.1906,0.1880,0.2021,0.2090,0.1994,0.000048,0.000092,0.000097,0.000124,0.000017,0.000167,0.000066,0.000277,0.000199,0.000113,0.000000,0.000288,0.0000,0.0000,0.0076,0.0000,0.0000,0.0000,0.0000,0.0110,0.0125,0.0000,0.0000,0.0080
54,0.2060,0.2005,0.1998,0.2011,0.2058,0.2008,0.2041,0.1907,0.1880,0.2012,0.2086,0.1988,0.000049,0.000107,0.000104,0.000132,0.000027,0.000216,0.000079,0.000292,0.000199,0.000124,0.000003,0.000357,0.0000,0.0000,0.0077,0.0000,0.0000,0.0000,0.0000,0.0110,0.0125,0.0000,0.0000,0.0084
57,0.2044,0.1994,0.1989,0.2010,0.2050,0.1974,0.2034,0.1899,0.1855,0.2003,0.2078,0.1977,0.000054,0.000121,0.000109,0.000142,0.000036,0.000260,0.000086,0.000310,0.000233,0.000134,0.000007,0.000418,0.0000,0.0080,0.0084,0.0000,0.0000,0.0000,0.0000,0.0114,0.0139,0.0000,0.0000,0.0093
60,0.2029,0.1981,0.1982,0.2009,0.2042,0.1948,0.2027,0.1881,0.1827,0.1990,0.2068,0.1963,0.000068,0.000137,0.000119,0.000147,0.000047,0.000356,0.000092,0.000324,0.000269,0.000147,0.000013,0.000495,0.0000,0.0090,0.0089,0.0000,0.0000,0.0086,0.0000,0.0124,0.0155,0.0062,0.0000,0.0103
63,0.2021,0.1966,0.1968,0.2004,0.2027,0.1929,0.2025,0.1873,0.1802,0.1968,0.2055,0.1951,0.000081,0.000163,0.000126,0.000153,0.000057,0.000442,0.000098,0.000346,0.000290,0.000161,0.000027,0.000551,0.0000,0.0101,0.0099,0.0000,0.0000,0.0097,0.0000,0.0129,0.0169,0.0075,0.0000,0.0112
66,0.2026,0.1952,0.1960,0.2000,0.2019,0.1897,0.2024,0.1861,0.1803,0.1973,0.2048,0.1950,0.000092,0.000187,0.000138,0.000158,0.000073,0.000550,0.000103,0.000364,0.000322,0.000183,0.000038,0.000609,0.0000,0.0111,0.0105,0.0000,0.0000,0.0115,0.0000,0.0136,0.0168,0.0072,0.0000,0.0113
69,0.2026,0.1936,0.1949,0.1996,0.2011,0.1888,0.2015,0.1845,0.1817,0.1963,0.2036,0.1935,0.000092,0.000216,0.000147,0.000164,0.000086,0.000637,0.000109,0.000391,0.000338,0.000196,0.000049,0.000655,0.0000,0.0123,0.0113,0.0078,0.0000,0.0120,0.0000,0.0145,0.0160,0.0078,0.0000,0.0124
72,0.2021,0.1929,0.1943,0.1991,0.2009,0.1888,0.2005,0.1827,0.1823,0.1954,0.2027,0.1915,0.000102,0.000237,0.000156,0.000169,0.000099,0.000745,0.000124,0.000415,0.000340,0.000211,0.000064,0.000699,0.0000,0.0128,0.0118,0.0082,0.0000,0.0120,0.0000,0.0155,0.0157,0.0083,0.0000,0.0139
75,0.2001,0.1925,0.1940,0.1985,0.2003,0.1873,0.2002,0.1816,0.1823,0.1966,0.2019,0.1889,0.000113,0.000254,0.000165,0.000177,0.000107,0.000805,0.000134,0.000446,0.000339,0.000221,0.000075,0.000753,0.0000,0.0132,0.0120,0.0087,0.0000,0.0129,0.0000,0.0161,0.0157,0.0076,0.0000,0.0159
78,0.2001,0.1916,0.1940,0.1979,0.1989,0.1856,0.2001,0.1812,0.1807,0.1964,0.2012,0.1871,0.000127,0.000272,0.000165,0.000184,0.000118,0.000874,0.000142,0.000469,0.000341,0.000227,0.000089,0.000839,0.0000,0.0138,0.0120,0.0091,0.0000,0.0138,0.0000,0.0163,0.0166,0.0077,0.0000,0.0173
81,0.2018,0.1905,0.1919,0.1974,0.1967,0.1856,0.1999,0.1810,0.1820,0.1965,0.2004,0.1851,0.000139,0.000291,0.000178,0.000191,0.000131,0.000917,0.000149,0.000494,0.000348,0.000230,0.000098,0.000912,0.0000,0.0146,0.0136,0.0095,0.0076,0.0138,0.0076,0.0164,0.0159,0.0077,0.0000,0.0187
84,0.2020,0.1901,0.1906,0.1969,0.1947,0.1845,0.1993,0.1796,0.1814,0.1966,0.1998,0.1834,0.000136,0.000306,0.000196,0.000203,0.000151,0.000962,0.000157,0.000509,0.000350,0.000231,0.000111,0.001012,0.0000,0.0150,0.0146,0.0099,0.0087,0.0145,0.0080,0.0172,0.0162,0.0076,0.0077,0.0200
87,0.1995,0.1898,0.1898,0.1960,0.1934,0.1840,0.1989,0.1794,0.1802,0.1950,0.1990,0.1814,0.000137,0.000318,0.000207,0.000214,0.000168,0.000999,0.000165,0.000528,0.000353,0.000233,0.000121,0.001076,0.0059,0.0152,0.0152,0.0105,0.0094,0.0147,0.0084,0.0174,0.0169,0.0085,0.0083,0.0215
90,0.1993,0.1890,0.1884,0.1952,0.1930,0.1849,0.1985,0.1788,0.1796,0.1936,0.1983,0.1799,0.000147,0.000331,0.000226,0.000225,0.000192,0.001030,0.000175,0.000541,0.000359,0.000243,0.000134,0.001160,0.0060,0.0158,0.0163,0.0112,0.0096,0.0142,0.0087,0.0177,0.0172,0.0093,0.0088,0.0226
93,0.2003,0.1875,0.1878,0.1948,0.1923,0.1825,0.1983,0.1772,0.1778,0.1929,0.1976,0.1788,0.000158,0.000348,0.000239,0.000234,0.000209,0.001045,0.000179,0.000561,0.000366,0.000254,0.000145,0.001222,0.0059,0.0169,0.0167,0.0115,0.0100,0.0156,0.0088,0.0186,0.0183,0.0097,0.0093,0.0235
96,0.2005,0.1869,0.1878,0.1946,0.1927,0.1819,0.1977,0.1762,0.1766,0.1918,0.1967,0.1770,0.000159,0.000368,0.000249,0.000245,0.000224,0.001084,0.000184,0.000579,0.000375,0.000269,0.000156,0.001304,0.0060,0.0174,0.0167,0.0116,0.0098,0.0159,0.0093,0.0192,0.0189,0.0103,0.0100,0.0248
99,0.2007,0.1862,0.1863,0.1939,0.1905,0.1821,0.1970,0.1756,0.1771,0.1900,0.1956,0.1756,0.000156,0.000384,0.000256,0.000252,0.000233,0.001118,0.000193,0.000600,0.000384,0.000281,0.000173,0.001368,0.0059,0.0179,0.0178,0.0121,0.0110,0.0158,0.0098,0.0195,0.0186,0.0113,0.0108,0.0259
102,0.2010,0.1852,0.1850,0.1930,0.1875,0.1791,0.1967,0.1750,0.1776,0.1893,0.1943,0.1734,0.000153,0.000402,0.000268,0.000263,0.000254,0.001167,0.000203,0.000614,0.000392,0.000302,0.000192,0.001433,0.0060,0.0187,0.0188,0.0128,0.0128,0.0175,0.0100,0.0198,0.0184,0.0117,0.0118,0.0275
105,0.2007,0.1840,0.1838,0.1922,0.1875,0.1743,0.1961,0.1745,0.1758,0.1895,0.1931,0.1718,0.000151,0.000417,0.000278,0.000275,0.000279,0.001224,0.000212,0.000633,0.000396,0.000317,0.000210,0.001519,0.0059,0.0196,0.0197,0.0134,0.0128,0.0203,0.0105,0.0201,0.0194,0.0116,0.0127,0.0287
108,0.2005,0.1831,0.1825,0.1918,0.1868,0.1707,0.1944,0.1728,0.1730,0.1899,0.1916,0.1707,0.000152,0.000444,0.000289,0.000287,0.000304,0.001341,0.000222,0.000647,0.000404,0.000328,0.000235,0.001601,0.0060,0.0202,0.0207,0.0137,0.0132,0.0223,0.0117,0.0211,0.0210,0.0114,0.0138,0.0296
111,0.2000,0.1827,0.1816,0.1913,0.1844,0.1690,0.1945,0.1720,0.1699,0.1903,0.1906,0.1692,0.000154,0.000457,0.000307,0.000296,0.000321,0.001465,0.000245,0.000667,0.000419,0.000332,0.000255,0.001662,0.0057,0.0206,0.0214,0.0141,0.0145,0.0232,0.0116,0.0216,0.0227,0.0112,0.0146,0.0307
114,0.1977,0.1819,0.1805,0.1906,0.1840,0.1650,0.1948,0.1704,0.1686,0.1899,0.1890,0.1677,0.000160,0.000473,0.000317,0.000308,0.000347,0.001627,0.000253,0.000683,0.000443,0.000335,0.000276,0.001722,0.0070,0.0211,0.0222,0.0146,0.0147,0.0255,0.0115,0.0225,0.0235,0.0114,0.0158,0.0319
117,0.1971,0.1812,0.1798,0.1900,0.1833,0.1640,0.1951,0.1696,0.1667,0.1893,0.1877,0.1665,0.000180,0.000487,0.000328,0.000318,0.000368,0.001736,0.000257,0.000710,0.000466,0.000337,0.000306,0.001799,0.0073,0.0217,0.0228,0.0151,0.0151,0.0260,0.0112,0.0229,0.0245,0.0117,0.0168,0.0327
120,0.1983,0.1805,0.1770,0.1892,0.1839,0.1659,0.1944,0.1702,0.1678,0.1865,0.1867,0.1649,0.000191,0.000503,0.000342,0.000332,0.000391,0.001848,0.000261,0.000726,0.000479,0.000347,0.000334,0.001859,0.0067,0.0222,0.0248,0.0156,0.0148,0.0250,0.0117,0.0226,0.0239,0.0133,0.0175,0.0340
123,0.1985,0.1794,0.1758,0.1889,0.1854,0.1674,0.1929,0.1702,0.1669,0.1840,0.1860,0.1637,0.000198,0.000516,0.000370,0.000340,0.000399,0.001890,0.000269,0.000733,0.000487,0.000362,0.000352,0.001939,0.0065,0.0230,0.0258,0.0159,0.0139,0.0241,0.0129,0.0226,0.0244,0.0147,0.0181,0.0349
126,0.1961,0.1784,0.1760,0.1884,0.1837,0.1720,0.1925,0.1677,0.1650,0.1845,0.1841,0.1619,0.000201,0.000532,0.000385,0.000350,0.000403,0.001874,0.000279,0.000739,0.000498,0.000387,0.000371,0.001998,0.0079,0.0237,0.0256,0.0162,0.0149,0.0216,0.0132,0.0240,0.0255,0.0145,0.0195,0.0362
129,0.1949,0.1776,0.1750,0.1878,0.1811,0.1738,0.1930,0.1672,0.1631,0.1843,0.1831,0.1604,0.000219,0.000551,0.000400,0.000361,0.000415,0.001822,0.000294,0.000758,0.000513,0.000403,0.000400,0.002082,0.0085,0.0244,0.0263,0.0167,0.0164,0.0205,0.0128,0.0243,0.0266,0.0145,0.0202,0.0373
132,0.1955,0.1762,0.1750,0.1868,0.1810,0.1753,0.1930,0.1681,0.1629,0.1835,0.1821,0.1577,0.000235,0.000569,0.000410,0.000373,0.000441,0.001744,0.000297,0.000771,0.000523,0.000418,0.000422,0.002152,0.0082,0.0254,0.0263,0.0175,0.0164,0.0196,0.0128,0.0238,0.0267,0.0150,0.0210,0.0394
135,0.1948,0.1752,0.1752,0.1860,0.1796,0.1741,0.1927,0.1687,0.1658,0.1828,0.1808,0.1560,0.000252,0.000591,0.000416,0.000384,0.000459,0.001689,0.000302,0.000773,0.000532,0.000428,0.000452,0.002256,0.0086,0.0262,0.0262,0.0180,0.0172,0.0204,0.0130,0.0234,0.0250,0.0154,0.0220,0.0406
138,0.1930,0.1743,0.1737,0.1854,0.1769,0.1688,0.1927,0.1666,0.1661,0.1829,0.1803,0.1544,0.000263,0.000621,0.000421,0.000393,0.000486,0.001680,0.000302,0.000773,0.000531,0.000441,0.000470,0.002338,0.0096,0.0269,0.0273,0.0185,0.0188,0.0234,0.0130,0.0246,0.0249,0.0154,0.0223,0.0418
141,0.1934,0.1737,0.1731,0.1849,0.1740,0.1652,0.1918,0.1653,0.1657,0.1824,0.1796,0.1520,0.000281,0.000640,0.000430,0.000405,0.000521,0.001736,0.000312,0.000790,0.000532,0.000449,0.000492,0.002450,0.0094,0.0273,0.0278,0.0189,0.0204,0.0254,0.0137,0.0253,0.0251,0.0156,0.0229,0.0436
144,0.1946,0.1731,0.1721,0.1845,0.1750,0.1661,0.1908,0.1673,0.1648,0.1811,0.1784,0.1499,0.000288,0.000654,0.000438,0.000416,0.000554,0.001838,0.000324,0.000804,0.000533,0.000460,0.000509,0.002535,0.0087,0.0278,0.0285,0.0192,0.0198,0.0249,0.0145,0.0242,0.0256,0.0164,0.0238,0.0452
147,0.1934,0.1723,0.1717,0.1841,0.1750,0.1642,0.1906,0.1673,0.1623,0.1808,0.1778,0.1488,0.000291,0.000672,0.000451,0.000426,0.000554,0.001902,0.000334,0.000803,0.000537,0.000469,0.000533,0.002642,0.0094,0.0283,0.0288,0.0195,0.0198,0.0260,0.0146,0.0242,0.0270,0.0165,0.0242,0.0460
150,0.1913,0.1713,0.1722,0.1830,0.1763,0.1581,0.1902,0.1646,0.1615,0.1810,0.1777,0.1480,0.000299,0.000689,0.000456,0.000435,0.000575,0.002020,0.000343,0.000805,0.000552,0.000480,0.000549,0.002714,0.0106,0.0291,0.0284,0.0203,0.0191,0.0294,0.0149,0.0257,0.0275,0.0164,0.0243,0.0466
153,0.1910,0.1705,0.1716,0.1824,0.1743,0.1567,0.1888,0.1632,0.1596,0.1808,0.1772,0.1475,0.000318,0.000708,0.000460,0.000447,0.000596,0.002125,0.000363,0.000826,0.000572,0.000486,0.000562,0.002794,0.0108,0.0297,0.0289,0.0208,0.0202,0.0302,0.0159,0.0265,0.0286,0.0166,0.0247,0.0470
