Time,T_bottom
123.6,359.2
124.0,362.0
124.4,363.9
124.8,366.1
125.2,368.2
125.6,370.1
126.0,372.0
126.4,374.2
126.8,376.0
127.2,378.0
127.6,348.7
128.0,360.8
128.4,368.6
128.8,378.2
129.2,381.4
129.6,384.0
130.0,386.0
130.4,387.9
130.8,389.9
131.2,391.7
131.6,393.5
132.0,395.3
132.4,398.1
132.8,400.0
133.2,401.7
133.6,403.6
134.0,360.7
134.4,383.5
134.8,391.7
135.2,401.2
135.6,403.1
136.0,404.9
136.4,406.9
136.8,408.5
137.2,411.1
137.6,413.1
138.0,414.9
138.4,416.5
138.8,418.1
139.2,420.2
139.6,421.9
140.0,384.6
140.4,401.9
140.8,413.5
141.2,420.2
141.6,421.9
142.0,423.9
142.4,425.6
142.8,428.4
143.2,429.7
143.6,431.5
144.0,433.1
144.4,434.6
144.8,436.2
145.2,437.8
145.6,439.1
146.0,438.0
146.4,430.4
146.8,435.0
147.2,437.8
147.6,440.5
148.0,442.1
148.4,443.8
148.8,445.4
149.2,446.8
149.6,448.3
150.0,450.0
150.4,451.3
150.8,453.4
151.2,456.0
151.6,458.1
152.0,456.2
152.4,454.5
152.8,455.3
153.2,456.8
153.6,458.1
154.0,459.5
154.4,461.1
154.8,464.1
155.2,466.4
155.6,468.3
156.0,469.8
156.4,471.2
156.8,472.3
157.2,473.5
157.6,474.8
158.0,465.6
158.4,466.5
158.8,468.2
159.2,470.0
159.6,471.5
160.0,473.6
160.4,476.2
160.8,478.5
161.2,480.2
161.6,481.8
162.0,483.1
162.4,484.6
162.8,485.9
163.2,487.1
163.6,488.2
164.0,484.3
164.4,482.4
164.8,483.2
165.2,484.4
165.6,486.5
166.0,488.7
166.4,490.1
166.8,491.7
167.2,493.1
167.6,494.3
168.0,495.2
168.4,496.3
168.8,497.4
169.2,498.5
169.6,499.5
170.0,500.5
170.4,496.4
170.8,497.5
171.2,499.5
171.6,500.8
172.0,502.1
172.4,503.1
172.8,504.1
173.2,505.2
173.6,506.6
174.0,507.8
174.4,508.7
174.8,509.8
175.2,511.0
175.6,512.0
176.0,513.1
176.4,514.1
176.8,506.4
177.2,508.6
177.6,510.2
178.0,511.8
178.4,513.0
178.8,514.3
179.2,515.1
179.6,516.5
180.0,517.6
180.4,518.6
180.8,519.7
181.2,520.9
181.6,522.0
182.0,523.0
182.4,524.0
182.8,525.0
183.2,523.2
183.6,516.6
184.0,519.5
184.4,521.6
184.8,522.9
185.2,524.1
185.6,525.2
186.0,525.9
186.4,527.2
186.8,528.3
187.2,529.4
187.6,530.5
188.0,531.4
188.4,532.4
188.8,533.2
189.2,534.1
189.6,535.0
190.0,530.9
190.4,529.9
190.8,530.0
191.2,530.9
191.6,531.7
192.0,533.0
192.4,533.8
192.8,534.8
193.2,535.7
193.6,536.8
194.0,537.3
194.4,538.1
194.8,539.3
195.2,539.7
195.6,540.4
196.0,541.2
196.4,535.5
196.8,533.7
197.2,535.0
197.6,536.4
198.0,537.5
198.4,538.3
198.8,539.3
199.2,540.3
199.6,541.2
200.0,542.0
200.4,543.0
200.8,543.9
201.2,544.9
201.6,545.6
202.0,546.3
202.4,547.3
202.8,544.2
203.2,522.3
203.6,538.6
204.0,541.1
204.4,543.1
204.8,544.7
205.2,546.0
205.6,547.3
206.0,548.4
206.4,549.3
206.8,550.2
207.2,551.1
207.6,551.8
208.0,552.6
208.4,553.4
208.8,554.0
209.2,554.9
209.6,548.2
210.0,548.5
210.4,549.4
210.8,550.0
211.2,551.0
211.6,551.8
212.0,552.3
212.4,553.0
212.8,553.8
213.2,554.4
213.6,555.3
214.0,555.9
214.4,556.8
214.8,557.2
215.2,558.0
215.6,558.4
216.0,554.6
216.4,555.3
216.8,554.9
217.2,554.9
217.6,555.4
218.0,556.0
218.4,556.5
218.8,557.1
219.2,557.9
219.6,558.6
220.0,559.2
220.4,559.8
220.8,560.4
221.2,561.2
221.6,561.6
222.0,562.2
222.4,562.9
222.8,557.9
223.2,558.0
223.6,558.7
224.0,559.7
224.4,560.1
224.8,561.2
225.2,561.8
225.6,562.7
226.0,563.5
226.4,564.0
226.8,564.6
227.2,565.4
227.6,565.7
228.0,566.6
228.4,567.0
228.8,567.5
229.2,568.3
229.6,557.7
230.0,558.6
230.4,560.8
230.8,562.6
231.2,563.9
231.6,564.8
232.0,566.0
232.4,566.9
232.8,567.6
233.2,568.2
233.6,568.8
234.0,569.5
234.4,570.1
234.8,570.5
235.2,570.9
235.6,571.6
236.0,572.2
236.4,562.6
236.8,566.2
237.2,567.6
237.6,568.4
238.0,568.8
238.4,569.6
238.8,570.0
239.2,570.5
239.6,571.3
240.0,571.8
240.4,572.5
240.8,573.2
241.2,573.5
241.6,574.0
242.0,574.3
242.4,574.9
242.8,575.5
243.2,566.6
243.6,567.4
244.0,568.2
244.4,568.9
244.8,569.6
245.2,570.5
245.6,571.5
246.0,572.1
246.4,572.9
246.8,573.3
247.2,573.8
247.6,574.5
248.0,575.1
248.4,575.4
248.8,576.0
249.2,576.6
249.6,577.0
250.0,568.8
250.4,573.2
250.8,573.9
251.2,574.1
251.6,574.5
252.0,574.7
252.4,575.1
252.8,575.3
253.2,575.7
253.6,576.7
254.0,577.0
254.4,577.4
254.8,577.9
255.2,578.3
255.6,579.0
256.0,579.3
256.4,579.9
256.8,580.0
257.2,575.3
257.6,575.8
258.0,576.2
258.4,576.4
258.8,576.9
259.2,577.3
259.6,577.8
260.0,578.2
260.4,578.8
260.8,579.5
261.2,580.3
261.6,580.5
262.0,581.1
262.4,581.6
262.8,582.1
263.2,582.4
263.6,582.8
264.0,578.2
264.4,577.3
264.8,577.9
265.2,578.5
265.6,578.6
266.0,579.2
266.4,579.7
266.8,580.0
267.2,580.6
267.6,581.1
268.0,581.6
268.4,582.2
268.8,582.5
269.2,583.0
269.6,583.3
270.0,583.9
270.4,584.4
270.8,584.7
271.2,576.7
271.6,579.7
272.0,580.7
272.4,581.1
272.8,581.9
273.2,582.1
273.6,582.5
274.0,583.1
274.4,583.5
274.8,584.0
275.2,584.5
275.6,584.8
276.0,585.3
276.4,585.8
276.8,586.4
277.2,586.8
277.6,586.9
278.0,587.5
278.4,580.3
278.8,583.2
279.2,583.5
279.6,583.4
280.0,584.2
280.4,584.4
280.8,585.1
281.2,585.6
281.6,586.1
282.0,586.4
282.4,586.7
282.8,587.0
283.2,587.6
283.6,587.8
284.0,588.3
284.4,588.6
284.8,588.9
285.2,589.3
285.6,583.3
286.0,582.5
286.4,583.3
286.8,583.8
287.2,584.5
287.6,585.4
288.0,585.5
288.4,586.0
288.8,586.4
289.2,587.0
289.6,587.5
290.0,588.1
290.4,588.5
290.8,588.9
291.2,589.5
291.6,589.7
292.0,590.1
292.4,583.7
292.8,587.3
293.2,587.8
293.6,587.8
294.0,588.0
294.4,588.4
294.8,588.5
295.2,588.8
295.6,589.2
296.0,589.6
296.4,590.0
296.8,590.6
297.2,591.0
297.6,591.2
298.0,591.8
298.4,591.9
298.8,592.2
299.2,587.8
299.6,587.3
300.0,587.7
300.4,588.1
300.8,588.6
301.2,589.2
301.6,589.4
302.0,589.9
302.4,590.7
302.8,591.1
303.2,591.3
303.6,591.6
304.0,591.9
304.4,592.6
304.8,593.0
305.2,593.1
305.6,593.6
306.0,593.6
306.4,581.7
306.8,588.8
307.2,590.2
307.6,590.2
308.0,590.8
308.4,590.9
308.8,591.0
309.2,591.1
309.6,591.5
310.0,592.0
310.4,592.3
310.8,592.7
311.2,593.2
311.6,593.7
312.0,594.3
312.4,594.5
312.8,594.8
313.2,595.1
313.6,593.0
314.0,591.1
314.4,591.8
314.8,591.7
315.2,591.3
315.6,591.4
316.0,591.6
316.4,592.1
316.8,592.6
317.2,592.9
317.6,593.1
318.0,593.6
318.4,594.0
318.8,594.4
319.2,594.9
319.6,595.4
320.0,595.7
320.4,596.1
320.8,596.2
321.2,583.2
321.6,587.9
322.0,589.3
322.4,589.5
322.8,590.2
323.2,590.6
323.6,591.2
324.0,591.7
324.4,592.1
324.8,592.5
325.2,593.0
325.6,593.4
326.0,593.7
326.4,594.1
326.8,594.7
327.2,595.2
327.6,595.4
328.0,589.0
328.4,592.3
328.8,592.8
329.2,593.0
329.6,593.1
330.0,593.2
330.4,593.1
330.8,593.5
331.2,593.3
331.6,593.5
332.0,594.2
332.4,594.7
332.8,594.6
333.2,595.0
333.6,595.4
334.0,596.0
334.4,596.3
334.8,596.3
335.2,587.5
335.6,583.3
336.0,588.1
336.4,590.1
336.8,591.1
337.2,591.6
337.6,592.2
338.0,592.7
338.4,593.2
338.8,593.8
339.2,594.5
339.6,594.9
340.0,595.4
340.4,595.9
340.8,595.7
341.2,596.3
341.6,596.7
342.0,597.2
342.4,597.6
342.8,591.5
343.2,593.3
343.6,593.4
344.0,593.5
344.4,593.7
344.8,593.6
345.2,593.8
345.6,594.1
346.0,594.5
346.4,594.9
346.8,595.2
347.2,595.5
347.6,595.4
348.0,596.0
348.4,596.2
348.8,596.5
349.2,596.9
349.6,597.0
350.0,597.3
350.4,592.3
350.8,592.6
351.2,593.0
351.6,592.9
352.0,593.4
352.4,593.5
352.8,594.1
353.2,594.2
353.6,594.8
354.0,595.5
354.4,596.1
354.8,596.6
355.2,596.4
355.6,597.2
356.0,597.6
356.4,598.1
356.8,598.3
357.2,591.1
357.6,593.4
358.0,593.7
358.4,593.9
358.8,594.2
359.2,594.7
359.6,595.2
360.0,595.7
360.4,596.5
360.8,597.0
361.2,597.5
361.6,598.1
362.0,598.4
362.4,598.6
362.8,599.1
363.2,599.4
363.6,599.9
364.0,600.0
364.4,597.1
364.8,597.5
365.2,597.2
365.6,597.3
366.0,597.1
366.4,588.9
366.8,590.5
367.2,591.4
367.6,592.2
368.0,592.8
368.4,593.4
368.8,593.9
369.2,594.6
369.6,583.4
370.0,588.5
370.4,589.7
370.8,590.2
371.2,590.5
371.6,591.2
372.0,591.8
372.4,592.3
372.8,593.0
373.2,593.4
373.6,593.9
374.0,594.3
374.4,585.4
374.8,588.3
375.2,589.9
375.6,590.5
376.0,590.8
376.4,591.4
376.8,592.1
377.2,592.6
377.6,593.3
378.0,593.7
378.4,594.4
378.8,594.5
379.2,595.0
379.6,595.5
380.0,596.0
380.4,596.7
380.8,591.7
381.2,593.3
381.6,593.5
382.0,593.7
382.4,594.1
382.8,594.8
383.2,595.0
383.6,595.6
384.0,596.2
384.4,596.8
384.8,310.8
385.2,166.4
385.6,109.4
386.0,72.4
386.4,48.5
386.8,39.3
387.2,29.7
387.6,24.1
388.0,21.2
388.4,19.3
388.8,18.3
389.2,18.2
389.6,17.9
390.0,18.2
390.4,18.3
390.8,18.3
391.2,18.3
391.6,17.9
392.0,17.9
392.4,18.4
392.8,18.2
393.2,18.3
393.6,17.7
394.0,18.1
394.4,17.9
394.8,17.6
395.2,16.9
395.6,16.5
396.0,16.8
396.4,16.8
396.8,16.4
397.2,16.0
397.6,15.8
398.0,15.7
398.4,15.8
398.8,16.1
399.2,16.0
399.6,15.8
400.0,16.3
400.4,16.1
400.8,16.0
401.2,16.1
401.6,15.9
402.0,15.9
402.4,15.9
402.8,15.9
403.2,15.8
403.6,15.9
404.0,15.9
404.4,15.7
404.8,15.6
405.2,15.7
405.6,15.7
406.0,15.8
406.4,15.7
406.8,15.8
407.2,15.8
407.6,15.9
408.0,16.0
408.4,16.1
408.8,16.3
409.2,16.4
409.6,16.4
410.0,16.4
410.4,16.3
410.8,16.4
411.2,16.4
411.6,16.4
412.0,16.3
412.4,16.4
412.8,16.5
413.2,16.5
413.6,16.6
414.0,16.7
414.4,16.7
414.8,16.6
415.2,16.5
415.6,16.5
416.0,16.5
416.4,16.6
416.8,16.8
417.2,16.9
417.6,16.9
418.0,16.7
418.4,16.7
418.8,16.8
419.2,16.7
419.6,16.6
420.0,16.7
420.4,16.6
420.8,16.6
421.2,16.6
421.6,16.6
422.0,16.6
422.4,16.7
422.8,16.6
423.2,16.5
423.6,16.5
424.0,16.5
424.4,16.6
424.8,16.5
425.2,16.5
425.6,16.4
426.0,16.4
426.4,16.3
426.8,16.4
427.2,16.4
427.6,16.4
428.0,16.4
428.4,16.4
428.8,16.3
429.2,16.3
429.6,16.3
430.0,16.3
430.4,16.3
430.8,16.3
431.2,16.3
431.6,16.3
432.0,16.3
432.4,16.3
432.8,16.3
433.2,16.3
433.6,16.3
434.0,16.2
434.4,16.3
434.8,16.2
435.2,16.2
435.6,16.3
436.0,16.3
436.4,16.3
436.8,16.2
437.2,16.2
437.6,16.2
438.0,16.2
438.4,16.2
438.8,16.3
439.2,16.2
439.6,16.2
440.0,16.2
440.4,16.2
440.8,16.2
441.2,16.2
441.6,16.2
442.0,16.2
442.4,16.2
442.8,16.2
443.2,16.2
443.6,16.2
444.0,16.2
444.4,16.2
444.8,16.2
445.2,16.2
445.6,16.2
446.0,16.2
446.4,16.2
446.8,16.2
447.2,16.2
447.6,16.2
448.0,16.2
448.4,16.2
448.8,16.2
449.2,16.2
449.6,16.2
450.0,16.2
450.4,16.1
450.8,16.1
451.2,16.2
451.6,16.2
452.0,16.2
452.4,16.2
452.8,16.2
453.2,16.2
453.6,16.2
454.0,16.1
454.4,16.1
454.8,16.1
455.2,16.2
455.6,16.1
456.0,16.1
456.4,16.1
456.8,16.1
457.2,16.1
457.6,16.2
458.0,16.1
458.4,16.2
458.8,16.1
459.2,16.2
459.6,16.1
460.0,16.1
460.4,16.1
460.8,16.1
461.2,16.1
461.6,16.1
462.0,16.1
462.4,16.1
462.8,16.1
463.2,16.2
463.6,16.2
464.0,16.1
464.4,16.1
464.8,16.1
465.2,16.1
465.6,16.1
466.0,16.1
466.4,16.1
466.8,16.1
467.2,16.1
467.6,16.1
468.0,16.1
468.4,16.2
468.8,16.1
469.2,16.2
469.6,16.1
470.0,16.1
470.4,16.1
470.8,16.1
471.2,16.1
471.6,16.1
472.0,16.1
472.4,16.1
472.8,16.1
473.2,16.1
473.6,16.1
474.0,16.1
474.4,16.1
474.8,16.1
475.2,16.1
475.6,16.1
476.0,16.1
476.4,16.1
476.8,16.1
477.2,16.1
477.6,16.1
478.0,16.1
478.4,16.1
478.8,16.1
479.2,16.1
479.6,16.1
480.0,16.1
480.4,16.1
480.8,16.1
481.2,16.1
481.6,16.1
482.0,16.1
482.4,16.1
482.8,16.1
483.2,16.1
483.6,16.1
484.0,16.1
484.4,16.1
484.8,16.1
485.2,16.1
485.6,16.1
486.0,16.1
486.4,16.1
486.8,16.1
487.2,16.1
487.6,16.1
488.0,16.1
488.4,16.1
488.8,16.1
489.2,16.1
489.6,16.1
490.0,16.1
490.4,16.1
490.8,16.1
491.2,16.1
491.6,16.1
492.0,16.1
492.4,16.1
492.8,16.1
493.2,16.1
493.6,16.1
494.0,16.1
494.4,16.1
494.8,16.1
495.2,16.1
495.6,16.1
496.0,16.1
496.4,16.1
496.8,16.1
497.2,16.1
497.6,16.1
498.0,16.1
498.4,16.1
498.8,16.1
499.2,16.1
499.6,16.1
500.0,16.1
500.4,16.1
500.8,16.1
501.2,16.1
501.6,16.1
502.0,16.1
502.4,16.1
502.8,16.1
503.2,16.1
503.6,16.1
504.0,16.1
504.4,16.1
504.8,16.1
505.2,16.1
505.6,16.1
506.0,16.1
506.4,16.1
506.8,16.1
507.2,16.1
507.6,16.1
508.0,16.1
508.4,16.1
508.8,16.1
509.2,16.1
509.6,16.1
510.0,16.1
510.4,16.1
510.8,16.1
511.2,16.1
511.6,16.0
512.0,16.1
512.4,16.1
512.8,16.1
513.2,16.1
513.6,16.1
514.0,16.1
514.4,16.1
514.8,16.1
515.2,16.1
515.6,16.1
516.0,16.1
516.4,16.1
516.8,16.1
517.2,16.1
517.6,16.1
518.0,16.1
518.4,16.1
518.8,16.1
519.2,16.1
519.6,16.1
520.0,16.1
520.4,16.1
520.8,16.1
521.2,16.1
521.6,16.1
522.0,16.1
522.4,16.1
522.8,16.1
523.2,16.1
523.6,16.1
524.0,16.1
524.4,16.1
524.8,16.1
525.2,16.1
525.6,16.1
526.0,16.1
526.4,16.1
526.8,16.1
527.2,16.1
527.6,16.1
528.0,16.1
528.4,16.1
528.8,16.1
529.2,16.1
529.6,16.1
530.0,16.1
530.4,16.0
530.8,16.1
531.2,16.1
531.6,16.1
532.0,16.1
532.4,16.0
532.8,16.1
533.2,16.1
533.6,16.1
534.0,16.1
534.4,16.0
534.8,16.1
535.2,16.0
535.6,16.1
536.0,16.1
536.4,16.1
536.8,16.1
537.2,16.1
537.6,16.1
538.0,16.1
538.4,16.2
538.8,16.2
539.2,16.3
539.6,16.3
540.0,16.4
540.4,16.4
540.8,16.4
541.2,16.4
