Time,HFG_WALL,HFG_FLOOR,HFG_CEILING,HFG_BURNER,HFG_TC_1,HFG_TC_2,HFG_TC_3,HFG_TC_4,TC_TREE_1_1,TC_TREE_1_2,TC_TREE_1_3,TC_TREE_1_4,TC_TREE_1_5,TC_TREE_1_6,TC_TREE_2_1,TC_TREE_2_2,TC_TREE_2_3,TC_TREE_2_4,TC_TREE_2_5,TC_TREE_2_6,BDVP_DOOR_VEL_1,BDVP_DOOR_VEL_2,BDVP_DOOR_VEL_3,BDVP_DOOR_VEL_4,BDVP_DOOR_VEL_5,BDVP_DOOR_VEL_6,BDVP_WINDOW_VEL_1,BDVP_WINDOW_VEL_2,HRR
90,45.1,10.9,20.4,85.6,10.8,10.9,11,10.8,624.8,508.4,409.3,162.4,108.7,85.7,507.6,482.5,446.1,282.6,133.3,85.3,-4.62,-1.59,0.46,1.14,0.89,0.05,-1.42,-2.42,749.9
100,47.8,11,20.2,87.2,10.8,10.9,11,10.8,643.3,512.7,414.8,172,113.9,89.9,516.5,492.2,457.4,280.2,139.9,89.8,-4.73,-1.53,0.51,1.19,0.93,0.16,-1.43,-2.43,745.4
110,46.6,11.6,20.9,88.9,10.7,10.9,11,10.8,637.4,536.5,422.4,172.2,121.1,95.2,526.6,498.5,459,254.4,146.3,93.9,-4.79,-1.54,0.42,1.17,0.92,0.28,-1.48,-2.42,735.9
120,46.9,12,21.6,86.1,10.8,10.9,11.1,10.9,608.2,536.9,430.6,181.9,127.9,98.9,520.8,496.4,455.6,261.8,150.7,98.1,-4.7,-1.61,0.49,1.1,0.97,0.46,-1.44,-2.54,739.1
130,49,12.1,21.1,86.9,10.8,10.9,11.2,10.9,639.9,543.7,448.4,183.5,132.8,105,523,504.6,464,279.8,157.7,98.7,-4.79,-1.73,0.21,1.06,1.06,0.39,-1.49,-2.54,740.4
140,52.4,12.1,21,86.7,10.7,10.9,11.1,10.8,656.9,578.4,465.6,195.3,135.4,106.7,519.8,508.4,476.9,293.2,162.6,105,-4.8,-1.68,0.37,1.05,1.08,0.39,-1.39,-2.52,719.2
150,50.9,12.9,21.8,89.8,10.7,10.9,11.1,10.8,656.5,596.8,438.2,209,145.7,114.9,523.7,511.9,483.2,293.6,168.2,112.7,-4.77,-1.79,0.36,1.12,1.09,0.45,-1.4,-2.57,713.8
160,51.1,13.1,21.7,88.6,10.7,10.9,11.1,10.8,657.6,583,396.7,199,149,116.1,520.9,505.8,473.3,288.4,174.4,115.1,-4.86,-1.85,0.33,1.1,1.07,0.43,-1.42,-2.68,704.5
170,51.5,13.2,21.2,89.2,10.8,10.9,11.2,10.9,669.7,569,407.5,201.5,153,118.7,520.1,509,465.8,294.1,176.4,121.1,-4.86,-1.77,0.52,1.13,1.03,0.32,-1.46,-2.62,703.4
180,52.8,13.8,20.7,88.7,10.8,11,11.2,10.9,690,586.8,402.8,207.7,158.1,125.4,530.4,512.4,478.7,272.5,181.5,121.9,-4.83,-1.84,0.16,1.12,1.04,0.42,-1.41,-2.59,725.5
190,51.1,14.1,21.5,92.8,10.8,11,11.2,10.9,673.8,593.4,419.1,207.7,158.9,126.2,526.8,505.1,475.3,289.4,183,128.7,-4.89,-1.89,0.36,1.07,1.08,0.45,-1.46,-2.6,725.4
200,53.7,14.1,21.7,90.8,10.8,11,11.3,10.9,681.1,594.8,418.7,207.6,159.9,124.4,528,507,472.4,280.8,186,137.6,-4.89,-1.78,0.35,1.13,1.05,0.56,-1.52,-2.67,708.8
210,49.3,14.7,22.9,89.9,10.8,11,11.3,10.9,656,593.8,450.4,213.5,162.2,132.1,526.3,509.7,471.1,277.7,190.4,142.1,-4.94,-1.88,0.55,1.15,1.03,0.46,-1.45,-2.72,731.9
220,51.1,14.9,21.9,93.7,10.9,11,11.3,10.9,649.9,590.6,485.2,239.3,165.2,138.3,540.1,514.4,476.8,314.3,194.3,144.3,-5.03,-1.92,0.49,1.13,1.08,0.58,-1.56,-2.73,734.2
230,53.9,15.1,22.3,92.1,10.8,11,11.3,10.9,688.6,629.6,421.4,236.2,170.3,139.8,533.1,509.2,475.6,301.4,196.8,150.8,-4.95,-1.88,0.47,1.12,1.12,0.56,-1.68,-2.72,735.5
240,52.2,15.1,23.5,92.7,10.8,11,11.3,10.9,696.1,624.2,422.6,232.4,176.3,143,537.2,511.6,477.1,281.5,202,155.6,-4.91,-1.88,0.45,1.14,1.13,0.62,-1.5,-2.7,726.6
250,56.5,15.7,24.1,92.9,10.8,11,11.3,10.9,699.3,626.5,405.6,239.5,192.8,146.9,537.3,517.1,472.6,262.6,203.6,158,-4.93,-1.94,0.06,0.92,1.25,0.7,-1.46,-2.65,728.2
260,53.8,15.7,23.1,92,10.9,11,11.3,10.9,697,638.1,441.5,243.2,197,149.5,538.5,518.7,478.6,288.1,208.4,162.7,-5.01,-1.98,0.13,1.04,1.22,0.7,-1.46,-2.78,719.8
270,53.9,16.1,23.8,91.7,10.9,11,11.3,10.9,702.2,634.5,494.4,245.8,193.6,147.9,535.9,515.2,477.9,305.8,213.2,164.3,-5.02,-2.12,0.13,1,1.19,0.64,-1.65,-2.82,729.4
280,74.9,20.1,30.8,88,10.9,11.1,11.4,10.9,765.8,677.3,424.7,250.9,197.3,154,559.1,535,501,298.4,217.7,163.9,-5.17,-2.13,-0.02,1.08,1.1,0.57,-1.95,-2.87,719.8
290,83.1,23.6,40.9,85.7,10.9,11.1,11.4,10.9,830.8,736.4,467.1,281,226.9,171.8,622.9,583.3,541,329.9,229.4,175.2,-5.27,-2.22,0.12,1.07,1.19,0.54,-1.93,-3.05,707.6
300,92.2,25.5,41.4,85.5,10.9,11.1,11.4,10.9,884.5,799.1,521.3,316.2,258.3,190.9,636.7,596.5,551.2,327.4,249.4,190.5,-5.41,-2.25,0.33,1.1,1.2,0.74,-1.71,-3,718
310,92.3,26.3,42.4,79.3,10.8,11,11.4,10.9,886.8,776.3,534,335.6,270.4,209,640.3,594,543.7,336,267.2,193.6,-5.44,-2.38,0.24,1.16,1.17,0.73,-1.89,-3.18,1140.3
320,91.6,28,45.4,66.1,10.9,11.1,11.5,10.9,899.6,792.3,575.5,340.4,269.9,225,663.5,611.4,569.7,373.8,278.6,194.2,-5.57,-2.35,0.27,1.12,1.26,0.84,-1.99,-3.31,1372.5
330,98,28.5,44.3,64.4,10.9,11.1,11.6,11,894.6,789.4,520.2,357.5,289.7,239.4,664.5,620.4,570.7,377.5,289.6,211.1,-5.68,-2.47,-0.13,1.17,1.29,0.92,-2.36,-3.3,1472.7
340,104.9,29,42.4,83.1,10.9,11.1,11.6,10.9,900.5,809,571.1,359.2,299.3,236.8,669.1,626.1,571.5,394.3,299.8,226.6,-5.57,-2.44,0.15,1.08,1.32,0.96,-1.98,-3.31,1474.9
350,105.6,30.4,46.4,91.4,10.9,11.1,11.6,10.9,925.1,820.8,608.6,376.1,320.7,252.5,666.3,613.7,567.1,372.6,308.9,243.6,-5.59,-2.52,0.05,0.96,1.36,0.94,-2.29,-3.42,1498.5
360,99.3,30.8,45.3,90.7,10.9,11.1,11.6,11,928.2,823.7,560.1,380.5,321.6,259.4,674.4,623.1,578.7,400.5,306.7,244.6,-5.69,-2.61,-0.06,1.05,1.39,1,-2.03,-3.38,1430.2
370,101.9,31.2,45.5,92.4,10.9,11.2,11.6,11,931.8,825.4,600.5,389.3,329.5,261.7,684.8,635.7,585.4,431.7,317,243.8,-5.78,-2.71,-0.08,1.03,1.43,1.1,-2.34,-3.6,1435.3
380,99.2,31.2,47.4,91.9,10.9,11.1,11.7,10.9,914.5,811.7,648.7,396.1,338.8,263.7,671.2,635.4,598.6,490.1,331.7,241.3,-5.93,-2.74,-0.25,0.99,1.54,1.16,-2.28,-3.57,1443.1
390,101.5,32.6,46.4,89.2,10.8,11.2,11.7,10.9,944.6,849.6,647.6,421,352.4,275.4,682.8,648.9,610.9,464.3,327.3,259.3,-6.08,-2.86,-0.37,1.09,1.41,1.23,-2.52,-3.65,1531.8
400,100.1,32.9,49.4,94.3,10.9,11.2,11.8,11,921.2,830.7,618.2,415.7,349.1,272.6,673.3,643.9,612.7,501.3,334.6,252,-6.15,-2.84,0.02,1.08,1.41,1.21,-2.44,-3.68,1553.8
410,101,33.6,52.8,94.5,10.9,11.2,11.8,11,933.7,841.2,575,412.2,348.9,282.7,684.5,651.5,616.5,452.8,350.8,263.2,-6.04,-2.84,0.11,1.02,1.51,1.19,-2.6,-3.69,1550.3
420,104.3,32.8,52.6,91.8,10.9,11.2,11.8,11,940.5,853.5,599.2,428.2,362,284.7,684.2,651.8,617.7,491.3,358.3,283.5,-5.95,-2.97,-0.24,1.05,1.64,1.31,-2.68,-3.79,1557.5
430,104.9,30.8,52.6,90.5,10.9,11.2,11.9,10.9,923.2,833.1,675.3,430,360.5,288.8,666.6,647.8,618.9,544.5,381,281.2,-6.19,-3.01,-0.7,1.23,1.67,1.27,-2.61,-3.87,1556.5
440,102.5,31.1,56.1,89.6,10.9,11.3,11.9,11,918.4,832.3,618.3,419.8,358.2,287.1,676.7,651.2,622,536.7,373.7,302.3,-6.04,-2.95,-0.82,1.09,1.56,1.33,-2.36,-3.75,1612.8
450,111.4,31.3,53.3,92.2,10.9,11.3,12,11,941.9,850.2,640.4,418.2,365,290.7,682.9,649,615,489,380,303.7,-6.02,-3.06,-0.48,1.13,1.53,1.47,-2.55,-3.82,1616.1
460,107.9,32.2,53.7,90.5,10.9,11.3,12,11,948.9,867.6,598.7,431.7,363.9,293.9,680,642.9,606.9,478.1,384.4,300.8,-6.01,-3.07,-1.01,0.84,1.61,1.5,-2.61,-3.83,1701.8
470,114,32.5,52,92.7,10.9,11.3,12,11,933,851.9,641,431,376.3,298.3,686.4,642.8,611.9,468,380.1,321.3,-5.94,-3.03,-0.84,0.92,1.59,1.25,-2.81,-3.8,1698.3
480,113.2,31.9,53.7,96.5,10.9,11.4,12.1,11,920.2,839.9,591.4,439.6,393.8,304.8,697.5,650.4,614.2,475.6,389.1,325.3,-6.09,-3.03,-0.24,0.96,1.56,1.17,-2.87,-3.9,1678.6
490,110.7,31.1,56.1,98.7,10.9,11.4,12.1,11,945.2,839.4,613.4,455.5,393.6,313.6,694.4,654.2,614.3,483.1,394.8,336.8,-5.96,-3.02,-0.28,1.06,1.62,1.13,-2.48,-3.91,1722.8
500,114.4,31,53.8,95.4,10.9,11.3,12.1,11,967.1,872.6,669.4,452.8,400.1,337.9,686.8,661.1,633,525.7,399,348.1,-6.38,-3.24,-0.5,1.09,1.71,1.31,-2.88,-4.06,1714.5
510,110.1,31.3,53.2,96.5,10.9,11.4,12.2,11,954.9,868,718.7,449.7,388.6,336.9,679.1,653,630.6,550.5,407,359.7,-6.43,-3.31,-1,1.15,1.61,1.43,-2.99,-4.15,1660
520,112.4,32,53.8,104.9,11,11.4,12.3,11.1,945.3,855.7,719.8,477.6,387.6,341.8,688.9,660,635.4,580.3,446.6,349.4,-6.37,-3.28,-0.44,0.99,1.79,1.25,-2.81,-4.18,1659.8
530,112.2,31.7,53.2,102.7,11,11.4,12.3,11,959.4,866.2,734.2,463.9,393.2,344.2,686.4,665.7,640.2,578,432,341.5,-6.4,-3.21,-0.32,0.85,1.77,1.39,-2.86,-4.2,1652.9
540,115.3,31.4,53.7,94.9,11,11.4,12.3,11,959.5,859.7,696.7,470.5,397,345,706.7,680.8,650,562.8,424.5,357.2,-6.42,-3.19,-0.43,1.01,1.69,1.3,-2.63,-4.07,1727
550,118,32.1,54.6,100.2,11,11.4,12.4,11,973.4,888.1,718,491.4,408.5,353.8,702.8,677.7,650,557,436.7,371.6,-6.39,-3.33,-0.77,0.94,1.68,1.32,-2.92,-4.17,1768
560,119.1,31.4,53.4,99.6,11,11.5,12.4,11.1,970.5,883.1,706.1,477.8,414.6,360.1,706.1,682.4,653.8,569.5,436.9,378.7,-6.63,-3.3,-0.55,0.92,1.77,1.37,-3.19,-4.24,1763.8
570,114.4,32,56.1,101,11,11.5,12.5,11.1,974.8,869.3,638.8,468.2,407.8,358.4,701.5,677.7,653.3,565,431.1,370.1,-6.24,-3.17,-0.59,0.99,1.63,1.37,-2.79,-4.15,1761.2
580,73.3,25.6,44.6,88.8,11,11.5,12.5,11,851.1,747,528.6,444.9,392.9,355.3,687.9,650.3,598.4,510.2,439.2,382.4,-5.93,-2.85,0.07,0.8,1.72,1.52,-1.93,-3.62,1756.2
590,47.2,16.6,29.4,66,11,11.5,12.5,11,675.9,520.6,395.7,366.8,345.3,293.4,579.3,508.7,468.7,423.7,406.7,351.3,-5.08,-2.47,-0.26,0.91,1.62,1.4,-1.79,-3.24,1811.1
600,42.7,13.8,30.7,54.4,11,11.5,12.5,11.1,612.6,394.2,347.6,325.8,306.9,251.6,515.2,434.9,393.3,372.5,364.9,299.8,-4.7,-2.21,0.47,0.93,1.57,1.3,-1.55,-2.89,1794.5
610,41.2,11.9,29.5,37.7,11,11.5,12.5,11.1,568.6,328.2,322,303.5,283,226.6,465.3,380,352.5,336.4,329.7,281.6,-4.26,-2,0.37,0.93,1.5,0.99,-1.34,-2.71,779.1
620,34.5,10.7,30.1,33.4,11,11.6,12.5,11.1,527.2,301,298,285.8,259.5,206,427.6,320.3,308.7,296.5,297.9,284,-3.96,-1.92,0.02,1.1,1.48,1.08,-1.32,-2.5,447.2
630,31.4,9.5,30.8,32,11,11.5,12.5,11.1,495.5,276.1,274.9,259.3,240,198.3,401,291.5,264.1,268.1,269.7,258.6,-3.77,-1.81,0.56,1.05,1.51,0.93,-1.39,-2.33,273.3
640,28.6,8.4,29.8,27.8,11,11.5,12.5,11.1,470.1,248.4,250.7,241,220.3,180.6,378.9,271.1,247.3,244.5,249.7,246.5,-3.56,-1.72,0.35,1.09,1.38,0.92,-1.14,-2.25,188.5
650,28.1,8.1,30.7,24.3,11.1,11.5,12.4,11.1,443.3,237.5,234.5,223.8,204.9,176.5,362.7,252.3,229.6,227.1,229.4,230,-3.54,-1.69,0.5,1.04,1.35,0.87,-1.23,-2.22,118
660,22.4,7.5,32.7,23.2,11,11.5,12.4,11.1,426.8,222.9,219.2,213.7,194.8,162.9,344.5,235.8,219.4,219.8,218.4,224.7,-3.34,-1.66,0.21,0.98,1.39,0.83,-1.2,-2.17,75.4
670,23.6,6.9,32.8,24.4,11,11.5,12.4,11,414.1,216.9,207.2,195.9,185.1,148.2,334.3,226.1,207.2,205.1,211.9,225.7,-3.27,-1.64,0.05,0.77,1.33,0.82,-1.12,-2.1,68.3
680,21.5,6.4,31.2,22.2,11,11.5,12.4,11.1,400.3,204,199.2,191.2,171.7,142.4,320.6,216.4,206.1,201.9,202.9,213.4,-3.18,-1.64,-0.31,1.05,1.24,0.78,-1.04,-2.08,53.3
690,19.6,5.9,28.6,19.9,11,11.5,12.4,11.1,383,203,197.3,194.3,168.5,131.4,310.8,200.8,188.9,197.7,195,194.8,-3.1,-1.55,0.07,1.01,1.26,0.71,-1,-2,52.1
700,18.4,5.5,28.6,22.8,11,11.5,12.4,11.1,372.4,192.6,194.3,184.8,165.5,125.1,303.9,197.3,185.3,193,187.5,197.3,-3.04,-1.57,0.04,1,1.2,0.62,-1.05,-1.91,57.3
710,20.1,5.3,29,32.7,11.1,11.5,12.3,11.1,367.4,196.4,184.2,174.1,159.7,121.4,297,194.3,185.2,184.5,180.4,193.4,-3.15,-1.49,0.26,1.03,1.23,0.63,-1.11,-2.09,62.6
720,17.8,5.2,25.2,25.4,11.1,11.5,12.3,11.1,359.4,192.2,170.9,162.6,146.7,112.7,305.6,199.1,180.2,177.6,175.1,186.7,-3.12,-1.36,0.63,0.98,1.21,0.66,-1.01,-1.97,57.7
730,16.8,4.8,20.4,20.2,11.1,11.5,12.3,11.1,355.8,175.1,167.1,160.9,139.4,105.2,293.7,188,175.9,172.4,171.2,176.3,-2.97,-1.28,0.38,1.02,1.18,0.54,-0.96,-1.87,62
740,16.3,4.6,19.1,18.9,11.1,11.5,12.3,11.1,346.5,164.8,160.8,153.2,135.3,101.6,282.1,179.6,165.2,166.4,164.9,159.8,-2.88,-1.26,0.4,1.06,1.08,0.27,-1.08,-1.91,55.2
750,14.9,4.3,19.9,18.8,11.1,11.5,12.2,11.1,333.8,157.7,153.3,144.8,129.6,98.2,270.4,170,157.7,158.5,157.7,155,-2.79,-1.24,0.37,1.13,1.06,0.31,-0.98,-1.81,51.6
760,14.4,4.2,21.1,17.5,11.1,11.5,12.2,11.1,325.8,156.5,154.8,145.2,128.1,96.3,264.6,162.6,150.9,155.1,154.2,153.1,-2.74,-1.25,0.31,1,1.08,0.42,-0.99,-1.79,45.1
770,13.2,4,23.2,18.2,11.1,11.5,12.2,11.2,318.4,151.3,151.3,143.2,126.7,96.5,258.2,160.1,148.2,146.1,147.1,154,-2.66,-1.22,0.54,0.99,1.14,0.32,-0.96,-1.71,51.9
780,13.1,3.8,24.2,14.8,11.1,11.5,12.2,11.1,311.4,147.1,146.5,135.8,121.4,98.1,255.2,161.4,146.4,145.2,145,151.2,-2.61,-1.17,0.63,0.95,1.17,0.34,-0.93,-1.67,71.2
790,13.4,3.7,23,17.8,11.1,11.5,12.2,11.1,302.8,142.9,135.1,131.7,122.7,98.8,247.9,153.3,143.9,144.3,142.7,150.4,-2.58,-1.23,0.53,1.01,1.07,0.26,-0.97,-1.69,60.7
800,12.3,3.5,23.7,15.9,11.1,11.4,12.2,11.1,298.9,139,133.7,126.7,119.7,93.3,243.5,148.2,139.1,139.4,139,144.7,-2.51,-1.11,0.57,1.07,1.1,0.32,-0.94,-1.59,57
810,11.6,3.3,20.4,14.9,11.1,11.4,12.1,11,293.5,137.8,126.4,119.4,113.5,89.4,239.5,145.4,138.7,132.5,136,140.4,-2.52,-1.12,0.52,1.13,1.12,0.39,-0.96,-1.6,42.3
820,11.6,3.3,20.3,15.6,11.1,11.4,12.2,11.1,286.4,138.1,126.2,120.2,111.1,89.3,235.7,143.6,135.3,130.3,132.6,138.4,-2.48,-1.05,0.39,1.04,1.08,0.47,-0.97,-1.62,28.8
830,10.8,3.1,19.8,13.3,11.1,11.5,12.2,11.1,280.8,136.1,127.8,118.4,105.8,85,228.9,140.5,128.2,128.9,128.8,132.3,-2.48,-1.11,0.56,1.06,1,0.34,-1.02,-1.63,0
840,10.3,2.9,17.7,14.4,11.1,11.5,12.2,11.1,272.7,134.5,124.3,117.9,107.3,80.2,224.8,136.8,121.8,127.8,122.5,120.4,-2.44,-1.07,0.48,1.07,0.99,0.23,-0.97,-1.62,0
850,9.7,2.8,18.9,13.1,11.1,11.5,12.2,11.1,265.5,133.9,120.5,117.7,105.4,80.7,221.6,133.3,120.1,125.5,117.5,120.8,-2.42,-1.08,0.48,1.06,1.04,0.33,-1.02,-1.65,0
860,9.3,2.8,19.2,11.8,11.1,11.5,12.2,11.1,266,125.7,120.1,116.2,106.6,80.8,219.1,129.4,114.4,121.7,116,122.3,-2.32,-0.95,0.59,1.07,1.06,0.08,-0.96,-1.6,0
870,9.6,2.7,20.8,12.9,11.1,11.5,12.2,11.2,263.6,121.9,115.8,112.3,103.8,80.6,217,125.1,114.5,118.8,115.6,120.6,-2.36,-0.97,0.49,1.05,0.98,0.13,-1.04,-1.6,0
880,10.2,2.6,22,12.1,11.1,11.5,12.2,11.2,253.4,122.5,114.9,103.1,96.2,79.8,212.1,120.8,113.5,112.7,112.4,117,-2.38,-0.97,0.56,1.04,0.93,0.13,-1.1,-1.59,0
890,9.3,2.5,19.9,11.3,11.1,11.5,12.2,11.1,254,123.8,112.2,102.7,94.6,78,208.1,117.1,108.2,109.4,106.9,109.1,-2.35,-0.95,0.49,1.11,1,0.27,-1.01,-1.57,0
900,8.8,2.4,19.7,11.6,11.1,11.5,12.2,11.1,250.4,119.2,112.7,100.4,91.9,74.8,205.2,117.3,107.3,109.8,105.7,109.6,-2.3,-0.93,0.68,1.08,1.02,0.14,-0.99,-1.51,0
910,8.3,2.3,17.5,11.1,11.1,11.5,12.2,11.1,243.7,116.6,105.9,95.1,88.1,73.4,204.1,117.3,107.4,109.5,107,111,-2.29,-0.91,0.65,1.1,0.95,0.18,-0.95,-1.49,0
920,8.3,2.3,18.9,10.8,11.1,11.5,12.3,11.1,241.8,111.7,102,93.6,88.7,72.9,199.2,115.8,106.6,109.1,106.8,109.9,-2.29,-1.03,0.61,1.11,0.92,0.15,-0.97,-1.47,0
930,8.3,2.2,21.9,10.1,11.1,11.5,12.3,11.1,237.4,107.4,97.5,92.8,86.6,69.1,194.7,113.9,107.3,109.3,104.5,107.9,-2.25,-0.98,0.44,1.06,0.98,0.23,-0.92,-1.43,0
940,7.6,2.1,21.1,10.3,11.1,11.5,12.3,11.1,232.1,108.7,101.4,91.5,81.4,68.9,193.1,112.5,105.4,104.5,100.4,103.7,-2.14,-0.8,0.59,1.09,0.89,0.13,-1,-1.46,0
950,7,2.1,23.4,9.1,11,11.5,12.3,11.1,229.8,110,104.4,92.7,81.3,70,189,110.4,99.4,100.4,97.5,97.3,-2.23,-0.96,0.61,1.08,0.93,0.17,-0.95,-1.44,0
960,6.4,2,22.9,9.7,11.1,11.5,12.3,11.2,228.3,111.4,103.7,93.5,83.9,70.5,188.1,108.2,98.4,99.6,97.2,96.3,-2.23,-0.98,0.31,1.11,0.91,0.19,-0.97,-1.42,0
970,6.4,1.9,17.5,8.7,11.1,11.5,12.3,11.1,222.6,107.1,101.3,90.8,83,66.7,185,107.3,98,100.2,96.5,94.9,-2.14,-0.89,0.44,1.13,0.87,0.23,-0.99,-1.45,0
980,5.9,1.8,17.6,7.8,11.1,11.5,12.3,11.1,218.1,99.5,93.4,85.2,78.4,64.7,183.2,104,96.7,96.3,92.8,87.9,-2.19,-0.89,0.58,1.11,0.89,0.11,-1.01,-1.44,0
990,7.1,1.9,19.4,8,11.1,11.5,12.3,11,214.6,97.4,88.6,83.1,80.9,63,181,103.9,95.8,96.4,92.7,88.9,-2.14,-0.9,0.7,1.11,0.89,0.13,-0.95,-1.4,0
1000,6.3,1.8,19.2,7.7,11,11.5,12.3,11.1,210.5,94,87.9,85.3,81,62.6,179.3,101.6,94.1,94.9,93.3,89.9,-2.1,-0.88,0.34,1.09,0.88,0.08,-0.95,-1.37,0
1010,5.7,1.7,23,8.1,11,11.5,12.3,11.1,207.2,98.2,91.3,85.7,79.1,59.8,176.3,99.9,90.7,91.5,89.1,88.4,-2.12,-0.9,0.33,1.12,0.84,0.08,-0.91,-1.38,0
1020,5.6,1.7,19.1,6.6,11.1,11.5,12.3,11.1,206.4,97.8,94.3,86,78.7,60.1,174.1,101.1,88.7,89.3,87.9,87.4,-2.13,-0.91,0.31,1.08,0.96,0.3,-0.88,-1.36,0
1030,5.4,1.6,17.5,6,11.1,11.5,12.3,11.1,203.2,93.2,89.5,85,78.3,57.7,173.5,98.7,89.3,92.7,89.5,87.3,-2.16,-0.96,0.48,1.02,0.97,0.13,-0.95,-1.37,0
1040,5.2,1.6,16.5,6,11,11.5,12.3,11.1,196,96.2,90.3,82.3,74.1,55.5,170.6,95.3,86.4,90.1,88.1,85.3,-2.1,-0.87,0.34,1.05,0.93,0.05,-0.91,-1.3,0
1050,5,1.6,17.6,5.7,11.1,11.5,12.3,11.1,191.3,93.3,88,79.2,69.9,56.1,165.5,95.5,85.6,86.4,85.1,81.4,-2.05,-0.73,0.63,1.15,0.83,0.13,-0.97,-1.36,0
1060,4.9,1.5,18.6,6.1,11.1,11.5,12.4,11.1,191.7,88.4,83.1,77.5,69.5,54.2,165.5,95,84.9,84,82.4,81,-2.04,-0.7,0.53,1.18,0.72,0.05,-0.89,-1.3,0
1070,4.7,1.5,18.5,5.6,11.1,11.5,12.3,11.1,193.9,91,84.9,78.5,70.8,54,163.8,93.5,83.9,83.1,83.5,81.7,-2.06,-0.84,0.41,1.16,0.81,0.11,-0.87,-1.3,0
1080,4.2,1.4,20.8,4.9,11.1,11.5,12.3,11,192,90.9,85.1,78.1,71.2,53.1,162.4,92.6,84.5,83.4,81.7,76.3,-2.08,-0.77,0.5,1.14,0.85,0.09,-0.89,-1.37,0
1090,4.3,1.4,20.3,5.1,11.1,11.5,12.4,11.1,189.4,88.8,85,78.4,71.2,55.1,161,91.1,84.9,81.9,78.4,72.3,-2.05,-0.81,0.46,1.12,0.85,0.05,-0.93,-1.38,0
1100,4.6,1.4,19,4.7,11.1,11.5,12.4,11.1,185.4,85.9,80,74.5,68.2,51.3,158.7,89.3,82.9,80.9,79,75.9,-1.99,-0.73,0.52,1.15,0.84,0.02,-0.96,-1.37,0
1110,4.3,1.3,14.4,4.5,11.1,11.6,12.4,11.1,182.4,85,79.6,74.9,68.3,51.8,157,90.4,80.6,80.2,78.7,75.4,-1.97,-0.66,0.57,1.12,0.8,0.02,-0.89,-1.31,0
