Time,HFG_WALL,HFG_FLOOR,HFG_CEILING,HFG_BURNER,HFG_TC_1,HFG_TC_2,HFG_TC_3,HFG_TC_4,TC_TREE_1_1,TC_TREE_1_2,TC_TREE_1_3,TC_TREE_1_4,TC_TREE_1_5,TC_TREE_1_6,TC_TREE_2_1,TC_TREE_2_2,TC_TREE_2_3,TC_TREE_2_4,TC_TREE_2_5,TC_TREE_2_6,BDVP_DOOR_VEL_1,BDVP_DOOR_VEL_2,BDVP_DOOR_VEL_3,BDVP_DOOR_VEL_4,BDVP_DOOR_VEL_5,BDVP_DOOR_VEL_6,HRR
520,170.1,53.9,80.7,0.2,11.6,12.3,14,11.5,1000.3,944.3,916.2,691.1,532.9,475.4,798.7,773.8,753.9,724,657.8,580.2,-7.7,-4.9,-2.7,1.7,1.9,1.8,1626.3
530,173.3,53.3,78.2,0.2,11.6,12.4,14,11.5,1002.9,938.1,893.2,680.1,550.8,482.5,797.5,775.3,756.5,716.6,648.8,579.1,-7.6,-4.8,-2.3,1.6,1.7,1.5,1637.4
540,174.1,53,78.5,0.2,11.6,12.4,14.1,11.5,1025.5,955.5,887.3,655.7,563.3,484.2,799,773.6,754.4,717.6,632.3,586.6,-7.6,-4.7,-2.4,1.8,1.9,1.7,1627
550,171,53.1,76.5,0.2,11.6,12.4,14.1,11.5,1027.2,954.3,884.9,636.8,565.1,476.6,802,776.9,758.1,718.1,631.7,590.4,-7.6,-4.7,-2.3,1.7,1.8,1.5,1713.4
560,170.5,53.3,77.5,0.2,11.6,12.4,14.1,11.5,1028.8,964.2,873.4,651.8,566,477.5,798.9,777.2,759.9,720.8,644.2,590.6,-7.6,-4.7,-2.3,1.5,1.8,1.6,1734.9
570,170.6,53.2,72,0.2,11.6,12.4,14.2,11.5,1029,962.6,885,651.5,559.8,485.7,811,786.7,766.5,719.6,628.9,594,-7.6,-4.7,-2.4,1.7,1.7,1.4,1766.2
580,163.8,53.1,70.2,0.2,11.6,12.4,14.1,11.5,1040.5,971.7,865.4,639.8,567.1,473.4,804.8,783.1,762.7,711.2,644.8,574.8,-7.5,-4.6,-2.1,1.8,1.9,1.7,1710.3
590,80.6,39.4,47.9,0.2,11.6,12.4,14.1,11.5,904.9,819.6,673.1,577,528.1,467.2,766,721.4,680.3,638.2,609.8,557.9,-6.8,-4.1,-1.8,1.5,1.9,1.6,1749.6
600,58.5,31.6,43.1,0.2,11.6,12.4,14.2,11.5,790.9,672.8,577.8,522.7,479.2,403.8,707.4,651.6,620.8,568.2,549.9,514,-6.4,-3.9,-1.5,1.4,1.7,1.4,1780.5
610,48.5,28,41.2,0.2,11.6,12.4,14.2,11.5,735.3,603.4,516.8,470.1,447.7,401.3,665.4,596.5,564.6,528.4,519.8,491,-6.1,-3.6,-1.6,1.6,1.9,1.6,1112.8
620,42.7,24.8,37.5,0.2,11.6,12.4,14.2,11.4,688.9,575.5,480.7,424.2,405.1,360.9,617.9,560.5,518.7,451.6,463.6,452.5,-5.7,-3.5,-1.9,1.6,2.2,1.7,641.7
630,39.3,22.9,37.3,0.2,11.6,12.4,14.2,11.4,655.5,532.1,464.3,412.4,393.3,348.3,576.9,531,468.2,433,442,441.2,-5.5,-3.3,-1.4,1.6,2,1.7,490
640,35.6,21.2,34.8,0.2,11.6,12.4,14.2,11.4,624.2,470,428.1,399.6,372.1,335.4,546.1,499.3,451.1,409.1,421.8,413.4,-5.4,-3.3,-1.4,1.4,1.9,1.6,396
650,33.4,19.7,30.8,0.1,11.6,12.4,14.2,11.4,601.1,439.2,402.4,373,351.1,300.6,530.1,472.2,411.4,386.9,393.9,396.9,-5.2,-3.1,-1,1.4,1.8,1.7,323.1
660,31.8,18.6,29.5,0.1,11.6,12.4,14.2,11.4,576.9,437.2,400.9,367.6,343.5,283.7,508.1,449.3,400.4,377.3,381.7,380.7,-5,-3.1,-1,1.5,1.8,1.6,297.3
670,29.3,17.4,28.8,0.1,11.6,12.4,14.1,11.4,571.4,412.2,375.2,344.9,327.8,285,496.2,423.8,375.3,352.6,359.1,371.7,-5,-3,-1.1,1.5,1.8,1.3,264.8
680,28,16.9,30.8,0.1,11.6,12.4,14.2,11.4,554.8,392.8,359.2,318,307.4,270.7,477.6,420.1,382.5,348.2,344.1,353.9,-4.9,-3,-0.6,1.3,1.7,1.2,268.8
690,26.4,15.9,28.9,0.1,11.6,12.4,14.2,11.4,541.9,377.7,342.2,307.5,289,251.8,464.1,414.2,375.7,343.9,346.8,348.1,-4.8,-2.9,-0.8,1.4,1.6,1.2,258.8
700,25.3,15.4,25.5,0.1,11.6,12.4,14.2,11.4,519.7,356.7,342.6,303.5,282.6,234.3,451.6,404.4,363.1,329.7,339.8,337.8,-4.6,-2.8,-0.8,1.3,1.4,0.9,260
710,24.5,14.7,28.1,0.1,11.6,12.4,14.2,11.4,502.8,338.1,335.3,314.9,289.5,245.6,445.3,402,370.7,337.5,337.2,339.1,-4.5,-2.7,-1.1,1.4,1.6,1.1,248.2
720,23.3,14.1,31.1,0.1,11.6,12.5,14.4,11.4,490,342.4,331,315.8,289.8,233.5,435,383.4,338.7,310.5,325.5,332.7,-4.5,-2.6,0.1,1.4,1.5,1.2,262.8
730,22.4,13.6,32.6,0,11.6,12.5,14.4,11.4,491.4,334.2,321.9,302.3,290.9,234.4,429.4,373.9,328.9,301.2,309,309.4,-4.5,-2.6,-0.6,1.4,1.5,1,263.2
740,21.7,13.2,29.4,0,11.6,12.5,14.4,11.4,470.9,323.5,316.8,301.5,289.6,229,417.2,368.1,341.1,305.6,309.3,312,-4.4,-2.6,-0.8,1.5,1.6,1.1,266
750,21,12.7,28.5,0,11.7,12.5,14.4,11.4,457.5,314.3,322.3,301.1,282.9,218.9,410.9,365.1,320.4,304.1,307.6,309.9,-4.3,-2.5,-0.8,1.3,1.4,1.1,238.2
760,20.3,12.2,28.2,0,11.6,12.5,14.4,11.4,457.3,304.8,302.1,287.4,264.3,220,405.4,355.8,319.4,300.5,298.5,295.1,-4.3,-2.5,-0.8,1.4,1.6,1.4,220.7
770,19.4,11.9,27.3,0,11.6,12.5,14.4,11.4,448.5,305.1,297.4,283.2,263.4,212.3,397.2,347.8,317.6,293,291.6,288.4,-4.2,-2.6,-0.8,1.4,1.5,1.5,201.3
780,18.6,11.6,32.9,0,11.7,12.5,14.5,11.4,449.4,299.9,280.4,254.1,239.2,201.3,394.5,336.4,298,273.2,273.6,263.6,-4.2,-2.4,-0.4,1.3,1.4,0.9,194.8
790,18.3,11.4,26.3,-0.1,11.6,12.5,14.6,11.4,439.1,292,266.7,243,231.2,204,391.7,331.7,305.4,275.7,263.6,250,-4.2,-2.4,-0.5,1.3,1.3,1,197
800,17.6,11,27.3,-0.1,11.6,12.6,14.8,11.3,433.5,277.4,252.7,233.5,223.3,207.2,391.1,323.1,286.4,259.9,261.4,255.2,-4.1,-2.4,-0.3,1.3,1.4,1.2,193.5
810,17.4,10.5,26.3,-0.1,11.6,12.7,15,11.4,432,283.4,254.1,226.4,210.5,199.5,386.2,320.8,282.8,260.6,265.1,246.9,-4,-2.3,0,1.2,1.3,1,192.6
820,17.1,10.3,27.5,-0.1,11.6,12.7,15.1,11.4,423.9,294.6,255.4,222.6,211.7,199.9,379.3,301.2,276,246.9,249.3,240,-4,-2.3,-0.2,1.2,1.3,0.8,172.2
830,16.2,10.1,29.2,-0.1,11.6,12.7,15.2,11.4,416.7,284.5,246.6,219.3,206.7,191.7,375.1,307.1,276.9,252.2,243.9,222.1,-4,-2.2,-0.2,1.3,1.3,0.9,0
840,16.1,9.9,24.1,-0.1,11.6,12.7,15.2,11.4,413.5,274,248.1,215.2,203.6,188.8,369.9,311.1,283.3,255.3,242.4,217.4,-4,-2.2,-0.2,1.2,1.2,1.1,0
850,15.2,9.5,24.1,-0.1,11.6,12.7,15.2,11.4,404.4,269.1,246.3,212,197.4,183.5,364.1,298.2,277.6,253.4,248.8,226.2,-3.9,-2.2,0.2,1.2,1.3,1.2,0
860,15.1,9.2,22.6,-0.1,11.6,12.7,15.1,11.4,396.7,264.4,250.3,221.4,202.6,185.6,358.4,290.4,273.4,254,252.6,238,-3.8,-2.2,-0.2,1.3,1.5,1.4,0
870,14.3,9,19.6,-0.2,11.6,12.6,14.9,11.4,393.8,264.9,237.9,214.5,196.2,179.6,354.3,290.4,267.6,229.1,238.2,232.7,-3.9,-2.2,-0.5,1.3,1.2,1.1,0
880,14.4,8.7,19.9,-0.2,11.6,12.6,14.8,11.4,387.1,258.4,234.9,208.4,198.4,167.4,347.6,285.4,264,234.8,238.9,229,-3.8,-2.2,-0.3,1.3,1.5,1,0
890,14.1,8.5,18.6,-0.2,11.6,12.7,14.9,11.4,379.4,254.5,250.8,225.9,213.4,164.6,340.7,279.3,265.8,232.3,233.8,223.1,-3.7,-2.1,-0.1,1.3,1.7,1.1,0
900,14.1,8.6,19.6,-0.2,11.6,12.7,15,11.4,378.5,243.9,232.7,216.4,201.8,162.7,333.1,289.8,269.4,229.9,231.6,225.7,-3.8,-2.1,0.3,1.3,1.2,0.7,0
910,13.4,8.2,21.2,-0.2,11.6,12.6,14.8,11.4,368.1,234.6,233.9,215,203.1,164.7,327.9,275.1,262,236,234.1,222,-3.7,-2.1,0,1.3,1.2,0.8,0
920,13.5,7.9,18.6,-0.2,11.7,12.6,14.8,11.4,366.7,229.8,224.1,203.6,198.1,158.9,327.3,278.6,250.3,219.6,220.2,213.8,-3.6,-2.1,0.1,1.2,1.2,0.9,0
930,13.2,7.7,19.2,-0.2,11.7,12.6,14.8,11.4,365.6,236.3,213.4,192,183.7,152.6,324.2,272.2,243.2,213.9,212.7,202.5,-3.6,-2,0,1.3,1.3,1.1,0
940,12.6,7.6,20.8,-0.2,11.7,12.7,14.9,11.4,361.3,227.2,206.9,190.2,176.7,150,321.5,268.7,243.9,218.8,218.1,200.8,-3.6,-2.1,-0.8,1.3,1.3,1.1,0
950,12.3,7.5,20.1,-0.2,11.7,12.6,14.9,11.4,359,230.7,207.9,186,169.1,149.9,321,261.8,238,213.8,200.4,191.4,-3.6,-2,0,1.3,1.2,1.1,0
