Time,HFG_WALL,HFG_FLOOR,HFG_CEILING,HFG_BURNER,TC_TREE_1_1,TC_TREE_1_2,TC_TREE_1_3,TC_TREE_1_4,TC_TREE_1_5,TC_TREE_1_6,TC_TREE_2_1,TC_TREE_2_2,TC_TREE_2_3,TC_TREE_2_4,TC_TREE_2_5,TC_TREE_2_6,BDVP_DOOR_VEL_1,BDVP_DOOR_VEL_2,BDVP_DOOR_VEL_3,BDVP_DOOR_VEL_4,BDVP_DOOR_VEL_5,BDVP_DOOR_VEL_6,BDVP_WINDOW_VEL_1,BDVP_WINDOW_VEL_2,HRR
110,13.6,2.7,8.3,61.9,314.9,212.5,123.9,82.4,78,79.5,293,247.1,196.9,82.7,65.2,56.2,-1.09,-0.14,-0.09,0.06,0.08,0.14,0.04,-0.48,83
120,12.7,2.8,7.9,59.8,310.1,219.7,127.5,85.3,79.9,81.9,295.3,250.6,205.8,88.9,67.5,58.1,-1.13,-0.14,-0.03,0.09,0.09,0.14,0.06,-0.5,81.9
130,15,2.9,7.8,59.6,316.1,225.8,126.7,87.2,79.7,83.8,303.5,258.6,216.4,88,68.8,60.1,-1.08,-0.11,-0.07,0.08,0.1,0.1,0.05,-0.44,81.1
140,13.7,3,7.8,60.3,316,227.9,128.8,92.3,84.2,86,305.1,261.3,215.5,89.2,70.7,62.4,-1.16,-0.18,-0.1,0.09,0.07,0.17,0.08,-0.49,79.5
150,13.2,3,8.5,64.5,316.2,227.2,123.4,92.8,85.8,88.3,304.8,264.4,219.5,90.6,72.3,63.9,-1.15,-0.18,-0.06,0.09,0.1,0.13,0.1,-0.5,77.6
160,13.1,3.1,7.6,66.8,322.1,229.9,127.6,94.9,88,89.5,305.8,268.3,221.6,92.2,74.3,64.3,-1.21,-0.17,0.06,0.12,0.14,0.19,0.05,-0.52,81.6
170,12.3,3.1,8,64.4,323.9,231.1,135.6,92.3,86.3,91.3,308.5,269.3,226.1,91.7,76.3,67.2,-1.14,-0.11,0.12,0.12,0.17,0.2,0.1,-0.57,79.6
180,13.4,3.2,8.2,66.3,330.8,242,136.6,96.7,91.1,92.5,311.6,272.2,229.3,93.4,77.8,67.7,-1.2,-0.17,0,0.11,0.13,0.16,0.04,-0.59,81
190,15.6,3.2,8,64.8,331.5,244.3,136.5,99.6,93.3,94.6,312,274.3,232.2,95,79.1,69.7,-1.18,-0.16,0.12,0.11,0.15,0.2,0.09,-0.54,79
200,13.9,3.3,8.5,67.6,325,248.8,144.2,100.6,95.4,96,311.9,276,240.1,100.3,79.5,70.9,-1.14,-0.14,0.12,0.12,0.14,0.19,0.1,-0.62,82.4
210,14.7,3.3,8.2,67.9,325.4,251.7,143.6,101.7,93.9,97.4,311.6,274.2,240.9,102.2,79.4,70.7,-1.16,-0.13,0.12,0.12,0.13,0.2,0.07,-0.62,80.5
220,14.7,3.4,8.6,67.7,332,249.5,135,102.2,92.9,98.3,320.5,282.6,241.5,100.7,81,71.8,-1.17,-0.16,0.08,0.11,0.17,0.2,0.1,-0.63,82.7
230,14.2,3.5,8.4,65.9,334.5,255.2,135.3,104.7,95.3,100.8,313.6,281.1,236.8,102.6,82.4,73.5,-1.21,-0.22,0.02,0.12,0.14,0.17,0.06,-0.61,82.6
240,15,3.4,8.5,68.8,332.9,258,141.5,107,98,101.3,310.9,281.9,245.5,105.4,83.9,75.2,-1.21,-0.19,0.03,0.12,0.18,0.2,0.05,-0.66,83.9
250,13.3,3.5,8.3,66.3,326.6,256,139.9,103.7,91.5,102.4,314.7,280.4,242,105.2,84.3,76.2,-1.23,-0.23,-0.01,0.12,0.15,0.18,0.08,-0.67,80
260,13.9,3.6,7.9,66.8,325.7,258.8,142.2,106.4,94.6,103.2,315.6,280.6,241.3,104.7,86.5,77.3,-1.25,-0.24,-0.02,0.13,0.16,0.17,0.08,-0.66,79.2
270,14.4,3.6,8.3,70.2,337.3,263.4,143.9,109.9,98.1,105.2,319.7,282.1,241.9,106.8,89.2,78.7,-1.28,-0.23,0,0.13,0.16,0.17,0.1,-0.66,82.2
280,14.5,3.7,8.9,71,331.2,263.5,141.2,112.8,102.5,107,320.2,284.2,239,107,89.4,78.4,-1.26,-0.22,-0.1,0.12,0.14,0.13,0.05,-0.65,81.5
290,15.1,3.8,8.4,70.5,337.1,265.7,144.8,115.2,105.9,108.5,315,283.4,237.2,108.6,89.9,80.5,-1.26,-0.24,-0.06,0.12,0.14,0.15,0.07,-0.67,81.7
300,16,3.8,8.3,67.8,341.7,270.3,147.9,116.4,107.2,109.8,317.6,286.5,244.1,110.9,89.8,80.6,-1.29,-0.23,-0.08,0.1,0.12,0.13,0.09,-0.67,87.4
310,33.4,6.4,14.4,71.9,444.2,293.5,172.3,121.8,109.8,115.6,366.2,317.8,273.4,123.9,94.7,84.7,-1.47,-0.31,-0.08,0.12,0.14,0.16,-0.02,-0.84,143.9
320,41.5,8.6,17.3,72,583,357.7,200.6,138,123.6,130.5,450.2,383.5,335.2,141.6,107.5,94.4,-1.58,-0.31,-0.14,0.12,0.14,0.14,0.05,-0.96,177.3
330,44.8,9.5,18.1,72.5,612,404,204.4,155.8,141.1,143.6,459.8,402.4,358.6,158.6,119.1,104.2,-1.68,-0.34,-0.02,0.16,0.17,0.19,0.08,-1.04,189.4
340,44.7,9.9,19,73.5,627,421.9,218.6,165.4,146,152.1,476.9,416.6,371.5,173,128.5,110.7,-1.71,-0.4,-0.08,0.17,0.18,0.24,0.11,-1.07,183.7
350,46.5,10.4,18.9,71.4,641.4,441.1,231.4,176.8,155.9,158,483.1,424.6,375.1,181,134.2,114.5,-1.72,-0.39,-0.02,0.18,0.2,0.24,0.08,-1.12,187.5
360,48.1,11,19,71.3,665.1,444.9,231.6,183.1,159.1,165.4,486.4,429.3,367.4,179.4,142.2,118.5,-1.77,-0.39,0.04,0.18,0.19,0.22,0.06,-1.1,187.1
370,46.9,11.5,20.4,74.1,651,453.8,234.6,189.1,166.3,172.4,491.9,437,378.2,183.7,147.7,122.2,-1.78,-0.42,0,0.19,0.23,0.25,0.13,-1.12,187.5
380,47.6,11.8,20.8,73.7,656.7,458.9,243.4,201.1,169,178.7,494.8,440.3,398.2,198.7,153.2,128.8,-1.85,-0.42,0.04,0.2,0.23,0.29,0.11,-1.17,183
390,46.2,12.3,21,76.2,657.1,475.2,250,204.4,171.4,185,489.3,442.1,407.9,217.4,155.2,130.6,-1.81,-0.46,0.09,0.2,0.25,0.3,0.13,-1.23,185
400,49.4,12.5,21.5,76.7,671.2,478,253.1,214.7,182.7,190.3,497.4,446.4,398,212.2,162.4,139.4,-1.81,-0.47,0.13,0.22,0.24,0.28,0.14,-1.22,185.5
410,49,12.9,22.4,73.7,675.2,477,256.8,222.7,196,193.9,503.1,449.1,399.3,204.8,165.6,142.6,-1.83,-0.47,0.12,0.22,0.25,0.28,0.05,-1.26,181.4
420,49.7,13.4,23.5,73.3,685.9,479.6,263.8,226,205.2,197.8,495.4,447.2,401.6,208.8,169.1,144.8,-1.84,-0.45,0.14,0.2,0.24,0.28,0.05,-1.22,177.9
430,47.8,13.5,24.7,74.6,672.4,495.9,264.7,233,207,203,496.6,447.7,399.8,216.9,173.9,146.1,-1.9,-0.52,-0.04,0.2,0.25,0.28,0.12,-1.3,178.4
440,50.3,13.6,25.2,76.5,679.8,496.4,275.3,231.1,202.7,205.3,500.1,450.3,410.8,224.1,175.9,149.8,-1.96,-0.51,0.07,0.22,0.26,0.31,-0.02,-1.31,183.8
450,51.5,13.9,26.3,77.4,711.6,493.1,281.1,240.8,210.7,210.3,499.6,454,400.2,220.7,180.5,157.1,-1.92,-0.54,0.13,0.24,0.26,0.3,0.13,-1.33,178.9
460,48.6,14,24.9,76,701,501.1,288.7,247.3,218.6,213.7,504,457,404.3,221.2,183.1,155.3,-1.92,-0.52,0.11,0.24,0.27,0.3,0.12,-1.28,184.9
470,50.6,14.1,26.7,77.1,714.4,498.7,287.1,249.2,218,215.5,504.5,456.6,413.2,224.8,185.8,160,-1.93,-0.56,-0.01,0.24,0.26,0.28,0.1,-1.32,183.2
480,52.1,14.4,25.5,76.6,729.7,496,291.6,251.8,215.4,220.1,512.8,457.9,409.1,228.7,191,161.1,-1.96,-0.6,-0.03,0.24,0.26,0.28,0.09,-1.3,180.8
490,51.3,14.6,25.5,76.7,710.3,494,294.7,253,223.9,220.9,513.2,460,412.6,232,194.7,166.6,-2,-0.59,0.05,0.23,0.25,0.31,0.14,-1.38,184.6
500,47.5,14.4,24.7,77.3,702.8,505,302.1,249.5,223.7,223,513.1,466.4,423.6,245.6,200.7,171.5,-2.08,-0.67,-0.1,0.24,0.27,0.32,0.13,-1.41,179.7
510,47.8,14.8,23.7,81.7,664,527.3,318.7,247.7,211.6,225.3,498.7,461.3,432.9,284.4,208.1,172.8,-2.05,-0.68,-0.16,0.27,0.29,0.33,0.07,-1.48,187.3
520,51.3,14.6,25.1,77.1,692.8,529.4,312.4,255.8,228.6,225.9,500.5,460.1,426.7,271,206.9,171.6,-2.1,-0.67,-0.1,0.24,0.26,0.32,0.01,-1.44,187.2
530,49.7,15.2,24.6,81.5,682.9,525.8,319.2,260.4,226.3,230.3,503.5,465.1,436.3,277.6,209.2,172.8,-2.14,-0.73,-0.16,0.26,0.3,0.34,0.12,-1.5,181.7
540,46.7,14.9,25.2,81.5,654.4,527.8,339.3,253.1,219.8,231.4,487.2,456.1,433.4,305.5,213,171.2,-2.04,-0.71,0.02,0.28,0.3,0.36,0.11,-1.55,179.7
550,50.8,15.3,25.3,81.1,703.6,545.4,330.9,263.2,231.2,233.5,497.4,467.3,439.6,307.9,216.8,173.9,-2.07,-0.62,0.02,0.26,0.29,0.35,0.1,-1.55,182.2
560,51.6,15.4,24.8,80.7,709.9,546.3,323.6,269.9,241.2,239,498.1,464.6,430.3,290.6,216.7,179.1,-2.1,-0.69,0,0.24,0.29,0.37,0.08,-1.52,182.1
570,52.4,15.7,25.6,78.2,719.1,541.6,322.2,276.4,250,239.4,499.2,464.9,425.1,287.4,214.5,178.3,-2.11,-0.69,-0.06,0.27,0.29,0.34,0.19,-1.47,184.5
580,54.4,16.3,25.7,76.4,725.1,526.4,320.1,278.8,248.2,240.8,514.2,470.1,422.7,269.7,213.9,178.2,-2.06,-0.67,-0.05,0.26,0.29,0.34,0.13,-1.44,180.3
590,54.4,16.4,26.2,77.7,739.3,519.7,325.4,288.6,255.6,247.7,516.4,467.3,422.9,266.9,216,184.4,-2.08,-0.7,-0.04,0.26,0.3,0.34,0.18,-1.5,177.6
600,52.2,16.3,25.8,77.3,732.5,522.4,328.2,295.4,264.4,251.1,521.4,475,428.3,268.8,219.1,183.5,-2.08,-0.7,0.03,0.27,0.3,0.35,0.13,-1.48,179.4
610,55.9,17.2,26.9,78.5,738.9,550.5,334.8,299.3,269.5,252.2,520.6,472.9,432.8,272.1,224.8,191.4,-2.15,-0.75,0.05,0.28,0.31,0.36,0.16,-1.54,190.9
620,57.2,17.8,26.6,77.3,757.7,570.6,350.6,306.1,274.2,256.2,528.2,485.2,444.6,288.2,232,197.9,-2.18,-0.75,0.01,0.3,0.32,0.37,0.07,-1.56,200.7
630,58.1,18.5,27.4,80.1,785.3,569.1,348.5,312.2,282.5,260.3,531,490.8,449.4,290.6,233.6,203.3,-2.16,-0.75,-0.08,0.27,0.31,0.34,0.14,-1.58,200.5
640,58.8,18.5,28.1,78.5,778.2,547.8,351.5,317.6,283,263.8,542.2,496.5,450.5,293,241.6,210.8,-2.16,-0.79,-0.19,0.3,0.32,0.36,0.03,-1.56,204.4
650,58.1,18.8,27.3,77,782.5,552.6,355.4,320.4,281.2,267.7,542.7,497.4,448.5,290.3,245.7,212.6,-2.18,-0.8,0.04,0.31,0.33,0.36,0.16,-1.58,200.1
660,58,19,26.3,78.8,765.5,558.5,356.6,321.1,288.6,271.4,550.4,499.7,456.1,304,244,205.8,-2.24,-0.83,-0.18,0.3,0.33,0.37,0.03,-1.63,194.8
670,54.9,19,25.1,80.6,732.8,572.2,368.1,313.3,279,275.4,541.1,502,468.6,327.4,252,205.4,-2.28,-0.88,-0.18,0.31,0.34,0.36,0.07,-1.69,202.4
680,56.4,19.2,25.5,79.1,739.5,580.9,369.9,319.5,283.3,276.5,541.8,505.5,471,336.7,254.5,211.8,-2.23,-0.88,-0.16,0.32,0.35,0.38,-0.01,-1.68,201.1
690,57.1,19.4,26.3,81.8,746.8,567.7,362,302.3,259.7,278.1,545.5,505.1,474.9,338.9,254.4,214.4,-2.26,-0.91,-0.2,0.33,0.35,0.38,-0.01,-1.73,204.7
700,57.2,19.5,25.9,83.3,751.3,577,376.2,313.7,272.1,278,552.3,510.9,482.1,346.5,262.3,217.1,-2.28,-0.89,-0.16,0.32,0.35,0.41,0,-1.74,205.3
710,56.2,19.7,25.5,81.8,749.6,577,373.5,307,261.2,277.4,552.5,512.1,483.4,352.3,261.9,221,-2.31,-0.94,-0.26,0.35,0.36,0.39,-0.19,-1.73,199.5
720,56.6,20.1,25.5,81.8,736.5,580.3,382.5,294.7,252.8,282.3,551.6,517.9,489.4,354.1,261.1,221.1,-2.29,-0.92,-0.16,0.33,0.38,0.42,-0.19,-1.74,206.5
730,58.6,20.1,24.9,82.2,730,578.8,383.9,304.2,258,286.1,551.8,515.5,487.5,357.8,265.9,223.8,-2.27,-0.95,-0.17,0.34,0.39,0.43,-0.1,-1.79,208.8
740,58.8,20.4,25.8,81.3,736.4,585.8,382.8,316.9,266.7,291.7,556.8,518.4,486.4,359.8,271.7,228,-2.31,-0.99,-0.06,0.35,0.39,0.43,-0.04,-1.78,204.2
750,59.7,20.5,25.6,82.5,733.1,586.8,393.1,302.8,258.8,294,560.1,523.5,496.6,372.8,272.5,227.5,-2.32,-1,-0.13,0.35,0.39,0.45,-0.24,-1.82,201
760,59.2,20.8,26.4,81.3,742.7,593,392.5,318,271.6,296,568.7,525.3,492.1,366,274,228.9,-2.3,-1,-0.17,0.36,0.37,0.47,-0.08,-1.77,203.8
770,59,20.6,25.9,81.3,733.3,600.7,414.1,333.9,286.7,300,556.5,519.1,494.8,379.2,278.9,236.7,-2.25,-0.98,-0.06,0.34,0.37,0.47,-0.09,-1.81,203.3
780,60.7,21.4,26.1,81.6,741,596.8,407.5,326,278.7,299.5,570.1,526.4,499.4,387.7,281.6,240.6,-2.33,-1.02,-0.21,0.33,0.38,0.42,-0.03,-1.79,205.9
790,60.9,21.3,26.7,83.5,741,615.5,421.5,332.1,281.3,302.9,567,523.3,499.4,383.6,281.9,243.9,-2.33,-0.99,-0.03,0.35,0.4,0.46,-0.04,-1.82,199.9
800,61.1,21.6,26.7,82.6,741.4,602.3,419.9,322.4,280.2,303.2,566.6,524.5,502.1,386.6,284.4,240.4,-2.35,-1,-0.17,0.35,0.39,0.43,-0.2,-1.79,203.9
810,60.6,21.3,27.6,83.5,738.1,604.6,428.4,337.3,292,312.2,563.5,520.1,494,385.5,285.2,244.7,-2.35,-1.03,-0.07,0.36,0.39,0.44,-0.11,-1.85,200
820,62.2,21.2,27.5,84.2,755.5,624.1,447.5,344.6,301.5,310.7,552.4,520.6,492,386.4,289.4,244.7,-2.39,-1.05,0.02,0.37,0.39,0.44,-0.24,-1.85,202.8
830,61.5,21.8,27.3,82.9,743.4,616.1,440.7,338.5,298.6,315.5,554.4,527.1,499.1,381.4,289.9,250.2,-2.39,-1.06,-0.08,0.39,0.4,0.41,-0.18,-1.88,198.5
840,63,22,27.9,81.4,747.7,621.1,446.4,347.7,306.3,318.5,559.1,528.4,502.5,386.6,294.9,249.4,-2.38,-1.06,-0.08,0.37,0.38,0.47,-0.1,-1.82,203.3
850,63.4,22,28,82.6,767.8,619.2,440.7,343.7,302.5,320.6,562.5,532.2,505,391.7,295.6,253.5,-2.43,-1.09,-0.36,0.36,0.39,0.46,-0.22,-1.84,203.4
860,64.9,22,28,82.7,766.6,624.7,445.7,352.7,308.7,324.5,551.3,525.7,499.9,384.9,298.2,249.1,-2.41,-1.08,-0.28,0.37,0.4,0.46,-0.05,-1.85,197.7
870,62.2,22.2,29,82.4,746,627.3,451.1,368.5,325.4,327.3,555.6,529.4,502.9,395.1,299.2,250.4,-2.32,-1.1,-0.21,0.34,0.39,0.46,-0.07,-1.86,197.7
880,63.2,22.5,27.8,83.8,727.6,617.1,441.2,368.3,317.6,328.4,553.7,527.5,506.5,408.3,298.5,255.2,-2.35,-1.13,-0.18,0.39,0.4,0.5,0.02,-1.9,201.2
890,63,22.6,28.2,84,725.5,613.5,440.2,369.2,318.4,331.4,565.2,540.2,515.2,419.6,303.5,256.7,-2.36,-1.1,-0.24,0.37,0.39,0.47,-0.13,-1.92,203.6
900,63.3,22.8,28,84.5,740.8,631.5,451.7,371.5,326.7,333.7,561.3,537.5,510.8,408.4,308.8,264.3,-2.44,-1.14,-0.07,0.39,0.4,0.46,-0.24,-1.9,198.3
910,29.4,15.7,20.2,34,651.1,492.9,388.4,334.4,310.7,319.9,522.5,484.4,450.6,359.9,289.4,254.7,-1.99,-0.95,-0.16,0.41,0.42,0.46,0.22,-1.43,85
920,17.3,10.8,14.9,15,524.9,340.6,302.2,291.4,292.9,285.9,418.8,382.8,350.3,295.1,248.1,221.6,-1.68,-0.84,-0.25,0.38,0.37,0.4,0.17,-1.19,24.8
930,14.1,9.2,12.6,12.3,462.5,272.2,250.1,258,265.5,261,372.1,335.1,308.2,271.8,229.8,204.7,-1.53,-0.77,-0.12,0.35,0.36,0.39,0.22,-1.03,16.7
940,12.7,8.2,11.7,10.7,432.2,243.9,228.6,233.6,243.8,240.4,347.8,306.5,280.4,249.9,213.4,197,-1.46,-0.76,-0.22,0.34,0.34,0.38,0.19,-0.97,11.1
950,11.3,7.5,11.1,10.2,404.5,234.1,214.6,216.2,223.1,222.6,328.8,287.4,263.9,231.1,202.2,179.7,-1.37,-0.67,-0.06,0.29,0.3,0.36,0.21,-0.94,8.2
960,10.4,6.9,11.6,9.6,380.5,223.6,203.1,200.5,208.4,210.3,311.2,265.6,246.3,212.5,190.3,174,-1.28,-0.64,0.09,0.29,0.28,0.33,0.19,-0.86,9.9
970,9.6,6.3,11.1,8.6,364.2,212.2,197.1,187.8,194.4,198.6,298.6,252,230.4,201.5,184.5,170.7,-1.26,-0.66,-0.13,0.27,0.26,0.34,0.19,-0.84,8.6
980,9.3,5.9,11,7.4,344.3,197.3,183.9,179.2,188.1,191.1,284.9,244.8,220.5,191.2,173.4,160.5,-1.19,-0.57,0,0.25,0.25,0.32,0.18,-0.8,8.3
990,8.5,5.6,10.5,6.4,324.6,179.7,171.7,176,184.3,183.7,273.7,226.8,209.8,187.6,170.9,154.3,-1.13,-0.52,0.17,0.26,0.23,0.32,0.14,-0.75,8.5
1000,8.1,5.3,9.7,6.5,313.2,175.3,166.8,167.8,175.4,175.6,266.9,217,201.8,180.4,162.1,147.4,-1.09,-0.51,0.02,0.24,0.23,0.31,0.17,-0.69,6.2
1010,7.6,5,10.1,6.2,310.5,178.5,169.3,161.6,167.2,169.3,257,206.6,195.8,175.2,155.7,142.5,-1.08,-0.54,-0.17,0.25,0.23,0.28,0.2,-0.66,6.3
1020,7.2,4.8,8.8,6.2,303.4,178.6,163.4,153.8,157.9,162.2,250.1,202.7,185.7,164.8,149.8,139,-1.04,-0.53,-0.19,0.24,0.24,0.27,0.19,-0.64,6.4
1030,6.6,4.4,8.3,5.6,293.8,173.5,162.3,146.9,150.4,157.8,243.4,198.3,179.2,158.8,147.2,137.7,-1.01,-0.5,-0.16,0.23,0.24,0.28,0.19,-0.68,5.4
1040,6.6,4.3,9.7,5.1,284.3,166,150.7,146.1,151.4,153.6,238.5,190.4,177.4,157.1,142.5,134,-0.95,-0.47,0.13,0.22,0.23,0.25,0.11,-0.65,5.4
1050,6,4.1,8.5,4.7,276.7,153.6,142.6,143.2,150,149.4,234.2,186.4,174,155.4,138.4,130.9,-0.94,-0.47,-0.1,0.21,0.24,0.27,0.18,-0.62,5.4
1060,6,3.8,9.4,4.9,271.9,152.6,141,136.1,140,144.4,228.2,180.8,164.3,151.9,136.4,123.9,-0.93,-0.46,-0.01,0.22,0.24,0.25,0.12,-0.59,5.6
1070,5.7,3.8,8.6,4.5,265,145.6,134,136.7,139.3,139.9,222.2,176.5,162,145.2,130.5,121.8,-0.95,-0.48,-0.2,0.22,0.24,0.25,0.16,-0.57,5.9
1080,5.5,3.6,8.6,4.6,258.9,144.7,132.2,134.8,138.6,136.7,215.6,173.8,159,141,126.8,118.7,-0.92,-0.46,-0.17,0.2,0.24,0.24,0.15,-0.57,7.8
1090,5,3.5,7.8,4.4,255.8,140.9,129.2,129.2,134.5,134.3,212.1,170.4,157.2,139.1,124.3,116.2,-0.86,-0.47,-0.17,0.21,0.23,0.23,0.15,-0.57,4.9
