Time,HFG_WALL,HFG_FLOOR,HFG_CEILING,HFG_BURNER,TC_TREE_1_1,TC_TREE_1_2,TC_TREE_1_3,TC_TREE_1_4,TC_TREE_1_5,TC_TREE_1_6,TC_TREE_2_1,TC_TREE_2_2,TC_TREE_2_3,TC_TREE_2_4,TC_TREE_2_5,TC_TREE_2_6,BDVP_DOOR_VEL_1,BDVP_DOOR_VEL_2,BDVP_DOOR_VEL_3,BDVP_DOOR_VEL_4,BDVP_DOOR_VEL_5,BDVP_DOOR_VEL_6,HRR
90,51.2,8.4,21.4,0,670.7,348.1,260.9,151.4,126.9,120.2,526.5,458.7,336.2,149.7,121.1,94.4,0.88,0.21,-0.07,-0.11,-0.14,-0.14,49.7
100,51.8,9.4,23.7,0,658.9,360.6,277.6,164.3,136.6,129.6,536.6,466.8,345.1,165.9,131.7,103.6,0.99,0.25,0.04,-0.05,-0.13,-0.16,49.9
110,45.5,10.7,24,0,677.4,381.5,292,172.6,146.8,140.1,540.1,477.7,363.8,178.9,142.5,111.8,1.05,0.24,-0.05,-0.1,-0.15,-0.14,43.8
120,48.8,12.2,21,0,669.8,403,305.8,188.4,162,153.2,550.2,489.4,373.6,198.3,155.3,121.9,1.14,0.26,0.07,-0.07,-0.14,-0.17,42.3
130,48.8,13.9,24.5,0,700,430.3,318.7,199.1,175.9,167,547.7,495.3,391.2,217,168.4,132.7,1.15,0.32,0.1,-0.08,-0.16,-0.18,47
140,53.2,16.1,24.4,0,707.6,474.1,342.9,212.3,195,182.2,553.9,503.9,417.5,269.5,180.1,146.1,1.24,0.35,0.11,-0.04,-0.18,-0.2,48.6
150,59.1,17.8,26.2,0,715.2,499.8,375.7,227.5,209.5,198.7,557.4,508.5,434.4,301.9,195.5,158.1,1.28,0.38,0.11,-0.1,-0.17,-0.18,49.7
160,64,19.5,30.4,0,732.9,517.6,401.1,244.4,229.1,215,560.4,516,453.2,355.5,214.6,171.4,1.32,0.41,0.06,-0.15,-0.19,-0.18,56.9
170,68.8,20.6,31.1,0,727.3,530.9,417.6,265.7,247,231.4,549.8,508.9,455.1,365.9,229.3,182.9,1.35,0.37,-0.16,-0.2,-0.22,-0.2,57.3
180,69.4,22.2,31.9,0,731.3,569.9,445.6,288.3,263.3,247.8,555,513.1,460.5,384.8,244.1,191.9,1.42,0.45,-0.14,-0.21,-0.22,-0.18,53.6
190,70.6,23.9,33.6,0,758.2,616.2,482.9,303.9,282.9,262,552.7,517.6,469.2,400.7,259.4,205.7,1.48,0.52,0.04,-0.2,-0.24,-0.23,55
200,70.9,25.3,34.7,0,773.2,651.4,527.8,323.5,297,275.6,562.2,526.3,483.2,425,292,217.1,1.47,0.52,0.08,-0.16,-0.26,-0.25,62
210,71.2,26.8,36.5,0,774.7,706.4,588.8,349.6,311.2,289.8,559.5,529.1,488.8,438.9,321.8,228.5,1.56,0.54,-0.09,-0.2,-0.24,-0.21,62.4
220,69.1,27.6,35.5,0,787.4,694,591.5,371.4,326.4,304.5,568.1,535.5,497.9,451.1,361.3,240.1,1.62,0.58,0.1,-0.2,-0.26,-0.24,63
230,65.8,28.4,38.7,0,779.4,707.8,620.5,395.9,339,316.6,578.1,544.3,506.8,465.9,385.7,251.1,1.63,0.63,0.14,-0.17,-0.28,-0.27,65.5
240,64.9,29.6,41.2,0,779.7,734.7,636.1,407.3,351.4,326.2,584.5,550.3,514,473.8,403.2,263.4,1.72,0.67,0.1,-0.22,-0.29,-0.25,69.3
250,65.7,30.6,41.3,0,784.8,713.4,628,417.4,363.4,336.9,593.1,559.8,522,482.1,417.5,272,1.8,0.7,0.13,-0.24,-0.28,-0.22,67.9
260,63.8,32.1,41.8,0,796.8,718.6,640.1,436.1,374.9,348.7,601,570.7,533.8,494.2,441.3,282.4,1.85,0.7,-0.04,-0.22,-0.27,-0.23,67.3
270,70,33.5,41.6,0,806.3,749.7,652.1,459.5,392.4,360.5,607.9,576.4,542.3,502.6,464.5,294.7,1.92,0.81,0.12,-0.25,-0.3,-0.28,67.2
280,74,35.3,43,0,804.8,748.7,655.9,469.9,410.6,375.2,612.3,583.7,550.3,512.8,481.2,305,1.99,0.89,0.27,-0.25,-0.32,-0.31,64.2
290,74.9,35.2,41.7,0,803.9,744.5,640.4,471.7,419.7,386.1,611.2,584.4,553.2,517,483,312.8,2.02,0.92,0.33,-0.18,-0.35,-0.31,68.3
300,69.8,36.1,42.5,0,801.1,742.4,629.6,483.1,433.7,396.9,616.3,587.4,556.5,524.3,490,319.7,2,0.91,0.33,-0.22,-0.33,-0.32,69.6
310,74.5,37.4,42.9,0,806.9,763.4,666.1,501.1,439.7,407,618.5,590.8,561.7,530.5,499,329.3,2.07,0.95,0.25,-0.22,-0.33,-0.32,71.8
320,65.9,39.3,42.6,0,814.1,775.1,697,519.8,452.7,418.9,619.7,595.5,567,536.8,512.4,337.6,2.11,0.96,0.2,-0.27,-0.33,-0.33,71.9
330,71.6,39.8,44.2,0,810.1,775.1,691,531.9,469.5,433.1,621.8,599,571.4,540,513.3,345.5,2.12,1.01,0.2,-0.27,-0.36,-0.34,70.6
340,72.9,41.3,44.5,0,815.9,780.9,679.6,540.2,485.9,446.1,627.4,603.3,576.7,548.6,521,356.1,2.15,1.01,0.29,-0.28,-0.34,-0.33,65.9
350,69.1,42.1,44.7,0,821.8,775,660.7,541.7,494.5,457.1,634.1,609.5,582.2,553.6,530.1,364,2.15,1.05,0.19,-0.27,-0.37,-0.35,63
360,64.5,43.3,46.2,0,821.8,761.9,657.9,551.9,506.7,470.5,638,613.4,587.1,560,538.2,377.6,2.19,1.06,0.3,-0.29,-0.37,-0.35,64.8
370,62.8,44.8,47.3,0,824.8,789.7,677.1,561.2,515.2,483.8,642.4,617.8,593.8,567.8,548.2,384.9,2.2,1.02,0.11,-0.3,-0.37,-0.34,70.3
380,59.4,45.4,46.5,0,827.1,789.6,693.1,581.9,521.3,493.4,643.4,620.6,597.9,571.8,551.5,394.2,2.28,1.11,0.26,-0.3,-0.36,-0.35,67.5
390,59.9,47.3,48.2,0,835.8,798,704.9,590.1,530.9,501.3,654,630.3,607.2,581.5,562.1,405.3,2.36,1.21,0.49,-0.11,-0.37,-0.37,65.3
400,65.2,48.2,49.6,0,838.8,814.5,708.6,596.5,543.6,512.2,658.7,636.1,614.5,589.5,567.2,408.3,2.37,1.22,0.38,-0.27,-0.38,-0.35,66.6
410,65.2,49.8,50,0,848.8,813.4,729.5,613.5,554.8,524,666,644.2,623,597.7,580.7,420.3,2.35,1.23,0.33,-0.19,-0.36,-0.33,69.6
420,62.3,51.3,51.4,0,858.7,834.5,734,631.3,560.7,536.7,673.4,653.5,631.7,606.4,591.1,427.1,2.36,1.25,0.39,-0.27,-0.36,-0.33,70.5
430,69.2,52.2,51.5,0,868.4,823.8,739.5,646.1,575.6,545.7,677.3,660.1,639.1,615.1,600.6,432.5,2.38,1.34,0.54,-0.15,-0.33,-0.34,70.8
440,68.6,52.7,52.7,0,873.1,810.1,731.8,651,587.8,555,683.3,666.7,646.7,623.4,609.1,440.3,2.4,1.36,0.49,-0.13,-0.37,-0.36,69.2
450,64.8,55.1,54.5,0,884.8,824.7,752.6,660,599.3,569.9,691.3,678.9,658,634.2,620.1,454.5,2.36,1.36,0.46,-0.19,-0.36,-0.36,69.3
460,72.8,57.2,56.2,0,896.1,832.3,757.4,673.9,611.6,582.5,697.1,685.7,666.5,644.4,634,479.6,2.46,1.4,0.49,-0.19,-0.42,-0.41,71.5
470,70.9,58.9,58.5,0,894.8,865.2,795.5,700.6,622,595.8,705.2,695.1,676.9,656.8,647.4,510.2,2.48,1.38,0.32,-0.32,-0.44,-0.44,75.6
480,71.3,59.4,59.9,0,889.5,849.3,785.6,703.6,634,609.9,713.6,704,687,667.2,657.5,526.5,2.48,1.33,0.24,-0.33,-0.43,-0.41,73.5
490,73.8,60.4,60,0,886.7,822.2,769,707.6,643.2,615,719.9,711.5,694.9,675.8,667,535.2,2.53,1.38,0.51,-0.3,-0.42,-0.43,78
500,74.9,59.9,60.5,0,883.3,804.9,751.8,705.5,641.2,613.2,725.1,715.4,698.6,678.3,668,536.4,2.52,1.4,0.58,-0.31,-0.43,-0.42,82.6
510,78.1,60.3,60,0,883.7,818.8,754.9,704.4,644.8,614.3,731.5,720.4,703.5,683.6,673.8,544.1,2.62,1.5,0.58,-0.36,-0.44,-0.43,79.4
520,77.8,60.3,60.5,0,881.8,813,761,710.5,646,617.1,730.1,719.1,703,684.1,674.4,543,2.61,1.44,0.23,-0.33,-0.42,-0.42,74.3
530,78.7,61.2,61.6,0,885.4,798.9,752.2,710.3,653.5,621.2,733.1,722.4,707.7,690.2,680,542.1,2.59,1.49,0.21,-0.37,-0.51,-0.5,77
540,81,60.4,59.9,0,892.6,780.8,742.6,707,653.3,623.8,735.8,724.5,708.6,689.4,677.6,547.3,2.6,1.5,0.49,-0.38,-0.48,-0.46,72.9
550,80.9,60.1,61.5,0,889.7,813,748.5,708.4,648.8,618.9,734.9,721.8,706.7,687.6,676.5,551.4,2.62,1.57,0.54,-0.36,-0.46,-0.45,70.2
560,79.4,60.2,60.2,0,891.6,791.7,747.8,704.8,646.6,624.2,734.5,722.2,707.3,689,678.6,554.2,2.67,1.61,0.64,-0.28,-0.53,-0.49,69.2
570,81,60.2,60.3,0,891.9,785.7,731.5,701.5,646.5,621.4,737.6,722.5,707.7,690.1,677.1,552.4,2.61,1.54,0.35,-0.37,-0.47,-0.46,67.8
580,84.5,60.5,61.1,0,890,805.3,741.1,704.8,649.5,625.2,739.8,726.1,711.7,694,681.6,558.5,2.69,1.57,0.35,-0.37,-0.48,-0.48,71.1
590,80,59.4,59.2,0,888.1,786.6,737.5,704.2,645.9,627.4,742.6,725.8,711.3,692.7,680.9,550.8,2.69,1.64,0.59,-0.33,-0.47,-0.47,69.6
600,81.8,59.3,60.5,0,892.7,770.4,725.3,701.3,647.6,629.1,742.7,727,712.9,695,682.4,558.1,2.72,1.64,0.59,-0.31,-0.43,-0.43,68.3
610,81,56.6,57.9,0,884.1,757.7,711,694,639.3,622.3,742.2,725.9,710.9,690.7,677,549.3,2.66,1.6,0.62,-0.3,-0.43,-0.46,67.4
620,65.7,45.8,45.7,0,856.4,686.4,677,666.3,613.1,597.9,727.5,705.3,687.7,661.4,646.5,531.6,2.56,1.48,0.42,-0.35,-0.47,-0.47,56.4
630,54.8,39,40.1,0,829.9,635,638.4,629.5,578.1,566.1,692.2,666.5,647.3,619.2,604.3,496.2,2.43,1.4,0.57,-0.42,-0.49,-0.46,41.1
640,49.2,35.2,37.2,0,785.4,607.4,613.3,602.2,546.4,535.6,669.9,639.7,619.2,593.2,574.4,472.5,2.32,1.27,0.32,-0.34,-0.43,-0.43,37.3
650,44.1,31.8,34.2,0,744.3,568.3,579.6,575.1,520,515.6,647.8,615.5,593.8,568.3,550.1,450.3,2.18,1.26,0.46,-0.34,-0.41,-0.42,30.4
660,41.2,28.8,31.9,0,694.5,528.6,552.8,551.4,496.2,494,630.3,591.2,568.9,543.8,524.7,431.8,2.07,1.21,0.5,-0.34,-0.41,-0.42,29.2
670,37.5,26,27.7,0,664.5,504.3,521.3,517.8,472.2,470.1,616.5,567.1,544.6,519.3,502.6,415.7,1.97,1.2,0.5,-0.3,-0.41,-0.45,25.4
680,33.4,23.6,25.3,0,634.8,474.3,488.5,489.3,448.4,445.4,594.9,544.2,521,497,480.4,398.3,1.88,1.11,0.17,-0.31,-0.38,-0.4,18.6
690,30.1,21.1,22,0,611.7,463.3,461.2,464.4,424.8,426.1,574.4,521.4,498.1,476.5,463.1,386.6,1.81,0.95,-0.26,-0.3,-0.35,-0.37,18.5
700,28.5,19,20.9,0,587.1,438.4,441.3,448.8,410.5,401.8,551.6,500.1,477.9,458.5,445.7,372.8,1.68,0.89,-0.24,-0.31,-0.38,-0.4,19
710,25.9,17.4,20.6,0,561.5,395.6,419,428.3,388.7,383.9,531.8,481.2,458.1,440.3,430.5,359,1.61,0.94,0.35,-0.25,-0.35,-0.39,13.2
720,25.7,16,19.4,0,526.5,372.2,396,404.6,372.6,367.9,511.4,463.2,441.4,423,414.6,342.1,1.55,0.86,0.13,-0.28,-0.32,-0.35,11.1
730,24.5,14.5,18.4,0,504.6,358.7,373,379.7,351.7,347.7,494.6,444.8,424.8,408.2,398.8,323.7,1.5,0.88,0.3,-0.22,-0.29,-0.34,9.4
740,19.3,13.1,15.9,0,484.9,332.9,348.6,358.1,337.8,331.7,477.4,427.8,407.9,393,384.2,311.5,1.41,0.8,-0.05,-0.26,-0.29,-0.32,8.3
750,19.6,12,15.3,0,457.9,316.1,329.6,343.2,323.8,318.2,458.9,411.9,391.8,377.1,370.4,301.6,1.34,0.8,0.33,-0.09,-0.29,-0.34,7.2
760,19.7,11,14.5,0,436.9,291.3,316.4,328.2,306.7,304.9,442.8,397.2,377.4,364.8,356.5,289.6,1.29,0.75,0.17,-0.25,-0.31,-0.34,5.4
770,21.5,10.2,12,0,417.2,278,301.1,318.1,295,294.4,427.1,383.6,364.4,350.5,343.9,280.7,1.26,0.71,0.22,-0.29,-0.31,-0.33,4.4
780,11.3,9.4,11.6,0,398.3,262.9,289.6,309.9,284.2,284.4,413.6,370.9,352.5,340.3,331.7,266.2,1.2,0.66,0.17,-0.28,-0.29,-0.31,4.1
790,10.5,9.1,11,0,380.4,253.1,277.2,296,272.3,274.1,401.5,359.2,340.6,328.8,321.9,262.6,1.18,0.66,0.2,-0.22,-0.27,-0.31,4.8
800,9.1,8,10.5,0,362.3,239.5,265.2,281.5,258.7,262.3,388.6,347.6,329,317.8,310.9,254.7,1.11,0.71,0.28,-0.15,-0.24,-0.3,2.9
810,11.7,8,10.9,0,350,233.5,254.4,272.1,248.3,251.9,378.3,336.8,320.2,310,301.2,244.3,1.07,0.66,0.23,-0.15,-0.24,-0.3,2.1
820,8.6,7.3,9.4,0,339.9,225.8,247.6,265.6,241.3,244.9,370.9,327.6,311,302.1,293.2,232.8,1.05,0.64,0.26,-0.13,-0.24,-0.29,4.7
830,7.9,7,8.9,0,327.8,217.3,238.5,254.8,231.6,235.7,360.2,318.3,301.8,293.1,284.8,225.7,1.01,0.59,-0.02,-0.15,-0.2,-0.25,3
840,7.4,6.6,9.6,0,319.2,212.5,229.8,245.9,225.3,226.3,351.4,310.3,294.7,284.8,274.7,214.5,1,0.6,0.1,-0.16,-0.21,-0.25,2.4
850,7.1,6.2,8.7,0,309.9,208.5,220.3,235.3,218.1,218.3,343.9,303.1,287.2,277.4,267,211.9,0.96,0.52,-0.03,-0.18,-0.21,-0.25,2
860,6.8,6,7.9,0,302.9,202,216.8,231.4,214,213.5,336.9,296.6,280.1,270.6,261.5,209.9,0.94,0.55,0.21,-0.18,-0.23,-0.27,2.3
870,6.4,5.7,8.1,0,295,191.2,211.1,226.8,208.5,208.7,329.9,289.1,272.2,262.3,256.8,204.3,0.93,0.54,0.19,-0.17,-0.23,-0.27,1.5
880,6.4,5.4,7.6,0,289.2,188.4,205.5,223.1,204.2,201.9,323.4,283.2,266.2,257.3,250.2,199.7,0.9,0.55,0.15,-0.22,-0.24,-0.26,2
890,6.2,5.4,7,0,284.5,185.6,198.6,215.6,198.6,197.6,317.3,276.9,260,251.1,243.8,193.4,0.88,0.54,0.17,-0.18,-0.21,-0.25,2
900,5.8,5,7,0,281.5,180.1,194.7,209.9,192.2,192.3,311.6,271.7,255.3,246.2,238.9,187.4,0.84,0.53,0.14,-0.15,-0.2,-0.23,1.2
910,5.5,4.9,6.7,0,275.1,175,189.7,204.5,188.7,187.6,306.4,266.4,250.9,242,234.4,185.5,0.84,0.48,-0.03,-0.2,-0.22,-0.26,1.5
920,5.6,4.8,6.3,0,272.1,171.5,185.1,200.1,184.4,184.5,301.7,261.6,245.8,237.2,229.6,183.3,0.82,0.5,0.1,-0.17,-0.21,-0.24,2.3
930,5.2,4.6,5.9,0,267.8,168.4,180.5,194,180.3,180.5,297.6,257.1,241.9,233.1,224.7,180.4,0.8,0.46,-0.07,-0.17,-0.2,-0.25,335.3
940,5.3,4.6,5.9,0,261.8,164.1,176.5,188.1,176.7,177.4,293,251.7,236.6,227.5,219,173.8,0.78,0.49,0.16,-0.14,-0.2,-0.23,935.3
950,5,4.4,5.7,0,257.9,161.8,173.7,184.6,173.6,174,288.8,248.4,233,224.1,217.2,171.4,0.8,0.5,0.15,-0.14,-0.19,-0.22,945.3
