Time,HFG_WALL,HFG_FLOOR,HFG_CEILING,HFG_BURNER,HFG_TC_1,HFG_TC_2,HFG_TC_3,HFG_TC_4,TC_WALL_1,TC_WALL_2,TC_CEIL_1,TC_CEIL_2,TC_CEIL_3,TC_CEIL_4,TC_TREE_1_1,TC_TREE_1_2,TC_TREE_1_3,TC_TREE_1_4,TC_TREE_1_5,TC_TREE_1_6,TC_TREE_2_1,TC_TREE_2_2,TC_TREE_2_3,TC_TREE_2_4,TC_TREE_2_5,TC_TREE_2_6,BDVP_DOOR_TC_1,BDVP_DOOR_TC_2,BDVP_DOOR_TC_3,BDVP_DOOR_TC_4,BDVP_DOOR_TC_5,BDVP_DOOR_TC_6,BDVP_WINDOW_TC_1,BDVP_WINDOW_TC_2,BDVP_DOOR_VEL_1,BDVP_DOOR_VEL_2,BDVP_DOOR_VEL_3,BDVP_DOOR_VEL_4,BDVP_DOOR_VEL_5,BDVP_DOOR_VEL_6,BDVP_WINDOW_VEL_1,BDVP_WINDOW_VEL_2,SMOKE_EXT,Y_CO2,Y_CO,Y_SOOT,HRR
  90.00,  15.91,   3.26,   7.02,  50.67,  20.20,  20.10,  20.63,  20.35, 444.77, 478.29, 380.77, 268.56, 258.42, 197.93, 368.22, 215.62, 151.28,  84.25,  81.81,  77.86, 288.02, 252.95, 182.17,  77.38,  56.98,  48.50,  97.48,  35.23,  33.40,  29.90,  31.77,  30.47,2289.57,2289.36,   0.53,   0.04,  -0.08,  -0.09,  -0.04,  -0.10,   0.00,   0.00,   1.70,   4.70,   0.02,   0.01,  20.22
 100.00,  16.95,   3.45,   6.76,  50.08,  20.10,  19.97,  20.51,  20.28, 428.42, 462.42, 397.64, 280.57, 260.46, 203.08, 367.45, 223.26, 154.96,  87.73,  85.42,  81.99, 293.31, 257.13, 183.72,  77.16,  59.56,  49.42, 100.81,  35.98,  34.62,  30.37,  32.11,  30.59,2289.56,2289.36,   0.54,   0.05,  -0.07,  -0.09,  -0.08,  -0.09,   0.00,   0.00,   1.49,   5.25,   0.02,   0.01,  18.87
 110.00,  17.51,   3.59,   7.17,  48.85,  20.00,  19.85,  20.42,  20.22, 444.47, 473.36, 428.87, 288.58, 264.50, 211.82, 378.14, 230.55, 156.05,  92.48,  88.86,  86.43, 297.30, 260.73, 182.25,  77.24,  62.16,  51.18, 104.84,  37.04,  35.37,  30.85,  33.26,  31.68,2289.56,2289.35,   0.55,   0.08,  -0.08,  -0.09,  -0.07,  -0.08,   0.00,   0.00,   1.06,   4.63,   0.01,   0.00,  20.82
 120.00,  18.75,   3.76,   6.63,  49.15,  19.91,  19.76,  20.32,  20.13, 433.89, 459.72, 443.83, 291.57, 277.89, 212.67, 391.20, 243.81, 159.22,  96.81,  92.42,  89.68, 303.07, 266.25, 183.26,  80.35,  64.86,  52.82, 108.24,  37.98,  36.07,  31.30,  33.44,  32.34,2289.57,2289.37,   0.58,   0.06,  -0.09,  -0.09,  -0.10,  -0.09,   0.00,   0.00,   0.95,   4.56,   0.01,   0.00,  21.24
 130.00,  18.39,   3.93,   7.40,  52.98,  19.84,  19.69,  20.25,  20.05, 461.46, 494.77, 453.26, 297.79, 284.35, 223.12, 397.62, 248.51, 164.54, 101.56,  95.22,  92.28, 307.29, 267.10, 186.92,  82.53,  67.76,  54.31, 112.85,  39.20,  36.73,  31.84,  34.00,  32.57,2289.58,2289.37,   0.60,   0.03,  -0.11,  -0.10,  -0.11,  -0.11,   0.00,   0.00,   0.69,   4.33,   0.01,   0.00,  23.56
 140.00,  16.95,   4.05,   7.60,  54.04,  19.76,  19.57,  20.13,  19.99, 487.85, 504.72, 466.74, 303.30, 288.80, 229.86, 389.62, 252.42, 168.61, 101.98,  97.36,  95.68, 311.45, 274.56, 194.58,  88.13,  70.11,  57.32, 117.49,  40.81,  38.33,  32.85,  35.11,  33.36,2289.59,2289.38,   0.62,   0.10,  -0.06,  -0.07,  -0.09,  -0.10,   0.00,   0.00,   0.79,   4.54,   0.02,   0.01,  21.69
 150.00,  17.70,   4.14,   7.67,  54.37,  19.69,  19.46,  20.04,  19.94, 490.13, 499.68, 459.16, 298.44, 286.71, 230.85, 391.42, 259.91, 172.27, 106.34, 101.20,  99.06, 314.19, 280.70, 206.30,  93.47,  72.73,  59.62, 121.28,  41.77,  40.35,  34.39,  36.60,  34.43,2289.57,2289.37,   0.64,   0.06,  -0.07,  -0.07,  -0.09,  -0.09,   0.00,   0.00,   0.99,   5.08,   0.02,   0.01,  20.05
 160.00,  16.65,   4.25,   7.58,  51.13,  19.60,  19.35,  19.94,  19.88, 497.01, 483.28, 480.43, 307.35, 298.19, 240.20, 385.85, 260.40, 171.89, 108.23, 103.35, 102.00, 317.80, 282.00, 211.26,  97.81,  75.05,  61.42, 122.91,  42.59,  41.50,  35.13,  36.92,  34.33,2289.58,2289.37,   0.66,   0.12,  -0.07,  -0.08,  -0.07,  -0.09,   0.00,   0.00,   0.92,   4.27,   0.01,   0.00,  24.06
 170.00,  19.60,   4.38,   7.04,  52.25,  19.51,  19.27,  19.86,  19.81, 492.24, 501.50, 473.51, 316.87, 294.82, 238.36, 394.06, 266.09, 174.56, 111.41, 105.34, 104.76, 317.51, 283.05, 205.20,  96.25,  77.39,  62.39, 129.65,  43.08,  41.43,  34.62,  36.45,  34.16,2289.57,2289.36,   0.69,   0.11,  -0.06,  -0.10,  -0.10,  -0.05,   0.00,   0.00,   1.12,   4.36,   0.01,   0.00,  23.80
 180.00,  17.26,   4.40,   7.44,  54.97,  19.43,  19.22,  19.80,  19.72, 507.12, 536.68, 489.29, 316.33, 302.82, 239.39, 398.46, 272.51, 178.06, 115.65, 106.38, 107.93, 321.12, 287.77, 210.63,  97.67,  79.58,  63.59, 135.51,  44.33,  42.00,  34.36,  37.01,  35.17,2289.57,2289.36,   0.71,   0.15,  -0.03,  -0.09,  -0.05,  -0.08,   0.00,   0.00,   1.40,   4.40,   0.01,   0.00,  21.83
 190.00,  18.03,   4.58,   7.40,  50.52,  19.38,  19.13,  19.69,  19.69, 505.15, 502.00, 480.21, 324.56, 308.11, 250.87, 404.42, 276.68, 182.46, 118.26, 107.30, 110.07, 321.79, 288.44, 217.03, 100.18,  80.32,  64.98, 137.47,  45.14,  41.58,  34.47,  36.95,  35.05,2289.57,2289.37,   0.72,   0.16,  -0.02,  -0.09,  -0.09,   0.00,   0.00,   0.00,   1.69,   4.48,   0.01,   0.00,  21.92
 200.00,  19.50,   4.66,   7.21,  51.51,  19.30,  19.03,  19.62,  19.62, 496.15, 487.98, 486.93, 323.73, 306.12, 252.51, 407.52, 278.09, 180.86, 120.29, 110.13, 112.17, 323.42, 288.58, 209.92,  99.64,  82.72,  65.91, 137.74,  46.23,  42.03,  34.35,  37.04,  35.17,2289.57,2289.36,   0.71,   0.16,  -0.03,  -0.09,  -0.10,   0.00,   0.00,   0.00,   1.91,   4.65,   0.02,   0.00,  20.69
 210.00,  20.17,   4.76,   7.38,  52.02,  19.24,  18.97,  19.53,  19.58, 497.32, 478.47, 488.86, 327.98, 307.05, 250.90, 422.69, 285.10, 183.63, 126.28, 112.03, 114.09, 325.39, 294.50, 212.64, 101.53,  84.88,  66.60, 140.89,  45.96,  41.71,  34.57,  37.35,  36.64,2289.56,2289.35,   0.71,   0.14,  -0.02,  -0.10,  -0.07,   0.02,   0.00,   0.00,   1.93,   4.31,   0.01,   0.00,  22.40
 220.00,  19.72,   4.89,   7.83,  52.87,  19.19,  18.90,  19.47,  19.54, 505.96, 493.93, 508.53, 330.67, 318.51, 257.01, 428.13, 288.36, 183.03, 127.98, 114.29, 116.68, 327.32, 294.56, 212.02, 103.07,  86.03,  68.44, 144.68,  47.16,  43.01,  35.16,  38.13,  35.91,2289.56,2289.35,   0.74,   0.18,   0.00,  -0.09,  -0.09,  -0.09,   0.00,   0.00,   2.01,   4.33,   0.02,   0.00,  23.14
 230.00,  20.50,   5.02,   8.04,  52.08,  19.13,  18.84,  19.38,  19.49, 509.52, 494.11, 503.96, 332.73, 319.52, 261.95, 432.69, 295.77, 186.57, 130.77, 115.43, 119.09, 330.77, 294.36, 214.44, 106.15,  87.85,  69.36, 150.80,  47.89,  43.30,  35.51,  38.74,  35.79,2289.57,2289.36,   0.78,   0.15,  -0.05,  -0.10,  -0.07,  -0.07,   0.00,   0.00,   2.06,   4.85,   0.02,   0.01,  19.55
 240.00,  19.62,   5.11,   7.68,  52.23,  19.08,  18.78,  19.33,  19.46, 514.68, 499.16, 496.86, 334.44, 321.37, 262.06, 426.63, 293.47, 188.41, 133.66, 119.80, 121.67, 334.14, 298.86, 221.29, 107.71,  90.39,  70.05, 148.52,  47.53,  43.82,  36.74,  40.31,  37.23,2289.56,2289.36,   0.73,   0.12,  -0.12,  -0.11,  -0.12,  -0.11,   0.00,   0.00,   2.11,   5.22,   0.02,   0.01,  18.95
 250.00,  18.00,   5.12,   7.95,  53.24,  19.03,  18.74,  19.29,  19.42, 529.03, 509.76, 502.36, 336.26, 328.94, 266.66, 415.14, 292.12, 187.26, 134.04, 120.58, 122.93, 331.68, 297.49, 220.89, 108.79,  92.01,  72.70, 145.10,  49.89,  46.21,  37.77,  41.53,  37.30,2289.58,2289.38,   0.73,   0.14,  -0.11,  -0.11,  -0.10,  -0.11,   0.00,   0.00,   2.07,   4.83,   0.02,   0.00,  20.89
 260.00,  19.15,   5.14,   7.85,  53.82,  19.00,  18.73,  19.22,  19.39, 528.87, 497.35, 502.08, 338.72, 325.35, 266.96, 413.91, 295.11, 189.16, 133.03, 123.28, 124.64, 331.14, 297.66, 224.29, 110.87,  92.81,  74.64, 150.28,  51.63,  48.61,  38.73,  41.54,  37.41,2289.58,2289.37,   0.76,   0.14,  -0.09,  -0.10,  -0.13,  -0.14,   0.00,   0.00,   1.88,   4.06,   0.01,   0.00,  26.30
 270.00,  20.51,   5.27,   7.74,  53.92,  18.97,  18.70,  19.17,  19.35, 518.45, 505.55, 503.81, 336.36, 325.89, 262.73, 425.50, 297.83, 195.23, 139.54, 122.96, 125.18, 330.10, 299.71, 227.57, 112.80,  94.72,  74.48, 154.17,  51.83,  47.56,  37.70,  40.42,  37.10,2289.56,2289.36,   0.76,   0.14,  -0.10,  -0.12,  -0.12,  -0.11,   0.00,   0.00,   1.85,   4.37,   0.01,   0.01,  22.11
 280.00,  18.11,   5.33,   7.06,  56.26,  18.93,  18.62,  19.11,  19.32, 555.97, 538.44, 509.41, 335.06, 325.61, 268.34, 425.66, 299.31, 194.47, 139.22, 124.08, 127.05, 332.46, 301.72, 228.87, 113.07,  96.31,  75.37, 157.49,  51.89,  47.86,  38.73,  41.50,  38.04,2289.56,2289.35,   0.83,   0.16,  -0.09,  -0.08,  -0.12,  -0.13,   0.00,   0.00,   2.15,   4.82,   0.01,   0.01,  19.63
 290.00,  19.27,   5.45,   7.89,  54.21,  18.90,  18.58,  19.05,  19.31, 543.93, 537.09, 520.59, 339.03, 331.41, 275.89, 417.98, 300.58, 196.74, 140.92, 123.35, 128.32, 332.68, 304.06, 235.53, 114.13,  96.37,  76.93, 161.46,  52.38,  48.30,  38.69,  41.09,  37.19,2289.58,2289.38,   0.79,   0.18,  -0.03,  -0.10,  -0.13,  -0.13,   0.00,   0.00,   2.05,   4.39,   0.01,   0.01,  21.81
 300.00,  18.83,   5.52,   7.69,  54.77,  18.84,  18.51,  18.98,  19.28, 538.29, 533.13, 503.61, 337.23, 331.37, 273.72, 426.92, 307.36, 196.82, 141.81, 128.48, 130.08, 333.48, 303.49, 234.98, 115.42,  97.05,  78.83, 160.78,  54.15,  51.53,  39.32,  43.13,  38.70,2289.56,2289.35,   0.81,   0.17,  -0.09,  -0.11,  -0.13,  -0.12,   0.00,   0.00,   2.43,   4.66,   0.01,   0.01,  20.76
 310.00,  24.12,   6.39,   9.43,  57.44,  18.82,  18.48,  18.95,  19.27, 592.83, 549.71, 538.85, 352.15, 349.82, 292.39, 436.23, 309.10, 194.41, 137.99, 132.45, 134.27, 343.81, 313.90, 246.70, 127.04, 100.62,  81.90, 165.27,  55.57,  52.71,  41.36,  45.74,  41.58,2289.56,2289.36,   0.88,   0.16,  -0.02,  -0.09,  -0.06,  -0.04,   0.00,   0.00,   3.43,   4.47,   0.01,   0.01,  25.85
 320.00,  36.00,   8.55,  15.71,  57.20,  18.80,  18.44,  18.90,  19.25, 601.00, 586.82, 605.47, 399.44, 429.29, 342.02, 551.70, 329.87, 220.19, 154.15, 137.96, 139.18, 390.29, 347.07, 272.68, 144.57, 107.92,  86.50, 172.89,  58.35,  54.24,  42.13,  46.31,  42.48,2289.56,2289.35,   0.92,   0.19,   0.06,  -0.08,  -0.09,  -0.08,   0.00,   0.00,   3.70,   3.07,   0.02,   0.01,  41.48
 330.00,  37.92,   9.80,  19.84,  58.04,  18.80,  18.42,  18.88,  19.25, 633.76, 622.90, 624.43, 414.01, 467.07, 363.13, 605.60, 356.81, 244.30, 171.99, 147.70, 148.33, 422.62, 372.58, 299.10, 157.55, 116.12,  91.89, 184.13,  63.23,  58.99,  44.16,  47.31,  42.04,2289.56,2289.36,   1.01,   0.26,   0.10,  -0.11,  -0.08,  -0.05,   0.00,   0.00,   3.93,   2.96,   0.04,   0.01,  43.41
 340.00,  41.10,  10.65,  18.85,  58.60,  18.81,  18.42,  18.87,  19.23, 631.20, 587.09, 640.98, 423.43, 480.95, 382.96, 637.93, 378.69, 263.40, 183.25, 158.40, 158.17, 441.45, 393.99, 320.31, 173.90, 126.11,  98.56, 185.59,  66.81,  64.11,  48.41,  52.32,  45.70,2289.57,2289.36,   0.97,   0.24,   0.06,  -0.09,  -0.12,  -0.09,   0.00,   0.00,   4.60,   2.89,   0.05,   0.01,  42.28
 350.00,  42.17,  11.11,  19.50,  57.58,  18.83,  18.41,  18.87,  19.24, 643.11, 579.68, 637.48, 430.69, 493.03, 393.11, 653.60, 391.93, 273.60, 188.87, 170.97, 167.71, 450.77, 405.63, 328.97, 184.82, 134.23, 106.04, 194.43,  70.16,  67.62,  51.12,  55.76,  48.97,2289.57,2289.37,   1.04,   0.27,   0.05,  -0.12,  -0.10,  -0.05,   0.00,   0.00,   5.09,   2.98,   0.06,   0.01,  39.84
 360.00,  43.02,  11.62,  19.67,  56.83,  18.84,  18.36,  18.86,  19.22, 656.70, 595.75, 643.74, 436.38, 494.15, 398.31, 665.34, 406.78, 280.63, 195.56, 179.04, 175.71, 455.85, 413.59, 335.47, 193.40, 141.70, 113.70, 201.56,  72.55,  69.78,  52.48,  59.23,  53.56,2289.57,2289.37,   1.09,   0.27,  -0.08,  -0.15,  -0.09,  -0.09,   0.00,   0.00,   4.49,   3.11,   0.06,   0.01,  39.23
 370.00,  43.98,  11.89,  20.30,  57.73,  18.83,  18.35,  18.82,  19.19, 657.95, 588.84, 645.11, 430.81, 501.68, 402.69, 671.31, 416.25, 289.40, 208.40, 182.51, 182.36, 463.96, 419.64, 344.43, 199.08, 148.70, 118.23, 206.15,  76.17,  71.49,  52.54,  58.43,  50.68,2289.57,2289.37,   1.09,   0.29,   0.05,  -0.13,  -0.15,  -0.12,   0.00,   0.00,   4.65,   2.93,   0.06,   0.01,  42.42
 380.00,  43.67,  12.29,  20.20,  57.25,  18.87,  18.36,  18.83,  19.20, 662.58, 573.63, 649.66, 432.05, 500.87, 405.00, 675.16, 427.23, 297.53, 213.78, 189.44, 187.63, 464.93, 423.29, 347.71, 204.75, 155.37, 121.89, 207.75,  78.61,  71.48,  54.34,  60.53,  52.39,2289.58,2289.38,   1.08,   0.28,  -0.10,  -0.14,  -0.16,  -0.15,   0.00,   0.00,   4.75,   2.83,   0.05,   0.01,  44.79
 390.00,  45.59,  12.49,  20.17,  58.24,  18.89,  18.33,  18.82,  19.19, 662.48, 598.56, 651.84, 429.80, 505.50, 408.96, 687.30, 427.75, 305.34, 222.62, 194.41, 192.92, 469.87, 426.18, 345.98, 206.20, 160.10, 126.00, 215.43,  80.51,  73.78,  56.48,  62.35,  55.74,2289.59,2289.38,   1.12,   0.27,  -0.11,  -0.13,  -0.16,  -0.13,   0.00,   0.00,   4.84,   3.06,   0.06,   0.01,  41.27
 400.00,  44.79,  12.72,  20.21,  56.88,  18.90,  18.33,  18.81,  19.19, 669.87, 575.71, 649.56, 427.79, 502.53, 413.27, 690.92, 434.89, 308.06, 228.52, 198.55, 197.90, 470.49, 431.88, 354.18, 213.20, 164.38, 130.11, 220.22,  82.96,  76.36,  56.84,  63.76,  56.23,2289.56,2289.36,   1.16,   0.33,  -0.10,  -0.16,  -0.17,  -0.16,   0.00,   0.00,   4.74,   3.15,   0.06,   0.01,  42.25
 410.00,  43.83,  12.81,  20.47,  56.38,  18.92,  18.32,  18.80,  19.19, 654.72, 548.63, 657.80, 424.00, 502.76, 412.76, 686.38, 439.64, 314.63, 236.32, 203.53, 202.24, 474.55, 432.42, 362.68, 218.17, 168.91, 133.27, 222.80,  85.74,  80.06,  57.94,  64.56,  55.92,2289.58,2289.37,   1.14,   0.31,  -0.06,  -0.15,  -0.18,  -0.16,   0.00,   0.00,   4.45,   3.11,   0.06,   0.01,  42.69
 420.00,  45.99,  13.11,  20.24,  58.02,  18.93,  18.29,  18.78,  19.16, 677.26, 586.42, 654.80, 429.37, 498.39, 413.75, 707.48, 445.07, 314.59, 240.17, 209.36, 205.50, 472.89, 434.45, 365.66, 230.14, 172.72, 136.96, 229.91,  88.86,  85.01,  62.67,  70.02,  61.03,2289.56,2289.36,   1.19,   0.29,  -0.10,  -0.14,  -0.18,  -0.16,   0.00,   0.00,   5.20,   3.09,   0.07,   0.01,  42.07
 430.00,  45.34,  13.25,  20.40,  58.04,  18.94,  18.30,  18.77,  19.15, 687.93, 587.57, 652.88, 424.66, 500.03, 418.19, 695.73, 442.62, 312.95, 238.99, 210.40, 207.37, 475.70, 440.12, 373.16, 232.70, 174.97, 140.50, 234.47,  93.07,  88.98,  61.25,  68.24,  59.64,2289.57,2289.37,   1.21,   0.38,   0.12,  -0.15,  -0.20,  -0.19,   0.00,   0.00,   5.06,   3.14,   0.07,   0.01,  40.42
 440.00,  47.41,  13.53,  18.83,  55.13,  18.99,  18.28,  18.77,  19.17, 661.94, 547.01, 663.95, 429.35, 498.58, 419.43, 709.84, 453.74, 321.39, 248.03, 211.10, 210.53, 479.51, 442.84, 372.57, 235.09, 180.41, 142.90, 239.35,  95.63,  88.78,  61.60,  67.30,  59.60,2289.57,2289.37,   1.24,   0.37,  -0.06,  -0.18,  -0.19,  -0.15,   0.00,   0.00,   5.67,   3.28,   0.07,   0.01,  39.32
 450.00,  45.79,  13.56,  18.83,  57.07,  19.00,  18.27,  18.77,  19.16, 693.45, 570.30, 658.50, 428.78, 495.16, 418.51, 709.19, 453.42, 321.94, 252.07, 218.40, 214.35, 481.94, 446.25, 375.56, 237.25, 185.06, 146.64, 243.79,  96.75,  88.51,  62.77,  70.22,  60.90,2289.58,2289.38,   1.27,   0.40,   0.01,  -0.14,  -0.18,  -0.15,   0.00,   0.00,   5.22,   3.09,   0.07,   0.01,  40.18
 460.00,  48.53,  13.79,  17.37,  55.70,  19.01,  18.24,  18.76,  19.14, 678.20, 580.77, 663.00, 426.34, 494.12, 412.38, 728.50, 458.90, 323.53, 252.59, 218.25, 216.99, 480.80, 447.02, 383.16, 244.04, 188.21, 146.80, 251.63, 100.87,  91.15,  61.18,  68.45,  59.51,2289.56,2289.36,   1.29,   0.42,   0.11,  -0.20,  -0.20,  -0.16,   0.00,   0.00,   5.70,   3.12,   0.08,   0.01,  39.60
 470.00,  48.24,  14.08,  17.56,  59.11,  19.03,  18.24,  18.75,  19.13, 695.17, 598.64, 662.51, 430.39, 489.68, 413.07, 718.72, 467.46, 326.91, 253.15, 222.27, 220.49, 480.80, 447.68, 383.82, 250.27, 190.78, 150.00, 255.34,  99.67,  93.40,  67.15,  75.39,  63.91,2289.57,2289.37,   1.33,   0.42,  -0.06,  -0.16,  -0.17,  -0.17,   0.00,   0.00,   5.62,   3.06,   0.08,   0.01,  40.43
 480.00,  47.02,  13.91,  17.56,  58.83,  19.06,  18.23,  18.76,  19.14, 690.82, 594.00, 663.57, 428.45, 489.97, 410.10, 715.38, 467.15, 326.84, 257.90, 226.06, 221.34, 484.13, 450.19, 388.49, 259.77, 195.70, 153.19, 259.53, 102.61,  98.78,  67.31,  73.77,  64.81,2289.56,2289.36,   1.33,   0.42,   0.08,  -0.15,  -0.20,  -0.18,   0.00,   0.00,   5.39,   3.14,   0.07,   0.01,  41.96
 490.00,  46.80,  14.00,  19.66,  59.11,  19.08,  18.23,  18.77,  19.16, 691.18, 588.95, 659.39, 423.89, 488.20, 400.14, 717.72, 467.91, 330.50, 256.31, 225.80, 223.19, 481.19, 451.33, 392.35, 271.57, 197.76, 155.49, 260.90, 106.25,  99.94,  66.18,  72.85,  63.02,2289.57,2289.36,   1.35,   0.43,   0.01,  -0.16,  -0.18,  -0.18,   0.00,   0.00,   5.10,   3.22,   0.07,   0.01,  42.25
 500.00,  47.39,  13.94,  18.85,  58.66,  19.10,  18.23,  18.78,  19.17, 690.56, 587.46, 663.36, 424.26, 485.80, 400.30, 719.24, 463.32, 332.84, 261.01, 224.49, 222.86, 486.07, 454.41, 395.20, 268.83, 200.63, 155.85, 263.64, 109.45, 102.03,  67.38,  71.80,  61.20,2289.57,2289.37,   1.36,   0.45,   0.18,  -0.14,  -0.19,  -0.20,   0.00,   0.00,   4.93,   3.03,   0.07,   0.01,  41.77
 510.00,  48.95,  14.18,  19.34,  57.25,  19.13,  18.23,  18.80,  19.17, 699.25, 588.91, 665.25, 426.91, 482.56, 395.74, 721.58, 472.00, 332.24, 259.02, 229.85, 224.96, 485.37, 453.61, 394.63, 270.50, 200.53, 157.89, 268.41, 111.51, 101.09,  68.97,  71.75,  61.48,2289.57,2289.37,   1.36,   0.47,   0.03,  -0.15,  -0.20,  -0.18,   0.00,   0.00,   4.89,   3.08,   0.08,   0.01,  40.46
