Time,HFG_WALL,HFG_FLOOR,HFG_CEILING,HFG_BURNER,TC_TREE_1_1,TC_TREE_1_2,TC_TREE_1_3,TC_TREE_1_4,TC_TREE_1_5,TC_TREE_1_6,TC_TREE_2_1,TC_TREE_2_2,TC_TREE_2_3,TC_TREE_2_4,TC_TREE_2_5,TC_TREE_2_6,BDVP_DOOR_VEL_1,BDVP_DOOR_VEL_2,BDVP_DOOR_VEL_3,BDVP_DOOR_VEL_4,BDVP_DOOR_VEL_5,BDVP_DOOR_VEL_6,BDVP_WINDOW_VEL_1,BDVP_WINDOW_VEL_2,HRR
150,13.4,4.4,9,0,324.6,223.6,146.2,105.5,110.4,108.4,316.5,279.2,173.9,102.2,93.6,70.7,-0.48,-0.06,0.13,0.12,0.14,0.14,-0.2,-0.05,23.5
160,13.4,4.5,8.1,0,334.3,228.9,149.3,108.1,111.7,111.2,315.7,281.1,178,105,96.3,70.9,-0.53,-0.09,0.09,0.09,0.13,0.12,-0.24,-0.1,22.6
170,13.9,4.7,8.3,0,331.7,225.9,152.1,110.7,115,114.2,316.7,282.9,176.4,108.4,98.9,73.3,-0.56,-0.12,0.03,0.09,0.14,0.15,-0.21,-0.09,21.5
180,13.4,4.7,8.4,0,331.3,225.5,151.2,111.7,118.2,116.4,317,284.5,184.7,111.2,100.3,75.6,-0.6,-0.15,0.01,0.11,0.14,0.15,-0.2,-0.07,19.2
190,15.6,4.8,8.1,0,338.1,225.2,151.5,111.8,119.6,118.7,316.5,285.4,184.6,112.8,102.7,76.7,-0.58,-0.13,0.08,0.12,0.13,0.11,-0.22,-0.02,20.4
200,14.8,4.9,8.9,0,347,232.1,154.5,114.6,122.8,121.5,319.6,288.1,188,115.3,105.9,79.1,-0.55,-0.1,0.13,0.13,0.13,0.13,-0.22,0.03,22.6
210,13.8,5,8.6,0,336.2,233.8,160.6,118.3,124.7,123.9,322.9,292.6,194.5,119.8,108.3,81.4,-0.57,-0.09,0.13,0.12,0.14,0.1,-0.25,0.07,20.2
220,13.7,5.2,9.2,0,341.9,234.4,163.3,121.4,127.7,126.1,326.5,290.4,189.2,122.1,110.6,83.1,-0.56,-0.11,0.11,0.12,0.12,0.11,-0.27,-0.05,21.8
230,15.4,5.3,8.7,0,345.7,231.4,162.6,122.8,130.5,126.9,328.2,289.9,182.9,124.2,112,83.6,-0.58,-0.17,0.1,0.12,0.13,0.13,-0.26,-0.08,22.6
240,15.4,5.4,8.7,0,350.7,236.7,164.4,126.3,132.8,128.8,330.4,290.2,183.3,127.1,113.3,84.8,-0.6,-0.09,0.14,0.14,0.13,0.14,-0.25,-0.05,23.1
250,16.9,5.5,8.6,0,356.4,234.3,165.5,125.1,134.1,131.8,328.5,294.7,186.1,129.2,115.1,85.3,-0.62,-0.18,0.11,0.15,0.16,0.15,-0.25,-0.1,24.6
260,14.9,5.6,9.2,0,357.5,237.7,168.3,130.1,138.1,134.2,331.4,297.5,192.7,130.7,116.2,87.1,-0.6,-0.12,0.15,0.14,0.15,0.12,-0.29,-0.11,22.6
270,14.3,5.6,8.7,0,343,236.1,169.4,131.7,139.9,136.4,329.2,296.7,200.6,133.3,119.1,88.4,-0.58,-0.08,0.13,0.13,0.15,0.15,-0.31,-0.11,20.4
280,16.2,5.7,8.8,0,355.8,231.2,167,130.2,141.2,137.1,332.4,296,193.9,135.2,121.8,88.5,-0.62,-0.18,0.13,0.15,0.17,0.17,-0.29,-0.09,22.2
290,14.9,5.8,8.9,0,358.8,244.9,173,133.2,138.3,139.2,335.6,300,196.3,136.3,123.1,89.7,-0.63,-0.13,0.14,0.13,0.15,0.14,-0.28,-0.06,22.2
300,14.5,5.9,8.7,0,344.2,246.9,177.1,135.5,137.7,140.3,335.9,303.8,205.5,139.2,124.8,93.8,-0.66,-0.12,0.15,0.14,0.15,0.15,-0.26,0,23.5
310,19.4,7,12.2,0,363.9,250.7,180.2,139.4,143.3,143.8,344.6,311.9,213,144,128.2,96.8,-0.69,-0.16,0.14,0.15,0.16,0.11,-0.3,-0.01,27.6
320,29.9,9.6,19,0,432.5,284.2,200.5,149.4,157.1,154.5,390.8,351.9,258.8,164.4,139.6,103.6,-0.8,-0.23,0.12,0.16,0.18,0.15,-0.36,-0.08,39.7
330,37.4,11.2,23,0,524.2,318.8,225.4,166.5,168.3,167.7,428.1,374.8,277.6,180.5,156.4,111.6,-0.88,-0.24,0.03,0.14,0.18,0.16,-0.37,-0.02,43.3
340,36.3,12.1,25.3,0,532.4,339.4,246,180.4,179.8,178.3,451.7,399.7,302.2,198.5,172.1,121.9,-0.91,-0.2,0.13,0.16,0.16,0.16,-0.43,-0.1,45
350,38.7,12.7,24.1,0,545.7,351,259.8,186.8,192.5,188.2,464.7,414.8,330.4,212.2,185,129.3,-1.01,-0.33,-0.03,0.17,0.19,0.17,-0.48,-0.12,41.4
360,41.7,13.4,24.4,0,593.9,357.2,267.4,196.4,202.3,196.9,477.2,420.9,342.6,223,194.9,136.9,-1.05,-0.33,-0.02,0.18,0.2,0.19,-0.51,-0.1,41.1
370,42.7,14.1,26,0,603.9,376.1,282.4,207.4,207.4,204.7,483.8,430.6,356.1,229.5,203.9,143.8,-1.12,-0.36,-0.07,0.19,0.23,0.21,-0.47,0,40.7
380,43.6,14.5,25,0,598.7,378.3,291.1,214.1,219.8,213.1,482.3,436.1,368.9,238,211.9,150.7,-1.09,-0.34,0.18,0.21,0.23,0.22,-0.47,0.04,46.7
390,41.3,14.4,25.9,0,574.6,378.1,295.4,229.9,226.9,220.4,486.9,440.9,378.8,259.2,216.2,157.3,-1.07,-0.29,0.19,0.2,0.22,0.19,-0.52,0.01,46.7
400,43.1,14.7,25.7,0,575.7,382.4,298.7,234.7,228.5,225.9,489.6,444.9,384.7,262.1,224,161.9,-1.12,-0.35,0.02,0.22,0.25,0.21,-0.53,-0.08,42.3
410,48,15.4,26,0,626.5,388,307.5,238.2,237,232.2,489.1,443.8,377.3,262.4,231.4,164,-1.15,-0.34,0.2,0.23,0.25,0.23,-0.53,-0.08,43.7
420,46.3,15.9,26.5,0,615.6,397.9,313.2,238.9,242.3,240.9,488.9,447.1,384.9,273.3,236.3,167.3,-1.14,-0.27,0.2,0.18,0.22,0.22,-0.59,-0.06,46.5
430,44.6,16,27.1,0,601,393.7,320.7,250.1,252.6,246.1,493.2,452.2,394.8,284.4,239.8,175.6,-1.16,-0.28,0.25,0.24,0.26,0.22,-0.64,-0.08,45.5
440,45.8,16.2,26.8,0,600.9,399.3,321.6,252.1,250.8,248.9,498,453.2,394.4,290.3,246.1,181.3,-1.16,-0.31,0.22,0.21,0.23,0.18,-0.63,0.04,46.4
450,47.9,16.7,26.4,0,633.9,396.6,322.5,254.8,262.4,254.6,497,458,394.9,287.4,249.7,187,-1.2,-0.38,0.18,0.21,0.24,0.21,-0.61,0.05,49.5
460,45.6,16.9,27.5,0,621.6,400.4,327,259.5,268.6,261.4,496.3,459.4,398.8,291.1,256.1,191.1,-1.19,-0.37,0.28,0.27,0.3,0.26,-0.66,0,48.3
470,48.7,17.3,27.7,0,619.1,406.6,329.9,262.4,274,264.6,497.8,458.6,404.2,297.8,261,193.7,-1.21,-0.35,0.2,0.23,0.28,0.27,-0.68,-0.1,45.6
480,48.6,17.5,27.4,0,625.8,398.3,329.9,260.8,276.4,266.6,501.3,465.4,417.7,307.9,267.3,195.9,-1.21,-0.45,-0.01,0.21,0.28,0.27,-0.67,-0.12,46.3
490,46.6,17.7,27.6,0,625.8,389.3,326.4,258.1,281.5,268.1,505.7,469.6,417.2,304.3,269.8,199.7,-1.2,-0.38,0.23,0.24,0.26,0.25,-0.67,-0.13,45.5
500,47.2,18.1,26.4,0,635.7,408.9,336.3,266.6,278,270.3,510.2,471.5,419.1,311.3,275.2,201.1,-1.25,-0.47,-0.06,0.2,0.26,0.26,-0.7,-0.14,43.4
510,47.7,18,25.9,0,622.8,416.5,341.1,269.9,281.5,272.3,514.3,476.9,424.4,316.1,278.4,202.7,-1.25,-0.41,0.04,0.19,0.28,0.27,-0.7,-0.1,45.3
520,46.7,18.4,28.2,0,598.8,414.4,342.7,278.4,287.4,277.6,513.9,479.4,426.4,327.9,278.7,208.5,-1.24,-0.38,0.31,0.27,0.29,0.26,-0.76,-0.03,43.8
530,49.3,18.8,27.5,0,624.6,418.2,346.1,277.2,285.8,281.1,513.1,476.6,426.5,323.4,284.7,211.2,-1.3,-0.45,0.08,0.26,0.3,0.27,-0.68,0.1,45.2
540,48.6,19,28.1,0,614.9,420.8,351.3,281.7,292.7,285.7,510.5,476.8,429.9,324.8,288,212.1,-1.3,-0.48,0.15,0.27,0.27,0.24,-0.72,-0.04,48.2
550,52.2,19.2,28.1,0,654.5,432.9,358.8,287.6,293.5,288.5,514.6,478.9,430.4,323.3,289.2,214.4,-1.31,-0.49,0.06,0.26,0.28,0.23,-0.73,-0.11,45.8
560,49.1,19.4,27.7,0,634.9,418.8,362,298.2,303.2,295.1,518.6,482.9,438.9,331.8,293.4,219.9,-1.33,-0.53,0.06,0.24,0.27,0.24,-0.77,-0.16,45.4
570,48.3,19.5,29.6,0,610.6,418.4,353.8,288.8,303.9,297.3,520.5,486.2,442.5,338.1,298.1,224.3,-1.31,-0.49,0.14,0.24,0.27,0.24,-0.75,-0.12,48
580,48.7,19.5,29.6,0,626.2,428.6,357.3,303,301,297.7,524.5,487.1,444.9,339.1,296.2,228,-1.28,-0.4,0.24,0.26,0.26,0.21,-0.72,-0.12,46.8
590,47.7,19.7,29.5,0,625.7,425.3,362.2,307.7,308.8,300,524.4,489.4,445.8,344.9,300.4,231.3,-1.34,-0.45,0.09,0.21,0.3,0.29,-0.76,-0.02,47.7
600,49.5,19.9,30.7,0,634.6,422,361.5,296.9,309.6,302.7,523.2,488.1,446.7,344.5,305.9,231.3,-1.32,-0.47,0.16,0.22,0.3,0.26,-0.76,0.03,46
610,49.5,20.1,30.7,0,629.5,420,363.1,300.3,317.2,305.8,528.5,488.5,445.4,342.3,307.6,233.5,-1.33,-0.47,0.24,0.27,0.32,0.29,-0.76,-0.02,47.1
620,51.5,20.9,31.7,0,649.9,442.1,367.8,299.8,313.2,309.1,535.7,493.8,450.4,348,312.6,235.6,-1.39,-0.46,0.22,0.28,0.3,0.29,-0.79,0.07,49.6
630,54,21.5,32.1,0,655,437.7,372.6,309.6,321.3,312.9,537.4,498.3,458.2,357.6,317.7,239.4,-1.4,-0.5,0.16,0.26,0.31,0.29,-0.82,0.01,51.6
640,57.8,21.8,33,0,690.2,446.7,377.5,318.5,329.2,318.2,539.6,503.1,456.8,355.5,323.1,241.7,-1.41,-0.59,0.05,0.29,0.32,0.29,-0.8,0.06,52.1
650,57,22.5,32.6,0,714.9,475.8,394.4,324.4,328.4,324,538.8,506.4,461,360.4,328.1,246.8,-1.41,-0.48,0.27,0.27,0.31,0.29,-0.84,-0.06,51.9
660,55.3,22.5,33.9,0,671.2,454.3,390.7,327,336.6,328.1,546.7,510.9,467.8,369,327.7,252.3,-1.44,-0.5,0.26,0.27,0.3,0.29,-0.82,-0.09,51.9
670,55,22.7,34.4,0,674.1,469.2,393.9,324.1,338.2,331.3,546.7,513.1,474.7,381.6,329.6,257.2,-1.46,-0.52,0.2,0.24,0.34,0.31,-0.83,-0.1,51.8
680,55.4,23,34.8,0,661,449.2,392.1,328.6,347.3,333.4,551.3,516.8,478,377.3,336.8,261.8,-1.44,-0.49,0.25,0.28,0.33,0.3,-0.86,-0.1,51.9
690,55.5,23,35,0,678.2,454.9,399,340.2,350.8,336.7,552.6,519.6,477.7,377,339.3,263.9,-1.44,-0.56,0.11,0.19,0.34,0.32,-0.81,-0.04,50.2
700,56.4,23.2,34.9,0,679.1,465.6,401.4,339.5,347.7,337.1,557.8,522.2,477.9,380,340.1,264.8,-1.46,-0.56,0.19,0.28,0.32,0.3,-0.92,0.06,52.2
710,57.1,23.8,34.9,0,697.2,471.1,405.8,342.1,353.6,342.1,558.8,524.4,476.6,378.5,342.7,269.1,-1.47,-0.57,0.27,0.33,0.34,0.3,-0.91,0.04,56.5
720,56.3,24,35.3,0,695.7,462.7,406.8,342.1,359.1,346,554.7,520.5,475.5,383.6,345.9,272.5,-1.44,-0.48,0.29,0.31,0.32,0.29,-0.9,0.06,54
730,55.8,23.9,36.6,0,676.9,470.7,406.6,347.5,358.4,348.5,556.9,523.8,483.8,395.6,350.7,274,-1.49,-0.56,0.27,0.29,0.32,0.29,-0.95,-0.04,52.5
740,57.6,24.3,35.9,0,686.5,477.2,411.1,356.9,368.4,352.2,556.1,525,487.3,404.3,350.4,277.8,-1.47,-0.55,0.3,0.33,0.33,0.32,-0.96,-0.09,54.8
750,59.2,24.3,37,0,704.1,477,416.2,365.1,376.2,353.8,556.8,523.3,484,403.7,355,279.8,-1.45,-0.59,0.29,0.33,0.35,0.34,-0.94,-0.07,53.8
760,57.9,24.6,37,0,704.5,493.9,414.7,352.2,366.1,357.2,556.4,523.7,488.9,397.5,357.3,281.1,-1.48,-0.54,0.35,0.31,0.34,0.31,-0.98,-0.14,53.9
770,57.5,24.7,36.7,0,700.9,484.4,421.2,367,376.5,360.7,556.9,526.7,489.5,404.7,356.1,284.4,-1.48,-0.53,0.31,0.31,0.37,0.33,-1.01,-0.14,54.7
780,58.6,25,36.1,0,705.5,484.4,414.8,359.3,376.9,362.9,559.4,526.8,489.3,403.6,358,284.4,-1.51,-0.64,0.03,0.33,0.38,0.37,-0.98,-0.01,51.7
790,58.7,25.4,36.7,0,718.4,481.1,415.4,354.8,377.1,365.3,565.2,530.3,490.1,400.9,360.5,288.5,-1.5,-0.59,0.31,0.33,0.36,0.35,-0.98,0.06,50.1
800,58.7,25.6,35.2,0,708.9,482.8,420.4,360.4,376.3,366.7,569.7,536.5,495.4,410.1,368.4,288.7,-1.47,-0.58,0.28,0.26,0.33,0.31,-0.96,0.07,50.5
810,55.8,25.5,36.8,0,686.3,477.6,421.8,364.4,382,368.7,571.8,537.5,500.9,423.4,365.9,293.8,-1.48,-0.54,0.32,0.29,0.35,0.33,-0.99,0.06,49.2
820,57.5,25.9,37.2,0,682.3,488,424.2,361.3,378.2,371.4,568,536.8,502.9,419.9,369.6,296.3,-1.5,-0.6,0.28,0.32,0.32,0.27,-1.02,-0.12,51.6
830,58.5,25.9,35.9,0,673.7,499.7,431.1,373.8,384,374.3,563.3,538.2,502.9,425.4,369,299.5,-1.51,-0.65,0.22,0.34,0.33,0.32,-1.02,-0.05,50.2
840,60.5,26.2,36.3,0,699.8,479.6,425.1,370.2,386.3,374.7,570.1,538.5,498,412.6,373.8,300.7,-1.5,-0.65,0.23,0.34,0.36,0.34,-1.02,-0.12,48.9
850,56.4,25.9,37.2,0,701.9,484.7,424.3,365.3,388,374.7,570.3,537.8,499,412.5,378.6,303.7,-1.57,-0.72,-0.15,0.2,0.34,0.34,-1.01,-0.11,49.5
860,56.2,26,36.2,0,686.9,479.9,425.6,362.1,385.3,375.7,573.1,537.4,499.2,416.1,377.3,302.2,-1.55,-0.68,-0.02,0.27,0.33,0.33,-1.04,0.03,50.3
870,59.3,26.6,36.8,0,704.3,486.3,429.2,371,391.1,377.6,572.1,537.2,500.1,414,377.1,304.7,-1.54,-0.55,0.37,0.34,0.37,0.34,-1.03,0.07,51.9
880,58.9,26.4,37,0,713.1,488,427,369.5,392.7,377.2,571.2,539.9,499.6,412.4,376.4,302.4,-1.53,-0.6,0.34,0.32,0.35,0.34,-1.03,0.11,52.1
890,58.4,26.5,37.6,0,712,482.5,426.3,376.4,394.6,375.6,576,541.3,496.3,411.6,377.8,302.1,-1.56,-0.7,0.1,0.32,0.36,0.33,-1,0.12,50.4
900,59.9,26.8,37.3,0,706.5,486.1,426.6,373.5,396.4,381.8,581.7,546.1,504.3,416.3,384.3,305.4,-1.52,-0.57,0.26,0.35,0.37,0.33,-1.02,0.17,51.1
910,48.7,24.5,31.8,0,673.7,477.9,427.6,371.8,394.4,380.7,570.3,539.4,499.5,410.3,376.8,306.1,-1.48,-0.61,0.29,0.35,0.36,0.28,-0.96,0.15,44.1
920,23.9,16.7,16.2,0,543.9,409.4,396.4,366.3,372.6,363.4,513.2,483.5,440.9,383.8,358.6,295.7,-1.28,-0.46,0.32,0.32,0.36,0.32,-0.86,0.1,22.3
930,16.1,12.8,11.5,0,444.3,342.7,356.4,342.9,338,331.9,450.8,418.2,388.1,346,330.5,276.5,-1.13,-0.44,0.31,0.32,0.35,0.32,-0.78,-0.1,8.7
940,13.9,11.1,10.4,0,398,306,328.3,323.2,313.9,305.8,414.5,377.7,352.9,325,305,255.2,-1.02,-0.48,0.26,0.27,0.3,0.29,-0.71,-0.09,3.8
950,12.6,10.1,9.5,0,375.5,287.1,304.4,303.9,295.8,287.1,392.6,350.6,329,307.8,287.3,239.3,-0.96,-0.48,0.03,0.24,0.27,0.27,-0.61,0.07,0.9
960,11.4,9.1,9,0,359.3,275.7,286.4,284.5,280.5,271,372.5,329,309.5,293.1,268.9,227.2,-0.91,-0.42,0.24,0.23,0.28,0.27,-0.61,0.15,1.1
970,10.7,8.6,8.9,0,348,259.3,274.4,275.2,265.9,257.6,358.5,314.4,294.7,280.7,261.2,216.8,-0.85,-0.41,0.13,0.23,0.26,0.24,-0.55,0.15,0.5
980,10.1,8,8.3,0,338.9,247.4,256.9,258.4,252.5,245.8,346.3,300.9,281.3,270.3,250,206.1,-0.85,-0.42,0.15,0.22,0.23,0.21,-0.53,0.15,0.9
990,9.3,7.6,7.9,0,314.5,236.6,252,253.3,244.7,238.3,336,289.5,271.2,259.4,240.9,200.5,-0.84,-0.4,0.21,0.23,0.25,0.24,-0.52,0.09,0.1
1000,9,7.1,7.6,0,304.3,226.5,244.5,247.4,237.9,228.7,326.5,277.3,260,251.6,232.4,194.2,-0.78,-0.39,0.18,0.21,0.23,0.23,-0.48,0.06,0.4
1010,8.4,6.9,7.4,0,301.7,228.7,233.9,232.7,227.3,219.3,318.3,269.1,254.3,246.1,221.5,186,-0.75,-0.37,0.19,0.21,0.21,0.19,-0.5,-0.02,-0.6
1020,8.3,6.5,6.9,0,298.1,216.7,228.7,227.2,220.6,215.1,312.4,260.5,245.8,237,214.7,181.2,-0.72,-0.32,0.23,0.2,0.23,0.23,-0.49,-0.05,1.3
1030,7.9,6.3,7,0,284.9,211,221.8,222.9,213.4,206.2,304.8,251.9,238.7,229,209.7,177,-0.73,-0.37,0.12,0.2,0.2,0.23,-0.51,-0.08,0.7
1040,7.7,6,6.5,0,274.4,202.5,213.3,213.8,203.9,199.4,298.5,244,233.6,224.9,206.5,174.2,-0.72,-0.39,0.1,0.17,0.21,0.23,-0.51,0.04,0.6
1050,7.3,5.7,6.5,0,266.2,194,205.4,204.6,197.6,195.3,292.3,235.9,226.1,218.4,199.8,169.1,-0.7,-0.36,0.23,0.22,0.22,0.23,-0.45,0.12,-0.4
1060,6.7,5.6,6,0,267.7,191.1,202.6,203,194.9,191,287,230.5,222.8,214.3,193.4,163.7,-0.66,-0.32,0.23,0.22,0.23,0.23,-0.44,0.11,0.6
1070,6.7,5.4,6,0,262.6,187.1,194.1,191.8,190.4,186,281.4,224.4,216.5,209.4,189.5,159.4,-0.69,-0.43,-0.17,0.17,0.2,0.22,-0.41,0.1,0.6
1080,6.5,5.2,5.9,0,260.2,185.3,188.8,187.9,184.8,181.7,275.6,220.9,212.6,204.2,187.1,156.9,-0.69,-0.37,0.02,0.2,0.21,0.21,-0.44,0.04,-0.2
1090,6.5,5,5.8,0,251.3,180.6,187,185.2,179.9,176.5,271.7,215.3,208,199.8,183,151.6,-0.68,-0.42,-0.17,0.15,0.17,0.2,-0.44,-0.07,0.1
