Time,HFG_WALL,HFG_FLOOR,HFG_CEILING,HFG_BURNER,HFG_TC_1,HFG_TC_2,HFG_TC_3,HFG_TC_4,TC_TREE_1_1,TC_TREE_1_2,TC_TREE_1_3,TC_TREE_1_4,TC_TREE_1_5,TC_TREE_1_6,TC_TREE_2_1,TC_TREE_2_2,TC_TREE_2_3,TC_TREE_2_4,TC_TREE_2_5,TC_TREE_2_6,BDVP_DOOR_VEL_1,BDVP_DOOR_VEL_2,BDVP_DOOR_VEL_3,BDVP_DOOR_VEL_4,BDVP_DOOR_VEL_5,BDVP_DOOR_VEL_6,HRR
160,106.7,83,115.1,-0.2,9.4,9.8,10.9,9.1,1135.4,1103.7,1103,1074.8,1029.2,915.5,1009.6,1054.4,1049.5,1049.4,1043.8,961,10.38,6.97,3.66,2.75,-1.78,-1.58,4143.2
170,106.3,72.4,127.9,0,9.5,9.9,11,9.2,1153.7,1136.9,1142.1,1124.5,1076.8,962.4,1027.8,1074.2,1069.4,1070.7,1069,1032.6,10.54,7.07,3.97,2.79,-1.75,-1.66,4136.4
180,113.5,56.4,120.6,0.1,9.5,10,11.1,9.3,1128.6,1109.4,1123.3,1119,1096,971.8,1014.2,1059.6,1054.7,1053.6,1052.8,1015.8,10.42,7,3.96,2.79,-1.73,-1.68,4119.4
190,112.3,46.3,133.2,0.2,9.5,10,11.2,9.3,1090.1,1062.4,1065.2,1059.3,1046.3,950.6,1021.6,1051.2,1040.2,1041.1,1039.3,1000.6,10.34,6.98,4.01,2.43,-1.86,-1.76,4351.9
200,117.9,44,122.5,0.3,9.5,10.1,11.3,9.3,1070.1,1049.9,1059.7,1063,1026.2,894.2,977,998.6,985.4,978.6,968.9,925.9,10.14,6.72,4.31,2.51,-1.84,-1.74,4552.1
210,114.8,40.4,124.2,0.3,9.5,10.1,11.4,9.4,1038.8,1014,1020.5,1019,998.3,890.6,977.6,991.5,977.7,969.4,959.7,915.7,10.12,6.54,4.13,2.38,-1.97,-1.74,4340.7
220,113.1,38.2,123.8,0.4,9.5,10.1,11.5,9.4,1027.2,988.6,993.6,986.7,968.9,880.2,971.2,980,967.2,961.8,952.9,912.6,9.86,6.43,3.98,2.28,-2.04,-1.62,4322.5
230,112.5,37.8,116.4,0.4,9.5,10.2,11.6,9.4,1018.3,979,978.7,976.4,961.2,864.4,955.2,971.1,957.5,949.9,940.3,904.7,9.76,6.31,4.04,2.23,-1.99,-1.66,3895.4
240,113.1,39.9,118.5,0.5,9.6,10.2,11.7,9.4,1020.2,1004.9,1005.9,992.7,963.3,862.2,944.5,960.5,946.9,937.1,924.4,885.5,9.72,6.15,3.87,2.43,-2.04,-1.72,3558
250,109.3,40.5,117.1,0.5,9.6,10.3,11.7,9.5,1020.7,997.8,997.7,981.1,950.1,862.3,951.5,958,942.1,932,919.2,870,9.66,6.19,3.84,2.44,-1.86,-1.61,3445.4
260,108,41.9,115.1,0.6,9.6,10.3,11.8,9.5,1039.2,1012.2,1010.9,998.5,978.6,869.3,939.4,949.6,932.4,919.2,901.2,860,9.69,6.25,4.11,2.28,-2.04,-1.74,3536.1
270,111.3,61,118.5,0.6,9.6,10.3,11.8,9.5,1056.7,1039.8,1036.4,1015.9,978.9,873.4,945.2,951.4,931.5,914.1,892.6,841.1,9.61,6.06,3.79,2.59,-2.08,-1.77,3435.4
280,111.6,72.7,127.3,0.6,9.6,10.4,11.9,9.6,1069.7,1069.1,1067,1035.8,987.5,882.6,952.7,943.9,928.2,914.1,882.5,822.5,9.46,5.95,3.6,1.98,-2.12,-1.86,3567.8
290,111.8,86.3,130,0.6,9.7,10.4,12,9.6,1071.8,1077.9,1072,1036.5,992.8,830.4,968.3,959.4,946.2,943.5,919.6,818.1,9.21,5.8,3.34,2.49,-2,-1.83,3510.6
300,112.4,87.8,128.3,0.6,9.7,10.4,12,9.6,1091.7,1088.1,1075.1,1029.6,1011.7,788.8,973.2,959.1,943.5,942.6,926.2,820.6,9.26,5.95,3.35,2.47,-1.94,-1.79,3546.5
310,114.5,90.5,128.3,0.6,9.7,10.5,12.1,9.6,1098.1,1098.2,1086.4,1038.1,1013.7,780.9,979.8,972.9,959.3,958.2,944.3,839.6,9.38,5.99,3.44,2.44,-1.96,-1.71,3473.9
320,113.7,96.5,128.6,0.7,9.7,10.5,12.1,9.6,1128.4,1127.5,1109,1060,1046.1,788.4,982.9,974.8,957.9,958,951.8,853.1,9.44,6.07,3.54,2.49,-2.18,-1.97,3329.9
330,118.5,102.3,128.2,0.7,9.7,10.5,12.2,9.7,1152.1,1129.8,1099.8,1077.6,1024.2,790.3,1003.2,996.9,977.6,966.6,953.3,858.7,9.71,6.21,3.65,2.29,-2.12,-1.94,3365.1
340,117.5,94.4,128.3,0.7,9.8,10.6,12.3,9.7,1133.4,1125,1100.6,1074.3,1006.7,764.5,1008.9,1002.6,981.8,964.7,947.5,877.1,9.52,6.07,3.58,2.5,-2.04,-1.77,3639.5
350,116.8,90.7,131.8,0.7,9.8,10.6,12.3,9.7,1119.9,1116.1,1097.5,1051.9,1020.6,747.9,1014.9,1008.6,985.7,967.1,946.4,878,9.67,6.14,3.58,2.41,-2.02,-1.75,3647.3
360,119,92.2,133.7,0.7,9.8,10.6,12.4,9.7,1119.1,1114.8,1103.5,1060.9,1032.8,770.2,1000.8,995,974,957.3,937.7,876.4,9.68,6.18,3.74,2.36,-2.3,-1.97,3644.8
370,118.4,93.2,135.9,0.7,9.8,10.7,12.5,9.7,1134,1141.8,1123.6,1072.6,1047.8,738.6,1006.3,999.5,978.7,960,936,869.6,9.75,6.12,3.63,2.38,-2.14,-1.86,3653.8
380,121.1,90.6,136.7,0.7,9.8,10.7,12.5,9.8,1135.7,1125,1099.1,1056.1,1027,741.2,1003.8,998.5,976.2,954.8,925.4,853.7,9.61,6.08,3.64,2.4,-2.1,-2.12,3642.1
390,120.9,89,140.4,0.7,9.8,10.7,12.5,9.8,1129.9,1125.6,1102.7,1061.9,1037.8,740.6,997.1,992.1,971,952,923.9,848.6,9.39,5.95,3.67,2.48,-2.17,-2.06,3697.3
400,121.7,73.9,133.3,0.7,9.8,10.8,12.7,9.8,1107.3,1111.5,1090.8,1056.8,1026.8,746.8,996.3,994.4,973.3,953.8,931.8,865.8,9.71,6.11,3.88,2.75,-2.19,-2.11,3613.6
410,124.1,66.4,127.8,0.7,9.9,10.8,12.7,9.8,1131.3,1136.5,1122.2,1082.1,1048.2,815.7,998.3,1003.7,985.4,965.8,942.4,877.3,9.73,6.11,3.91,2.14,-2.11,-1.96,3396
420,130.3,67.1,123.7,0.8,9.8,10.8,12.7,9.8,1153.3,1142.1,1131,1098,1057.6,842.3,1011.1,1004.3,988.6,968.4,946.3,879,9.62,6.04,3.87,2.11,-2.18,-2.07,3158.3
430,135.2,75.9,120.9,0.8,9.9,10.8,12.8,9.8,1147.3,1126.4,1103.8,1065.1,1032.4,755.6,993.5,985.5,966.4,938.3,909.4,841.2,9.36,5.94,3.72,2.02,-2.14,-2.12,3156.2
440,140.2,86.6,124.3,0.8,9.9,10.9,12.8,9.8,1135.9,1114.8,1085.1,1052.2,956.1,729.2,974.2,960.3,942.4,921.6,893.4,808.3,9.03,5.66,3.23,1.93,-2.28,-2,3216.3
450,142.4,88.2,124.3,0.8,9.9,10.9,12.8,9.8,1124.8,1089.9,1084.2,1035.4,866.8,726.2,977.8,961.6,942.3,917.4,884.5,793.3,8.98,5.61,3.3,2.47,-2.27,-2.1,3137.4
460,141.7,84,122.3,0.8,9.9,10.9,12.9,9.9,1076.9,1058.1,1048.8,937.7,815.5,709.5,963.3,948.1,925.8,898.1,870.9,780.2,8.68,5.42,3.22,2.56,-2.14,-1.99,3256.5
470,141.5,84,121.5,0.8,9.9,10.9,12.9,9.9,1069.8,1055.2,1034,942.9,814,703.3,953.9,944.3,931.9,908,877.3,767.5,8.67,5.3,3.07,2.47,-2.18,-1.9,3091.7
480,140.9,84.9,121.3,0.8,9.9,11,13,9.9,1088.2,1058.4,1037.5,952.8,824.9,704.4,961.5,946.8,927.9,903.1,871.6,767.5,8.75,5.42,3.15,2.32,-2.16,-1.98,2654.2
490,141.7,81.7,120.3,0.8,9.9,11,13,9.9,1076.2,1078.6,1040.3,944.5,817.7,696.7,952.8,936,916.2,888.9,860.3,760.1,8.82,5.34,3.03,2.21,-2.05,-1.87,2570.7
500,143.9,86.2,120.2,0.8,9.9,10.9,13,9.9,1077,1073.6,1037.8,942.4,822,701.9,944.3,929.6,910.5,881.1,851.5,750.4,8.7,5.35,3.14,2.36,-2.11,-1.91,2587.2
510,145.3,85.8,120.7,0.8,10,11,13,9.9,1100.2,1061.8,1035.4,929.3,813,699.2,944.8,925.9,904.3,873.7,842.7,753.3,8.68,5.32,3.05,2.05,-2.11,-1.91,2518.8
520,142.7,85.5,120.7,0.8,10,11,13.1,9.9,1080.6,1057,986.8,918.8,832.9,687,952.6,926.6,903.8,871.9,840.3,754.4,8.56,5.31,3.01,2.07,-2.15,-1.83,2496.4
530,141.7,83.7,116.4,0.8,10,11,13.1,9.9,1086,1057,989.7,913,817.2,683.6,944.3,918.2,895.4,863.6,833.4,748.9,8.54,5.33,3.04,2.03,-2.06,-1.82,2549.1
540,139.8,86.7,120.9,0.8,10,11,13.1,9.9,1084.4,1048.3,975.5,903,830.4,691.1,947.3,923.7,901.4,869,838.1,741.1,8.5,5.39,3.07,2.12,-2.15,-2.05,2493.7
550,141.3,86.1,116.5,0.8,10,11,13.1,9.9,1093.2,1044.1,959.8,887.9,811.1,695.4,950.1,926.1,903.8,874,840.1,735.6,8.42,5.34,3.11,2.58,-2.17,-2.19,2493.9
560,142.1,83,116.5,0.8,10,11,13.1,10,1094.4,1044.5,956.4,891.2,793.9,675.1,936.9,914.3,891.8,862.3,830.9,743.3,8.46,5.25,2.96,2.3,-2.14,-1.89,2387.5
570,140.4,82.9,117.2,0.8,10,11,13.1,9.9,1080.4,1031.6,938,869.2,795.8,676.3,939.4,912.8,887.5,856.8,826.2,732.9,8.45,5.21,3.03,2.19,-2.04,-1.8,2413.6
580,141.9,83.2,114.3,0.8,10,11.1,13.2,9.9,1078.4,1018.4,928.3,861.9,775.7,677.9,937.6,908.5,883.5,851.7,820.6,729.5,8.38,5.14,2.79,1.88,-2.18,-2.02,2457.2
590,105.9,57,70.9,0.8,10,11,13.2,9.9,973.6,870.5,828.2,784.8,721.3,618.8,858.2,831.6,810.5,770.5,747.6,684.5,7.55,4.58,2.22,1.79,-2.63,-2.14,2410.7
600,73.9,42.7,53,0.7,10,11,13,9.9,845,766.9,728.6,692.3,629.6,551.7,780.8,757.2,731.4,679.2,660.6,619.3,7,4.26,2.06,1.59,-2.12,-1.93,2397.6
610,62.6,33.9,44.8,0.7,10,11,13,9.9,764.9,683.5,644,604,548.9,474.5,724,679.6,650.3,626.7,610.3,575.8,6.52,3.8,1.31,1.61,-2.01,-1.84,1868.6
620,53.9,29,38.7,0.7,10,11,13,9.9,705.1,608.3,568.9,527.2,492.8,428.8,675.2,616.7,594.8,577.3,561.7,551.4,6.19,3.53,1.72,1.61,-1.94,-1.74,829.8
630,47.4,25.9,35,0.7,10,10.9,12.8,9.9,660.9,548.5,522.8,500.2,478.7,414.2,638.8,583,561.1,536.2,530.3,521.6,5.86,3.32,0.53,1.46,-1.8,-1.66,613.6
640,40.5,23.4,31.4,0.6,10,10.9,12.7,9.9,622,507.9,479,464.3,435.9,363.7,605.4,544.4,516.1,499,496.9,500.7,5.58,3.11,0.78,1.44,-1.81,-1.46,492.3
650,36.8,21.1,32.1,0.6,10,10.9,12.7,9.9,596,485.3,447.7,428.6,395.6,336.1,578,514.8,490,482,476.2,478.8,5.35,2.97,1.05,1.27,-1.71,-1.45,398.8
660,33.5,19.7,31.4,0.6,10,10.9,12.8,9.8,570.6,459.4,424.8,402.1,366.7,317.1,556.4,475.6,451.6,449.1,449.5,455.8,5.06,2.8,0.95,1.48,-1.66,-1.49,360
670,30.1,18.1,29.2,0.6,10.1,10.9,12.7,9.9,542.5,423.7,397,381,353.6,294.6,533.4,461.3,423.4,421.6,425,420.6,4.93,2.83,0.49,1.47,-1.53,-1.17,310.2
680,28.5,17.1,29,0.5,10,10.8,12.7,9.9,520.2,395.8,369.3,365.2,341,283,512,450.7,400.6,394.5,404.3,405.8,4.72,2.56,-0.15,1.38,-1.56,-1.34,286.3
690,27,16.5,28.1,0.5,9.9,10.8,12.6,9.8,495.3,373.7,349.4,345.4,323.9,260.7,490.9,419.5,371.8,377.6,386.8,383.3,4.61,2.51,0.4,1.37,-1.55,-1.19,261.2
700,24.8,15.1,28.3,0.5,10,10.8,12.7,9.8,468.4,354.8,333,329.4,306.6,254.4,471.6,407.1,362.1,370.5,368.3,366.5,4.48,2.47,0.32,1.42,-1.6,-1.07,241.5
710,23.8,14.7,26.9,0.4,10,10.8,12.6,9.8,459,338,322.1,318.6,302.9,244.2,458.1,392.9,365.4,363.1,358.3,360.2,4.35,2.36,0.21,1.31,-1.52,-1.14,217.7
720,23.2,14,26.6,0.4,9.9,10.8,12.6,9.8,446.8,328,315.9,309.4,295.3,242.1,444.3,384.2,340.2,345.9,352,361.6,4.21,2.34,0.1,1.3,-1.49,-1.07,189.7
730,22.3,13.2,27,0.4,9.9,10.7,12.5,9.8,434.3,310.9,292.7,288.5,269,225.5,432.5,363.4,317.3,328,342.3,358,4.18,2.37,-0.16,1.32,-1.51,-1.02,165.2
740,21.5,13.1,27.2,0.4,9.9,10.8,12.6,9.8,421,293.9,281.9,281.3,263.2,222.5,417.2,354.9,304,305.6,324.4,344.3,4.03,2.25,0.31,1.39,-1.49,-1.12,164
750,20.8,12.5,25.5,0.3,9.9,10.7,12.5,9.8,405.4,284.2,276.5,273.5,252.3,226,407.8,357.5,312.8,293.2,314.9,335.9,3.97,2.19,0.01,1.3,-1.46,-1.03,163.5
760,19.7,12.4,24.8,0.3,9.9,10.7,12.5,9.8,398.7,274.6,267.2,269.6,244.5,226.5,395.9,346.9,302.8,289.6,304.6,330.9,3.91,2.17,0.02,1.48,-1.43,-1.08,164.2
770,18.3,11.4,24.4,0.3,9.9,10.7,12.5,9.7,395.9,269.9,250.9,248.7,233.7,206.3,392.4,323.5,279.7,282,296.6,317.4,3.81,2.02,-0.4,1.53,-1.7,-1.22,171.1
780,17.8,11.1,23,0.3,9.9,10.8,12.6,9.8,387,267.4,253.1,249.9,235.2,200.3,381.2,300.9,278.9,280.3,282.6,304.2,3.77,2.06,-0.28,1.56,-1.57,-1.16,165.6
790,17.6,11,23.4,0.3,9.8,10.7,12.6,9.7,374.4,256.7,239.6,240.7,221.6,197.8,374,309.2,270.4,268.2,278,301.7,3.69,2.07,-0.37,1.43,-1.37,-0.94,161.5
800,18.1,10.9,21.7,0.3,9.8,10.7,12.7,9.7,363.1,251.3,241.9,237.1,217.1,192.4,369.2,300.9,254.7,259.6,275.4,297.7,3.62,2.01,0.31,1.45,-1.5,-1.17,148.4
810,17.1,10.1,19.6,0.3,9.8,10.8,12.7,9.7,362.1,244.1,228.5,226.6,203.5,183.8,362.6,278.4,247.5,249.6,263.9,283.2,3.56,1.89,-0.34,1.4,-1.42,-1.09,148.2
820,16.8,9.6,21.1,0.3,9.9,10.8,12.8,9.7,357.1,237.7,225.9,219.5,199.5,191.7,353.5,279.7,256.2,241.3,256.6,284.2,3.57,1.95,-0.3,1.46,-1.4,-0.75,137.2
830,16.5,8.8,19,0.2,9.8,10.8,12.7,9.7,345.9,232.2,218.1,218.3,201.9,181,351.1,272,252.9,245.3,254,275.4,3.74,1.99,-0.16,1.29,-1.34,-0.98,0
840,16.6,9.8,20.1,0.2,9.8,10.7,12.7,9.7,326.6,233.3,219.7,214,201.7,173.1,344,274.4,252,251.7,253.7,269.9,3.58,1.95,0.06,1.33,-1.32,-1.21,0
850,15.8,9.2,17.2,0.2,9.8,10.7,12.7,9.7,325.3,218.8,204.8,207.5,194.5,161.1,336.5,276.5,249.6,248.6,250.6,260.2,3.38,1.82,-0.16,1.3,-1.31,-1.05,0
860,15.2,8.9,17.6,0.2,9.8,10.7,12.6,9.7,311.3,219,210.5,212.8,195.6,160.4,332.7,277.7,254.3,247.2,243.7,248.1,3.39,1.73,-0.44,1.35,-1.32,-1.1,0
870,15,9.2,17,0.2,9.8,10.6,12.5,9.7,314.2,212.6,196.8,196.6,183.5,161.1,332.7,261.2,241,236.4,238.4,241.3,3.45,1.84,-0.12,1.34,-1.28,-0.85,0
880,14.9,8.6,15.8,0.2,9.7,10.6,12.4,9.6,307.7,209.6,201.5,194.9,178.2,163,323.2,253.6,230,223.5,231.6,249.5,3.31,1.75,-0.4,1.31,-1.29,-0.93,0
890,14.3,7.7,16.1,0.2,9.7,10.6,12.5,9.6,309,204.8,193.6,191.9,178.1,160.5,318,264.2,242.6,220,219.3,240.8,3.27,1.55,-0.71,1.33,-1.34,-1.02,0
900,16.7,7.1,15.7,0.2,9.6,10.5,12.5,9.5,295,202.7,191.5,186.7,170.2,155.4,312.2,257.2,229.4,219.9,214.3,225.2,3.34,1.74,-0.21,1.41,-1.23,-0.92,0
910,24.5,6.4,14,0.2,9.6,10.5,12.4,9.4,271.8,189,174.7,173.6,160.6,145.2,301.9,244.3,220.4,221.8,210.5,224.7,3.33,1.74,-0.49,1.43,-1.21,-0.67,0
920,22.3,6.3,12.1,0.2,9.5,10.4,12.4,9.2,231.5,149.6,155.5,154.1,120.2,108.2,297.6,225.8,204.1,202.9,200.7,219.8,3.29,1.72,-0.22,1.43,-1.24,-0.71,0
930,18.5,5.6,11,0.2,9.4,10.3,12.3,9.1,224.8,138.8,138.5,137,119,109.1,290.7,221.2,191.5,193.4,196.3,206.9,3.2,1.7,-0.72,1.36,-1.15,-0.82,0
940,17.1,5,10.3,0.2,9.4,10.2,12.2,9.1,207.4,131.8,123.3,109.1,105.2,89.2,256.3,211.6,186.3,179.5,182,173,3.13,1.67,-0.76,1.41,-1.25,-0.8,0
950,15.8,5.3,17.3,0.2,9.3,10.2,12.2,9,214.7,135.7,126.7,108.8,105.4,97.8,230.1,174.8,166.6,157.7,162.5,160.6,3.13,1.6,-0.25,1.43,-1.07,-0.55,0
960,16.6,5.9,20,0.2,9.3,10.1,12.2,8.9,201.9,125.1,120.8,112.5,108.3,106,196.2,167,160.2,149.9,151.8,156.3,3.07,1.58,-0.52,1.35,-1.13,-0.66,0
970,21,5.4,24.4,0.2,9.3,10.1,12.2,8.9,195.4,121.3,120.6,112.9,105.7,104.3,203,163.5,155.9,155.3,157.3,165,3,1.52,-0.83,1.36,-1.11,-0.6,0
980,16.6,5,23.1,0.2,9.3,10.1,12.2,8.9,183.4,120.9,121.6,112.7,104.1,101.1,213.6,175.8,162.7,156.2,155.9,168.7,2.89,1.5,-0.87,1.31,-1.32,-0.78,0
990,15,4.9,20.6,0.2,9.2,10.1,12.1,8.9,180.8,118.1,115,112.9,95.8,100,218.9,172.5,157.5,155.2,155,164.3,2.89,1.49,-0.52,1.22,-1.27,-0.64,0
1000,14.4,4.1,19.3,0.2,9.1,10,12.1,8.8,168.6,99.4,83,96,63.3,83.8,220,172.1,158.9,160,158.2,161.2,2.81,1.45,-0.51,1.19,-1.12,-0.27,0
1010,14.9,4.1,20.9,0.2,9.1,10,12.1,8.8,170.7,114.5,103.4,100,78.3,85.3,216.9,172.9,159.8,162.3,155.3,164.8,2.76,1.31,-0.83,1.23,-0.99,-0.07,0
1020,14.3,4.8,19.8,0.2,9.1,10,12.2,8.8,174.2,119.7,111.9,103.8,84.8,91.1,217.7,176.1,161.8,161.7,156.4,162.2,2.83,1.46,-0.8,1.3,-1.11,-0.78,0
