Time,HFG_WALL,HFG_FLOOR,HFG_CEILING,HFG_BURNER,TC_TREE_1_1,TC_TREE_1_2,TC_TREE_1_3,TC_TREE_1_4,TC_TREE_1_5,TC_TREE_1_6,TC_TREE_2_1,TC_TREE_2_2,TC_TREE_2_3,TC_TREE_2_4,TC_TREE_2_5,TC_TREE_2_6,BDVP_DOOR_VEL_1,BDVP_DOOR_VEL_2,BDVP_DOOR_VEL_3,BDVP_DOOR_VEL_4,BDVP_DOOR_VEL_5,BDVP_DOOR_VEL_6,HRR
570,55.7,47.8,40.6,23.5,778.7,487.9,506.9,529.2,504.1,453.9,706.8,670.5,585.3,520.5,471.2,431.3,-2.37,-1.22,-0.14,0.39,0.49,0.47,58.3
580,55.9,48.1,41,23.5,753.8,488.1,508.4,530.6,504.2,456.1,708,673,588.5,520.2,464.2,429.3,-2.34,-1.22,0.27,0.35,0.45,0.44,53.4
590,55.2,46.9,42.3,23.6,742,478.9,507.9,529.1,503.6,458,695.2,657.6,591.2,524.9,473.1,427.7,-2.3,-1.2,-0.04,0.34,0.43,0.43,55
600,56,46.5,42.8,23.5,726.4,475,503.9,524.8,499.7,454,688.8,650.1,592,527.4,477.2,426.3,-2.26,-1.22,0.22,0.38,0.46,0.45,55.5
610,57.4,45.7,42,24.7,734.8,479.4,498.1,524,498.6,448.8,695.8,656,588.3,521.6,474.8,430.2,-2.26,-1.22,0.16,0.39,0.44,0.44,60.8
620,52.1,44.3,40.5,24.5,679.1,479,498.8,523.5,497.3,443.3,678.5,643.8,570,513.1,462.6,430.4,-2.22,-1.19,0.2,0.34,0.44,0.42,51.6
630,35.8,39.3,32.9,23.1,557.7,469.2,491.4,509.1,481.1,425.9,597.5,575.6,532,488.3,437.1,414.3,-2.11,-1.16,0.33,0.27,0.41,0.4,37.5
640,30.5,34.9,28.9,23.5,475.2,445.4,475,493.4,462.6,416.9,524.9,508.6,487.7,459.5,415.1,397.4,-2.03,-1.18,0.42,0.28,0.41,0.4,30.7
650,27.9,31.3,26.9,23.7,451.9,433.5,461.1,479.3,447.7,399.7,488.1,475.1,459.5,439.3,401.2,385.7,-1.96,-1.14,0.3,0.3,0.39,0.37,31.4
660,26.8,27.9,25.5,24.6,435,417.3,446.7,467.2,436.1,387.5,467.3,452.2,439.7,423.8,386.2,373.7,-1.91,-1.03,0.04,0.32,0.37,0.35,31.1
670,25.4,26.7,24.2,24.4,420,408,435.6,457,426.7,382.7,455.2,437.7,427.5,412.6,375.2,357.7,-1.86,-1.08,0.29,0.26,0.38,0.34,30.2
680,24.1,25.8,22.8,24.7,412.8,402.6,427.6,446.4,414.2,373.3,443.9,424.6,416.1,403.1,366.2,346.2,-1.82,-0.91,-0.17,0.3,0.35,0.33,27.7
690,23.1,25,20.2,26.1,398.3,393.9,419.5,440.5,407.7,366.9,433.8,414,406.3,393.1,355.9,338,-1.77,-0.88,-0.04,0.29,0.36,0.36,25.6
700,22.4,24.2,18.4,27.7,387.8,378.2,412.3,433.3,399.6,364,422.6,403,396.9,383.8,352.6,334.6,-1.76,-0.99,0.16,0.32,0.37,0.38,24.5
710,21.7,23,17.8,29.2,376.8,369.9,408.1,426.4,395,362.8,412.4,392.8,387.1,376.1,349.7,332.8,-1.72,-1.01,0,0.32,0.36,0.37,23.3
720,21.1,22.4,17.3,29.5,371.8,363.8,401.7,421.1,386.5,354.8,402.2,381.6,377.7,369,341.8,327.9,-1.69,-1.04,0.18,0.26,0.36,0.37,23.2
730,20.7,22.2,17.2,29.8,372.1,359.3,395.9,415.1,384.2,354.4,395.9,374.5,370.9,363.7,337.7,324.6,-1.66,-1.02,0.24,0.32,0.36,0.38,24.8
740,20.6,21.4,17,30.1,369.1,357.3,390.7,409.5,380.6,352.3,392.2,369.6,366.8,359.7,334.5,323.8,-1.64,-0.97,-0.25,0.33,0.37,0.37,25.2
750,20.2,20.7,16.2,28.9,369.2,355.1,386.2,406.2,376,345.7,387.5,365,361.8,355.8,330.9,317.8,-1.63,-0.92,-0.27,0.29,0.33,0.34,24
760,19.5,20.4,16,28.5,361.9,355.3,381.7,402.7,374.1,341.7,382.1,360.3,357.4,351.2,322.2,311.5,-1.62,-0.87,-0.26,0.29,0.33,0.31,21.3
770,19.3,19.8,15.4,27.9,355.4,348,378.3,399.3,368.5,340.1,376,354,353.2,346.6,319.6,305.7,-1.6,-0.9,-0.11,0.25,0.32,0.3,19.5
780,18.8,19.5,15.8,26,348.8,335.7,375.5,393.9,365.8,342.9,371.2,348.2,348.4,342.5,320.4,305.8,-1.6,-0.97,0.11,0.28,0.33,0.32,20.4
790,18.8,19.1,14.8,25,348.8,331.5,370.5,388.4,363.3,339.2,367.3,343.3,345.9,339.7,319.4,301.7,-1.56,-0.94,-0.02,0.3,0.31,0.28,24.1
800,18.2,18.9,14.6,24,342.6,330,367.3,384.1,356.7,335.4,362.7,340.4,341.8,337.4,318.1,298.4,-1.55,-0.98,-0.01,0.28,0.31,0.3,24
810,17.4,18.3,14.2,24.4,336.8,327.4,362.9,377.9,354.9,334.9,356.8,334.5,337.9,332.7,314.7,294.9,-1.53,-0.9,-0.15,0.29,0.3,0.29,22.5
820,17.2,17.9,13.8,24,333,319.2,358.7,375.2,352.6,335.7,352.2,328.4,334,328.5,313,292.5,-1.53,-0.94,-0.09,0.29,0.32,0.31,22.2
830,16.8,17.7,13.3,23.6,328.1,319.4,356.3,372.4,352.2,335.8,348.3,325.1,330,325.3,307.5,291.8,-1.51,-0.87,-0.2,0.25,0.31,0.32,21.1
840,16.5,16.9,13.1,21.9,325,317.6,351.4,367.9,349.5,334.2,343.4,320.1,326.7,321.6,306.3,288.2,-1.48,-0.93,0.1,0.23,0.29,0.32,19.1
850,15.8,16.7,13.1,22.7,323.9,315,349.8,366.2,347.8,331.9,338.4,318.9,323.2,317.3,301.1,283.9,-1.46,-0.9,-0.05,0.27,0.3,0.3,20.2
860,16.2,16.6,12.7,22.2,321.2,313.2,347.9,362.7,342.9,326.2,334.9,314.5,319.7,314.2,298.5,279.7,-1.43,-0.85,-0.13,0.24,0.28,0.3,19.3
870,15.7,16.5,12.9,22.2,318.1,309,346.5,360.6,340.7,325.2,330.1,311.6,316.8,310.6,294.6,276.3,-1.43,-0.88,-0.17,0.26,0.29,0.28,20.7
880,15.3,16.4,12.4,21.3,314,308.3,342.9,357.4,337.7,322.5,329.1,308.9,313.2,307.1,291.9,273.5,-1.43,-0.84,-0.12,0.27,0.29,0.3,21.3
890,15.4,16,12.3,21.7,316.6,304.2,339.4,354.6,334.2,317.2,326.1,307,311.8,305.4,291,272.4,-1.42,-0.83,-0.13,0.24,0.29,0.3,20.6
900,15.1,15.2,12.2,21.7,311.9,301.6,337.9,352.5,333.6,321.2,323.6,303.6,308.8,303.5,288.6,270.6,-1.4,-0.84,0.11,0.26,0.29,0.3,19.9
910,14.9,15,12,21.6,311,300.5,334.9,349.2,331.1,319.8,322.3,301.2,305.2,299.9,285.4,269,-1.38,-0.84,0.14,0.24,0.28,0.31,19.4
920,14.8,14.3,11.5,21,314.8,298,332,346.3,328.2,312.4,318.1,298.8,302.4,296.2,283.7,265.2,-1.37,-0.78,-0.14,0.22,0.28,0.3,19.4
930,14.5,14.4,11.5,21.4,306.9,297.9,328.7,342.7,325.4,310.5,314.5,296.4,299.5,293.7,277.8,261.4,-1.38,-0.76,-0.24,0.25,0.29,0.31,20.5
