Time,T05,T10,T15,T20,T25,T30,T35,T40,T45
1020,33.8,38.2,43.1,50.5,57,59.8,392.9,721.1,767.2
1030,34.2,38.5,43.3,50.7,58.1,60,456.9,794.5,795.6
1040,34.4,38.7,43.6,50.9,58.7,60.5,451.2,666.6,669.9
1050,34.8,39,43.8,51.4,58.5,60.4,534.8,809.5,824.3
1060,35,39.3,44,52.1,57.8,60.6,443.6,819.1,826.7
1070,35.2,39.5,44.3,52,58.8,60.9,559.3,853.7,884.3
1080,35.4,39.8,44.9,52.8,58,60.8,565.7,807.7,810.5
1090,35.7,40.1,45.2,53.4,58.5,60.5,790.7,783.8,745.3
1100,35.9,40.4,45.8,53.2,58.8,61,921.7,669.1,614
1110,36.2,40.8,46,53.9,58.6,60.8,651.5,848,831.4
1120,36.5,41.1,46.3,54.7,58.8,61.1,663.7,824.1,793.6
1130,36.8,41.4,46.6,55,58.9,61.9,482,824.5,848.7
1140,37.1,41.7,47.2,55.2,59.5,61.4,616.1,753.8,789.9
1150,37.3,42.2,47.7,55.3,60,61.4,641.8,789.1,833.5
1160,37.6,42.5,48,55.4,60.1,62.3,587.9,730.7,760.3
1170,37.9,43,48.4,56,60.2,61.6,549.6,763.9,783.1
1180,38.3,43.2,48.8,57.5,60,59.7,642.5,836.2,900.5
1190,38.6,43.5,49.4,57.1,60.4,59,761.6,828,839.4
1200,38.8,43.9,49.6,57.2,60,58.1,907,834.3,821.1
1210,39.1,44.2,50.4,57.5,60.3,59.5,683.5,822,831.1
1220,39.4,44.5,50.6,57.3,60.2,60.2,654.2,856.8,891
1230,39.7,45,50.9,57.7,60.5,59,792.6,840.6,860.5
1240,40,45.2,51,58.7,60.2,140.8,761.4,891.3,886
1250,40.3,45.5,51.7,58.7,60.4,232.2,724.2,831.9,845.1
1260,40.6,45.9,51.8,59.1,60.9,299.1,799.5,813.3,813.7
1270,41,46,52.2,58.8,61,255.4,644.9,769.7,778.4
1280,41.3,46.3,52.9,58.7,61,207.4,686.5,892,911.1
1290,41.5,46.8,53.2,59,61.4,332,914.3,806.1,816.9
1300,41.8,47.1,53.9,58.7,61.1,298.8,783.4,852.7,847.6
1310,42.1,47.5,54.1,59.4,61.9,273.7,725.1,829.3,839.8
1320,42.3,47.8,54.3,59.5,61.4,324.2,788.5,915.3,917.2
1330,42.7,48.4,54.4,59.7,61.9,290.8,753.7,886.1,894.7
1340,43,48.4,54.7,60.2,62.1,372,771,799.6,796
1350,43.3,48.8,55.3,60.2,62.1,407.2,727.2,787.4,815.8
1360,43.6,49.5,55.2,59.7,62,408.7,767.5,823.7,821.8
1370,43.8,49.9,55.7,59.9,62.2,314.1,677.5,786.2,782.5
1380,44.1,50.1,56.3,60.2,62,361,768.5,862.5,855.5
1390,44.5,50.5,56.6,60.3,62.7,369.1,759.2,944.2,948.5
1400,44.8,50.8,57,60.1,62.8,432.9,802,847.9,858.9
1410,45,51.1,57.5,60.1,62.4,424.6,799.6,867.6,876.8
1420,45.4,51.2,57.9,60.2,60.7,458.2,786.4,849.7,867.1
1430,45.6,51.8,57.8,60.3,60.4,438,827.7,914.1,948.1
1440,46,52.1,58.3,60.6,59.8,491.3,922,952.4,939.3
1450,46.3,52.5,59,60.2,60.6,412.1,724.7,855.7,874.6
1460,46.7,52.9,58.9,60.7,61,295.8,636,756,788.4
1470,46.9,53.8,58.7,60.7,60,438,853.4,945.5,947.6
1480,47.2,53.7,58.6,60.6,59.3,513.4,861.4,897.9,902.8
1490,47.3,54.3,58.8,61.2,215.1,522.5,856.8,949,956.2
1500,47.7,54.6,59.5,61.2,304.3,570.5,866.8,945.6,956
1510,48.1,54.8,59.3,61,377.6,670.5,803.2,841.2,823.8
1520,48.5,54.7,59.6,61.9,397.6,652.3,777.2,786.5,769.6
1530,48.8,55.3,59.7,61.9,332.6,516.2,783.6,797.4,815.6
1540,48.9,55.7,59.7,62.1,359.3,514.8,620.7,705.9,737.5
1550,49.3,55.7,60.5,61.9,309.7,449.5,626.1,685.1,703.4
1560,49.5,56.4,60.2,62.4,374.7,523.8,715.3,763.8,778.3
1570,50,56.7,60.4,61.9,288,423.1,666.1,746.7,775.8
1580,50.3,57.3,60.6,61.5,336,454.8,701,812.7,820.2
1590,50.6,57.5,61.1,62.2,402.4,567.4,790.2,842.9,844.1
1600,51,57.7,60.6,62.5,336.9,450.8,706.1,805.3,809.2
1610,51.4,58.4,60.9,62.6,585,634.1,728.8,795.3,792.1
1620,51.7,58.3,61.2,63.6,336,463.6,661,730.1,759.5
1630,52.2,58.3,61.3,63.5,402.7,481.6,687.3,818.7,823.9
1640,52.3,58.7,61.6,63.1,565.2,664.2,732.8,778.9,799.5
1650,52.7,58.5,62.2,63.1,599.2,707.9,782.6,825.8,831.1
1660,53.1,58.8,61.3,63.3,431.9,522.7,774.5,842,856
1670,53.3,59.3,62.1,61.2,778,756.6,802.7,824,804.4
1680,53.9,59.3,61.7,61.4,652.6,698,810.9,843.9,869.7
1690,54,59.8,61.4,61.7,504.5,580.6,772.4,860.6,870.4
1700,54.4,59.9,61.7,61.2,492.2,590.9,768.9,877.8,875.1
1710,55,60.3,61.5,59.9,768.7,758,788.9,860.2,856.1
1720,54.5,60.1,61.9,61,683.9,678.6,813.6,905.8,905.5
1730,55.3,60.3,62.3,59.9,677.2,710.8,814.7,904.1,874.8
1740,55.6,60.7,62.1,59.9,645.3,690.6,815.3,904.7,905.2
1750,55.8,60.5,62.1,59.7,600.5,698.1,793.5,856.3,853
1760,56.1,60.6,62.4,59.9,679.5,760.3,807.6,836.5,822.7
1770,56.6,60.8,62.3,61.4,408.7,469.6,731.5,868.8,862.7
1780,56.7,61.3,62.3,294.4,707.3,718.5,885.7,953.5,960
1790,57.5,60.9,62.2,670.3,738.5,746.9,851.6,949.9,929.2
1800,57,61.3,63,384.1,623.4,662.1,851.2,907.7,925.5
1810,57.9,61.4,62.3,334.2,466.3,516.8,776.2,885.3,895.3
1820,57.7,61.6,62.7,408.3,561.6,624.4,765.9,845.2,848.8
1830,58.8,61.4,62.7,342.1,526.5,604.9,763.4,833.4,855.1
1840,58.7,61,63.2,440.1,604.1,661.7,837.3,856,856.2
1850,59.2,61.7,62.4,569,638.5,661.2,802,875,891.6
1860,59.5,61.7,63,476.1,551.1,618.1,771.3,825.2,848.6
1870,59.9,61.8,63.4,537.3,665.4,737.5,852.2,925.8,930.3
1880,59.6,61.6,63.8,695.7,761.2,765,910.2,966.6,949.1
1890,59.4,62,64.5,459.1,523.4,587.8,712.8,784.8,822.2
1900,59.6,62.6,63.9,454.1,517.2,557.1,715.6,790.3,797.8
1910,59.8,62.5,62.8,549.1,581.1,663.3,756.9,762.2,789.2
1920,60.2,62.3,61.4,652.7,724.4,736.5,903.8,927,916.3
1930,60.3,61.7,62,489.5,654,693.6,859.4,920,909.4
1940,60.5,62.1,60.4,645.1,727.8,793.4,907.5,920.9,926.4
1950,61.3,62.3,61.1,549.8,642.5,719.6,855.2,893.1,881.5
1960,61.2,62.3,60.4,657.5,681.2,720.7,802.4,829.3,825.1
1970,60.9,62.2,60.5,638.4,702.2,714.2,838.9,913.8,934.1
1980,61.2,62.6,60.5,683.9,727,750.5,862.3,896.6,916.9
1990,61.3,63.3,61,615.9,714.5,718.2,883.5,929.6,955.5
2000,61.2,64,158.6,484.1,633.6,688.7,848.2,928.5,915.3
2010,61.6,63.5,192.4,502.4,618.3,672.5,798.4,844.9,859
2020,62.2,63.7,289.2,598.1,691.5,734,858.1,876.8,882.2
2030,62.3,63.7,292.1,609.7,688.9,691,833.3,895.7,898.9
2040,62.1,63.5,424.3,662.3,705.2,719.2,860.6,887.3,872.7
2050,62.3,63.9,377.6,652.3,693,691.3,792.4,850.5,842.2
2060,62.5,63.8,290.5,575.4,670,694.2,871.1,945.8,920.8
2070,62.6,64,273.4,598,692.8,692.1,834.8,886.6,902.8
2080,62.6,64,317.4,566.5,657,688.4,842.2,847.7,841
2090,62.5,64.4,404.4,697.4,795.3,786.1,932.6,962.8,926.7
2100,62.6,63.5,459.2,734.7,760.7,760.7,874.9,880.3,847.7
2110,62.4,64.1,277.3,511.4,615.2,690.9,795.8,817,819.6
2120,62.3,64.3,447.3,684,746.2,774.3,926.7,945.9,942.4
2130,62.7,63.6,481.6,701.5,729.7,769.4,846.6,887,892.4
2140,62.8,61.9,432.4,672.3,722.9,754,907.8,960.4,944
2150,62.7,62,513,718.9,770.3,768.5,914.4,1001.7,969.8
2160,63.2,62.9,311,553.8,675.9,718.1,862.8,926.3,927.2
2170,63.4,62.4,436.9,635.4,719.4,731,853.1,918.9,919.9
2180,63.8,63,374.9,563.7,684.6,728.7,857.4,913.4,915.5
2190,63.2,61.5,560.3,736.2,775.4,777.8,879.1,877.5,866.7
2200,63.6,62.8,292.9,535.9,662.2,677.5,810.9,864,866
2210,63.9,103.2,495.2,698.9,724.8,754.6,873,900.4,882.2
2220,63.9,146.6,418.6,627.3,723.4,741.7,882.8,916.9,920.9
2230,64.1,300.9,561,698.4,716.1,771.9,859.4,859.9,848.8
2240,64.2,358.6,561.3,735.5,736.4,791,847.7,884.9,873.8
2250,63.9,178.1,421.3,648.9,710,728.3,824.1,849.1,844.4
2260,63.8,204.1,423.2,599.7,689.8,734.5,909.3,927.1,919
2270,64.3,275,466.7,632.4,678.1,707.1,841,912.3,883.2
2280,64.9,177.4,323,502.7,596.9,651.4,813.2,858.9,850.3
2290,64.9,308,543.3,687.4,741.8,742.6,885.8,940.9,949.4
2300,65.1,310.3,511.2,691.7,725.6,772.4,843,846.6,846.4
2310,65,287.1,491.7,610.2,684.6,693.6,854.5,916.3,924.8
2320,64.7,337.7,567.4,705.9,737,725.4,784.2,845,816.3
2330,64.6,340.4,510.2,681.6,712.4,713.4,792.8,848.1,844.1
2340,65.4,252.5,351.9,481.7,557.8,582.5,739.3,839.5,869.3
2350,65.8,205.8,329.6,501.8,586.7,646.2,763.6,778.9,810.4
2360,65.2,431.4,517.4,712,727.6,765.3,834,847.1,863.9
2370,65.1,346.9,487,642,704.6,720.3,854.3,850.1,810.8
2380,65.2,456.9,649.2,754.7,794.4,803.1,909.6,912,874.9
2390,64.9,538.3,606.1,723.6,762.7,795.3,827.1,794.3,793.3
2400,65.2,398.6,561.8,694.3,722.9,767.8,881.2,920.2,922.3
2410,65.4,359.2,580.6,746.3,774.8,790.9,893.3,899.6,869.6
2420,63.8,514.1,556,700.7,736.4,733.9,802.5,800.8,822.1
2430,63.9,324.1,393.6,534.7,593.7,649.4,767.5,811.3,811.3
2440,62.6,573.3,662,759.8,779.5,782.3,905.4,867.6,855.7
2450,63.2,359.7,537.5,659.1,713.9,727.5,851.4,898.4,862.9
2460,62.5,575.7,605.4,745.4,741,773.9,846,863.2,845
2470,63.6,406.2,547.9,692.6,716.4,762.1,839,852.7,852.3
2480,75.8,343,519.9,645.9,704.9,736.6,873,929.5,933.9
2490,104.8,387.1,518.6,661.1,696.6,709.5,819.1,892.4,886.1
2500,105.3,498.2,604.1,694.4,728.9,756.3,860.2,889.4,900.9
2510,98.9,503.5,564.2,691.9,726,733.8,825.5,849.8,823.7
2520,129.4,489,613.5,745.1,764.8,790.3,860,876,889.7
2530,176.8,463.3,588,744,778.1,805.2,878.1,852.5,869.2
2540,118.5,273,371.6,521.3,582.1,642.2,758.4,829.7,841.2
2550,179,483.6,648.2,746.6,773.2,798.7,904.7,925,894.3
2560,197.2,443.1,525.6,672.5,705.7,750.2,804.2,845.5,830.8
2570,265.1,493.2,559.8,728.4,738.4,805.3,859.6,855.9,830.6
2580,215.9,434.5,544.7,674.7,709.7,723.7,792.7,825.4,813.6
2590,265.6,500.1,568,696.9,714.5,771.3,823.5,824.7,829.6
2600,206.3,445.7,564.2,723.6,774.6,781.9,893.5,860.8,845
2610,215.1,494.8,622.3,744.1,787.3,788.3,894.6,873.8,842.4
2620,252.5,506.9,605.1,745.8,790.6,857.3,876.9,872.3,866.1
2630,245.1,529.5,703.6,762.1,799.9,791.2,931.1,943,920.6
2640,253.7,579.1,662.6,762,773.6,799.5,865.1,907.3,899.7
2650,381.9,635.5,715.1,829.5,816.5,866.7,878.9,877.4,903.2
2660,460.9,665.2,749.8,835.6,812.4,853.2,867.4,821.3,785.3
2670,337.9,529.9,524.4,553.7,529,535.3,525.3,481.4,461.1
2680,76.3,89.5,92.2,94.1,94.6,93.2,95.9,96.3,93.7
2690,63.2,69.1,72.9,75.4,77.8,78.4,78.2,78.1,77.7
2700,61.6,65.4,67.9,69.6,71.8,73.7,76.1,77.5,74.4
2710,60.4,65.2,67.5,68.2,68.4,68.5,69,66.7,64.3
2720,54.1,57.8,59,59.2,59.5,58.4,60.5,59.7,58.7
2730,55.4,57.9,59.8,61.2,61.8,61.8,63.1,62.8,62
2740,59.2,63,64.7,65.9,68,67.3,67.6,69,68.7
2750,59.1,64.1,67.7,69,70,69.8,69,67.9,66.7
2760,57.3,62.4,65,66.4,66.6,66.8,66.6,65.3,64.6
2770,54.6,58.9,61.8,64.2,67,68.3,68.4,67.9,65.6
2780,51.4,55.8,58.5,61.2,63.4,63.8,63.1,61.6,59.5
2790,53.9,56.6,59.2,61.3,62.7,62.5,61.9,60,57.8
2800,53,55.8,58.3,60.6,62.8,63.5,63.2,61.4,58.7
2810,47.4,50,52.5,54.7,56.3,55.7,55.4,54.3,52.3
2820,46.4,47.8,47.2,46.9,45.6,45.3,47.6,47,47.3
2830,47.1,52.2,54.6,54.5,54.2,52.8,52.1,51,47.6
2840,47.9,50.5,52.4,52.9,53.8,53.9,54.4,54.4,52.4
2850,45.9,48.4,50.1,50.5,50.8,50,50.3,49.4,48
2860,43.5,45.7,47.3,48.3,49,48.8,49.7,49.1,48.3
2870,46.9,49.8,50.1,49.9,49.2,48.6,49,48.5,48.4
2880,44.1,45.3,46,47,46.8,47.3,48.6,47.9,47.3
2890,39.8,41.6,42.2,43.2,42.5,42.3,43.8,42.4,41.8
2900,42.3,43.6,44.2,44.4,43.9,43.1,43.7,42.6,41.8
2910,42.9,44.4,45.4,45.5,44.9,44.1,44.7,44.5,44
2920,43.2,45.4,46.5,47.2,47.6,47.5,48.5,47.5,46.2
2930,45.5,47.2,48.1,48.2,48,46.9,46.8,45.8,44
