Time,T05,T10,T15,T20,T25,T30,T35,T40,T45
880,36.7,42.4,44,49.6,55.4,62,60.9,260,572.3
890,37,42.7,44.3,49.8,55.5,62.3,61,277.7,696.3
900,37.2,42.9,44.5,50.1,55.7,62.4,64,236.6,514.9
910,37.5,43.3,44.9,50.3,56,62.9,80.4,162.4,434.5
920,37.7,43.5,45.1,50.6,56.2,63.1,90.7,265.6,602.8
930,38,43.8,45.3,51,56.2,63.1,83.2,154.8,466.5
940,38.2,44,45.6,51.1,56.7,63.1,163.5,398.6,609.9
950,38.5,44.3,45.8,51.5,56.7,62.7,209.1,510,658.3
960,38.7,44.5,46.1,51.7,57.3,62.5,179.3,443.2,685.8
970,38.9,44.8,46.4,52,57.3,62.9,94.5,237.3,593.2
980,39.2,45,46.6,52.4,57.7,63.1,114.9,266.5,613.9
990,39.4,45.3,46.9,52.6,57.8,63.3,87,148.9,385.7
1000,39.6,45.6,47.2,52.9,58.1,63.4,138,349.9,655.7
1010,39.9,45.8,47.4,53.1,58.5,63.2,385.7,748.5,799.1
1020,40.1,46.1,47.7,53.5,58.9,63,158,345.4,594.6
1030,40.3,46.3,47.9,53.7,59,62.6,96.3,214.7,505.5
1040,40.6,46.6,48.2,54,58.8,62,87.8,177.6,625.5
1050,40.8,46.8,48.4,54.2,59.5,61.3,148.9,386,714.8
1060,41.1,47.1,48.7,54.5,59.9,60.8,335.8,603.8,725.5
1070,41.3,47.4,48.9,54.9,59.9,61.6,98.4,217.8,434.7
1080,41.5,47.6,49.2,55,60.1,61.5,111.1,307.8,624.1
1090,41.8,47.8,49.4,55.2,61.2,61.6,99.5,207.5,481.6
1100,42,48.1,49.7,55.5,61.2,61.6,97.8,213.1,737.2
1110,42.2,48.3,49.9,55.7,62.1,61.6,99.5,275,663.8
1120,42.5,48.5,50.1,56,62,61.7,101.7,256.6,583
1130,42.7,48.8,50.4,56,62.2,61.5,104.9,270.4,637.9
1140,42.9,49,50.6,56.3,62.6,61.6,106.1,320.8,837.4
1150,43.1,49.2,50.8,56.6,62.2,59.8,507.1,759.5,852.6
1160,43.4,49.5,51.1,56.9,62.4,63.2,350,515.1,564.7
1170,43.6,49.7,51.3,57.2,62.5,76.2,142.7,423.1,849.1
1180,43.8,49.9,51.5,57.3,62.9,78,129.1,379.7,679.4
1190,44,50.1,51.8,57.4,63.2,80.4,159.1,559,800.9
1200,44.2,50.4,51.9,57.7,63.4,83.1,173.6,430.4,657.9
1210,44.5,50.6,52.2,58,63.3,82,162.9,364.7,729.6
1220,44.7,50.8,52.5,58.2,63.3,115.3,212.4,405.2,687.5
1230,44.9,51,52.6,59,63.3,302.6,350.1,517,779.5
1240,45.1,51.4,53.2,59,62.7,190.5,293.9,534.5,780.4
1250,45.3,51.5,53.2,58.9,63.3,81.6,114.9,279.3,608.7
1260,45.5,51.8,53.5,59.5,63.1,161.8,359.4,620.5,731.9
1270,45.7,52.1,53.9,60,62.9,678.1,698.6,756.3,782.2
1280,46,52.3,54.3,60.3,62.5,355.9,376.9,522,854.1
1290,46.1,52.7,54.6,59.7,63.1,116.9,221.7,331,670.9
1300,46.4,52.9,54.7,59.7,63.6,79.7,107.9,227.9,532.2
1310,46.6,53.2,54.9,60.1,63.8,81.1,116.4,363.4,700.9
1320,46.8,53.3,55.1,60.7,63.7,220.9,345.8,459.3,722.5
1330,47,53.6,55.3,61.4,63.3,183.8,229,444.5,686.5
1340,47.2,53.8,55.4,61.6,63.6,206.9,438.6,669.8,920.2
1350,47.4,53.9,55.7,61.6,64,204.4,354.5,598.2,806.2
1360,47.6,54.1,55.8,62.4,63.7,350.7,506.4,728.8,878.8
1370,47.8,54.5,56.2,62.2,63.8,193.8,406.8,718.7,765.7
1380,48,54.6,56.4,62.4,64,98.4,191.3,421.9,670
1390,48.2,54.8,56.7,62.6,64.2,95.9,226,440.1,657.7
1400,48.4,55,56.9,63,64.1,92.3,201.1,430,657.5
1410,48.6,55.3,57.1,63.3,64,87.6,152.6,365.5,528.6
1420,48.8,55.5,57.3,63.3,64.1,193.9,354.9,670.1,798.5
1430,49,55.8,57.4,63.2,63.3,204.9,286,537.2,852.3
1440,49.2,56,57.7,63.4,62.8,129.8,195.1,385.8,684.6
1450,49.5,56.2,58,63.8,62.6,86.4,114.8,250.4,573.5
1460,49.7,56.4,58.3,63,61.5,373.5,531.7,782.1,787.4
1470,49.9,56.7,58.4,63.7,62,129.7,364,592.2,751.2
1480,50.1,56.8,58.5,63.8,62.3,92.6,133.7,297.6,619
1490,50.3,57,58.8,63.6,62.2,90.2,127.6,305.4,677.4
1500,50.5,57.2,58.9,63.7,61.9,184.3,272,507.8,751.9
1510,50.7,57.4,59.2,64,62.2,92.2,131.9,312.6,605.2
1520,50.8,57.6,59.3,64.1,62,101.7,226.4,579.8,803.7
1530,51,57.9,59.4,64.1,62.1,113.5,210.3,450.6,814
1540,51.2,58,59.6,64.1,62.2,92.8,142.6,332.9,619.5
1550,51.4,58.2,59.7,64.1,62.2,95,183.4,487.8,789.7
1560,51.6,58.2,60.1,63.6,60.9,521.9,722,947.8,912.5
1570,51.8,58.6,59.9,63.7,61.6,279.7,466.3,625.1,779.8
1580,51.9,59,60.2,63.9,105.9,245.3,310.9,554.6,771.5
1590,52.2,58.8,60.3,63.9,99.9,229.5,402.6,709.2,848.7
1600,52.3,59.2,60.6,63.9,107.8,378.4,583.3,832.8,928.8
1610,52.5,59.4,60.6,64.1,97.2,268.8,376.9,575.5,753.1
1620,52.7,59.5,61.1,64.1,116.9,383.7,535.2,842.9,867.8
1630,52.9,60.5,61.7,62.9,491.7,903.1,962.9,1085.7,988.3
1640,53.1,60,60.7,63.4,160.4,306.1,476.5,787.7,1108.8
1650,53.3,60.6,61.7,63.6,316.8,600.6,683.9,835.9,934.9
1660,53.5,61.1,62.4,64.1,373.9,638,768.5,844.9,837.5
1670,53.7,60,62,64.3,97.3,147.4,263.1,509.2,750
1680,53.9,60.6,62.1,64.5,74.3,92.1,126.6,235.2,461.2
1690,54.1,60.9,62.6,64.6,73.5,95.7,151.7,458.4,798.4
1700,54.3,61.1,63.1,64.1,72.2,95.4,145.5,314.8,578.9
1710,54.5,61.4,63.3,63.7,180.4,297.4,379.7,616.2,830.2
1720,54.9,61.9,63.2,63,434.8,645.6,850,996.6,821
1730,54.7,61.5,63.4,63.4,102.1,139.8,198.9,350.9,557.8
1740,55,61.5,63.5,63.3,78.1,98.5,143.2,382.2,728
1750,55.2,61.8,63.5,63.2,77.7,99.3,161.4,392.5,722.9
1760,55.3,62.1,63.7,62.9,111,405.3,541.2,808.2,918.5
1770,55.5,62.9,63.4,61.7,336.6,705.9,848.5,865.2,786.5
1780,55.7,62.8,62.9,60.5,588.2,870,940.7,943.6,830.1
1790,55.9,62.6,63.6,62.4,149,351.4,488.5,676.8,943.7
1800,56,62.6,64.1,62.8,82.4,116.8,155.9,275,532.3
1810,56.2,63,64.2,62.7,90.8,178.9,279.5,473.8,680
1820,56.4,63.6,64.2,72.2,200.6,479.8,644.9,734.9,854.4
1830,56.4,63.5,63.8,239,543.5,735.1,845.6,956,926.7
1840,56.8,63.3,63.8,101.6,141.9,201.7,317.4,487.8,656.9
1850,56.9,63.2,63.8,69.9,81.1,101,128,221.2,455.5
1860,57.1,63.5,64.2,71.1,84,157.8,326.5,617.1,826
1870,57.2,63.8,64.2,137.9,335.6,684.7,860.2,977.8,909.3
1880,57.4,64,64.1,86.8,197.3,439.2,604.2,768.7,800.3
1890,57.6,64.1,64.3,85.8,155.5,335.7,551.5,845,1007.9
1900,57.7,64.1,64.5,79.3,147.4,452.7,672.8,999.4,1000
1910,58,64.3,64.4,73.3,87.4,122.1,206.5,565.3,1031.2
1920,58.1,64.3,64.5,164.4,367.8,689.5,845.5,892.2,796.4
1930,58.2,64.4,64.5,85,107.6,193.8,445.2,632.2,830.7
1940,58.4,64.5,64.6,93.1,210.4,390.2,515.7,721.6,837.5
1950,59.4,63.8,64.1,599.3,722.5,800.7,869.2,938.2,834.4
1960,59.2,64,64.3,256.1,359.5,565.1,660.3,808.2,922
1970,59,63.8,64.1,179.6,294,437.3,551.1,721.4,819.1
1980,59.2,64.3,64.5,77.7,89.7,129.2,250.4,527.4,762.6
1990,59.3,64.5,64.6,76.3,84.7,147.6,312.9,607.6,809.6
2000,59.4,64.7,64.7,84,215.2,441.2,614.5,856.5,873.5
2010,59.5,64.6,64.7,193.1,383.7,705.5,717.9,736,837.6
2020,59.8,64.6,64.7,89.5,202.5,429.4,661.5,904.7,866.6
2030,59.7,64.6,64.5,101.8,175.2,308,427.8,685.7,1076
2040,59.9,64.6,63.7,79.3,96.3,210.8,416.5,635.7,703.6
2050,60.1,64.6,63.4,76.2,87.7,119,161.4,301.9,541.4
2060,60.2,64.5,63.3,76,87.7,117.8,162.1,325.2,617.6
2070,60.4,64.6,63.2,76.5,88.6,120.5,169.6,356,610.7
2080,60.6,64.6,62.9,81.4,112.8,312.9,522.5,825.8,906.8
2090,60.6,64.5,62.9,80.3,124,216.1,346.5,610.1,781.5
2100,60.8,64.4,62.7,154.5,178.9,266.8,417,642.4,792.5
2110,60.9,64.3,62.1,248.5,362.3,696.6,840.5,828.9,903.4
2120,61,64.7,62.4,178.5,335.8,699,848,891.2,942.2
2130,61,64.8,62.8,92.1,115.5,239.2,481.3,756,855.2
2140,61.2,64.8,62.8,82.8,100.8,217.2,356,639.7,814.2
2150,61.4,64.9,62.7,87.1,142.3,330.4,532.2,751.8,817.7
2160,61.5,65,62.4,159.2,288.6,518.3,716.1,819.7,816.3
2170,61.6,65,62.4,159.8,353.6,623.5,717.5,836.8,844.9
2180,61.7,63.1,64.2,94.2,115.8,174.7,285.3,550.5,747.8
2190,61.8,63,69.1,81.9,96.8,143,234.3,479.1,795.7
2200,61.9,63,69.2,82,94.6,128.8,187.9,403.9,683.2
2210,62,62.9,69.5,82.7,96.1,157,256.6,481.1,765.1
2220,62.2,62.6,82.1,138.4,212.3,504.7,621,783.7,872.5
2230,62.6,62.1,185.6,277.9,304.1,367.1,439.7,550.3,634.9
2240,62.4,61.9,180.6,231.2,275.9,585.3,663.6,752.5,746.3
2250,62.7,62.5,136.6,229.7,310.4,409.8,506.5,651.7,772.2
2260,62.4,62.6,88.2,163.4,250.2,441,579.4,794.5,948.6
2270,62.5,62.4,92.9,185,380.5,710.1,800.1,909.1,971.3
2280,62.9,62.6,90.4,151.3,230.8,476.5,615.4,720.9,824.7
2290,63,62.4,107.3,191.2,309.6,600.4,782.1,925.2,925.3
2300,63.3,62.6,99.9,154,191.4,287.4,471.4,716.4,901
2310,63.1,67,75.3,92.4,115.7,249.7,376.3,573.1,709.2
2320,63.2,71.4,76.9,100.6,157.5,277.4,519.9,880.9,908.7
2330,63.5,163.2,208.8,259.1,309.7,445.9,585,742.9,795.8
2340,63.5,74.6,83,122.8,254.8,453.6,574.2,699.5,948.6
2350,63.6,80.8,104.5,158.8,250.5,483.1,585.3,708.9,863.5
2360,64,122.8,188.1,345.7,399,539.2,639.2,775.6,910.2
2370,64,80.3,100.8,205.8,304.1,551.7,676.4,792.5,843.2
2380,64,72.6,79.8,117.1,220.3,417.6,582.1,816,1033.1
2390,63.9,291.5,375,558,674.1,734.4,799.5,929.9,860.5
2400,64.1,106.5,150.9,287.1,424.6,572.6,628.6,748.4,850.6
2410,64,76.4,83.6,102.6,124.5,218.9,341.2,577.7,907.8
2420,64.1,74.3,78.7,94.3,113,174.2,320.6,649.1,1033.7
2430,64.2,75.9,81.7,110.4,212.8,407.3,533.5,789.1,930.8
2440,64.3,77.1,84,105.9,144,310.5,460.7,691.4,881.1
2450,64.3,98.6,142.2,318.3,507.3,642.4,708.9,825.8,952.5
2460,64.2,130.5,153.1,240.5,339,635.9,806.1,828.8,958.3
2470,64.2,79.3,86.4,105.9,169.4,558.2,868.8,923.8,1072.7
2480,64.4,76.9,83.5,100.5,136.3,273.3,494.3,702.8,786.4
2490,64.4,89.3,134.5,224,305.6,378,502.4,693.6,805.8
2500,64.4,78,86.2,140.8,210.2,344.9,468.9,721.3,892.2
2510,64.5,152.2,214.8,462,581.2,758.7,843.2,824.7,876.9
2520,64.3,133.6,151.7,193.1,254.4,439.7,564.2,769.2,937.7
2530,64.3,78.5,85,100.7,117.8,169,240.6,390.4,581.2
2540,64.3,78.1,84,97.3,114.8,168.2,248.3,460.9,813.8
2550,64.4,79.6,86,101.7,125.1,233.5,352.2,568.4,845.9
2560,64.4,81.9,89.3,117.6,201.2,365.1,503.8,768.9,1027.2
2570,64.4,81.1,88.4,106.4,155.4,359.5,509.3,767.6,966.3
2580,64.4,85.2,94.3,125.3,205,448.1,614,851.4,1013.7
2590,64.6,85.4,94.3,125.4,239.6,545.3,640.9,759.3,828.4
2600,64.7,96.5,127.1,280.1,456.6,732.3,815.3,963.2,969.4
2610,64.7,99.4,124.5,304.9,488.8,669.9,712.8,749.1,842
2620,64.6,85.9,95.6,129.6,169.7,278,412.1,556.7,785.7
2630,64.5,83.7,91.2,110.3,150.7,336.6,487.5,731.3,919.9
2640,64.8,90.1,111.5,217,504.7,864.8,949.6,1106.4,1001.7
2650,64.8,85.3,96.9,136.4,195.6,352.5,446.5,592.6,902.8
2660,65,310.8,376.3,494.5,611.9,689.3,758.4,842.7,759.5
2670,64.9,170.5,192.2,374,517.4,759.5,842.2,926.1,831.9
2680,64.1,114.6,128.7,185.2,284.1,527.4,644.8,799.3,914.6
2690,63.7,83,89.7,110.1,142.2,323.2,488.2,711.7,828.8
2700,63.4,96.3,128.1,219.1,418.9,675,784.5,860.6,868.9
2710,63,112.8,156.9,248.1,357.4,482.5,634.8,825.5,857.7
2720,63,83.8,91.5,114.3,140.7,220.6,366.6,612,724.4
2730,62.9,83,89.4,109.2,134.2,231.6,391.2,644,911.7
2740,62.9,85.1,91.1,111.3,149.1,283.3,434.3,690.7,790.3
2750,62.9,84.9,91.2,109.6,134.5,245.2,393.2,634.5,770.7
2760,62.8,84.8,91.2,108.4,132.1,223,371.2,665.3,757.3
2770,62.8,85.6,92.2,111,152.9,311.5,476.4,723,836.6
2780,62.8,86.5,93,115.1,167.2,331.5,484.1,704.6,817.9
2790,62.4,158,205.1,363.9,504,701.5,797,823.1,873.1
2800,62.7,135.8,153,196.3,265.9,514.2,682.4,866.4,831.5
2810,62.8,89.4,96.4,128.5,189.3,372.8,523.6,720.3,889.3
2820,62.8,87.1,93.4,117,167.8,349,516.2,702.7,778.1
2830,62.8,86.8,93.1,115,147.9,231.7,356.2,600.2,739.9
2840,62.8,86.8,92.9,112.7,140.7,254.7,449.2,651.9,808.9
2850,62.8,87.8,94,115,147,253,389.9,613.5,753.8
2860,62.8,87.9,94.2,115.2,146.5,241.5,391.7,647.4,756.7
2870,62.8,88,94.3,115.4,145.7,225.3,359.7,679.7,743.7
2880,62.8,90.5,101.4,157.2,266,443.9,576.2,709.1,768.7
2890,62.7,93.7,103.9,178.4,284.4,409.3,580.2,747.1,883.2
2900,62.8,91,98,140.2,248.9,418,595.6,787.1,842.6
2910,66.2,87.5,93.5,113.4,138,197.2,293.8,554.9,717.4
2920,71.3,89.1,95.8,117.8,149,247.3,406.8,664.7,778.8
2930,71.5,88.7,95.2,116.5,144.4,221.6,350.9,604.4,737
2940,72.4,91.9,99.8,132.4,200.9,374,530.5,728.4,810.8
2950,72.4,91.7,99.5,128.1,167.4,281.7,460.2,724.9,783.3
2960,85.6,172.6,211,277.5,385,623.3,821.5,929.3,947.3
2970,84.3,147.2,177.9,321.6,431.6,618.4,696.8,802.3,849.5
2980,75.9,103.6,116.8,180.8,272.6,434.9,548.4,716.8,795.9
2990,74,92.3,100.4,135,177.2,298.4,490.4,718,764
3000,73.9,91.1,108.5,176.8,235.3,394.2,583.4,800.8,797.4
3010,87.3,212.2,310.3,577.5,736.5,826.3,793.9,823.5,858.8
3020,80.8,135.7,170.4,329.5,478.6,625.3,704.4,784.4,782.3
3030,77.6,108.9,126.7,223.5,355.2,636,756.5,898.4,1076
3040,76.7,105.7,140.4,283.1,392.1,599.2,748.4,863.4,819.2
3050,77.9,131.3,171,254.8,404,620.9,670.9,764.8,904.3
3060,76.2,97.2,107,139.6,204.2,439.3,597.8,833,910.5
3070,75.8,94.1,102.6,135.9,204.5,363.7,519.9,804.9,917.2
3080,78.9,110,147.7,300,499.1,746.6,833.5,975.2,1000.5
3090,81,114.6,142.2,292.4,460.8,737.3,818.9,951.7,1021.5
3100,81.7,175.9,230.4,374.7,498.4,766.9,879.9,1012.1,1017.7
3110,81.4,120.4,138.2,234.7,366.7,583.5,688.5,841.6,928.9
3120,78.8,100.9,111.8,147.8,197.2,377.1,541.7,747,927.4
3130,82.4,154,190,328.7,522.4,788.9,857.1,955,993.1
3140,80.7,110.6,123.4,168.7,257.9,482.6,628.9,796.3,898.1
3150,83.7,113.3,141.9,348.9,605.2,898.6,975.5,1031.4,928.8
3160,84.8,116,137.2,232.4,356.7,557.6,689.8,794.9,809.7
3170,113.2,281.9,361.1,455.7,542.1,712.1,783.7,814.1,854.6
3180,194.9,340.2,371.1,477.8,567.3,656.1,659.7,655,620.2
3190,105.3,123.9,126.8,129,132.8,134.9,139.8,142.2,141.5
3200,90.1,98.2,99.3,102.9,106.5,111,114.5,118.9,121.1
3210,88.2,94.7,95.1,97.3,100.6,104,104.8,105.1,103.5
3220,82.3,86.5,87.3,89.7,93.8,98.9,102.3,104.6,104.3
3230,84.8,90.2,90.6,92.6,95.9,100.9,103.7,105.4,105.3
3240,85.6,89.7,90.3,92,94.3,97.9,100.9,104,105.3
3250,86.6,91.3,91.8,92.7,93.4,95.6,97.6,99,99.1
3260,83.7,86.6,86.7,87,88.2,89.8,91.9,94.2,95.3
3270,79.9,84,84.2,85.2,86.5,89.1,91.2,92.3,90.8
3280,78,80,80.4,81.6,83.1,85.9,87.7,89.1,88.5
3290,76.2,80.2,80,80.2,80.2,80.8,81.3,81.4,80.4
3300,72,74.8,74.9,75.7,76.5,77.8,78.5,78.5,76.3
3310,73.7,75.1,75.5,76.7,78,79.8,80.8,81.1,80.6
3320,70.6,73.9,73.8,74.4,74.3,75,75.2,74.9,74
3330,63.9,65.4,65.4,66,66.4,66.8,66.4,65.1,63.8
3340,66.6,67.1,67.3,68.4,69.9,71.6,72.9,73.9,72.9
3350,70,71.5,71.6,72.4,73.6,75,76.3,77.3,77
