Time_3_25,HRR_3_25,Time_8_24,HRR_8_24,Time_27_23,HRR_27_23,Time_3_50,HRR_3_50,Time_8_49,HRR_8_49,Time_27_46,HRR_27_46,Time_3_75,HRR_3_75,Time_8_73,HRR_8_73,Time_27_69,HRR_27_69
310,536.7,592.9,525.9,2068.8,443.2,150.5,758.6,394.8,828.8,1044.1,664.9,108,814,287.5,1060.8,715.9,676.8
312.4,512.3,606.6,499.2,2159.2,454,152.5,716.3,410.6,852.6,1090.9,677.4,109.9,775.9,296.8,1099.2,723,749.1
315.7,486.3,630.4,495.4,2247,475.7,153.5,671.8,416,887.5,1133.1,685.7,111.7,699,306.6,1167.5,742.9,798.2
317.6,458.4,631.3,534.8,2339.8,482.3,156.8,611.4,432.9,910,1204.4,723,113.7,648,318.9,1182.3,749.4,848.4
321,425.4,656.9,564,2419.6,479.1,159.5,571.5,443.4,958.4,1246.9,738.3,116.5,583.4,325.1,1121.8,774.9,800.2
324,383.7,663.7,537.1,2473.1,450.1,166.6,565.6,449.3,892.8,1289.2,767.6,121.7,507.9,329.9,1067.8,801.4,845.8
331.3,347.6,692.7,561.5,2489.4,414.9,169.9,521.8,459.7,882.9,1317.2,805.4,128,470.9,334.6,1031.8,821.6,825.1
338.9,316,703.7,599.1,2500.8,385.1,175.6,482.1,466.5,825.9,1358.6,837,134,422.3,336.6,970.3,841.7,848.9
347.4,290.2,710.9,550.1,2527.4,361,180.3,440.7,470.5,757.3,1395.8,869.1,140.8,393.6,340.4,913.6,874.7,850
355.6,259.6,727.5,577.2,2533.1,336.4,185.5,393,477.3,694.9,1429.8,894.2,147.2,362,347.5,878.3,908.1,878.5
362.6,226.8,738.5,626.1,2560.4,313.6,192.2,359.6,485.5,672.6,1444.9,864.1,153.6,326.8,350.3,809.6,927.3,912.3
371,195.5,740.7,602.6,2600.8,285.5,196.4,321.3,490.7,570.3,1459.1,802.2,159.7,283.2,356.1,746.8,953.7,941.5
380.6,165.5,762.7,576.7,2629.1,259.4,203.1,292.7,494,518.4,1465.6,732.6,165.8,234.2,361.8,683.1,979,986.9
394.7,142.7,779.8,539.7,2670,219.8,206.9,262.2,498.4,468.6,1473.1,664.3,172.2,209.6,366.2,608.3,1000,1043.7
408.5,118.6,796.3,505.7,2683,187.1,214.7,236.8,501.6,437.1,1478.7,619.5,178.6,187.2,368.6,558.6,1002,1123.8
422.4,102.3,815,469.9,2706,158.4,222.3,218.2,507.2,390.9,1481.9,583.4,185,164.2,374.9,503.5,1008.5,976
437.7,85.3,825.5,441.5,2733.1,130.8,230,194,512.5,343.2,1488.9,525.4,191.4,135.6,383.5,444.1,1018.8,932.8
453.1,70.2,840.2,419.4,2798.8,111.5,237.7,163.4,518.1,307.3,1492.4,483.7,197.8,113.3,389.4,384.3,1024.4,866.5
468.4,58.3,852.8,385.4,2857.9,87.9,245.4,135.2,524.6,256.6,1496.3,446.9,204.2,95.3,395.9,331.6,1027.9,799.7
483.7,41.6,868.3,361.4,2926.6,54.1,253,114.8,530.7,217.7,1501.6,398.2,210.5,80.2,403.8,282.2,1031.8,747.8
499,32.3,884.6,329.7,3022.1,42.1,260.7,100.1,538.8,178.4,1510.1,349.9,216.9,71.3,410.8,232.8,1035.5,705.4
514.3,23.2,896,300.4,3087.1,35.4,268.4,88.4,548.3,142.6,1518.6,304.8,223.3,61.9,423.5,186.1,1038.3,651.9
529.7,16.6,914,266.4,3100,0,276.1,74.7,563.6,99.7,1526,265.4,229.7,50.1,435,131,1043.5,592.3
545,14,931.9,233.8,,,283.8,65.2,582.5,72.1,1532.4,228.1,236.1,42.9,441.1,90.3,1044.4,521.5
554,8.9,947.2,208,,,291.5,57.9,600.4,52.6,1542.9,191.7,242.5,36.4,451.3,75.7,1050.9,456.8
560,0,976.4,181.9,,,299.3,53.1,618.3,39.2,1552.3,152.2,249,33.1,460,0,1055.8,400
,,1003.2,161.1,,,300,0,636.1,30.6,1568.6,105.8,260,0,,,1062.1,341.1
,,1021.1,135.4,,,,,650.8,25.1,1595.5,70,,,,,1064.9,287.1
,,1047.9,113.4,,,,,655,0,1641.6,58.8,,,,,1068.1,234.9
,,1084.5,88.7,,,,,,,1679.3,57.8,,,,,1073.9,190
,,1120.9,70.7,,,,,,,1700,0,,,,,1080.7,132
,,1156.7,62.4,,,,,,,,,,,,,1108.4,81.2
,,1192.6,53,,,,,,,,,,,,,1133.3,76.6
,,1228.4,42.5,,,,,,,,,,,,,1150,0
,,1264.3,36,,,,,,,,,,,,,,
,,1300.1,30.4,,,,,,,,,,,,,,
,,1335.9,24.7,,,,,,,,,,,,,,
,,1371.8,24.5,,,,,,,,,,,,,,
,,1399.5,21.2,,,,,,,,,,,,,,
,,1420,0,,,,,,,,,,,,,,
