Time_3_25,HRR_3_25,Time_8_24,HRR_8_24,Time_27_23,HRR_27_23,Time_3_50,HRR_3_50,Time_8_49,HRR_8_49,Time_27_46,HRR_27_46,Time_3_75,HRR_3_75,Time_8_73,HRR_8_73,Time_27_69,HRR_27_69
214.2,478.1,375.4,351.8,967.6,323.5,141.9,823,335.3,658.7,536.9,605.7,91.6,1206.4,195.4,872.1,384.5,763.7
226.9,497.5,397,374.4,994.6,302.6,146.5,774.6,339.5,704,556.5,572.1,96.5,1162.2,200,940.6,385.2,837
241,491,409.5,366.6,1023.9,341.5,152.2,767.9,348.9,717.5,584.6,603.4,98.5,1126.3,210.6,958.1,408.7,864.7
251.3,492.9,415.8,396.1,1046.9,297.9,155.7,722.5,353.2,776.4,601.6,573.6,102.5,1193.3,215.8,959,436.6,861.3
253.6,480.3,439.9,413,1054.4,320.9,160.4,689.3,366.9,830.1,619.3,622.6,103.4,1151.1,218.3,1018.6,460.8,846.3
266.1,478.8,463.4,423.4,1100.5,352.9,164.9,644.8,377.6,888.1,644.3,589,105.5,1059.5,227.8,1078,475.7,849.3
275.4,449.5,475.2,411.1,1167.8,356.4,168.4,603.8,380.8,817.9,683.2,590.5,110.5,1033.7,234.3,1045.3,498.7,841.7
282.6,464.1,494,429.4,1173.4,335,171.7,554.8,388.8,944.1,722.7,596.3,112.1,990.9,236.3,1107.3,529.7,858
289.7,436.3,509.7,417.9,1244.7,341.3,174.3,521.6,393.1,887.2,733.6,565.7,114.1,1078.2,241.2,1162.4,550.6,824.6
293.4,414,520.9,445.7,1304.6,328.8,178.9,470.5,394.5,865.3,763,611.3,115.2,1009.8,245.4,1212.1,561,877
301.6,424.4,544.4,458.9,1329.7,306.1,184,441.8,409.1,890.8,791.4,590,117.1,924.3,249.7,1156.8,591.8,899.2
304.3,394.3,564.7,478.4,1362,327,187.2,399.7,423.9,927.5,805.2,631.3,120.3,845.2,251.5,1205.2,624.3,894.4
309.4,360,586.3,492.8,1377.2,359.7,191.6,368.6,430.7,973.7,827.5,593.4,123.5,773.3,254.3,1291.1,646.9,909.3
316.7,326.9,610.7,514.8,1449.5,373,197.4,322.8,432.7,1022.6,845.2,634.3,126.6,720.1,258.6,1426.1,653.5,861.6
321.9,302.3,619.4,542.6,1469.7,352.9,202.6,277.6,440,923.7,868.3,604,129.3,640,259.6,1365.7,683.3,880.5
327.8,274.6,634.5,523.2,1535.9,360.3,209.6,244.8,448.2,956.4,890.2,630,131.6,593.3,264.8,1273.4,697.9,859.7
337.2,248.7,646.7,547.1,1570.9,379.3,212.7,207,455.7,961,922,607.6,134.6,517.3,269.2,1326.1,714.7,877.2
341.9,224.4,668.3,519.9,1619.1,361.5,217.3,171.4,459.1,900.8,926.9,656.6,139.1,418,274.4,1233.4,729.2,851.6
349.8,192.9,673,537.3,1689.7,366.3,224.9,142.7,463.4,841.6,960,614.8,142.8,364.4,278.4,1267.6,749.2,901.3
357.1,168.3,692.5,518.5,1766.5,363.6,232.6,108.7,466.6,804.2,972.4,657.6,145.2,290.5,285,1230.6,761.8,867
365,143.1,694,538.2,1843.3,365.6,240.3,84.3,471.2,736.7,1005.3,626.8,149.6,229.8,289.2,1288.3,769.2,959.7
374.7,118.5,708.3,491.2,1851.6,349,248,67.4,475.2,675.4,1015.5,668.3,152.7,183.9,293.5,1190.9,790.4,915.2
384.4,95.5,714.5,467.7,1923.2,364.3,255.6,51.7,477.7,623.9,1039.6,626.9,156.9,151.4,295.6,1121.8,797.7,968.6
394.8,76.9,718.4,440.1,1962,357.3,263.3,38.1,479.8,579.6,1052.6,673,162,118.6,300.2,1041.2,820.4,924.8
402.3,61.5,724.8,411.8,1998.4,372.4,271,28.9,483.2,522.8,1088.9,640.2,167.1,90,304.2,972.4,835.1,978
413.4,47.3,729.9,380.8,2071.8,375.9,278.7,22.2,489.7,480.9,1116.7,682.5,172.2,63.7,306.1,906.2,848.2,923.8
426.2,33.6,734.4,357,2148,369.1,280,0,495,420.9,1132.5,648.5,177.4,46.6,308.9,847.3,867.3,1000.6
439,24.7,739.2,330.2,2153.5,385.9,,,500.6,375,1153.2,683.1,182.5,30.7,312.1,781.3,881.7,1068.8
451.8,17.9,745.7,301.3,2202.6,382.6,,,506,325.9,1156.1,722.4,187.6,25.6,316.5,689.6,905.2,1047.1
464.5,11.2,749.6,274.1,2223.1,403.6,,,510.8,273.4,1175.8,702.3,192.7,21.1,317.1,637.2,905.9,1130.1
477.3,4.8,753.3,248.6,2251.3,425,,,517.2,230,1194,733.6,198.1,22,321.8,556.7,923.5,1209
490.1,0,762.1,223.9,2309.5,412,,,523.4,181.3,1226.3,736.7,201,0,324.9,491.2,928,1136.7
499.9,0,770,199.4,2318.9,437.5,,,532.6,147.3,1233.5,786.6,,,328.9,427.4,943.5,1257.4
,,777.8,169.4,2384.6,427.5,,,545.7,108.5,1249.7,840.7,,,333.1,355.2,957.3,1191.1
,,786.9,141.4,2393,449.7,,,554.2,68.2,1265.3,890.6,,,334.4,308.6,962.7,1363.9
,,801.6,116.7,2470.8,439.1,,,569.4,32,1285.2,842.4,,,338.6,248.2,963.3,1289.4
,,815.6,91.4,2531.2,421.7,,,584.8,14.7,1306,799.4,,,343.3,182.3,970.2,1243.6
,,833,73.8,2533.6,449.7,,,598.8,0,1306.2,942.1,,,348.4,117.4,977.3,1160.7
,,855.4,55.2,2591.5,396.4,,,,,1313.2,885.1,,,353.5,55.5,983.4,1099.7
,,876.4,43.3,2593.8,429.7,,,,,1331.8,838.4,,,363.7,22.4,985.1,1032.5
,,900,21.8,2627,406.9,,,,,1347.3,892.4,,,370,0,990.4,884.4
,,925.5,9.7,2631.8,392.7,,,,,1357.3,771.7,,,,,990.9,972
,,951,0,2635.2,366.6,,,,,1358.1,856.1,,,,,991.5,829.3
,,976.6,0,2640,336.3,,,,,1359.8,814.2,,,,,992.8,740.5
,,998.8,0,2652.8,308.8,,,,,1361.5,722.1,,,,,993.1,678.7
,,,,2672.8,283.2,,,,,1362.6,664.2,,,,,995.4,518.6
,,,,2693.5,257.8,,,,,1368.3,609.7,,,,,997.4,613.4
,,,,2704.8,232.1,,,,,1370.5,551.3,,,,,997.5,550.5
,,,,2706.3,207,,,,,1375.6,484.7,,,,,1000.9,464.4
,,,,2708.9,168.7,,,,,1381.8,427.6,,,,,1002.2,392
,,,,2713.9,188.1,,,,,1388.7,392.3,,,,,1002.8,315
,,,,2720.1,153.3,,,,,1395.7,345.2,,,,,1004.8,229.4
,,,,2721.7,101.3,,,,,1403.2,283.2,,,,,1006.1,147
,,,,2721.8,131.9,,,,,1405.1,228.2,,,,,1009.9,78.6
,,,,2734,77.9,,,,,1409,165.5,,,,,1018.4,27.4
,,,,2746.5,59,,,,,1410,100.1,,,,,1030,0
,,,,2753.7,38,,,,,1412.7,52.6,,,,,,
,,,,2772.9,13.2,,,,,1429.8,17,,,,,,
,,,,2801.5,0,,,,,1430,0,,,,,,
