Time_4_50,HRR_4_50,Time_4_70,HRR_4_70,Time_4_90,HRR_4_90
173,-0.5,173,311.9,173,404.8
174,0.8,174,313.1,174,405.3
175,2.1,175,315.1,175,399.7
176,2.2,176,319.9,176,394.1
177,0.3,177,330,177,387.3
178,-1,178,336.4,178,378.5
179,-0.5,179,332.3,179,368.5
180,0.7,180,340.8,180,365.6
181,1.7,181,344.4,181,355.6
182,1.2,182,342.9,182,354.3
183,-0.7,183,344.4,183,348.8
184,-1.7,184,350.3,184,339.2
185,-1.1,185,351.6,185,335.1
186,-0.1,186,354.4,186,330.2
187,1,187,358.3,187,319.5
188,0.5,188,358.9,188,311.5
189,-1,189,356.2,189,304.1
190,-1.7,190,360.2,190,300.8
191,-0.5,191,362,191,294.4
192,0.8,192,368.5,192,287.4
193,1.5,193,367.6,193,285.6
194,0.4,194,371.8,194,277.4
195,-0.6,195,374.7,195,272.3
196,-0.4,196,376.5,196,265.2
197,1.4,197,376.2,197,261.2
198,3.2,198,370.2,198,257.8
199,3.7,199,374.4,199,257.2
200,0.9,200,378.9,200,248.4
201,-0.9,201,380.4,201,244.1
202,-0.3,202,369,202,239.9
203,1.9,203,369.7,203,237.5
204,4,204,366.6,204,234.4
205,6,205,364.6,205,228.7
206,7,206,360.2,206,221.1
207,11.7,207,350.3,207,212.3
208,19.1,208,343.1,208,208.4
209,30,209,337.6,209,197.6
210,44.7,210,332.3,210,191.6
211,61.6,211,329.3,211,184.4
212,77.7,212,323.7,212,180.7
213,94.3,213,316,213,175.4
214,110.8,214,311.1,214,169.5
215,127.4,215,309.7,215,165.4
216,146.1,216,306.7,216,159.4
217,157.2,217,298.3,217,152.7
218,170.3,218,292.4,218,150.2
219,185,219,287.4,219,147.7
220,195.6,220,287.6,220,144.8
221,208.6,221,279.8,221,143
222,218.5,222,272.7,222,140.3
223,225.9,223,268.4,223,136.8
224,231.6,224,261.3,224,136.4
225,239.9,225,253.9,225,134.7
226,245.6,226,251.1,226,132.2
227,249.3,227,242.4,227,131.3
228,250.7,228,235.1,228,131.9
229,251.5,229,234.1,229,132.5
230,250.1,230,225,230,133
231,258,231,220.5,231,135.6
232,261.9,232,218.6,232,135.1
233,263.1,233,210.2,233,137.1
234,265.3,234,206.7,234,138.3
235,261.2,235,201.3,235,137.7
236,256.1,236,198.2,236,137.2
237,259.4,237,193.2,237,137.2
238,261.8,238,190.9,238,137.6
239,261.4,239,186.4,239,136
240,261.6,240,185.5,240,133.9
241,257.4,241,182.1,241,132.8
242,254.9,242,178.7,242,131.4
243,255.8,243,176.2,243,133.7
244,256.3,244,176,244,131.3
245,256.1,245,172.9,245,132
246,255.3,246,172.5,246,132.6
247,251.2,247,168.3,247,132.1
248,254.7,248,162.5,248,132.1
249,254.7,249,158,249,132.4
250,254.7,250,156.6,250,133.4
251,252.5,251,151,251,133
252,250.4,252,149.2,252,131.5
253,249.9,253,146.8,253,131
254,250.5,254,142,254,131.4
255,250.8,255,139.4,255,129
256,257.9,256,138.1,256,128.7
257,258.1,257,133.9,257,128.7
258,262.5,258,131,258,128.7
259,264.1,259,126.5,259,126.8
260,261.1,260,123.6,260,125.4
261,267.3,261,121.9,261,122.8
262,268.8,262,118.8,262,122.9
263,270.9,263,116.5,263,122.5
264,273,264,113.7,264,124.3
265,270.6,265,107.3,265,124.4
266,270.2,266,102.1,266,124.2
267,273.9,267,100.2,267,123.9
268,278.5,268,98.6,268,123.3
269,278,269,96.6,269,123
270,278.7,270,94.4,270,122.7
271,283.9,271,91,271,122.3
272,287.4,272,90.8,272,121.8
273,289.4,273,91,273,121.3
274,301.2,274,91.9,274,120.6
275,301.7,275,91.3,275,121.9
276,298.4,276,89.3,276,122.1
277,306.4,277,88,277,122.2
278,301.3,278,86.6,278,120.9
279,300.7,279,86.7,279,119.3
280,299.8,280,87,280,119.3
281,300.5,281,87.2,281,119.2
282,299.5,282,85.4,282,117.7
283,302.8,283,84.4,283,116.6
284,306.2,284,85.2,284,116.8
285,309.9,285,86.1,285,117.5
286,302.8,286,86.8,286,116
287,304.7,287,87.4,287,113.3
288,304.4,288,86.4,288,114
289,302.9,289,84.8,289,113.7
290,304.4,290,85.4,290,112.8
291,309.3,291,85.1,291,111.5
292,309.5,292,85.4,292,111.4
293,311.8,293,86.2,293,112
294,310.9,294,85,294,112.5
295,313.9,295,84,295,112.9
296,313.2,296,84.9,296,112.5
297,317.7,297,85.6,297,110.5
298,316.3,298,87.4,298,109.9
299,319.6,299,84.9,299,108.4
300,321.8,300,84.4,300,107.5
301,325.1,301,83.5,301,107.8
302,326.3,302,82.8,302,107.4
303,325.6,303,84,303,107.3
304,330,304,84.4,304,106.2
305,325.5,305,83.7,305,105.8
306,319,306,81.3,306,105.3
307,327.1,307,81.2,307,104.2
308,329.9,308,81.8,308,103.7
309,325.4,309,83.2,309,102.9
310,320,310,83.3,310,102.2
311,319.1,311,81.6,311,100.3
312,322,312,81.2,312,100
313,323,313,81.8,313,99.1
314,323.6,314,81.9,314,98.8
315,328,315,82.4,315,98.8
316,324.6,316,82.2,316,98.6
317,323.2,317,79.4,317,99.3
318,315,318,79.7,318,99
319,314.2,319,79.2,319,98.4
320,307.7,320,80.7,320,98.2
321,304.9,321,81.3,321,96.8
322,300.9,322,80.4,322,96.7
323,296.1,323,78.8,323,96.7
324,290.9,324,78.1,324,96.8
325,286.2,325,79.2,325,95.7
326,288.6,326,79.9,326,95.6
327,283.2,327,80.1,327,94.8
328,274.9,328,78.6,328,96.5
329,270.6,329,76.9,329,97.4
330,267.9,330,77,330,98
331,263.1,331,77.2,331,98.4
332,261.4,332,77.5,332,97.1
333,257.7,333,78.1,333,96.5
334,252.5,334,76.5,334,97.3
335,247.4,335,75.3,335,97.2
336,245.5,,,336,97.4
337,241.6,,,337,97.1
338,235.2,,,,
339,231.2,,,,
340,225.3,,,,
341,223.1,,,,
342,218.7,,,,
343,212.6,,,,
344,210.6,,,,
345,203.4,,,,
346,200.3,,,,
347,198.4,,,,
348,193.8,,,,
349,192.4,,,,
350,190.5,,,,
351,186.5,,,,
352,182.9,,,,
353,181.3,,,,
354,178.5,,,,
355,177.2,,,,
356,173.4,,,,
357,164.5,,,,
358,158.1,,,,
359,154.6,,,,
360,148.2,,,,
361,142,,,,
362,135.1,,,,
363,126.9,,,,
364,118.8,,,,
365,114.5,,,,
366,111.7,,,,
367,110,,,,
368,106.1,,,,
369,101.8,,,,
370,100.1,,,,
371,100.7,,,,
372,99.6,,,,
373,100.1,,,,
374,97.3,,,,
375,94.6,,,,
376,94.2,,,,
377,93.6,,,,
378,92.1,,,,
379,88.8,,,,
380,85.1,,,,
381,81.9,,,,
382,81.5,,,,
383,79.8,,,,
384,77.6,,,,
385,74.3,,,,
386,71.8,,,,
387,70.3,,,,
388,69.5,,,,
389,69.3,,,,
390,68.8,,,,
391,67.1,,,,
392,65.6,,,,
393,64.9,,,,
394,66,,,,
395,67,,,,
396,66.9,,,,
397,65.2,,,,
398,63.3,,,,
399,62.9,,,,
400,63.6,,,,
401,64.8,,,,
402,64.2,,,,
403,62.2,,,,
404,61.2,,,,
405,60.9,,,,
406,62.1,,,,
407,62.2,,,,
408,60.6,,,,
409,58.9,,,,
410,58.7,,,,
411,60.4,,,,
412,60.7,,,,
413,61.6,,,,
414,61.2,,,,
415,58.8,,,,
416,58.4,,,,
417,59.3,,,,
418,61,,,,
419,61.2,,,,
420,59.9,,,,
421,57.7,,,,
422,57.5,,,,
423,57.9,,,,
424,59.3,,,,
425,59.6,,,,
426,58.9,,,,
427,56.7,,,,
428,57.2,,,,
429,58.2,,,,
430,59.7,,,,
431,59.5,,,,
432,57.4,,,,
433,56.1,,,,
