"Km/u*h,FOAM value",z/h
0.006529412,0.346066566
0.006588235,0.344931921
0.006647059,0.344931921
0.006705882,0.342662632
0.006705882,0.020423601
0.006764706,0.342662632
0.006823529,0.341527988
0.006882353,0.340393343
0.006941176,0.340393343
0.007,0.339258699
0.007058824,0.338124054
0.007117647,0.338124054
0.007176471,0.335854766
0.007235294,0.335854766
0.007294118,0.334720121
0.007352941,0.333585477
0.007411765,0.333585477
0.007470588,0.331316188
0.007529412,0.331316188
0.007588235,0.330181543
0.007588235,0.020423601
0.007647059,0.329046899
0.007705882,0.329046899
0.007764706,0.327912254
0.007823529,0.32677761
0.007882353,0.32677761
0.007941176,0.324508321
0.008,0.324508321
0.008058824,0.323373676
0.008117647,0.322239032
0.008176471,0.322239032
0.008235294,0.319969743
0.008294118,0.319969743
0.008352941,0.318835098
0.008411765,0.317700454
0.008411765,0.020423601
0.008470588,0.317700454
0.008529412,0.316565809
0.008588235,0.315431165
0.008647059,0.315431165
0.008705882,0.313161876
0.008764706,0.313161876
0.008823529,0.312027231
0.008882353,0.310892587
0.008941176,0.310892587
0.009,0.308623298
0.009058824,0.308623298
0.009117647,0.307488654
0.009176471,0.306354009
0.009176471,0.027231467
0.009235294,0.306354009
0.009294118,0.305219365
0.009352941,0.30408472
0.009411765,0.30408472
0.009470588,0.301815431
0.009529412,0.301815431
0.009588235,0.300680787
0.009647059,0.299546142
0.009705882,0.299546142
0.009764706,0.297276853
0.009764706,0.029500756
0.009823529,0.297276853
0.009882353,0.296142209
0.009941176,0.295007564
0.01,0.295007564
0.010058824,0.29387292
0.010117647,0.292738275
0.010176471,0.292738275
0.010235294,0.290468986
0.010294118,0.290468986
0.010352941,0.288199697
0.010411765,0.285930408
0.010470588,0.285930408
0.010529412,0.28366112
0.010588235,0.28366112
0.010647059,0.281391831
0.010705882,0.279122542
0.010705882,0.027231467
0.010764706,0.279122542
0.010823529,0.276853253
0.010882353,0.276853253
0.010941176,0.274583964
0.011,0.272314675
0.011058824,0.272314675
0.011117647,0.270045386
0.011176471,0.270045386
0.011235294,0.267776097
0.011294118,0.265506808
0.011294118,0.034039334
0.011352941,0.265506808
0.011411765,0.263237519
0.011470588,0.263237519
0.011529412,0.26096823
0.011588235,0.258698941
0.011647059,0.258698941
0.011705882,0.256429652
0.011705882,0.040847201
0.011764706,0.256429652
0.011823529,0.254160363
0.011882353,0.251891074
0.011941176,0.251891074
0.012,0.249621785
0.012058824,0.249621785
0.012117647,0.247352496
0.012176471,0.246217852
0.012176471,0.047655068
0.012235294,0.245083207
0.012294118,0.242813918
0.012352941,0.242813918
0.012411765,0.240544629
0.012470588,0.239409985
0.012529412,0.23827534
0.012588235,0.236006051
0.012647059,0.236006051
0.012705882,0.233736762
0.012764706,0.232602118
0.012823529,0.231467474
0.012882353,0.229198185
0.012941176,0.229198185
0.013,0.226928896
0.013,0.056732224
0.013058824,0.223524962
0.013117647,0.221255673
0.013176471,0.218986384
0.013235294,0.216717095
0.013294118,0.213313162
0.013352941,0.209909228
0.013411765,0.207639939
0.013411765,0.068078669
0.013470588,0.205370651
0.013529412,0.203101362
0.013588235,0.198562784
0.013647059,0.196293495
0.013705882,0.194024206
0.013764706,0.191754917
0.013823529,0.187216339
0.013882353,0.18494705
0.013941176,0.182677761
0.014,0.180408472
0.014058824,0.175869894
0.014117647,0.173600605
0.014117647,0.074886536
0.014176471,0.171331316
0.014235294,0.169062027
0.014294118,0.165658094
0.014352941,0.16225416
0.014411765,0.158850227
0.014470588,0.154311649
0.014529412,0.150907716
0.014588235,0.146369138
0.014647059,0.14183056
0.014705882,0.138426626
0.014705882,0.08623298
0.014764706,0.133888048
0.014823529,0.12934947
0.014882353,0.125945537
0.014941176,0.121406959
0.015,0.11913767
0.015058824,0.116868381
0.015294118,0.097579425
