"?m, FOAM value",z/h
3.912579957,0.666458853
3.917910448,0.66521197
3.917910448,0.25436409
3.923240938,0.664588529
3.928571429,0.663965087
3.933901919,0.662718204
3.939232409,0.662094763
3.9445629,0.661471322
3.94989339,0.660224439
3.955223881,0.659600998
3.960554371,0.658977556
3.965884861,0.657730673
3.971215352,0.657107232
3.976545842,0.656483791
3.981876333,0.655236908
3.987206823,0.654613466
3.987206823,0.258104738
3.992537313,0.653990025
3.997867804,0.652743142
4.003198294,0.652119701
4.008528785,0.651496259
4.013859275,0.650249377
4.019189765,0.649625935
4.024520256,0.649002494
4.029850746,0.647755611
4.035181237,0.64713217
4.040511727,0.646508728
4.040511727,0.269326683
4.045842217,0.645261845
4.051172708,0.644638404
4.056503198,0.643391521
4.061833689,0.642144638
4.067164179,0.640897756
4.07249467,0.639650873
4.07782516,0.63840399
4.08315565,0.637157107
4.088486141,0.635910224
4.088486141,0.27680798
4.093816631,0.634663342
4.099147122,0.633416459
4.104477612,0.632169576
4.109808102,0.630299252
4.115138593,0.629052369
4.120469083,0.627805486
4.125799574,0.626558603
4.131130064,0.625311721
4.136460554,0.624064838
4.141791045,0.622817955
4.147121535,0.621571072
4.152452026,0.62032419
4.152452026,0.283042394
4.157782516,0.619077307
4.163113006,0.617206983
4.168443497,0.6159601
4.173773987,0.614713217
4.179104478,0.613466334
4.184434968,0.612219451
4.189765458,0.610972569
4.195095949,0.609725686
4.200426439,0.608478803
4.20575693,0.60723192
4.21108742,0.605985037
4.21641791,0.604738155
4.221748401,0.603491272
4.227078891,0.602244389
4.232409382,0.600997506
4.237739872,0.599750623
4.243070362,0.598503741
4.248400853,0.596633416
4.248400853,0.296758105
4.253731343,0.595386534
4.259061834,0.594139651
4.264392324,0.592892768
4.269722814,0.591645885
4.275053305,0.590399002
4.280383795,0.58915212
4.285714286,0.587905237
4.291044776,0.586658354
4.296375267,0.58478803
4.301705757,0.583541147
4.307036247,0.582294264
4.312366738,0.581047382
4.317697228,0.579800499
4.317697228,0.305486284
4.323027719,0.578553616
4.328358209,0.577306733
4.333688699,0.57605985
4.33901919,0.574812968
4.34434968,0.573566085
4.349680171,0.572319202
4.355010661,0.571072319
4.360341151,0.569825436
4.365671642,0.568578554
4.371002132,0.567331671
4.376332623,0.566084788
4.381663113,0.564837905
4.381663113,0.314214464
4.386993603,0.563591022
4.392324094,0.56234414
4.397654584,0.560473815
4.402985075,0.559226933
4.408315565,0.55798005
4.413646055,0.556733167
4.418976546,0.555486284
4.424307036,0.554239401
4.429637527,0.552992519
4.434968017,0.551745636
4.440298507,0.550498753
4.445628998,0.54925187
4.450959488,0.548004988
4.456289979,0.546758105
4.461620469,0.545511222
4.466950959,0.543640898
4.47228145,0.542394015
4.47761194,0.541147132
4.482942431,0.539900249
4.488272921,0.538653367
4.493603412,0.537406484
4.493603412,0.325436409
4.498933902,0.536159601
4.504264392,0.534912718
4.509594883,0.533665835
4.514925373,0.532418953
4.520255864,0.53117207
4.525586354,0.529925187
4.530916844,0.528678304
4.536247335,0.527431421
4.541577825,0.526184539
4.541577825,0.335411471
4.546908316,0.524937656
4.552238806,0.523690773
4.557569296,0.52244389
4.562899787,0.521197007
4.568230277,0.519950125
4.573560768,0.5180798
4.578891258,0.516832918
4.584221748,0.515586035
4.589552239,0.514339152
4.594882729,0.513092269
4.60021322,0.511845387
4.621535181,0.349127182
4.658848614,0.497506234
4.706823028,0.355361596
4.717484009,0.483790524
4.744136461,0.364089776
4.786780384,0.471321696
4.808102345,0.37032419
4.829424307,0.460099751
4.86673774,0.380299252
4.877398721,0.447630923
4.888059701,0.432668329
4.898720682,0.418952618
4.904051173,0.387780549
4.909381663,0.402743142
4.909381663,0.394014963
