s,kW,kW,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C
181,249.95,249.62,0.97,0.36,0.36,0.23,0.19,0.15,19.3
182,248.96,249.67,0.97,0.35,0.38,0.25,0.19,0.16,19.27
183,247.75,249.52,0.95,0.35,0.38,0.26,0.18,0.15,19.22
184,248.75,249.84,0.95,0.35,0.38,0.26,0.18,0.16,19.19
185,255.08,249.85,0.96,0.35,0.38,0.26,0.17,0.17,19.18
186,252.24,249.84,0.97,0.37,0.39,0.26,0.17,0.17,19.19
187,251.42,249.21,0.95,0.37,0.38,0.26,0.18,0.17,19.2
188,248.93,249.27,0.96,0.37,0.38,0.27,0.18,0.17,19.24
189,247.55,249.98,0.96,0.37,0.39,0.26,0.19,0.17,19.21
190,245.57,249.37,0.97,0.37,0.38,0.26,0.18,0.17,19.18
191,247,249.96,0.97,0.36,0.38,0.26,0.18,0.17,19.14
192,249.36,249.63,0.97,0.37,0.38,0.26,0.18,0.16,19.12
193,245.44,249.76,0.97,0.37,0.39,0.25,0.18,0.17,19.12
194,248.47,249.76,0.99,0.37,0.39,0.25,0.18,0.17,19.13
195,251.59,248.97,0.97,0.37,0.38,0.26,0.19,0.16,19.12
196,248.89,249.66,0.97,0.37,0.38,0.26,0.2,0.17,19.11
197,254.46,249.65,0.99,0.36,0.36,0.26,0.21,0.17,19.1
198,256.09,249.37,0.97,0.37,0.36,0.26,0.2,0.18,19.1
199,255.62,249.59,0.97,0.37,0.38,0.26,0.21,0.18,19.06
200,251.17,249.56,0.97,0.36,0.39,0.26,0.21,0.18,19.04
201,255.06,249.28,1.01,0.36,0.41,0.26,0.21,0.17,19.03
202,250.4,249.31,1.03,0.37,0.41,0.26,0.21,0.19,19.05
203,252.01,249.58,1.01,0.37,0.41,0.25,0.21,0.18,19.06
204,252.35,249.55,1.01,0.39,0.41,0.26,0.2,0.17,19.07
205,254.26,250.04,1.01,0.37,0.41,0.26,0.21,0.17,19.08
206,255.12,249.76,1.01,0.37,0.41,0.26,0.21,0.16,19.08
207,249.8,249.45,1.01,0.39,0.41,0.26,0.2,0.18,19.06
208,248.6,249.52,1.01,0.36,0.41,0.26,0.21,0.19,19.05
209,251.34,249.54,1.03,0.37,0.41,0.27,0.21,0.18,19.04
210,252.78,249.39,1.01,0.39,0.41,0.27,0.22,0.17,19.05
211,251.48,249.72,1.03,0.39,0.41,0.26,0.22,0.18,19.08
212,254.45,249.88,1.01,0.37,0.41,0.27,0.21,0.18,19.1
213,255.84,249.62,1,0.37,0.39,0.27,0.21,0.17,19.12
214,249.7,249.98,0.97,0.37,0.39,0.26,0.21,0.18,19.13
215,251.96,249.93,0.96,0.37,0.39,0.25,0.21,0.17,19.15
216,245.35,249.57,0.95,0.36,0.38,0.25,0.2,0.18,19.17
217,245.56,249.53,0.95,0.36,0.39,0.23,0.2,0.17,19.18
218,242.67,249.57,0.95,0.36,0.38,0.23,0.2,0.17,19.17
219,246.19,249.53,0.96,0.36,0.38,0.25,0.2,0.16,19.17
220,244.03,249.53,0.96,0.36,0.36,0.23,0.2,0.14,19.17
221,250.45,249.43,0.97,0.35,0.38,0.23,0.2,0.15,19.16
222,254.25,249.48,1,0.35,0.39,0.26,0.19,0.16,19.12
223,258.11,249.65,1.03,0.35,0.39,0.26,0.2,0.18,19.11
224,255.27,249.62,1.03,0.35,0.41,0.26,0.21,0.17,19.08
225,251.72,249.29,1.03,0.35,0.42,0.25,0.21,0.19,19.06
226,249.41,249.35,1.04,0.37,0.42,0.25,0.22,0.18,19.06
227,251.12,249.68,1,0.36,0.39,0.25,0.21,0.18,19.06
228,247.8,249.27,0.97,0.36,0.39,0.23,0.21,0.18,19.06
229,249.93,249.72,0.97,0.37,0.39,0.26,0.21,0.18,19.02
230,249.37,249.5,1.01,0.37,0.41,0.27,0.21,0.17,19.03
231,248.22,249.87,1,0.39,0.41,0.27,0.21,0.19,19.07
232,248.88,249.51,1,0.37,0.41,0.27,0.21,0.19,19.11
233,249.25,249.9,1,0.39,0.41,0.27,0.2,0.18,19.13
234,252.51,249.95,1.03,0.39,0.39,0.28,0.21,0.19,19.11
235,257.67,249.8,1.01,0.4,0.41,0.27,0.21,0.19,19.11
236,255.83,249.62,1.03,0.4,0.42,0.26,0.21,0.18,19.12
237,251.9,249.57,1.05,0.39,0.42,0.27,0.21,0.19,19.12
238,250.5,249.59,1.01,0.37,0.42,0.27,0.21,0.19,19.06
239,243.69,249.47,1.01,0.39,0.41,0.28,0.21,0.19,18.98
240,239.73,249.33,1.01,0.37,0.41,0.27,0.21,0.19,18.95
241,245.58,249.41,1.04,0.37,0.42,0.27,0.22,0.19,18.94
242,243.54,249.5,1.06,0.39,0.44,0.28,0.21,0.18,18.92
243,249.82,249.29,1.03,0.39,0.42,0.27,0.22,0.17,18.9
244,248.22,249.56,1.04,0.37,0.42,0.26,0.22,0.18,18.88
245,245.81,249.14,1.04,0.39,0.42,0.28,0.22,0.19,18.86
246,241.71,249.66,1.04,0.4,0.42,0.28,0.22,0.19,18.85
247,245.41,249.73,1.05,0.4,0.42,0.28,0.2,0.18,18.83
248,239.8,249.32,1.04,0.39,0.41,0.27,0.21,0.17,18.81
249,247.88,249.5,1.01,0.37,0.39,0.26,0.21,0.18,18.8
250,247.22,249.65,1.03,0.39,0.41,0.27,0.21,0.19,18.8
251,247.72,249.51,1.01,0.39,0.41,0.27,0.2,0.18,18.79
252,244.34,249.52,1,0.37,0.41,0.27,0.2,0.17,18.78
253,252.55,249.83,0.99,0.37,0.38,0.26,0.21,0.18,18.78
254,257.08,249.78,0.95,0.35,0.36,0.25,0.21,0.18,18.8
255,257.24,249.75,0.81,0.31,0.32,0.21,0.17,0.15,18.8
256,254.27,248,0.71,0.28,0.26,0.19,0.15,0.15,18.8
257,250.95,249.38,0.68,0.28,0.26,0.18,0.15,0.14,18.8
258,251.34,249.6,0.68,0.27,0.25,0.19,0.15,0.14,18.78
259,244.15,249.58,0.72,0.29,0.28,0.21,0.15,0.15,18.77
260,239.33,250.61,0.76,0.29,0.28,0.21,0.15,0.14,18.78
261,227.98,316.44,0.84,0.35,0.32,0.25,0.16,0.18,18.8
262,213.61,401.84,1.12,0.47,0.47,0.32,0.22,0.23,18.81
263,212.37,387.83,1.2,0.52,0.51,0.35,0.24,0.23,18.79
264,207.18,399.72,1.21,0.52,0.51,0.35,0.25,0.24,18.79
265,215.31,389.28,1.2,0.53,0.53,0.36,0.26,0.22,18.82
266,240.9,396.79,1.21,0.53,0.51,0.36,0.27,0.25,18.85
267,265.24,390.58,1.2,0.52,0.51,0.35,0.27,0.25,18.89
268,287.13,395.55,1.21,0.52,0.51,0.35,0.27,0.25,18.9
269,310.8,391.94,1.18,0.52,0.5,0.35,0.27,0.24,18.89
270,341.57,395.16,1.2,0.52,0.5,0.35,0.27,0.22,18.92
271,354.81,391.51,1.21,0.51,0.51,0.34,0.27,0.24,18.95
272,371,392.8,1.2,0.51,0.5,0.34,0.27,0.23,18.97
273,382.23,392.45,1.21,0.51,0.51,0.35,0.27,0.23,18.99
274,388.71,394.08,1.21,0.51,0.51,0.35,0.27,0.23,19.01
275,390.54,392.58,1.21,0.52,0.51,0.34,0.27,0.23,19.01
276,386.62,392.5,1.22,0.52,0.53,0.35,0.28,0.24,18.97
277,392.9,392.23,1.24,0.53,0.53,0.35,0.28,0.23,18.94
278,390.91,393.11,1.22,0.53,0.51,0.36,0.27,0.22,18.91
279,392.15,392.82,1.21,0.51,0.51,0.35,0.26,0.24,18.89
280,397.09,393.06,1.22,0.51,0.53,0.36,0.27,0.25,18.85
281,399.12,393.65,1.22,0.52,0.53,0.35,0.27,0.24,18.82
282,390.86,391.74,1.22,0.51,0.53,0.35,0.27,0.24,18.8
283,391.87,393.73,1.21,0.52,0.53,0.36,0.27,0.24,18.8
284,393.94,393.26,1.2,0.52,0.51,0.36,0.27,0.25,18.8
285,392.63,394.16,1.21,0.52,0.51,0.36,0.27,0.25,18.81
286,395.36,393.2,1.24,0.52,0.53,0.36,0.28,0.25,18.8
287,397.7,393.71,1.25,0.55,0.54,0.38,0.28,0.25,18.8
288,410.6,392.86,1.24,0.55,0.54,0.36,0.28,0.25,18.81
289,414.28,393.85,1.22,0.53,0.53,0.36,0.28,0.26,18.82
290,408.21,393.41,1.22,0.53,0.51,0.36,0.27,0.26,18.83
291,403.84,394.06,1.22,0.53,0.51,0.35,0.27,0.24,18.86
292,403.4,393.1,1.22,0.52,0.51,0.35,0.27,0.23,18.89
293,398.94,392.9,1.22,0.52,0.51,0.36,0.27,0.24,18.92
294,392.03,392.9,1.21,0.52,0.5,0.35,0.27,0.25,18.96
295,395.66,392.81,1.18,0.51,0.5,0.34,0.27,0.26,18.99
296,398.97,393.45,1.18,0.52,0.5,0.35,0.26,0.25,19.01
297,393.43,393.61,1.18,0.52,0.5,0.36,0.26,0.24,19.05
298,389.13,392.95,1.2,0.52,0.5,0.34,0.26,0.24,19.09
299,392.72,393.45,1.17,0.52,0.48,0.34,0.26,0.24,19.11
300,396.49,392.13,1.16,0.52,0.48,0.35,0.26,0.25,19.1
301,396.19,393.66,1.16,0.52,0.48,0.35,0.26,0.24,19.11
302,393.36,393.33,1.2,0.51,0.5,0.36,0.26,0.24,19.13
303,389.99,393.86,1.2,0.52,0.48,0.36,0.26,0.23,19.15
304,383.79,393.33,1.17,0.49,0.48,0.35,0.26,0.23,19.18
305,387.49,393.26,1.16,0.49,0.48,0.35,0.26,0.23,19.22
306,388.69,392.26,1.14,0.49,0.48,0.35,0.26,0.24,19.24
307,390.12,392.96,1.16,0.49,0.48,0.36,0.26,0.24,19.28
308,392.97,391.89,1.17,0.51,0.48,0.34,0.26,0.24,19.31
309,396.34,393.24,1.17,0.51,0.5,0.34,0.27,0.25,19.33
310,398.13,392,1.18,0.51,0.5,0.34,0.27,0.25,19.34
311,397.87,392.06,1.2,0.52,0.5,0.34,0.27,0.26,19.29
312,396.99,393.61,1.2,0.52,0.5,0.35,0.27,0.24,19.27
313,395.94,392.03,1.2,0.53,0.48,0.36,0.27,0.24,19.26
314,398.47,392.72,1.22,0.53,0.51,0.36,0.27,0.26,19.24
315,400.28,393.21,1.24,0.55,0.51,0.38,0.26,0.25,19.21
316,400.9,392.91,1.22,0.55,0.51,0.36,0.27,0.25,19.21
317,400.17,392.86,1.21,0.55,0.51,0.36,0.26,0.26,19.21
318,400.43,391.69,1.22,0.55,0.53,0.38,0.27,0.28,19.18
319,401.97,391.77,1.25,0.55,0.53,0.39,0.28,0.27,19.16
320,393.98,391.48,1.25,0.56,0.54,0.39,0.29,0.26,19.13
321,389.59,391.91,1.26,0.55,0.54,0.39,0.28,0.27,19.07
322,387.97,391.83,1.25,0.56,0.53,0.39,0.28,0.26,19.03
323,391.13,391.33,1.24,0.55,0.51,0.38,0.27,0.25,19.01
324,390.38,391.64,1.22,0.55,0.51,0.38,0.26,0.26,18.99
325,393.96,392.26,1.22,0.53,0.51,0.38,0.27,0.26,19.02
326,403.34,391.7,1.24,0.55,0.51,0.39,0.28,0.26,19.05
327,407.89,391.69,1.22,0.55,0.51,0.38,0.27,0.25,19.09
328,399.58,391.58,1.24,0.55,0.51,0.39,0.28,0.26,19.11
329,396.66,391.38,1.26,0.56,0.53,0.4,0.28,0.25,19.08
330,397.76,393.53,1.26,0.57,0.53,0.4,0.28,0.27,19.06
331,396.4,392.05,1.26,0.59,0.53,0.39,0.29,0.27,19.06
332,391.88,391.88,1.25,0.59,0.53,0.39,0.29,0.27,19.05
333,387.42,392.6,1.28,0.59,0.53,0.39,0.28,0.27,19.05
334,390.98,392.99,1.25,0.57,0.51,0.38,0.27,0.26,19.05
335,396.02,392.23,1.25,0.57,0.51,0.39,0.26,0.26,19.05
336,394.27,391.69,1.25,0.56,0.51,0.36,0.27,0.26,19.04
337,398.91,391.81,1.22,0.56,0.5,0.36,0.28,0.26,19.06
338,397.71,392.39,1.21,0.56,0.51,0.36,0.27,0.25,19.07
339,400.7,392.28,1.24,0.55,0.53,0.36,0.27,0.26,19.09
340,398.85,391.5,1.22,0.55,0.53,0.38,0.26,0.26,19.09
341,393.37,391.49,1.22,0.53,0.51,0.35,0.27,0.26,19.1
342,395.32,392.91,1.21,0.53,0.51,0.35,0.27,0.25,19.14
343,391.11,392.28,1.22,0.55,0.48,0.36,0.26,0.25,19.17
344,391.92,391.77,1.24,0.55,0.48,0.36,0.27,0.25,19.2
345,388.35,391.48,1.2,0.55,0.47,0.36,0.27,0.24,19.22
346,389.22,391.66,1.2,0.52,0.5,0.35,0.27,0.24,19.23
347,384.23,391.97,1.2,0.53,0.5,0.35,0.27,0.25,19.23
348,379.9,391.58,1.21,0.53,0.5,0.36,0.26,0.24,19.24
349,380.1,391.47,1.18,0.52,0.5,0.36,0.26,0.25,19.25
350,379.89,391.74,1.16,0.53,0.5,0.35,0.26,0.25,19.26
351,385.8,391.85,1.18,0.53,0.5,0.35,0.26,0.25,19.28
352,387.65,391.8,1.2,0.52,0.5,0.35,0.24,0.24,19.29
353,392.11,391.92,1.21,0.53,0.48,0.36,0.25,0.25,19.32
354,389.82,393.14,1.2,0.53,0.48,0.36,0.24,0.27,19.35
355,389.55,391.83,1.2,0.55,0.48,0.36,0.25,0.26,19.38
356,390.22,391.67,1.21,0.56,0.48,0.38,0.25,0.26,19.43
357,389.57,391.69,1.21,0.56,0.48,0.38,0.25,0.26,19.47
358,390.01,391.86,1.22,0.56,0.48,0.36,0.27,0.27,19.48
359,386.32,391.43,1.22,0.57,0.5,0.39,0.27,0.26,19.5
360,390.23,391.76,1.24,0.56,0.51,0.39,0.26,0.27,19.5
361,389.82,391.8,1.22,0.57,0.51,0.39,0.27,0.27,19.47
362,384.81,391.28,1.21,0.57,0.5,0.38,0.28,0.26,19.45
363,385.29,391.44,1.24,0.56,0.53,0.38,0.29,0.27,19.43
364,379.62,391.88,1.24,0.56,0.53,0.36,0.29,0.27,19.42
365,381.68,391.36,1.24,0.55,0.53,0.38,0.28,0.27,19.43
