Time,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,TC15,TC16,TC17,TC18,TC19,HF1,HF2,HF3,HF4,Upper Pressure,Lower Pressure,Fuel Mass,Upper O2,Upper CO,Upper CO2,Lower O2,Lower CO,Lower CO2,Adjusted Upper O2,Adjusted Upper CO,Adjusted Upper CO2,Adjusted Lower O2,Adjusted Lower CO,Adjusted Lower CO2,Adjusted Burning rate,Total Burning Rate
  50., 196.4, 192.8, 174.2, 164.2, 156.5, 150.9, 140.4, 124.5,  98.4,  70.7,  23.7,  14.7, 243.6, 238.7, 153.4,  74.3, 216.5, 189.6, 167.6,  47.68,   6.25,   7.70,   8.72,      1.0,     -0.5,  -3.5,  2.071E-01,  6.019E-06,  2.544E-03,  2.045E-01,  7.656E-05,  5.255E-03,  1.857E-01,  3.909E-05,  1.607E-02,  2.048E-01,  8.120E-05,  5.110E-03,  14.4, 0.000102
  55., 205.8, 201.8, 184.4, 173.7, 166.7, 160.9, 151.4, 134.3, 103.2,  75.2,  26.0,  16.2, 253.3, 250.3, 152.4,  84.0, 230.3, 200.4, 185.9,  47.48,   6.39,   8.16,   8.88,      1.1,     -0.5,  -4.0,  2.041E-01,  2.084E-05,  4.792E-03,  2.046E-01,  8.518E-05,  5.066E-03,  1.840E-01,  2.429E-05,  1.772E-02,  2.050E-01,  6.400E-05,  4.912E-03,  15.3, 0.000108
  60., 216.7, 210.8, 195.6, 184.7, 176.3, 169.6, 161.0, 142.0, 110.7,  80.9,  28.6,  17.7, 262.1, 247.8, 156.1,  93.5, 245.6, 214.2, 205.3,  46.21,   7.22,   8.81,   9.21,      0.9,     -0.7,  -4.6,  2.008E-01,  1.801E-05,  7.277E-03,  2.047E-01,  7.785E-05,  4.904E-03,  1.824E-01,  3.625E-05,  1.873E-02,  2.049E-01,  7.805E-05,  5.311E-03,  16.2, 0.000115
  65., 223.3, 220.0, 205.3, 193.9, 185.9, 180.6, 171.5, 152.2, 119.2,  87.8,  30.8,  19.4, 280.3, 282.6, 169.9, 100.4, 259.0, 229.3, 216.0,  46.36,   7.50,   9.95,  10.56,      1.0,     -0.7,  -5.1,  1.975E-01,  2.334E-05,  9.213E-03,  2.049E-01,  7.308E-05,  5.137E-03,  1.807E-01,  2.776E-05,  1.920E-02,  2.046E-01,  8.455E-05,  5.734E-03,  16.8, 0.000119
  70., 232.4, 229.7, 212.8, 201.8, 194.0, 189.8, 181.0, 160.5, 129.5,  96.0,  34.1,  21.2, 296.5, 296.2, 193.9, 109.5, 265.6, 246.6, 239.9,  43.97,   8.37,  11.80,  10.56,      1.1,     -0.6,  -5.8,  1.946E-01,  2.867E-05,  1.091E-02,  2.050E-01,  7.878E-05,  5.370E-03,  1.793E-01,  3.562E-05,  2.063E-02,  2.041E-01,  6.884E-05,  6.269E-03,  19.2, 0.000136
  75., 240.8, 236.9, 218.7, 208.6, 202.5, 198.1, 187.2, 166.9, 135.3, 103.6,  37.7,  22.6, 301.3, 312.9, 225.9, 118.0, 272.1, 243.9, 238.7,  41.53,   9.30,  12.09,  10.14,      1.1,     -0.7,  -6.5,  1.920E-01,  2.616E-05,  1.242E-02,  2.047E-01,  7.426E-05,  6.017E-03,  1.779E-01,  3.720E-05,  2.064E-02,  2.036E-01,  8.961E-05,  6.278E-03,  20.2, 0.000143
  80., 243.4, 240.6, 224.5, 214.1, 207.6, 202.0, 192.5, 172.7, 138.4, 108.3,  41.0,  23.2, 304.0, 308.8, 227.4, 125.4, 279.6, 249.2, 233.3,  42.54,   9.01,  11.91,  10.60,      1.2,     -0.7,  -7.2,  1.898E-01,  2.617E-05,  1.354E-02,  2.042E-01,  7.354E-05,  6.478E-03,  1.768E-01,  3.151E-05,  2.174E-02,  2.036E-01,  7.555E-05,  5.388E-03,  20.5, 0.000145
  85., 244.8, 243.4, 230.7, 220.5, 213.9, 208.7, 195.3, 175.9, 139.5, 111.3,  42.3,  24.6, 313.1, 320.4, 230.9, 131.1, 285.6, 253.9, 243.0,  41.12,   9.51,  12.73,  10.40,      1.3,     -0.4,  -7.9,  1.879E-01,  2.931E-05,  1.453E-02,  2.037E-01,  8.935E-05,  5.913E-03,  1.757E-01,  3.938E-05,  2.197E-02,  2.041E-01,  8.704E-05,  5.425E-03,  19.7, 0.000139
  90., 253.0, 252.0, 236.6, 226.0, 221.3, 215.1, 200.3, 181.5, 146.7, 116.1,  43.3,  26.0, 312.1, 321.8, 230.4, 134.5, 292.9, 264.0, 262.5,  41.22,   9.80,  11.94,  11.31,      1.3,     -0.5,  -8.6,  1.860E-01,  2.963E-05,  1.568E-02,  2.035E-01,  7.938E-05,  5.281E-03,  1.748E-01,  2.962E-05,  2.290E-02,  2.043E-01,  9.276E-05,  5.746E-03,  19.3, 0.000137
  95., 261.0, 257.0, 241.2, 230.0, 225.3, 219.0, 206.3, 186.4, 154.1, 122.2,  45.7,  27.5, 316.8, 331.2, 270.2, 141.3, 300.4, 273.3, 272.8,  38.52,   9.98,  13.37,  11.66,      1.2,     -0.7,  -9.3,  1.844E-01,  2.900E-05,  1.683E-02,  2.040E-01,  9.121E-05,  5.501E-03,  1.739E-01,  3.436E-05,  2.352E-02,  2.041E-01,  8.201E-05,  5.845E-03,  20.0, 0.000142
 100., 268.1, 267.4, 249.1, 238.0, 231.5, 223.9, 212.5, 192.7, 156.6, 125.8,  46.6,  28.6, 321.4, 343.1, 283.6, 148.8, 305.6, 273.4, 269.9,  40.51,  10.95,  14.54,  11.70,      1.1,     -0.7, -10.0,  1.827E-01,  3.057E-05,  1.778E-02,  2.043E-01,  8.221E-05,  5.888E-03,  1.730E-01,  3.026E-05,  2.366E-02,  2.039E-01,  8.708E-05,  5.527E-03,  20.4, 0.000144
 105., 272.1, 272.7, 255.2, 243.6, 238.0, 230.4, 218.7, 197.4, 157.8, 128.1,  47.9,  29.8, 339.6, 347.3, 277.7, 155.2, 314.1, 275.8, 265.2,  43.00,  10.77,  13.44,  12.86,      1.2,     -0.6, -10.7,  1.810E-01,  3.532E-05,  1.882E-02,  2.041E-01,  8.906E-05,  5.730E-03,  1.721E-01,  4.160E-05,  2.510E-02,  2.042E-01,  7.330E-05,  5.179E-03,  19.7, 0.000140
 110., 270.9, 271.4, 257.8, 246.0, 240.4, 233.4, 222.7, 200.2, 158.5, 130.8,  49.5,  31.5, 347.6, 352.6, 271.0, 158.0, 316.1, 279.1, 267.7,  36.39,  10.27,  13.62,  12.60,      1.3,     -0.6, -11.4,  1.796E-01,  3.280E-05,  1.984E-02,  2.040E-01,  8.190E-05,  5.363E-03,  1.716E-01,  4.538E-05,  2.494E-02,  2.045E-01,  7.966E-05,  5.304E-03,  20.1, 0.000143
 115., 278.6, 276.3, 262.6, 250.6, 244.6, 238.0, 228.6, 206.0, 163.0, 135.0,  52.6,  33.4, 354.9, 337.9, 255.4, 159.6, 323.8, 286.2, 278.4,  39.44,  10.56,  14.22,  13.34,      1.3,     -0.6, -12.1,  1.782E-01,  3.437E-05,  2.034E-02,  2.041E-01,  7.626E-05,  5.224E-03,  1.709E-01,  4.476E-05,  2.501E-02,  2.045E-01,  8.750E-05,  5.278E-03,  20.7, 0.000147
 120., 284.3, 280.9, 267.9, 257.0, 251.9, 244.8, 234.2, 208.7, 165.8, 138.0,  53.9,  34.4, 353.7, 368.0, 297.8, 164.7, 324.0, 285.6, 278.8,  45.04,  11.63,  16.68,  12.92,      1.2,     -0.7, -12.9,  1.769E-01,  3.342E-05,  2.108E-02,  2.044E-01,  7.816E-05,  5.261E-03,  1.704E-01,  2.933E-05,  2.601E-02,  2.045E-01,  8.420E-05,  5.226E-03,  20.4, 0.000145
 125., 284.1, 287.2, 273.8, 262.0, 255.7, 248.0, 233.5, 209.5, 169.8, 141.5,  56.3,  34.8, 350.6, 360.1, 284.5, 169.1, 327.1, 287.4, 286.8,  49.52,  12.24,  13.90,  12.92,      1.2,     -0.6, -13.6,  1.759E-01,  3.752E-05,  2.181E-02,  2.045E-01,  9.318E-05,  5.339E-03,  1.698E-01,  7.216E-05,  2.631E-02,  2.046E-01,  8.811E-05,  5.424E-03,  19.9, 0.000141
 130., 284.6, 287.7, 274.9, 265.6, 259.9, 251.9, 235.8, 212.8, 174.3, 146.1,  57.5,  35.3, 353.0, 375.7, 296.1, 171.8, 330.8, 283.1, 275.5,  47.79,  13.82,  17.15,  13.12,      1.3,     -0.6, -14.3,  1.750E-01,  3.530E-05,  2.224E-02,  2.045E-01,  7.994E-05,  5.167E-03,  1.696E-01,  4.981E-05,  2.637E-02,  2.044E-01,  8.076E-05,  5.101E-03,  19.8, 0.000140
 135., 288.6, 291.4, 276.3, 266.8, 261.8, 255.0, 238.2, 214.1, 176.5, 148.1,  59.0,  36.3, 354.8, 386.0, 307.4, 176.3, 332.1, 287.4, 264.4,  38.83,  12.53,  16.61,  13.28,      1.3,     -0.6, -15.0,  1.741E-01,  3.626E-05,  2.314E-02,  2.045E-01,  8.623E-05,  5.454E-03,  1.695E-01,  5.956E-05,  2.638E-02,  2.046E-01,  8.288E-05,  5.074E-03,  19.6, 0.000139
 140., 292.0, 294.4, 277.5, 270.9, 266.1, 258.9, 238.9, 211.9, 176.5, 150.0,  59.6,  37.5, 370.1, 386.9, 284.1, 177.3, 336.7, 299.9, 260.8,  41.78,  11.99,  14.05,  14.44,      1.3,     -0.6, -15.7,  1.731E-01,  3.120E-05,  2.347E-02,  2.044E-01,  8.200E-05,  4.960E-03,  1.692E-01,  5.266E-05,  2.642E-02,  2.047E-01,  9.233E-05,  5.215E-03,  20.2, 0.000143
 145., 297.2, 298.5, 280.1, 272.0, 267.2, 259.4, 243.4, 217.0, 181.9, 153.7,  60.2,  39.0, 372.3, 388.2, 279.0, 183.2, 339.7, 314.1, 275.4,  43.21,  12.93,  15.51,  14.64,      1.3,     -0.6, -16.4,  1.722E-01,  3.499E-05,  2.429E-02,  2.046E-01,  8.212E-05,  5.121E-03,  1.685E-01,  5.516E-05,  2.655E-02,  2.045E-01,  8.890E-05,  5.461E-03,  19.5, 0.000138
 150., 295.5, 299.5, 283.4, 274.0, 269.8, 263.0, 249.4, 225.5, 187.0, 158.4,  62.0,  40.6, 376.2, 399.2, 288.5, 188.4, 344.7, 314.1, 285.3,  40.51,  12.75,  15.51,  14.15,      1.4,     -0.6, -17.1,  1.718E-01,  3.972E-05,  2.485E-02,  2.047E-01,  1.016E-04,  5.380E-03,  1.684E-01,  5.546E-05,  2.667E-02,  2.044E-01,  7.728E-05,  5.721E-03,  19.5, 0.000138
 155., 294.1, 298.9, 287.6, 277.0, 273.6, 267.9, 252.5, 229.3, 189.8, 161.4,  64.9,  41.5, 376.8, 404.7, 321.6, 195.7, 345.3, 308.6, 288.0,  45.14,  13.90,  17.58,  14.38,      1.4,     -0.6, -17.8,  1.710E-01,  4.381E-05,  2.494E-02,  2.046E-01,  7.608E-05,  5.486E-03,  1.682E-01,  6.585E-05,  2.715E-02,  2.041E-01,  9.378E-05,  5.353E-03,  20.8, 0.000147
 160., 293.1, 300.7, 290.1, 282.0, 278.0, 270.6, 257.1, 236.1, 196.4, 164.9,  65.2,  42.1, 377.1, 411.8, 368.2, 199.7, 347.5, 306.8, 294.1,  47.38,  14.04,  18.54,  14.60,      1.4,     -0.6, -18.5,  1.705E-01,  3.972E-05,  2.539E-02,  2.044E-01,  8.560E-05,  5.647E-03,  1.681E-01,  5.168E-05,  2.737E-02,  2.042E-01,  8.345E-05,  5.150E-03,  19.0, 0.000135
 165., 289.9, 299.5, 290.5, 284.2, 279.3, 271.1, 257.7, 233.5, 197.7, 167.4,  65.9,  42.3, 376.6, 405.3, 340.2, 201.4, 345.5, 310.0, 288.1,  40.97,  13.82,  17.36,  14.15,      1.3,     -0.7, -19.2,  1.698E-01,  4.286E-05,  2.604E-02,  2.042E-01,  9.536E-05,  5.266E-03,  1.682E-01,  4.949E-05,  2.734E-02,  2.046E-01,  8.873E-05,  5.022E-03,  19.0, 0.000134
 170., 292.0, 300.1, 291.0, 283.0, 278.1, 269.9, 257.2, 235.7, 199.2, 169.0,  66.5,  42.8, 382.4, 411.8, 346.7, 205.3, 343.2, 311.0, 284.6,  40.30,  14.11,  17.54,  14.41,      1.3,     -0.6, -19.9,  1.696E-01,  6.020E-05,  2.632E-02,  2.042E-01,  8.312E-05,  5.012E-03,  1.683E-01,  5.893E-05,  2.744E-02,  2.046E-01,  8.124E-05,  5.225E-03,  21.4, 0.000152
 175., 297.6, 304.1, 295.8, 287.2, 283.6, 275.1, 262.1, 240.4, 198.1, 170.1,  66.4,  44.0, 387.0, 421.2, 354.5, 206.8, 347.4, 316.2, 286.8,  48.65,  13.90,  17.93,  14.64,      1.4,     -0.6, -20.7,  1.696E-01,  6.146E-05,  2.639E-02,  2.045E-01,  8.024E-05,  5.218E-03,  1.683E-01,  5.734E-05,  2.728E-02,  2.046E-01,  8.598E-05,  4.990E-03,  23.0, 0.000163
 180., 298.2, 306.2, 297.6, 289.8, 285.4, 277.3, 265.0, 241.3, 199.0, 169.6,  66.8,  44.6, 395.5, 445.9, 376.5, 210.3, 348.7, 320.8, 286.3,  48.35,  14.36,  20.04,  13.73,      1.3,     -0.7, -21.5,  1.693E-01,  5.262E-05,  2.639E-02,  2.046E-01,  8.953E-05,  5.075E-03,  1.682E-01,  5.704E-05,  2.730E-02,  2.047E-01,  8.435E-05,  5.177E-03,  22.5, 0.000159
 185., 297.4, 304.1, 295.9, 289.2, 283.6, 277.5, 265.1, 242.4, 202.8, 172.5,  69.9,  44.9, 378.2, 421.0, 359.4, 209.0, 350.6, 323.0, 298.5,  42.54,  13.39,  14.94,  14.34,      1.4,     -0.6, -22.3,  1.686E-01,  5.610E-05,  2.645E-02,  2.046E-01,  8.349E-05,  5.089E-03,  1.681E-01,  5.829E-05,  2.755E-02,  2.045E-01,  7.744E-05,  5.668E-03,  22.8, 0.000161
 190., 294.3, 303.4, 296.3, 289.9, 284.7, 277.8, 265.5, 245.3, 206.0, 173.7,  70.4,  45.7, 370.7, 418.1, 353.2, 209.3, 350.2, 330.7, 305.6,  39.13,  15.91,  18.43,  14.70,      1.3,     -0.8, -23.1,  1.684E-01,  5.548E-05,  2.656E-02,  2.047E-01,  8.097E-05,  5.381E-03,  1.681E-01,  7.341E-05,  2.734E-02,  2.043E-01,  9.079E-05,  5.108E-03,  23.2, 0.000164
 195., 300.0, 309.2, 300.7, 292.5, 286.7, 281.1, 267.6, 247.3, 206.1, 175.0,  71.1,  47.2, 382.5, 422.5, 360.5, 213.7, 350.4, 332.7, 313.4,  42.19,  14.47,  18.61,  15.02,      1.3,     -0.8, -23.9,  1.683E-01,  5.926E-05,  2.682E-02,  2.046E-01,  8.124E-05,  5.526E-03,  1.678E-01,  5.830E-05,  2.747E-02,  2.045E-01,  8.614E-05,  4.853E-03,  21.9, 0.000156
 200., 303.4, 313.8, 304.6, 296.5, 290.9, 283.9, 271.2, 250.0, 208.7, 178.6,  73.0,  48.4, 393.5, 436.6, 364.4, 217.4, 356.3, 330.1, 319.4,  43.00,  15.22,  20.89,  15.18,      1.3,     -0.7, -24.7,  1.681E-01,  5.548E-05,  2.726E-02,  2.043E-01,  9.244E-05,  4.946E-03,  1.676E-01,  5.831E-05,  2.779E-02,  2.047E-01,  8.232E-05,  4.923E-03,  21.4, 0.000151
 205., 300.7, 314.7, 306.4, 298.1, 293.2, 285.9, 272.8, 250.7, 208.7, 180.7,  74.7,  48.9, 392.1, 422.9, 382.6, 217.9, 356.9, 332.9, 313.6,  46.67,  15.55,  18.15,  14.99,      1.3,     -0.7, -25.5,  1.682E-01,  5.800E-05,  2.731E-02,  2.045E-01,  8.086E-05,  4.962E-03,  1.677E-01,  7.878E-05,  2.756E-02,  2.049E-01,  8.780E-05,  4.689E-03,  22.4, 0.000159
 210., 299.8, 311.6, 304.7, 298.0, 293.0, 285.4, 270.2, 248.6, 211.5, 182.5,  74.8,  48.5, 384.3, 412.3, 363.2, 217.6, 356.9, 328.1, 302.2,  47.02,  15.08,  16.43,  14.89,      1.3,     -0.7, -26.2,  1.683E-01,  5.326E-05,  2.737E-02,  2.047E-01,  8.462E-05,  4.665E-03,  1.681E-01,  5.546E-05,  2.727E-02,  2.050E-01,  9.021E-05,  4.741E-03,  22.5, 0.000160
 215., 299.2, 311.4, 304.0, 296.9, 293.0, 286.2, 271.1, 245.5, 209.6, 182.0,  78.4,  48.1, 386.5, 412.1, 371.5, 214.1, 355.4, 318.9, 292.2,  49.67,  15.19,  18.18,  14.60,      1.3,     -0.7, -27.0,  1.683E-01,  5.546E-05,  2.738E-02,  2.048E-01,  9.094E-05,  4.768E-03,  1.683E-01,  6.302E-05,  2.690E-02,  2.051E-01,  8.840E-05,  4.539E-03,  21.7, 0.000154
 220., 298.9, 310.7, 302.9, 296.6, 293.1, 286.0, 271.0, 243.7, 207.0, 181.0,  80.5,  48.0, 384.3, 409.3, 372.8, 214.0, 351.2, 319.4, 292.2,  47.02,  13.90,  17.86,  14.99,      1.3,     -0.8, -27.8,  1.683E-01,  5.704E-05,  2.733E-02,  2.050E-01,  8.556E-05,  4.696E-03,  1.684E-01,  5.516E-05,  2.704E-02,  2.053E-01,  7.896E-05,  3.996E-03,  21.3, 0.000151
 225., 302.5, 311.9, 306.2, 298.1, 292.4, 284.2, 269.4, 237.0, 204.8, 179.7,  80.7,  47.3, 393.9, 432.1, 393.3, 211.7, 352.0, 316.0, 287.9,  53.59,  14.69,  17.36,  14.38,      1.4,     -0.7, -28.5,  1.681E-01,  5.546E-05,  2.752E-02,  2.051E-01,  8.726E-05,  4.356E-03,  1.684E-01,  5.925E-05,  2.674E-02,  2.057E-01,  9.652E-05,  3.882E-03,  19.7, 0.000140
 230., 301.2, 310.0, 302.6, 296.7, 291.3, 283.7, 266.7, 235.5, 207.4, 179.1,  76.9,  48.0, 386.2, 400.5, 340.1, 210.8, 346.2, 316.5, 289.6,  47.28,  13.68,  14.30,  13.99,      1.5,     -0.6, -29.2,  1.681E-01,  6.396E-05,  2.735E-02,  2.052E-01,  8.463E-05,  3.825E-03,  1.689E-01,  6.115E-05,  2.654E-02,  2.059E-01,  8.445E-05,  4.683E-03,  20.0, 0.000142
 235., 302.1, 309.9, 300.7, 294.0, 290.1, 282.7, 267.1, 241.2, 213.0, 182.9,  75.8,  48.5, 373.9, 382.8, 307.6, 210.4, 345.9, 322.2, 299.7,  52.67,  13.50,  14.83,  14.31,      1.4,     -0.7, -30.0,  1.679E-01,  6.210E-05,  2.738E-02,  2.056E-01,  9.215E-05,  4.086E-03,  1.694E-01,  5.578E-05,  2.646E-02,  2.051E-01,  9.474E-05,  5.442E-03,  20.0, 0.000142
 240., 297.5, 307.1, 298.4, 292.0, 288.5, 281.7, 266.6, 239.7, 209.6, 181.9,  75.0,  48.5, 369.3, 389.1, 343.3, 207.4, 345.5, 315.7, 287.9,  48.85,  14.22,  16.90,  14.15,      1.3,     -0.7, -30.7,  1.676E-01,  6.870E-05,  2.765E-02,  2.059E-01,  9.516E-05,  5.177E-03,  1.698E-01,  7.153E-05,  2.629E-02,  2.045E-01,  8.453E-05,  4.922E-03,  19.1, 0.000135
 245., 294.9, 303.1, 296.0, 291.5, 287.9, 282.2, 265.0, 238.3, 207.8, 181.3,  73.9,  48.1, 362.8, 390.6, 352.0, 208.6, 341.3, 311.0, 291.2,  44.88,  13.93,  16.93,  14.05,      1.4,     -0.7, -31.3,  1.677E-01,  6.838E-05,  2.762E-02,  2.053E-01,  8.651E-05,  5.323E-03,  1.705E-01,  4.571E-05,  2.586E-02,  2.048E-01,  8.580E-05,  4.468E-03,  19.2, 0.000136
 250., 292.8, 299.6, 295.1, 290.8, 288.4, 280.3, 264.5, 237.2, 205.3, 179.9,  74.0,  47.7, 364.3, 384.3, 357.1, 213.5, 341.5, 307.7, 284.6,  51.81,  13.46,  16.72,  14.51,      1.3,     -0.8, -32.0,  1.680E-01,  6.398E-05,  2.742E-02,  2.046E-01,  8.481E-05,  4.666E-03,  1.711E-01,  4.444E-05,  2.495E-02,  2.052E-01,  8.548E-05,  4.136E-03,  17.7, 0.000126
 255., 288.6, 298.4, 291.9, 287.5, 285.6, 278.0, 263.2, 235.9, 204.4, 179.2,  73.8,  47.5, 356.7, 367.3, 332.5, 208.5, 337.7, 309.2, 285.9,  51.09,  13.11,  14.33,  13.31,      1.3,     -0.6, -32.6,  1.683E-01,  6.491E-05,  2.718E-02,  2.047E-01,  8.293E-05,  4.358E-03,  1.719E-01,  4.792E-05,  2.487E-02,  2.056E-01,  7.801E-05,  4.150E-03,  16.0, 0.000113
 260., 286.1, 296.8, 292.0, 286.1, 282.8, 277.4, 263.0, 235.0, 204.8, 179.2,  74.5,  47.3, 358.5, 368.3, 320.2, 205.9, 333.7, 309.3, 288.1,  50.43,  13.46,  14.87,  13.21,      1.4,     -0.7, -33.2,  1.684E-01,  5.893E-05,  2.698E-02,  2.051E-01,  8.397E-05,  4.038E-03,  1.725E-01,  4.980E-05,  2.469E-02,  2.057E-01,  9.140E-05,  4.102E-03,  17.3, 0.000123
 265., 288.1, 298.0, 292.5, 285.6, 281.7, 279.0, 263.7, 235.0, 204.9, 179.3,  75.2,  47.4, 359.6, 374.8, 303.7, 207.3, 334.1, 307.6, 293.2,  45.24,  12.57,  14.69,  13.34,      1.4,     -0.6, -33.8,  1.684E-01,  6.020E-05,  2.695E-02,  2.055E-01,  8.886E-05,  4.177E-03,  1.731E-01,  4.980E-05,  2.434E-02,  2.058E-01,  7.819E-05,  4.184E-03,  18.2, 0.000129
 270., 288.7, 299.4, 293.0, 285.1, 280.5, 275.2, 261.4, 236.0, 204.2, 178.2,  73.3,  47.6, 354.6, 370.5, 300.5, 208.0, 332.4, 307.6, 292.3,  46.67,  13.25,  14.76,  13.60,      1.2,     -0.8, -34.4,  1.688E-01,  5.735E-05,  2.668E-02,  2.057E-01,  7.287E-05,  4.110E-03,  1.734E-01,  5.956E-05,  2.375E-02,  2.057E-01,  7.560E-05,  4.310E-03,  16.9, 0.000120
