Time,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,TC15,TC16,TC17,TC18,TC19,HF1,HF2,HF3,HF4,Upper Pressure,Lower Pressure,Fuel Mass,Upper O2,Upper CO,Upper CO2,Lower O2,Lower CO,Lower CO2,Adjusted Upper O2,Adjusted Upper CO,Adjusted Upper CO2,Adjusted Lower O2,Adjusted Lower CO,Adjusted Lower CO2,Adjusted Burning rate,Total Burning Rate
  45., 329.6, 331.4, 307.6, 307.4, 304.0, 299.7, 288.9, 266.5, 246.9, 224.0, 108.4,  28.1, 425.6, 476.3, 500.0, 219.0, 336.4, 279.5, 250.8,  42.34,  17.13,  15.90,  13.08,      1.7,     -0.6,  42.2,  2.085E-01,  1.471E-05,  2.337E-04,  1.837E-01,  6.782E-04,  3.895E-02,  1.521E-01,  7.719E-04,  3.986E-02,  1.521E-01,  3.876E-04,  4.616E-02,  15.7, 0.000111
  50., 341.6, 344.7, 323.4, 320.0, 314.3, 308.8, 298.6, 278.8, 260.2, 236.2, 116.7,  33.7, 418.3, 464.1, 500.8, 296.3, 349.1, 295.4, 266.6,  47.68,  18.35,  14.47,  12.57,      1.8,     -0.6,  41.6,  2.058E-01,  5.422E-05,  6.871E-04,  1.738E-01,  7.420E-04,  4.365E-02,  1.439E-01,  8.104E-04,  4.441E-02,  1.460E-01,  4.481E-04,  4.944E-02,  15.8, 0.000112
  55., 346.2, 349.3, 327.5, 325.0, 318.5, 313.6, 303.1, 283.5, 266.9, 246.1, 115.9,  27.6, 411.0, 454.4, 515.3, 308.2, 355.2, 305.7, 278.3,  55.52,  21.36,  16.01,  12.63,      1.6,     -0.7,  41.0,  2.014E-01,  1.066E-04,  1.411E-03,  1.646E-01,  7.690E-04,  4.716E-02,  1.361E-01,  8.510E-04,  4.958E-02,  1.408E-01,  4.387E-04,  5.196E-02,  14.7, 0.000104
  60., 346.9, 348.8, 330.1, 327.1, 320.4, 316.1, 306.3, 289.2, 273.9, 253.9, 121.8,  26.2, 408.2, 464.4, 535.4, 339.7, 359.2, 313.1, 289.3,  54.81,  24.70,  16.40,  12.96,      1.7,     -0.7,  40.5,  1.954E-01,  1.326E-04,  2.279E-03,  1.566E-01,  8.053E-04,  5.044E-02,  1.296E-01,  8.708E-04,  5.374E-02,  1.367E-01,  4.418E-04,  5.387E-02,  15.7, 0.000112
  65., 351.6, 355.7, 335.9, 330.6, 323.9, 318.8, 311.0, 295.3, 280.6, 262.2, 131.1,  36.0, 408.3, 457.2, 524.6, 395.4, 361.9, 319.0, 299.2,  40.91,  25.85,  14.51,  12.50,      1.9,     -0.5,  40.0,  1.887E-01,  1.358E-04,  3.171E-03,  1.501E-01,  8.461E-04,  5.296E-02,  1.238E-01,  9.002E-04,  5.644E-02,  1.337E-01,  4.763E-04,  5.499E-02,  15.7, 0.000112
  70., 355.7, 359.0, 340.5, 336.0, 328.0, 323.6, 316.6, 301.4, 287.5, 269.7, 134.6,  44.1, 412.1, 466.4, 535.4, 480.2, 367.1, 327.0, 307.8,  49.67,  28.29,  16.01,  12.92,      1.9,     -0.6,  39.4,  1.813E-01,  2.054E-04,  4.166E-03,  1.442E-01,  8.709E-04,  5.487E-02,  1.193E-01,  9.101E-04,  5.875E-02,  1.311E-01,  5.547E-04,  5.629E-02,  16.4, 0.000116
  75., 365.6, 367.7, 346.9, 342.7, 336.2, 331.6, 324.2, 307.8, 293.3, 275.0, 140.9,  46.9, 422.4, 484.8, 558.1, 545.4, 377.1, 333.2, 317.0,  53.84,  28.19,  17.43,  13.70,      1.4,     -1.0,  38.8,  1.728E-01,  2.803E-04,  5.360E-03,  1.392E-01,  8.989E-04,  5.599E-02,  1.155E-01,  9.248E-04,  6.135E-02,  1.285E-01,  5.717E-04,  5.754E-02,  16.6, 0.000117
  80., 371.3, 376.4, 358.3, 352.0, 345.7, 340.9, 332.8, 315.2, 300.8, 282.3, 149.0,  49.8, 420.5, 473.2, 530.4, 537.7, 381.6, 336.2, 324.0,  47.43,  27.83,  14.97,  13.83,      2.0,     -0.5,  38.2,  1.633E-01,  2.863E-04,  6.652E-03,  1.352E-01,  9.084E-04,  5.729E-02,  1.117E-01,  9.673E-04,  6.407E-02,  1.259E-01,  5.895E-04,  5.878E-02,  18.5, 0.000131
  85., 381.5, 383.9, 367.3, 359.7, 353.1, 348.3, 340.1, 323.0, 309.1, 290.4, 151.5,  51.1, 441.9, 468.8, 519.0, 531.3, 392.5, 345.4, 332.9,  52.47,  27.32,  15.54,  14.60,      1.8,     -0.7,  37.5,  1.542E-01,  3.321E-04,  7.798E-03,  1.325E-01,  9.239E-04,  5.854E-02,  1.079E-01,  1.010E-03,  6.640E-02,  1.230E-01,  5.971E-04,  6.016E-02,  17.4, 0.000123
  90., 392.4, 396.2, 374.7, 368.7, 361.3, 355.4, 346.1, 331.1, 317.9, 299.5, 160.7,  56.8, 446.7, 480.4, 523.7, 530.1, 404.9, 353.0, 341.2,  47.07,  26.39,  16.54,  15.09,      1.9,     -0.6,  36.9,  1.459E-01,  4.180E-04,  8.712E-03,  1.298E-01,  9.613E-04,  5.978E-02,  1.040E-01,  1.046E-03,  6.887E-02,  1.206E-01,  6.071E-04,  6.120E-02,  18.2, 0.000129
  95., 402.6, 407.1, 388.7, 380.6, 373.6, 368.9, 359.1, 343.8, 329.3, 310.1, 167.1,  59.0, 464.3, 496.5, 524.1, 517.9, 417.4, 362.4, 351.6,  45.29,  26.97,  17.15,  16.06,      1.8,     -0.7,  36.3,  1.380E-01,  4.387E-04,  9.750E-03,  1.273E-01,  1.006E-03,  6.116E-02,  1.003E-01,  1.115E-03,  7.135E-02,  1.179E-01,  7.401E-04,  6.243E-02,  19.0, 0.000135
 100., 407.4, 412.5, 395.4, 387.3, 382.6, 379.4, 370.2, 353.9, 339.3, 318.6, 167.5,  63.4, 469.0, 488.3, 505.7, 516.3, 420.1, 371.3, 361.9,  49.77,  27.97,  15.44,  15.61,      2.1,     -0.5,  35.6,  1.312E-01,  4.409E-04,  1.062E-02,  1.245E-01,  1.042E-03,  6.220E-02,  9.659E-02,  1.249E-03,  7.389E-02,  1.139E-01,  7.467E-04,  6.469E-02,  20.5, 0.000145
 105., 419.0, 423.1, 402.2, 393.4, 388.2, 384.6, 376.4, 359.9, 344.7, 326.0, 182.3,  74.7, 466.0, 488.3, 514.0, 527.6, 428.0, 378.8, 370.0,  48.04,  27.29,  15.86,  16.19,      2.1,     -0.5,  34.9,  1.252E-01,  4.556E-04,  1.120E-02,  1.217E-01,  1.109E-03,  6.343E-02,  9.288E-02,  1.384E-03,  7.658E-02,  1.096E-01,  8.843E-04,  6.627E-02,  21.7, 0.000154
 110., 421.9, 427.4, 408.7, 403.2, 397.3, 393.1, 385.2, 368.6, 352.5, 332.7, 182.3,  73.8, 472.3, 501.2, 533.9, 553.8, 433.0, 383.8, 374.3,  55.21,  32.75,  17.43,  16.61,      2.0,     -0.6,  34.0,  1.206E-01,  4.992E-04,  1.166E-02,  1.193E-01,  1.233E-03,  6.569E-02,  8.941E-02,  1.583E-03,  7.844E-02,  1.064E-01,  9.361E-04,  6.737E-02,  23.7, 0.000168
 115., 419.1, 427.1, 412.4, 406.5, 401.4, 397.6, 389.9, 373.8, 358.2, 338.3, 185.2,  82.9, 472.4, 502.1, 529.7, 565.6, 437.2, 389.0, 380.0,  48.75,  28.37,  17.36,  17.12,      2.4,     -0.2,  33.2,  1.166E-01,  5.651E-04,  1.221E-02,  1.165E-01,  1.369E-03,  6.727E-02,  8.618E-02,  1.836E-03,  8.027E-02,  1.036E-01,  1.076E-03,  6.832E-02,  24.2, 0.000172
 120., 427.5, 435.8, 419.4, 413.3, 408.3, 405.7, 397.9, 382.5, 368.0, 346.6, 189.7,  81.6, 473.4, 490.8, 521.4, 548.0, 439.9, 396.8, 389.8,  50.13,  27.65,  16.58,  17.06,      2.0,     -0.6,  32.3,  1.128E-01,  5.867E-04,  1.272E-02,  1.122E-01,  1.561E-03,  6.837E-02,  8.295E-02,  2.127E-03,  8.199E-02,  1.004E-01,  1.226E-03,  6.957E-02,  24.4, 0.000173
 125., 433.2, 442.0, 428.0, 421.1, 415.4, 411.7, 402.9, 386.4, 373.5, 353.6, 194.1,  90.1, 472.1, 506.2, 528.5, 561.3, 442.4, 403.4, 397.4,  47.38,  28.87,  17.90,  18.09,      2.2,     -0.5,  31.5,  1.091E-01,  5.905E-04,  1.320E-02,  1.082E-01,  1.806E-03,  6.932E-02,  7.944E-02,  2.361E-03,  8.448E-02,  9.732E-02,  1.342E-03,  7.079E-02,  25.1, 0.000178
 130., 446.5, 453.6, 440.8, 433.6, 428.3, 423.4, 413.4, 395.8, 380.0, 357.0, 197.8,  87.6, 486.0, 515.8, 524.5, 580.7, 451.9, 411.4, 402.1,  55.32,  30.38,  17.36,  18.64,      2.0,     -0.7,  30.6,  1.052E-01,  5.958E-04,  1.371E-02,  1.051E-01,  2.103E-03,  7.057E-02,  7.628E-02,  2.676E-03,  8.714E-02,  9.447E-02,  1.485E-03,  7.176E-02,  25.7, 0.000182
 135., 449.4, 456.4, 444.5, 437.9, 432.0, 427.9, 419.5, 401.8, 384.9, 360.4, 209.3,  91.5, 488.2, 496.2, 509.0, 568.3, 456.4, 416.9, 408.5,  47.12,  29.23,  16.72,  18.61,      2.2,     -0.5,  29.6,  1.014E-01,  6.657E-04,  1.417E-02,  1.023E-01,  2.336E-03,  7.179E-02,  7.292E-02,  3.005E-03,  8.900E-02,  9.213E-02,  1.624E-03,  7.249E-02,  26.2, 0.000186
 140., 456.3, 465.5, 451.1, 446.0, 440.9, 436.2, 427.5, 411.8, 396.5, 373.3, 216.9, 105.9, 497.8, 504.0, 516.3, 548.2, 464.3, 422.0, 417.3,  42.64,  30.23,  18.22,  19.35,      2.2,     -0.5,  28.7,  9.773E-02,  7.419E-04,  1.469E-02,  9.908E-02,  2.646E-03,  7.276E-02,  6.980E-02,  3.404E-03,  9.071E-02,  8.914E-02,  1.736E-03,  7.383E-02,  26.1, 0.000185
 145., 461.9, 471.3, 456.7, 452.8, 447.6, 444.8, 436.8, 421.9, 405.7, 383.8, 224.2, 114.2, 503.5, 519.6, 542.3, 571.1, 473.0, 427.1, 424.6,  42.44,  31.88,  19.96,  20.39,      2.3,     -0.5,  27.8,  9.402E-02,  7.968E-04,  1.527E-02,  9.597E-02,  2.970E-03,  7.349E-02,  6.672E-02,  3.872E-03,  9.266E-02,  8.577E-02,  1.948E-03,  7.497E-02,  28.0, 0.000198
 150., 473.5, 482.1, 468.7, 462.5, 458.2, 453.8, 446.0, 432.2, 417.7, 397.5, 245.3, 138.0, 520.6, 525.4, 537.4, 570.9, 486.9, 436.1, 434.3,  48.14,  32.06,  18.93,  20.97,      2.1,     -0.7,  26.8,  9.053E-02,  8.994E-04,  1.565E-02,  9.324E-02,  3.359E-03,  7.483E-02,  6.333E-02,  4.476E-03,  9.468E-02,  8.219E-02,  2.253E-03,  7.641E-02,  27.5, 0.000195
 155., 477.7, 488.5, 477.7, 471.3, 464.4, 460.2, 451.2, 435.7, 420.6, 400.1, 246.1, 129.2, 517.7, 520.4, 532.0, 532.4, 491.4, 446.2, 437.7,  45.14,  29.33,  18.57,  20.68,      2.0,     -0.7,  25.8,  8.712E-02,  1.014E-03,  1.600E-02,  9.087E-02,  3.825E-03,  7.597E-02,  6.008E-02,  5.331E-03,  9.646E-02,  7.821E-02,  2.566E-03,  7.737E-02,  27.6, 0.000195
 160., 485.8, 495.4, 484.0, 476.4, 469.4, 465.2, 455.5, 439.2, 424.9, 404.6, 252.8, 131.7, 516.6, 517.9, 518.5, 526.2, 494.6, 450.6, 443.7,  45.60,  30.95,  19.57,  20.94,      2.3,     -0.5,  24.8,  8.406E-02,  1.136E-03,  1.632E-02,  8.772E-02,  4.423E-03,  7.741E-02,  5.680E-02,  6.265E-03,  9.907E-02,  7.519E-02,  2.871E-03,  7.801E-02,  29.1, 0.000206
 165., 489.5, 501.4, 492.4, 483.7, 476.2, 471.0, 460.9, 444.5, 429.9, 410.4, 263.0, 153.1, 518.3, 509.1, 524.5, 544.1, 497.8, 458.4, 448.7,  45.34,  32.39,  19.46,  21.00,      2.0,     -0.8,  23.8,  8.058E-02,  1.250E-03,  1.682E-02,  8.438E-02,  5.226E-03,  7.837E-02,  5.376E-02,  6.872E-03,  1.009E-01,  7.301E-02,  3.136E-03,  7.817E-02,  29.1, 0.000206
 170., 491.8, 506.6, 494.5, 487.9, 482.4, 477.3, 468.4, 453.5, 439.5, 419.1, 267.1, 163.8, 527.3, 517.6, 532.4, 562.2, 500.9, 461.2, 454.7,  58.17,  34.33,  19.39,  21.32,      2.3,     -0.6,  22.7,  7.720E-02,  1.393E-03,  1.737E-02,  8.061E-02,  6.171E-03,  7.901E-02,  5.061E-02,  7.588E-03,  1.028E-01,  7.137E-02,  3.475E-03,  7.870E-02,  29.0, 0.000206
 175., 502.1, 514.6, 502.3, 495.2, 490.5, 485.6, 475.9, 458.4, 442.1, 423.1, 273.0, 179.7, 532.2, 535.5, 540.9, 565.1, 510.6, 473.3, 462.5,  48.09,  35.51,  20.75,  21.91,      1.9,     -0.9,  21.7,  7.403E-02,  1.533E-03,  1.776E-02,  7.681E-02,  6.820E-03,  7.917E-02,  4.737E-02,  8.560E-03,  1.047E-01,  6.954E-02,  3.666E-03,  7.941E-02,  29.2, 0.000207
 180., 504.4, 519.0, 506.8, 499.4, 494.7, 490.4, 480.9, 465.5, 451.5, 433.5, 291.5, 190.0, 550.1, 531.1, 538.0, 581.2, 517.5, 477.0, 468.4,  46.00,  35.47,  20.50,  21.97,      2.4,     -0.5,  20.7,  7.083E-02,  1.665E-03,  1.811E-02,  7.390E-02,  7.505E-03,  7.970E-02,  4.433E-02,  9.279E-03,  1.065E-01,  6.665E-02,  3.979E-03,  8.087E-02,  30.3, 0.000215
 185., 510.2, 523.9, 511.2, 502.0, 496.5, 491.4, 482.3, 468.5, 453.4, 435.0, 295.3, 192.0, 544.4, 543.3, 541.2, 577.4, 520.3, 479.1, 468.7,  54.45,  34.43,  20.96,  22.26,      2.0,     -0.9,  19.6,  6.773E-02,  1.841E-03,  1.846E-02,  7.197E-02,  8.466E-03,  8.041E-02,  4.154E-02,  9.970E-03,  1.079E-01,  6.318E-02,  4.275E-03,  8.118E-02,  29.0, 0.000206
 190., 508.0, 524.5, 514.1, 505.4, 498.4, 493.2, 484.2, 469.9, 455.9, 436.5, 293.3, 184.8, 543.0, 542.5, 543.1, 579.6, 525.1, 480.3, 473.9,  49.36,  34.58,  21.43,  21.97,      2.2,     -0.7,  18.6,  6.447E-02,  2.064E-03,  1.889E-02,  7.028E-02,  9.209E-03,  8.187E-02,  3.907E-02,  1.093E-02,  1.093E-01,  6.089E-02,  4.415E-03,  8.126E-02,  30.0, 0.000212
 195., 509.8, 524.3, 513.7, 504.9, 498.5, 495.1, 486.8, 471.6, 455.9, 435.5, 288.6, 178.5, 542.7, 542.3, 537.0, 564.4, 524.2, 489.7, 475.9,  50.43,  34.36,  21.75,  22.13,      2.4,     -0.4,  17.5,  6.113E-02,  2.380E-03,  1.926E-02,  6.834E-02,  9.902E-03,  8.218E-02,  3.723E-02,  1.154E-02,  1.106E-01,  5.930E-02,  4.700E-03,  8.072E-02,  30.4, 0.000215
 200., 514.8, 529.5, 516.6, 509.3, 503.3, 499.0, 489.3, 474.3, 459.0, 439.7, 290.0, 191.1, 544.3, 547.6, 539.9, 586.7, 528.3, 500.9, 480.1,  46.97,  35.01,  22.57,  22.81,      2.1,     -0.8,  16.4,  5.779E-02,  2.693E-03,  1.973E-02,  6.519E-02,  1.083E-02,  8.226E-02,  3.540E-02,  1.237E-02,  1.117E-01,  5.882E-02,  4.907E-03,  8.050E-02,  30.0, 0.000213
 205., 520.7, 535.1, 522.8, 515.4, 510.6, 505.2, 496.2, 482.2, 467.6, 447.7, 300.5, 196.7, 558.4, 547.7, 550.3, 594.7, 531.8, 509.6, 488.1,  50.13,  36.55,  22.50,  23.59,      2.0,     -0.9,  15.3,  5.481E-02,  2.949E-03,  2.014E-02,  6.186E-02,  1.150E-02,  8.172E-02,  3.346E-02,  1.324E-02,  1.130E-01,  5.879E-02,  5.065E-03,  8.136E-02,  30.3, 0.000215
 210., 526.1, 546.1, 531.8, 522.2, 515.3, 510.5, 502.3, 489.5, 475.8, 456.3, 308.8, 199.5, 571.5, 547.3, 550.3, 586.3, 539.8, 514.5, 494.1,  48.29,  35.55,  22.46,  24.01,      2.1,     -0.9,  14.3,  5.160E-02,  3.297E-03,  2.051E-02,  5.981E-02,  1.227E-02,  8.150E-02,  3.153E-02,  1.410E-02,  1.145E-01,  5.762E-02,  5.140E-03,  8.270E-02,  29.7, 0.000211
 215., 528.9, 551.2, 538.3, 528.7, 522.4, 518.2, 509.1, 495.8, 482.2, 462.6, 322.2, 217.0, 588.4, 566.6, 554.1, 587.5, 545.4, 519.2, 493.5,  49.26,  38.38,  23.96,  24.17,      2.2,     -0.7,  13.2,  4.848E-02,  3.561E-03,  2.092E-02,  5.834E-02,  1.316E-02,  8.236E-02,  2.941E-02,  1.435E-02,  1.161E-01,  5.498E-02,  5.425E-03,  8.284E-02,  30.0, 0.000212
 220., 529.4, 551.9, 540.0, 532.4, 525.1, 520.1, 510.1, 496.3, 483.4, 465.4, 321.0, 211.6, 594.3, 567.0, 563.3, 604.0, 549.2, 518.2, 500.0,  55.72,  39.21,  22.92,  24.23,      2.0,     -0.9,  12.1,  4.524E-02,  3.799E-03,  2.125E-02,  5.812E-02,  1.403E-02,  8.370E-02,  2.774E-02,  1.439E-02,  1.172E-01,  5.199E-02,  5.511E-03,  8.357E-02,  29.1, 0.000206
 225., 532.8, 555.0, 542.4, 533.8, 526.4, 521.4, 511.8, 497.9, 485.2, 468.9, 330.5, 222.7, 590.5, 562.5, 552.6, 601.3, 549.4, 515.6, 500.9,  48.14,  39.03,  23.17,  23.68,      2.2,     -0.7,  11.1,  4.247E-02,  4.092E-03,  2.158E-02,  5.791E-02,  1.434E-02,  8.384E-02,  2.639E-02,  1.417E-02,  1.184E-01,  5.007E-02,  5.492E-03,  8.346E-02,  28.6, 0.000203
 230., 535.6, 558.1, 548.1, 539.1, 534.0, 527.5, 517.2, 501.8, 487.3, 469.4, 331.7, 225.0, 588.0, 570.2, 570.0, 597.8, 555.0, 516.5, 504.8,  52.21,  37.38,  23.49,  24.01,      2.2,     -0.8,  10.1,  3.993E-02,  4.322E-03,  2.186E-02,  5.648E-02,  1.438E-02,  8.457E-02,  2.524E-02,  1.436E-02,  1.192E-01,  4.836E-02,  5.494E-03,  8.355E-02,  27.6, 0.000196
 235., 537.2, 558.3, 546.4, 539.2, 534.2, 527.5, 517.0, 502.4, 487.5, 470.4, 327.9, 216.5, 587.2, 575.9, 570.4, 609.0, 555.0, 516.9, 507.3,  52.36,  38.78,  23.85,  24.07,      2.2,     -0.7,   9.2,  3.809E-02,  4.526E-03,  2.212E-02,  5.360E-02,  1.420E-02,  8.446E-02,  2.488E-02,  1.422E-02,  1.199E-01,  4.742E-02,  5.499E-03,  8.388E-02,  27.4, 0.000194
 240., 529.5, 548.1, 540.9, 534.9, 530.6, 524.8, 515.3, 500.8, 486.7, 470.7, 330.5, 220.6, 571.5, 573.0, 575.7, 621.9, 549.9, 516.1, 507.8,  47.63,  38.06,  24.14,  24.10,      2.2,     -0.7,   8.2,  3.609E-02,  4.790E-03,  2.231E-02,  5.078E-02,  1.432E-02,  8.455E-02,  2.487E-02,  1.369E-02,  1.199E-01,  4.722E-02,  5.489E-03,  8.380E-02,  24.2, 0.000172
 245., 531.6, 548.3, 543.5, 536.0, 530.9, 525.7, 516.2, 502.4, 488.7, 471.1, 324.6, 213.1, 566.9, 567.0, 570.1, 586.6, 549.0, 519.0, 510.4,  52.82,  35.83,  24.06,  23.84,      2.5,     -0.4,   7.4,  3.432E-02,  4.989E-03,  2.258E-02,  4.900E-02,  1.426E-02,  8.488E-02,  2.503E-02,  1.298E-02,  1.199E-01,  4.659E-02,  5.311E-03,  8.358E-02,  24.8, 0.000176
 250., 533.3, 551.8, 545.7, 537.6, 532.3, 526.5, 516.9, 502.3, 489.0, 471.8, 316.1, 199.5, 568.9, 584.3, 582.3, 588.5, 549.3, 523.0, 510.9,  48.40,  37.77,  24.63,  24.10,      2.5,     -0.5,   6.5,  3.226E-02,  5.049E-03,  2.288E-02,  4.734E-02,  1.374E-02,  8.480E-02,  2.618E-02,  1.134E-02,  1.188E-01,  4.643E-02,  5.002E-03,  8.300E-02,  22.7, 0.000161
 255., 528.5, 546.3, 539.2, 532.6, 527.9, 523.0, 513.7, 500.2, 488.0, 472.6, 311.7, 193.0, 579.0, 580.6, 593.7, 637.5, 546.6, 515.9, 509.8,  47.53,  38.42,  24.28,  23.71,      2.2,     -0.7,   5.7,  3.026E-02,  5.281E-03,  2.319E-02,  4.663E-02,  1.309E-02,  8.458E-02,  2.781E-02,  9.926E-03,  1.183E-01,  4.675E-02,  4.718E-03,  8.270E-02,  20.8, 0.000148
 260., 524.7, 542.1, 534.1, 530.0, 525.4, 520.0, 511.4, 498.7, 487.0, 471.8, 324.3, 198.7, 573.5, 582.6, 589.9, 620.8, 544.9, 515.4, 508.7,  47.53,  38.74,  24.85,  23.55,      2.2,     -0.7,   5.0,  2.839E-02,  5.470E-03,  2.343E-02,  4.636E-02,  1.151E-02,  8.400E-02,  2.964E-02,  8.783E-03,  1.172E-01,  4.792E-02,  4.337E-03,  8.198E-02,  20.3, 0.000144
 265., 528.5, 543.9, 534.4, 528.4, 522.7, 517.7, 509.8, 497.5, 485.5, 467.9, 321.7, 194.9, 567.1, 588.2, 590.1, 602.5, 544.3, 511.7, 506.1,  38.68,  35.37,  24.53,  22.78,      2.0,     -0.8,   4.3,  2.704E-02,  5.492E-03,  2.369E-02,  4.578E-02,  1.005E-02,  8.370E-02,  3.226E-02,  7.082E-03,  1.165E-01,  4.999E-02,  3.954E-03,  8.078E-02,  22.1, 0.000157
 270., 519.7, 537.1, 530.2, 525.0, 519.8, 516.6, 509.3, 496.8, 483.4, 465.1, 311.0, 188.0, 565.9, 578.1, 570.7, 550.8, 536.9, 510.0, 504.8,  30.74,  30.38,  22.99,  21.68,      1.6,     -1.2,   3.5,  2.587E-02,  5.493E-03,  2.382E-02,  4.571E-02,  8.920E-03,  8.298E-02,  3.656E-02,  5.559E-03,  1.139E-01,  5.247E-02,  3.537E-03,  8.011E-02,  12.0, 0.000085
