Code,Number,Material,DataFile,ResultDir,InputFileDir,ExpFileDir,ReferenceExposure,ReferenceTime,ReferenceHRRPUA,ValidationTimes,ValidationHrrpuaColumns,ValidationFluxes,Density,Conductivity,SpecificHeat,Emissivity,Thickness,IgnitionTemperature,IgnitionTemperatureBasis,HeaderRows,FYI
d,1,FSRI_Gypsum_Wallboard,../../../exp/FSRI_Materials/FSRI_Gypsum_Wallboard-25.csv|../../../exp/FSRI_Materials/FSRI_Gypsum_Wallboard-50.csv|../../../exp/FSRI_Materials/FSRI_Gypsum_Wallboard-75.csv,../../../out/Scaling_Pyrolysis/,../../../fds/Validation/Scaling_Pyrolysis/,../../../exp/FSRI_Materials/,50,FSRI_Gypsum_Wallboard-50.csv-Time,FSRI_Gypsum_Wallboard-50.csv-HRRPUA,FSRI_Gypsum_Wallboard-25.csv-Time|FSRI_Gypsum_Wallboard-50.csv-Time|FSRI_Gypsum_Wallboard-75.csv-Time,FSRI_Gypsum_Wallboard-25.csv-HRRPUA|FSRI_Gypsum_Wallboard-50.csv-HRRPUA|FSRI_Gypsum_Wallboard-75.csv-HRRPUA,25|50|75,591.3,0.1530,1.0990,1.0000,0.01272000,Calculate,25|50|75,1|1|1,FSRI_materials
d,1,FSRI_HDPE,../../../exp/FSRI_Materials/FSRI_HDPE-25.csv|../../../exp/FSRI_Materials/FSRI_HDPE-50.csv|../../../exp/FSRI_Materials/FSRI_HDPE-75.csv,../../../out/Scaling_Pyrolysis/,../../../fds/Validation/Scaling_Pyrolysis/,../../../exp/FSRI_Materials/,50,FSRI_HDPE-50.csv-Time,FSRI_HDPE-50.csv-HRRPUA,FSRI_HDPE-25.csv-Time|FSRI_HDPE-50.csv-Time|FSRI_HDPE-75.csv-Time,FSRI_HDPE-25.csv-HRRPUA|FSRI_HDPE-50.csv-HRRPUA|FSRI_HDPE-75.csv-HRRPUA,25|50|75,971.3,0.2960,1.9230,1.0000,0.00305000,Calculate,25|50|75,1|1|1,FSRI_materials
d,1,FSRI_High_Temperature_SCBA_Facepiece,../../../exp/FSRI_Materials/FSRI_High_Temperature_SCBA_Facepiece-50.csv|../../../exp/FSRI_Materials/FSRI_High_Temperature_SCBA_Facepiece-75.csv|../../../exp/FSRI_Materials/FSRI_High_Temperature_SCBA_Facepiece-100.csv,../../../out/Scaling_Pyrolysis/,../../../fds/Validation/Scaling_Pyrolysis/,../../../exp/FSRI_Materials/,50,FSRI_High_Temperature_SCBA_Facepiece-50.csv-Time,FSRI_High_Temperature_SCBA_Facepiece-50.csv-HRRPUA,FSRI_High_Temperature_SCBA_Facepiece-50.csv-Time|FSRI_High_Temperature_SCBA_Facepiece-75.csv-Time|FSRI_High_Temperature_SCBA_Facepiece-100.csv-Time,FSRI_High_Temperature_SCBA_Facepiece-50.csv-HRRPUA|FSRI_High_Temperature_SCBA_Facepiece-75.csv-HRRPUA|FSRI_High_Temperature_SCBA_Facepiece-100.csv-HRRPUA,50|75|100,186.3,0.2000,1.0000,1.0000,0.02540000,Calculate,50|75|100,1|1|1,FSRI_materials
d,1,FSRI_LDPE,../../../exp/FSRI_Materials/FSRI_LDPE-25.csv|../../../exp/FSRI_Materials/FSRI_LDPE-50.csv|../../../exp/FSRI_Materials/FSRI_LDPE-75.csv,../../../out/Scaling_Pyrolysis/,../../../fds/Validation/Scaling_Pyrolysis/,../../../exp/FSRI_Materials/,50,FSRI_LDPE-50.csv-Time,FSRI_LDPE-50.csv-HRRPUA,FSRI_LDPE-25.csv-Time|FSRI_LDPE-50.csv-Time|FSRI_LDPE-75.csv-Time,FSRI_LDPE-25.csv-HRRPUA|FSRI_LDPE-50.csv-HRRPUA|FSRI_LDPE-75.csv-HRRPUA,25|50|75,927.3,0.2170,2.6000,1.0000,0.00306000,Calculate,25|50|75,1|1|1,FSRI_materials
d,1,FSRI_Lightweight_Gypsum_Wallboard,../../../exp/FSRI_Materials/FSRI_Lightweight_Gypsum_Wallboard-25.csv|../../../exp/FSRI_Materials/FSRI_Lightweight_Gypsum_Wallboard-50.csv|../../../exp/FSRI_Materials/FSRI_Lightweight_Gypsum_Wallboard-75.csv,../../../out/Scaling_Pyrolysis/,../../../fds/Validation/Scaling_Pyrolysis/,../../../exp/FSRI_Materials/,50,FSRI_Lightweight_Gypsum_Wallboard-50.csv-Time,FSRI_Lightweight_Gypsum_Wallboard-50.csv-HRRPUA,FSRI_Lightweight_Gypsum_Wallboard-25.csv-Time|FSRI_Lightweight_Gypsum_Wallboard-50.csv-Time|FSRI_Lightweight_Gypsum_Wallboard-75.csv-Time,FSRI_Lightweight_Gypsum_Wallboard-25.csv-HRRPUA|FSRI_Lightweight_Gypsum_Wallboard-50.csv-HRRPUA|FSRI_Lightweight_Gypsum_Wallboard-75.csv-HRRPUA,25|50|75,494.0,0.1270,1.1470,1.0000,0.01257000,Calculate,25|50|75,1|1|1,FSRI_materials
d,1,FSRI_Luan_Panel,../../../exp/FSRI_Materials/FSRI_Luan_Panel-25.csv|../../../exp/FSRI_Materials/FSRI_Luan_Panel-50.csv|../../../exp/FSRI_Materials/FSRI_Luan_Panel-75.csv,../../../out/Scaling_Pyrolysis/,../../../fds/Validation/Scaling_Pyrolysis/,../../../exp/FSRI_Materials/,50,FSRI_Luan_Panel-50.csv-Time,FSRI_Luan_Panel-50.csv-HRRPUA,FSRI_Luan_Panel-25.csv-Time|FSRI_Luan_Panel-50.csv-Time|FSRI_Luan_Panel-75.csv-Time,FSRI_Luan_Panel-25.csv-HRRPUA|FSRI_Luan_Panel-50.csv-HRRPUA|FSRI_Luan_Panel-75.csv-HRRPUA,25|50|75,344.7,0.0730,1.5780,1.0000,0.00503000,Calculate,25|50|75,1|1|1,FSRI_materials
d,1,FSRI_MDF,../../../exp/FSRI_Materials/FSRI_MDF-25.csv|../../../exp/FSRI_Materials/FSRI_MDF-50.csv|../../../exp/FSRI_Materials/FSRI_MDF-75.csv,../../../out/Scaling_Pyrolysis/,../../../fds/Validation/Scaling_Pyrolysis/,../../../exp/FSRI_Materials/,50,FSRI_MDF-50.csv-Time,FSRI_MDF-50.csv-HRRPUA,FSRI_MDF-25.csv-Time|FSRI_MDF-50.csv-Time|FSRI_MDF-75.csv-Time,FSRI_MDF-25.csv-HRRPUA|FSRI_MDF-50.csv-HRRPUA|FSRI_MDF-75.csv-HRRPUA,25|50|75,736.8,0.1200,1.2830,1.0000,0.01941204,Calculate,25|50|75,1|1|1,FSRI_materials
d,1,FSRI_Memory_Foam_Carpet_Pad,../../../exp/FSRI_Materials/FSRI_Memory_Foam_Carpet_Pad-25.csv|../../../exp/FSRI_Materials/FSRI_Memory_Foam_Carpet_Pad-50.csv|../../../exp/FSRI_Materials/FSRI_Memory_Foam_Carpet_Pad-75.csv,../../../out/Scaling_Pyrolysis/,../../../fds/Validation/Scaling_Pyrolysis/,../../../exp/FSRI_Materials/,50,FSRI_Memory_Foam_Carpet_Pad-50.csv-Time,FSRI_Memory_Foam_Carpet_Pad-50.csv-HRRPUA,FSRI_Memory_Foam_Carpet_Pad-25.csv-Time|FSRI_Memory_Foam_Carpet_Pad-50.csv-Time|FSRI_Memory_Foam_Carpet_Pad-75.csv-Time,FSRI_Memory_Foam_Carpet_Pad-25.csv-HRRPUA|FSRI_Memory_Foam_Carpet_Pad-50.csv-HRRPUA|FSRI_Memory_Foam_Carpet_Pad-75.csv-HRRPUA,25|50|75,134.3,0.0420,1.8720,1.0000,0.01265000,Calculate,25|50|75,1|1|1,FSRI_materials
d,1,FSRI_Nylon,../../../exp/FSRI_Materials/FSRI_Nylon-25.csv|../../../exp/FSRI_Materials/FSRI_Nylon-50.csv|../../../exp/FSRI_Materials/FSRI_Nylon-75.csv,../../../out/Scaling_Pyrolysis/,../../../fds/Validation/Scaling_Pyrolysis/,../../../exp/FSRI_Materials/,50,FSRI_Nylon-50.csv-Time,FSRI_Nylon-50.csv-HRRPUA,FSRI_Nylon-25.csv-Time|FSRI_Nylon-50.csv-Time|FSRI_Nylon-75.csv-Time,FSRI_Nylon-25.csv-HRRPUA|FSRI_Nylon-50.csv-HRRPUA|FSRI_Nylon-75.csv-HRRPUA,25|50|75,1070.3,0.1540,1.8360,1.0000,0.00309000,Calculate,25|50|75,1|1|1,FSRI_materials
d,1,FSRI_Nylon_Carpet_High_Pile,../../../exp/FSRI_Materials/FSRI_Nylon_Carpet_High_Pile-25.csv|../../../exp/FSRI_Materials/FSRI_Nylon_Carpet_High_Pile-50.csv|../../../exp/FSRI_Materials/FSRI_Nylon_Carpet_High_Pile-75.csv,../../../out/Scaling_Pyrolysis/,../../../fds/Validation/Scaling_Pyrolysis/,../../../exp/FSRI_Materials/,50,FSRI_Nylon_Carpet_High_Pile-50.csv-Time,FSRI_Nylon_Carpet_High_Pile-50.csv-HRRPUA,FSRI_Nylon_Carpet_High_Pile-25.csv-Time|FSRI_Nylon_Carpet_High_Pile-50.csv-Time|FSRI_Nylon_Carpet_High_Pile-75.csv-Time,FSRI_Nylon_Carpet_High_Pile-25.csv-HRRPUA|FSRI_Nylon_Carpet_High_Pile-50.csv-HRRPUA|FSRI_Nylon_Carpet_High_Pile-75.csv-HRRPUA,25|50|75,188.3,0.0590,1.5280,1.0000,0.01383000,Calculate,25|50|75,1|1|1,FSRI_materials
d,1,FSRI_Oak_Flooring,../../../exp/FSRI_Materials/FSRI_Oak_Flooring-25.csv|../../../exp/FSRI_Materials/FSRI_Oak_Flooring-50.csv|../../../exp/FSRI_Materials/FSRI_Oak_Flooring-75.csv,../../../out/Scaling_Pyrolysis/,../../../fds/Validation/Scaling_Pyrolysis/,../../../exp/FSRI_Materials/,50,FSRI_Oak_Flooring-50.csv-Time,FSRI_Oak_Flooring-50.csv-HRRPUA,FSRI_Oak_Flooring-25.csv-Time|FSRI_Oak_Flooring-50.csv-Time|FSRI_Oak_Flooring-75.csv-Time,FSRI_Oak_Flooring-25.csv-HRRPUA|FSRI_Oak_Flooring-50.csv-HRRPUA|FSRI_Oak_Flooring-75.csv-HRRPUA,25|50|75,713.7,0.1470,1.5690,1.0000,0.01873000,Calculate,25|50|75,1|1|1,FSRI_materials
d,1,FSRI_OSB,../../../exp/FSRI_Materials/FSRI_OSB-25.csv|../../../exp/FSRI_Materials/FSRI_OSB-50.csv|../../../exp/FSRI_Materials/FSRI_OSB-75.csv,../../../out/Scaling_Pyrolysis/,../../../fds/Validation/Scaling_Pyrolysis/,../../../exp/FSRI_Materials/,50,FSRI_OSB-50.csv-Time,FSRI_OSB-50.csv-HRRPUA,FSRI_OSB-25.csv-Time|FSRI_OSB-50.csv-Time|FSRI_OSB-75.csv-Time,FSRI_OSB-25.csv-HRRPUA|FSRI_OSB-50.csv-HRRPUA|FSRI_OSB-75.csv-HRRPUA,25|50|75,598.4,0.1190,1.5760,1.0000,0.01709599,Calculate,25|50|75,1|1|1,FSRI_materials
d,1,FSRI_Overstuffed_Chair_Assembly,../../../exp/FSRI_Materials/FSRI_Overstuffed_Chair_Assembly-25.csv|../../../exp/FSRI_Materials/FSRI_Overstuffed_Chair_Assembly-35.csv|../../../exp/FSRI_Materials/FSRI_Overstuffed_Chair_Assembly-50.csv|../../../exp/FSRI_Materials/FSRI_Overstuffed_Chair_Assembly-75.csv,../../../out/Scaling_Pyrolysis/,../../../fds/Validation/Scaling_Pyrolysis/,../../../exp/FSRI_Materials/,50,FSRI_Overstuffed_Chair_Assembly-50.csv-Time,FSRI_Overstuffed_Chair_Assembly-50.csv-HRRPUA,FSRI_Overstuffed_Chair_Assembly-25.csv-Time|FSRI_Overstuffed_Chair_Assembly-35.csv-Time|FSRI_Overstuffed_Chair_Assembly-50.csv-Time|FSRI_Overstuffed_Chair_Assembly-75.csv-Time,FSRI_Overstuffed_Chair_Assembly-25.csv-HRRPUA|FSRI_Overstuffed_Chair_Assembly-35.csv-HRRPUA|FSRI_Overstuffed_Chair_Assembly-50.csv-HRRPUA|FSRI_Overstuffed_Chair_Assembly-75.csv-HRRPUA,25|35|50|75,80.3,0.2000,1.0000,1.0000,0.01986865,Calculate,25|35|50|75,1|1|1|1,FSRI_materials
d,1,FSRI_Overstuffed_Chair_Polyester_Batting,../../../exp/FSRI_Materials/FSRI_Overstuffed_Chair_Polyester_Batting-25.csv|../../../exp/FSRI_Materials/FSRI_Overstuffed_Chair_Polyester_Batting-50.csv|../../../exp/FSRI_Materials/FSRI_Overstuffed_Chair_Polyester_Batting-75.csv,../../../out/Scaling_Pyrolysis/,../../../fds/Validation/Scaling_Pyrolysis/,../../../exp/FSRI_Materials/,50,FSRI_Overstuffed_Chair_Polyester_Batting-50.csv-Time,FSRI_Overstuffed_Chair_Polyester_Batting-50.csv-HRRPUA,FSRI_Overstuffed_Chair_Polyester_Batting-25.csv-Time|FSRI_Overstuffed_Chair_Polyester_Batting-50.csv-Time|FSRI_Overstuffed_Chair_Polyester_Batting-75.csv-Time,FSRI_Overstuffed_Chair_Polyester_Batting-25.csv-HRRPUA|FSRI_Overstuffed_Chair_Polyester_Batting-50.csv-HRRPUA|FSRI_Overstuffed_Chair_Polyester_Batting-75.csv-HRRPUA,25|50|75,26.4,0.2000,1.0000,1.0000,0.02486925,Calculate,25|50|75,1|1|1,FSRI_materials
d,1,FSRI_Overstuffed_Chair_Polyurethane_Foam,../../../exp/FSRI_Materials/FSRI_Overstuffed_Chair_Polyurethane_Foam-25.csv|../../../exp/FSRI_Materials/FSRI_Overstuffed_Chair_Polyurethane_Foam-50.csv|../../../exp/FSRI_Materials/FSRI_Overstuffed_Chair_Polyurethane_Foam-75.csv,../../../out/Scaling_Pyrolysis/,../../../fds/Validation/Scaling_Pyrolysis/,../../../exp/FSRI_Materials/,50,FSRI_Overstuffed_Chair_Polyurethane_Foam-50.csv-Time,FSRI_Overstuffed_Chair_Polyurethane_Foam-50.csv-HRRPUA,FSRI_Overstuffed_Chair_Polyurethane_Foam-25.csv-Time|FSRI_Overstuffed_Chair_Polyurethane_Foam-50.csv-Time|FSRI_Overstuffed_Chair_Polyurethane_Foam-75.csv-Time,FSRI_Overstuffed_Chair_Polyurethane_Foam-25.csv-HRRPUA|FSRI_Overstuffed_Chair_Polyurethane_Foam-50.csv-HRRPUA|FSRI_Overstuffed_Chair_Polyurethane_Foam-75.csv-HRRPUA,25|50|75,34.3,0.2000,1.0000,1.0000,0.02559792,Calculate,25|50|75,1|1|1,FSRI_materials
d,1,FSRI_PC,../../../exp/FSRI_Materials/FSRI_PC-25.csv|../../../exp/FSRI_Materials/FSRI_PC-50.csv|../../../exp/FSRI_Materials/FSRI_PC-75.csv,../../../out/Scaling_Pyrolysis/,../../../fds/Validation/Scaling_Pyrolysis/,../../../exp/FSRI_Materials/,50,FSRI_PC-50.csv-Time,FSRI_PC-50.csv-HRRPUA,FSRI_PC-25.csv-Time|FSRI_PC-50.csv-Time|FSRI_PC-75.csv-Time,FSRI_PC-25.csv-HRRPUA|FSRI_PC-50.csv-HRRPUA|FSRI_PC-75.csv-HRRPUA,25|50|75,1220.0,0.1790,1.2630,1.0000,0.00540000,Calculate,25|50|75,1|1|1,FSRI_materials
d,1,FSRI_PET,../../../exp/FSRI_Materials/FSRI_PET-25.csv|../../../exp/FSRI_Materials/FSRI_PET-50.csv|../../../exp/FSRI_Materials/FSRI_PET-75.csv,../../../out/Scaling_Pyrolysis/,../../../fds/Validation/Scaling_Pyrolysis/,../../../exp/FSRI_Materials/,50,FSRI_PET-50.csv-Time,FSRI_PET-50.csv-HRRPUA,FSRI_PET-25.csv-Time|FSRI_PET-50.csv-Time|FSRI_PET-75.csv-Time,FSRI_PET-25.csv-HRRPUA|FSRI_PET-50.csv-HRRPUA|FSRI_PET-75.csv-HRRPUA,25|50|75,1401.0,0.1940,1.1710,1.0000,0.00663000,Calculate,25|50|75,1|1|1,FSRI_materials
d,1,FSRI_PETG,../../../exp/FSRI_Materials/FSRI_PETG-25.csv|../../../exp/FSRI_Materials/FSRI_PETG-50.csv|../../../exp/FSRI_Materials/FSRI_PETG-75.csv,../../../out/Scaling_Pyrolysis/,../../../fds/Validation/Scaling_Pyrolysis/,../../../exp/FSRI_Materials/,50,FSRI_PETG-50.csv-Time,FSRI_PETG-50.csv-HRRPUA,FSRI_PETG-25.csv-Time|FSRI_PETG-50.csv-Time|FSRI_PETG-75.csv-Time,FSRI_PETG-25.csv-HRRPUA|FSRI_PETG-50.csv-HRRPUA|FSRI_PETG-75.csv-HRRPUA,25|50|75,1314.0,0.1600,1.2450,1.0000,0.00262000,Calculate,25|50|75,1|1|1,FSRI_materials
