Time,HRR-scale,HRR-O2,V015C,T010,T015,T020,T025,T030,T035,T040,T045,T050,T055,T060,T065,T075,T095,T105,T115
380.,0.0,813.6,2.28,19.3,19.7,20.2,18.0,20.6,21.2,22.3,25.8,30.9,36.1,59.0,64.7,263.4,164.5,159.1,144.3
390.,0.0,900.4,2.35,19.9,20.0,20.8,18.7,21.3,22.1,23.7,27.8,33.8,40.3,64.7,79.3,274.8,183.0,179.2,158.7
400.,0.0,1125.5,2.42,20.1,20.7,21.6,19.0,22.1,23.2,24.8,29.7,36.4,44.0,69.2,94.0,291.5,201.1,194.8,175.1
410.,0.0,1252.8,2.36,20.3,21.0,22.0,19.1,22.4,23.4,25.3,30.6,37.7,45.6,76.1,116.6,298.1,210.7,201.3,183.9
420.,0.0,1216.9,2.34,20.7,21.2,22.0,19.2,22.9,24.0,26.0,31.0,38.5,46.1,79.9,112.2,301.5,215.4,204.2,188.1
430.,0.0,1312.2,2.01,21.0,21.8,22.4,19.8,23.6,25.2,27.4,33.7,42.7,52.0,86.5,145.5,327.2,226.8,213.2,196.0
440.,0.0,1502.1,2.25,21.2,22.0,23.0,20.0,24.0,26.0,28.5,35.7,45.4,55.6,89.3,169.2,342.4,246.9,234.6,214.8
450.,0.0,1546.7,1.94,21.9,22.7,23.5,20.4,24.9,27.2,30.4,37.8,48.0,59.0,89.5,192.9,369.5,263.6,250.8,226.5
460.,0.0,1494.0,2.19,22.2,23.1,24.5,21.0,25.6,27.7,31.0,39.4,50.8,63.1,97.4,227.0,393.9,279.3,261.6,238.3
470.,0.0,1769.3,2.07,22.8,23.9,25.2,21.3,26.6,28.4,32.2,41.4,53.9,66.6,115.8,241.4,383.5,279.3,260.3,237.9
480.,0.0,1619.1,1.95,23.0,24.0,26.0,22.0,27.3,29.7,33.3,44.1,57.6,72.0,161.2,302.2,366.3,286.3,266.3,239.2
490.,0.0,1626.4,1.73,23.2,24.9,25.9,22.0,27.6,30.0,34.0,45.0,60.0,74.8,220.3,360.3,362.7,290.4,271.7,243.9
500.,0.0,1605.3,1.67,23.4,25.0,26.3,22.1,27.8,30.5,34.8,47.2,63.3,81.1,257.9,396.6,369.8,299.9,279.3,250.4
510.,0.0,1744.4,1.80,23.9,25.1,26.6,22.6,28.4,31.1,35.5,48.5,65.1,84.3,282.8,411.9,378.1,313.7,291.8,259.3
520.,0.0,1493.7,1.58,24.1,25.9,27.0,22.9,28.9,31.8,36.4,49.9,73.2,101.4,302.1,424.8,384.4,316.9,292.3,259.7
530.,0.0,1569.6,1.64,24.6,26.2,28.0,23.4,29.8,32.9,38.2,56.6,131.4,211.8,336.4,453.3,403.8,331.2,302.2,267.1
540.,0.0,1719.1,1.70,25.1,26.7,28.2,23.9,30.5,33.7,41.4,71.9,168.2,285.5,354.4,466.4,408.4,329.1,308.4,275.2
550.,0.0,1768.6,1.68,25.2,26.9,28.3,23.8,30.0,33.6,39.6,74.9,167.0,297.0,351.4,452.8,413.2,340.4,317.3,281.7
560.,0.0,1852.8,1.54,24.0,25.2,26.1,22.2,26.6,28.7,32.9,50.5,100.5,159.2,248.1,277.8,333.0,283.4,267.6,250.6
570.,0.0,1369.1,1.46,23.3,24.2,24.7,21.8,25.1,26.3,29.6,39.4,67.7,81.6,164.9,166.5,294.5,221.8,207.4,195.4
580.,0.0,1172.5,1.44,23.0,23.6,23.9,21.1,24.3,25.2,27.9,34.2,52.9,50.6,118.9,123.7,257.7,187.9,173.1,162.5
590.,0.0,919.6,1.60,22.9,23.1,23.9,21.2,23.8,24.8,26.9,31.8,47.2,39.8,98.0,96.6,246.8,169.0,153.4,141.0
600.,0.0,858.8,1.52,22.9,23.1,23.7,21.3,24.1,25.0,27.2,31.8,45.2,38.5,89.1,81.4,249.0,158.6,143.8,128.6
610.,0.0,782.9,1.39,22.5,23.0,23.6,21.3,23.8,24.9,26.9,31.0,42.9,35.2,101.5,90.0,241.3,155.0,137.2,121.3
620.,0.0,794.3,1.51,22.9,23.0,23.5,21.3,23.9,24.9,27.1,30.8,42.2,35.3,95.6,105.1,238.4,150.6,134.1,117.9
630.,0.0,730.5,1.52,23.0,23.0,23.7,21.8,24.2,25.0,27.0,30.7,42.3,34.9,86.1,103.1,239.0,147.5,131.0,118.0
640.,0.0,776.7,1.53,23.0,23.1,24.0,21.9,24.2,25.0,27.2,31.0,42.0,35.3,79.7,95.4,262.3,150.0,131.9,116.4
650.,0.0,811.1,1.51,22.9,23.2,24.1,22.0,24.5,25.0,27.6,31.2,42.0,35.8,79.4,108.0,267.8,150.5,134.2,118.1
660.,0.0,850.4,1.48,23.0,23.6,24.1,22.0,25.0,25.8,28.0,31.6,42.6,36.8,83.6,119.3,269.1,152.1,135.2,119.6
670.,0.0,837.9,1.59,23.1,23.8,24.1,22.0,24.8,25.8,28.0,31.7,42.9,36.6,87.3,105.2,255.8,151.0,133.9,118.8
680.,0.0,780.6,1.59,23.2,23.8,24.3,22.2,25.0,25.7,28.0,32.0,43.5,37.9,122.3,146.8,242.6,149.1,133.7,117.6
690.,0.0,855.1,1.58,23.5,24.0,24.3,22.1,24.8,26.0,28.2,32.4,43.6,38.7,117.9,141.2,246.1,149.8,136.8,118.7
700.,0.0,1024.9,1.41,24.0,24.1,24.9,22.9,25.6,26.6,29.6,34.6,46.6,41.7,132.2,161.7,301.0,164.2,145.6,124.1
710.,0.0,1362.1,1.30,24.7,25.4,26.5,23.8,27.4,29.4,33.4,41.7,76.9,200.4,294.3,263.7,428.8,236.6,196.2,159.9
720.,0.0,1958.8,1.55,24.3,25.0,25.8,22.8,26.4,27.5,30.6,36.5,65.6,162.7,263.5,174.0,371.4,253.4,219.1,188.1
730.,0.0,1463.9,1.50,24.1,24.6,25.2,22.8,25.7,26.7,29.3,34.5,67.5,141.9,281.3,168.2,294.6,215.0,187.0,163.3
740.,0.0,1472.3,2.49,23.8,24.0,24.5,22.2,25.0,25.1,27.1,30.4,50.0,73.3,174.6,102.7,240.5,182.9,165.8,145.7
750.,0.0,1097.4,2.69,23.2,23.8,24.0,22.1,24.3,24.0,25.3,26.8,37.5,40.5,107.7,59.7,147.9,137.3,129.2,116.3
760.,0.0,717.9,2.81,23.0,23.1,23.8,22.0,23.9,23.6,24.6,25.6,33.6,32.4,77.5,44.8,110.8,113.1,110.6,101.9
770.,0.0,611.6,2.91,22.9,23.0,23.3,21.8,23.1,23.0,24.0,24.7,31.8,29.7,63.1,36.8,101.7,104.5,102.6,94.5
